word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.022011696945002,nan,-12.797909090124785,nan,-12.812983238921417,nan,1.1115769191332394,nan,1.1114772263927828,nan,1.0011455223423964,nan,1.0011561667606617,nan
b O r,3,-13.315305820392814,nan,-inf,nan,-15.10285743986601,nan,1.1250426427458617,nan,1.1249064179283228,nan,1.001077513637282,nan,1.001094832118856,nan
b O s,3,-13.339116469086532,nan,-13.5598636297186,nan,-13.498768234926025,nan,1.0955268647262753,nan,1.0954707152696141,nan,1.0011455223423964,nan,1.0011561667606617,nan
b U n,3,-10.885804510347777,nan,-inf,nan,-16.80552681665997,nan,1.1395249291002405,nan,1.1393501527142282,nan,1.000538756818641,nan,1.00060848036495,nan
b u r,3,-10.216716161399116,nan,-11.82764300462771,nan,-11.838000893634344,nan,1.265186760194848,nan,1.2646740316028475,nan,1.0162454471861133,nan,1.0147740792592277,nan
b U s,3,-11.202909282489307,nan,-inf,nan,-16.98048618889859,nan,1.1234748746932763,nan,1.1233436415910596,nan,1.000538756818641,nan,1.00060848036495,nan
b W r,3,-11.574422021825212,nan,-16.140876426281725,nan,-15.761982297486256,nan,1.143764442193636,nan,1.143577920379797,nan,1.0007414547284157,nan,1.000791402945232,nan
C e D,3,-12.590460424861009,nan,-18.0013221530969,nan,-17.979947900227288,nan,1.1028146482711305,nan,1.1027397929534783,nan,1.0016968971139357,nan,1.001652791293349,nan
C i D,3,-12.180905809388408,nan,-17.27618096700107,nan,-17.263488851345674,nan,1.1043635741247233,nan,1.1042845575447873,nan,1.0049579944454994,nan,1.004594150737185,nan
C O b,3,-15.761165806283913,nan,-20.175454153856926,nan,-19.520862835340477,nan,1.0226622237665182,nan,1.022802917335617,nan,1,1,1.000122128611044,1.0
C O g,3,-15.776488323276276,nan,-20.40737273975783,nan,-19.641226075457702,nan,1.0404124958013388,nan,1.040505033450647,nan,1,1,1.000122128611044,1.0
C O v,3,-16.712036871754847,nan,-inf,nan,-20.63872059319177,nan,1.0131410050505225,nan,1.0133075293811948,nan,1,1,1.000122128611044,1.0
C u D,3,-12.321927873742087,nan,-17.387465524017344,nan,-17.372445780912674,nan,1.1709673858292151,nan,1.1707094349710752,nan,1.001220836178136,nan,1.0012234488007092,nan
C u S,3,-14.368666821963469,nan,-15.56705701803869,nan,-15.607573221260086,nan,1.1496126524233392,nan,1.1494126362732997,nan,1.0012888448832502,nan,1.001284783442515,nan
C u T,3,-14.297377738216168,nan,-14.729745602812814,nan,-14.778721984863719,nan,1.1485925218466253,nan,1.148395273278183,nan,1.00176490581905,nan,1.0017141259351547,nan
D e C,3,-12.590460424861007,nan,-12.945053128973113,nan,-12.929588842686304,nan,1.1545324178599234,nan,1.1543195352042395,nan,1.0175782694137305,nan,1.0159904359273624,nan
D e D,3,-10.485403306218538,nan,-14.942896163308433,nan,-14.903846875523538,nan,1.1761591860862564,nan,1.1758876307007127,nan,1.018802426105787,nan,1.0170944594798648,nan
D e J,3,-12.771738140224064,nan,-11.715903240980456,nan,-11.756595509908317,nan,1.1545324178599234,nan,1.1543195352042395,nan,1.017646278118845,nan,1.016051770569168,nan
D e S,3,-12.532142254439922,nan,-12.48736431688621,nan,-12.492833177686936,nan,1.1548044526803805,nan,1.1545908320029372,nan,1.0175102607086164,nan,1.0159291012855567,nan
D i C,3,-12.180905809388406,nan,-13.961448486363118,nan,-13.988248512071658,nan,1.1560813437135165,nan,1.1558642997955484,nan,1.00148755817632,nan,1.0014644619873925,nan
D i D,3,-10.075848690745937,nan,-16.009623969467988,nan,-15.973878183189967,nan,1.1777081119398494,nan,1.1774323952920216,nan,1.0051600282524897,nan,1.0047765326448999,nan
D i S,3,-12.122587638967321,nan,-14.307863925422145,nan,-14.326527187104421,nan,1.1563533785339735,nan,1.1561355965942461,nan,1.0014195494712057,nan,1.0014031273455868,nan
D i T,3,-12.051298555220018,nan,-13.409269777135284,nan,-13.43740182835694,nan,1.1553332479572596,nan,1.1551182335991295,nan,1.0013515407660916,nan,1.001341792703781,nan
d u r,3,-9.763085782625918,nan,-10.626961502536261,nan,-10.639164502393443,nan,1.2740607097746801,nan,1.2735241824576917,nan,1.0249329008866992,nan,1.022616501290962,nan
D W C,3,-13.679633734168185,nan,-16.43582216213383,nan,-16.299163673666147,nan,1.101262837416796,nan,1.1011930659987859,nan,1,1,1.000122128611044,1.0
D W D,3,-11.574576615525716,nan,-19.43219402658028,nan,-19.23404825219759,nan,1.122889605643129,nan,1.122761161495259,nan,1.0012241566920566,nan,1.0012261521635464,nan
D W T,3,-13.550026479999797,nan,-14.625591763870005,nan,-14.526995547290877,nan,1.1005147416605392,nan,1.100446999802367,nan,1.0000680087051144,nan,1.0001834632528497,nan
f U n,3,-11.45147616517013,nan,-inf,nan,-17.862898479234428,nan,1.121373668596039,nan,1.1212475714202288,nan,1.0003367230116507,nan,1.0004260984572353,nan
f u r,3,-10.782387816221469,nan,-13.580905122715624,nan,-13.576249644176935,nan,1.2470354996906465,nan,1.2465714503088483,nan,1.0154373119581517,nan,1.0140445516283687,nan
f U s,3,-11.76858093731166,nan,-inf,nan,-18.037857851473046,nan,1.1053236141890748,nan,1.1052410602970602,nan,1.0003367230116507,nan,1.0004260984572353,nan
f W r,3,-12.140093676647565,nan,-18.013596209782502,nan,-17.61094121343391,nan,1.1256131816894344,nan,1.1254753390857979,nan,1.0003373871144348,nan,1.0004266391298027,nan
f ^ r,3,-10.63973462020007,nan,-14.224606569664719,nan,-14.226117370680287,nan,1.18884976327742,nan,1.1885420326179357,nan,1.001553574573082,nan,1.0015241746114958,nan
g U n,3,-10.90112702734014,nan,-inf,nan,-16.667711217574233,nan,1.1377098030498205,nan,1.1375398945848283,nan,1.0022223718768941,nan,1.0021283295959063,nan
g U S,3,-13.581962966257962,nan,-13.111636619801489,nan,-13.140989841938588,nan,1.0624921751934548,nan,1.0625263297448935,nan,1.0030384763382652,nan,1.0028643452975745,nan
g U T,3,-13.51067388251066,nan,-inf,nan,-16.487708607686905,nan,1.061472044616741,nan,1.0615089667497768,nan,1.0022223718768941,nan,1.0021283295959063,nan
g W C,3,-14.035604524708674,nan,-18.175236563670314,nan,-17.788530302318666,nan,1.052993929853771,nan,1.0530536090762246,nan,1.00006734460233,nan,1.0001829225802823,nan
g W D,3,-11.930547406066205,nan,-21.171608428116762,nan,-20.723414880850108,nan,1.0746206980801039,nan,1.0746217045726978,nan,1.0012915012943866,nan,1.0012869461327847,nan
g W T,3,-13.905997270540286,nan,-16.365006165406488,nan,-16.0163621759434,nan,1.052245834097514,nan,1.0523075428798057,nan,1.0001353533074444,nan,1.000244257222088,nan
g ^ r,3,-10.089385482370082,nan,-12.587294708304654,nan,-12.590252101537557,nan,1.2051858977312015,nan,1.204834355782535,nan,1.0029678112220144,nan,1.002800847965499,nan
h U n,3,-11.101873414434618,nan,-inf,nan,-19.442158711891974,nan,1.168029130780913,nan,1.1677779100055456,nan,1,1,1.000122128611044,1.0
h u r,3,-10.432785065485957,nan,-11.461546891818564,nan,-11.471009917422199,nan,1.2936909618755206,nan,1.293101788894165,nan,1.0196800219049496,nan,1.0178745716903785,nan
h U s,3,-11.418978186576147,nan,-inf,nan,-19.617118084130592,nan,1.1519790763739488,nan,1.151771398882377,nan,1,1,1.000122128611044,1.0
h W r,3,-11.790490925912055,nan,-14.87616455270134,nan,-14.50302761161014,nan,1.1722686438743084,nan,1.1720056776711145,nan,1.004849475470553,nan,1.0044998350687655,nan
J O b,3,-15.942443521646968,nan,-17.408173671834497,nan,-17.314109657495678,nan,1.0264941565396275,nan,1.0266245733865724,nan,1,1,1.000122128611044,1.0
J ^ r,3,-12.019749525835119,nan,-12.676469284720838,nan,-12.72360390182116,nan,1.18394220025221,nan,1.1836476310088173,nan,1.0053922169058989,nan,1.004989430858076,nan
k E G,3,-11.664620899580454,nan,-16.724399271673438,nan,-16.614569636194993,nan,1.1090854233495318,nan,1.1089944273487458,nan,1.0002033620125586,nan,1.0003055918638937,nan
k E S,3,-12.775067645895566,nan,-17.576882025651834,nan,-17.47189960606176,nan,1.1082693188881607,nan,1.1081805369526525,nan,1.00006734460233,nan,1.0001829225802823,nan
k i b,3,-10.375363263945248,nan,-14.45496759235852,nan,-14.452803674474143,nan,1.1310932858135336,nan,1.1309428376267636,nan,1.0008121198446662,nan,1.0008549002773075,nan
k i C,3,-12.139772109039592,nan,-13.525144951389784,nan,-13.559062573777846,nan,1.1176275622009113,nan,1.1175136460912238,nan,1.001016145960009,nan,1.0010389042027246,nan
k i D,3,-10.034714990397122,nan,-15.573320434494654,nan,-15.544692244896154,nan,1.1392543304272442,nan,1.139081741587697,nan,1.0046886160361788,nan,1.004350974860232,nan
k i r,3,-9.693912123148493,nan,-10.96640095998147,nan,-10.97712629243696,nan,1.2065829484903563,nan,1.2062276992653964,nan,1.0239350795835127,nan,1.0217086784912428,nan
