word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.189613711565434,nan,-11.353056214997972,nan,-11.37056853245226,nan,1.1109256932193812,nan,1.110829031366863,nan,1.0025813925146005,nan,1.0024511214303526,nan
b i l,3,-10.261297342281566,nan,-11.26316233165015,nan,-11.276703304063316,nan,1.147834464811637,nan,1.1476371685585576,nan,1.0080623488558778,nan,1.0073906183329515,nan
b i s,3,-10.112107991989093,nan,-11.339481599961026,nan,-11.352159813966828,nan,1.165019183420428,nan,1.164774953619325,nan,1.002859007763176,nan,1.0027009972049743,nan
b R s,3,-11.364347110759144,nan,-12.345801216388173,nan,-12.36061722882838,nan,1.1080040154897672,nan,1.1079137974875044,nan,1.0017063680919505,nan,1.001661163835269,nan
b Y s,3,-10.928789461158036,nan,-11.687232767959665,nan,-11.70239725542505,nan,1.1161974066056934,nan,1.1160850562665428,nan,1.0032020838732774,nan,1.0030101356327605,nan
b ^ l,3,-10.269599056139157,nan,-13.142537661878158,nan,-13.14623832439619,nan,1.158668700997986,nan,1.1584421388448893,nan,1.006303408089019,nan,1.0058095043181212,nan
C @ l,3,-12.331048955207182,nan,-15.797907897057915,nan,-15.79479319206457,nan,1.1153241297950358,nan,1.1152144903303327,nan,1.0009555060484352,nan,1.00098423504853,nan
C i D,3,-12.191069523362803,nan,-17.250333020346254,nan,-17.23728776520498,nan,1.102253440891605,nan,1.1021796669867276,nan,1.0046481105955507,nan,1.004312669939051,nan
C i n,3,-11.540537879378027,nan,-13.466317100463293,nan,-13.491671273377012,nan,1.155724617120552,nan,1.1555048069566853,nan,1.0023203001067105,nan,1.0022146815396926,nan
C R J,3,-15.728363405721904,nan,-16.891470255643856,nan,-16.85962315392105,nan,1.0233294683600953,nan,1.0234695418531317,nan,1.0000684650143776,nan,1.0001845059014745,nan
C R g,3,-13.786523818596532,nan,-17.282540918480443,nan,-17.25629601404834,nan,1.0550287700169485,nan,1.0550822688775752,nan,1.0002053950431329,nan,1.0003079169837896,nan
C R T,3,-15.372004467473904,nan,-16.53598988031976,nan,-16.486081651274343,nan,1.022987143288207,nan,1.023128151712479,nan,1.0000684650143776,nan,1.0001845059014745,nan
C ^ J,3,-14.484426000809442,nan,-19.81383844447737,nan,-19.647016579675956,nan,1.091178872477105,nan,1.091135668271284,nan,1.0002716069428716,nan,1.0003677903589525,nan
C ^ n,3,-11.548839593235618,nan,-14.17720804482003,nan,-14.086185483640607,nan,1.166558853306901,nan,1.166309777243017,nan,1.0121160544302057,nan,1.0110428489792167,nan
C ^ S,3,-14.205072352464143,nan,-17.661774127985655,nan,-17.586869062685942,nan,1.0919319876352591,nan,1.0918867265807202,nan,1.0003400719572493,nan,1.00042949590011,nan
C ^ C,3,-14.296328633787098,nan,-16.963496528729696,nan,-16.900980536684845,nan,1.0917265925921262,nan,1.0916818924963285,nan,1.0009562570866481,nan,1.0009848457705286,nan
d i k,3,-9.914262709563761,nan,-12.052005948289128,nan,-12.061798240817748,nan,1.1655712378181646,nan,1.1653258566904452,nan,1.0032803123844236,nan,1.0030797805598954,nan
d i s,3,-9.659149750543651,nan,-12.112941432742058,nan,-12.121526631488017,nan,1.1749509447879032,nan,1.1746799465443303,nan,1.0019110120968704,nan,1.0018456697367435,nan
d i t,3,-8.981035979466286,nan,-10.837061131444,nan,-10.84636350643597,nan,1.25526040665289,nan,1.2547700735414624,nan,1.0021848721543811,nan,1.0020924919013738,nan
d E p,3,-11.127911579705746,nan,-16.112444103256756,nan,-16.05920646641045,nan,1.119435461087398,nan,1.119315871941787,nan,1.000410039048053,nan,1.0004924228852643,nan
d R s,3,-10.911388869313702,nan,-12.40508468294621,nan,-12.417899664769871,nan,1.1179357768572424,nan,1.1178187904125096,nan,1.0017740820681151,nan,1.0017222586544283,nan
D i D,3,-10.094112126796098,nan,-15.939509486077661,nan,-15.903391790740034,nan,1.174275601556425,nan,1.1740077109190772,nan,1.0051221084287034,nan,1.0047403336731664,nan
D i g,3,-10.437327303259776,nan,-13.83811450940294,nan,-13.83772935341164,nan,1.1840660986124294,nan,1.1837714689417453,nan,1.0048482483711927,nan,1.0044935115085358,nan
D i C,3,-12.191069523362803,nan,-13.769074132016648,nan,-13.79840228430853,nan,1.1529145170705974,nan,1.1527049661423463,nan,1.0017673227241983,nan,1.001716762156444,nan
d I J,3,-12.044742686892796,nan,-14.361696684313479,nan,-14.366169352748818,nan,1.0899454542349627,nan,1.0899058029577395,nan,1.0077871072589382,nan,1.0071487045636405,nan
d I D,3,-9.759687923303748,nan,-14.540318970395846,nan,-14.512511229364577,nan,1.1118542588358116,nan,1.1117547719595149,nan,1.00860868743147,nan,1.0078891710575317,nan
