word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.198633338313861,nan,-11.448279523082867,nan,-11.46407503720321,nan,1.1094536468479634,nan,1.1093660672767691,nan,1.0024289527033712,nan,1.002319694633468,nan
b i l,3,-10.2822053181192,nan,-11.270192635573363,nan,-11.282677647845482,nan,1.1470124338804917,nan,1.1468288091588528,nan,1.007884573631438,nan,1.0072672335630062,nan
b i s,3,-10.117906096360127,nan,-11.364038526066912,nan,-11.37562662268073,nan,1.1684432968897955,nan,1.1682048091588526,nan,1.0030080898329137,nan,1.002844772114068,nan
b R s,3,-11.379087570833189,nan,-12.361198133797302,nan,-12.375054260046397,nan,1.1077385860510365,nan,1.1076547009199629,nan,1.0016021159706958,nan,1.0015692267031855,nan
b Y s,3,-10.940139811859758,nan,-11.760817598871364,nan,-11.7746079097608,nan,1.1162921415214822,nan,1.1161864722175563,nan,1.0031360865969312,nan,1.002960879690395,nan
b ^ l,3,-10.275924358523245,nan,-13.123817755724723,nan,-13.12815558049682,nan,1.1569064719246638,nan,1.156697649092636,nan,1.0067702264560967,nan,1.006258616608779,nan
C @ l,3,-12.36457435727155,nan,-16.21302775055093,nan,-16.200990255669947,nan,1.1127545088418858,nan,1.1126580810189757,nan,1.000961136879619,nan,1.0009878698571946,nan
C i D,3,-12.193904967556227,nan,-17.38116387177647,nan,-17.36848855725893,nan,1.1060399561246546,nan,1.1059608229010591,nan,1.0050011629925808,nan,1.0046519467204034,nan
C i n,3,-11.566821993188785,nan,-13.699182751097783,nan,-13.718287673074343,nan,1.1563447363620623,nan,1.1561368229010591,nan,1.0025629210933187,nan,1.0024407159959343,nan
C R J,3,-15.774057024505757,nan,-17.347937409941657,nan,-17.30355466888821,nan,1.0215944688983434,nan,1.0217307146621692,nan,1.0000641642605068,nan,1.0001742978585497,nan
C R g,3,-13.824186474234347,nan,-17.623331651599745,nan,-17.59319768215968,nan,1.0534841063702713,nan,1.0535387146621693,nan,1.0002566570420275,nan,1.0003488687052182,nan
C R T,3,-15.415483299597797,nan,-16.911710300563172,nan,-16.85179516723547,nan,1.0212094833353018,nan,1.0213467146621693,nan,1,1,1.0001161075763267,1.0
C ^ J,3,-14.50659459043674,nan,-20.19308905813019,nan,-20.029204738501782,nan,1.0921932177812745,nan,1.0921496628348422,nan,1.0001918292675285,nan,1.000290132446758,nan
C ^ n,3,-11.56054103359283,nan,-14.353244534175108,nan,-14.270627191430558,nan,1.1662387744062344,nan,1.1660056628348423,nan,1.0120622174613045,nan,1.0110553346579887,nan
C ^ S,3,-14.255767610374114,nan,-18.07133857337874,nan,-18.001657420548568,nan,1.0925140390838088,nan,1.0924696628348423,nan,1.0002559935280355,nan,1.0003483227289807,nan
C ^ C,3,-14.325248167800991,nan,-17.219138637540613,nan,-17.1617016302579,nan,1.0920007249997536,nan,1.0919576628348422,nan,1.0007051433515837,nan,1.0007556547045409,nan
d i k,3,-9.93118590082322,nan,-12.204282390788054,nan,-12.213036190774512,nan,1.1659460597223101,nan,1.1657141146684593,nan,1.003462879525396,nan,1.0032567448876486,nan
d i s,3,-9.662550674572582,nan,-12.194331027852021,nan,-12.202053305492722,nan,1.1783297620001414,nan,1.1780661146684592,nan,1.0019229372732303,nan,1.0018601781142997,nan
d i t,3,-8.982462877713724,nan,-10.924920342557684,nan,-10.933297419807865,nan,1.2586634161547772,nan,1.2581941146684592,nan,1.002115430054751,nan,1.0020347489609684,nan
d E p,3,-11.139416606505172,nan,-16.29815635377352,nan,-16.24507100048916,nan,1.118191126895115,nan,1.1180813139553558,nan,1.0003843220490491,nan,1.0004647032934264,nan
d R s,3,-10.923732149045643,nan,-12.415907923516553,nan,-12.427946360752735,nan,1.1176250511613823,nan,1.1175160064295695,nan,1.0016021159706958,nan,1.0015692267031855,nan
D i D,3,-10.056280807715508,nan,-15.852283666588,nan,-15.822293767084874,nan,1.1824527638807458,nan,1.1821791712914396,nan,1.0055118230206672,nan,1.0051152850732354,nan
D i g,3,-10.425380839920566,nan,-13.993039331910595,nan,-13.991351776516982,nan,1.1906016249651217,nan,1.1903071712914395,nan,1.0048701804155982,nan,1.0045333822510067,nan
D i C,3,-12.193904967556227,nan,-13.961670539468134,nan,-13.986441987805573,nan,1.1585194947116728,nan,1.1583071712914395,nan,1.0016619673902534,nan,1.0016238681398633,nan
d I J,3,-12.054063193773402,nan,-14.63251427901146,nan,-14.630500582124915,nan,1.0877610727585172,nan,1.0877288759062027,nan,1.0075322354142728,nan,1.006950348280601,nan
d I D,3,-9.735092611296935,nan,-14.44221085525163,nan,-14.42019836475474,nan,1.1115018491460693,nan,1.1114088759062029,nan,1.0085588635823832,nan,1.007881392796167,nan
d Y p,3,-11.265508486800448,nan,-12.575558339495323,nan,-12.586784295139841,nan,1.0751680195288442,nan,1.0751677777271629,nan,1.0019212784882496,nan,1.0018588131737056,nan
d Y t,3,-9.804696593213356,nan,-11.47354328879336,nan,-11.482954379075487,nan,1.2065122607864638,nan,1.206175777727163,nan,1.0032687279588945,nan,1.0030808091003858,nan
d I T,3,-11.695489468865443,nan,-14.042136489805715,nan,-14.036910885032954,nan,1.0873760871954756,nan,1.0873448759062028,nan,1.0075322354142728,nan,1.006950348280601,nan
d I Z,3,-16.38479653405973,nan,-inf,nan,-18.932700003146135,nan,1.0837187243465825,nan,1.0836968759062027,nan,1.0075322354142728,nan,1.006950348280601,nan
f i k,3,-10.964324841939835,nan,-13.175691835236414,nan,-13.186672902796992,nan,1.1364142316830192,nan,1.136257440791376,nan,1.0037820420429497,nan,1.0035463313581687,nan
f i s,3,-10.695689615689197,nan,-13.165740472300381,nan,-13.175690017515201,nan,1.1487979339608505,nan,1.1486094407913758,nan,1.0022420997907842,nan,1.0021497645848199,nan
f R s,3,-11.956871090162258,nan,-14.062493854453903,nan,-14.063944917228934,nan,1.0880932231220914,nan,1.088059332552486,nan,1.0017297809777173,nan,1.0016850612913937,nan
f R t,3,-11.2767832933034,nan,-13.472046659299595,nan,-13.473829862604038,nan,1.1684268772767272,nan,1.168187332552486,nan,1.0014089596751827,nan,1.0013941098802792,nan
f Y k,3,-11.786558557439465,nan,-12.34046818351156,nan,-12.355329172051782,nan,1.0842630763147059,nan,1.0842391038500796,nan,1.0024987568328116,nan,1.0023825257137113,nan
f ^ l,3,-10.853707877852315,nan,-14.545158813772822,nan,-14.547689843210017,nan,1.1372611089957188,nan,1.1371022807251592,nan,1.0017274586787446,nan,1.0016831503745616,nan
g e s,3,-10.543103846253793,nan,-13.564775466825855,nan,-13.557636863267827,nan,1.1647417934083713,nan,1.1645127306725775,nan,1.0023740776387553,nan,1.002269148018573,nan
g W d,3,-11.81074014499163,nan,-17.278442018922327,nan,-16.887011837516013,nan,1.1156645509184588,nan,1.1155604525623013,nan,1.0014116137311517,nan,1.0013962937852299,nan
g W r,3,-11.586582144189338,nan,-20.545271684050704,nan,-19.765627433725545,nan,1.1430626901549041,nan,1.1428884525623013,nan,1.0000641642605068,nan,1.0001742978585497,nan
g W z,3,-12.3403929448303,nan,-19.83857460125192,nan,-19.063649451706354,nan,1.0687604764879166,nan,1.0687764525623011,nan,1,1,1.0001161075763267,1.0
