word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.197856227075457,nan,-11.457209342589955,nan,-11.473020122151373,nan,1.1087258784750664,nan,1.1086399300507923,nan,1.0021787006511464,nan,1.0020925047217086,nan
b i l,3,-10.282861677986771,nan,-11.287621495060584,nan,-11.30011806411093,nan,1.1467211525786913,nan,1.146537746001645,nan,1.0076512302101601,nan,1.007053945902271,nan
b i s,3,-10.114773113837986,nan,-11.390787419618913,nan,-11.402350967379009,nan,1.1665422478872698,nan,1.1663079494806874,nan,1.002567247971921,nan,1.0024445754605884,nan
b R s,3,-11.376281477020598,nan,-12.366417107604702,nan,-12.38032378467433,nan,1.107270661124164,nan,1.1071877298548174,nan,1.0016067790636916,nan,1.0015733624835952,nan
b Y s,3,-10.940475362805286,nan,-11.772024821702677,nan,-11.785844576868444,nan,1.1155277180274479,nan,1.1154236999754839,nan,1.0028890189996575,nan,1.002736307767024,nan
b ^ l,3,-10.276047341567041,nan,-13.164971191216871,nan,-13.168948130606482,nan,1.1572825044317285,nan,1.157072126388544,nan,1.006596650021502,nan,1.006099913675491,nan
C @ l,3,-12.356999133494464,nan,-16.3558891973968,nan,-16.340542440466116,nan,1.1135260116707408,nan,1.1134273145815743,nan,1.0008355666346194,nan,1.0008740586500744,nan
C i D,3,-12.183619189260781,nan,-17.48927546236397,nan,-17.47387468570474,nan,1.105121903574739,nan,1.1050448814792144,nan,1.0048234513035623,nan,1.0044898318460271,nan
C i n,3,-11.558868362598542,nan,-13.802288592141327,nan,-13.818715865102465,nan,1.1559617259571318,nan,1.1557541696235112,nan,1.0023779914927635,nan,1.0022726663171164,nan
C R J,3,-15.75973916147078,nan,-17.473042543571857,nan,-17.425436929154106,nan,1.021974906553573,nan,1.0221105531172252,nan,1.0000643542055474,nan,1.0001747548165532,nan
