word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.085174170712701,nan,-15.34819052179519,nan,-15.362607926017084,nan,1.1624286870260352,nan,1.162206125488399,nan,1.0017326753576326,nan,1.0016874898768957,nan
g i T,3,-12.38435773375302,nan,-13.069080199659115,nan,-13.10234379657748,nan,1.106078389525668,nan,1.1059994679253091,nan,1.000385109114249,nan,1.0004653980234304,nan
z i T,3,-12.447871139475346,nan,-17.250297049654154,nan,-17.22219766823603,nan,1.0793428101484348,nan,1.0793319526503604,nan,1.000385109114249,nan,1.0004653980234304,nan
y c g,3,-11.699666584312922,nan,-16.313379072525528,nan,-16.04188942030682,nan,1.1936873747997658,nan,1.1933850880031078,nan,1.0010266419815093,nan,1.0010472104822508,nan
l R z,3,-11.618289021746712,nan,-12.752809509203143,nan,-12.753470356011281,nan,1.0821803780316037,nan,1.0821622192012441,nan,1.0000638691958867,nan,1.0001741022168258,nan
J Y p,3,-13.689345929612077,nan,-16.972689167687918,nan,-16.342556411128715,nan,1.0426549409947372,nan,1.0427374792580126,nan,1.0012836970474968,nan,1.0012802990711602,nan
C ^ z,3,-12.619085724552095,nan,-15.444580807719202,nan,-15.364024915223533,nan,1.106750530029531,nan,1.1066696474241315,nan,1.0034653507152653,nan,1.0032588250365309,nan
C e J,3,-14.928763479406877,nan,-15.058344535417927,nan,-15.107095075107203,nan,1.0794715455284285,nan,1.0794603574099815,nan,1.0005760853889336,nan,1.0006387210858674,nan
z i S,3,-12.551523712788018,nan,-18.35105259954537,nan,-18.312893614876305,nan,1.0801772132293077,nan,1.0801642189755845,nan,1.0006418485237485,nan,1.0006982268942104,nan
z u v,3,-11.89606791222208,nan,-21.05155746986565,nan,-20.874369659821706,nan,1.1585623933457694,nan,1.1583496083071783,nan,1.0017326753576326,nan,1.0016874898768957,nan
