word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.016805879557191,nan,-12.809887797236904,nan,-12.831332664815658,nan,1.106664763439026,nan,1.1065828974442713,nan,1.001093669583119,nan,1.0011084917287236,nan
b O r,3,-13.317847679198904,nan,-inf,nan,-15.296075470440085,nan,1.1230772731314531,nan,1.1229530959490406,nan,1.001093669583119,nan,1.0011084917287236,nan
b O s,3,-13.352221033627538,nan,-13.63411899035381,nan,-13.589122210431263,nan,1.0927722847623655,nan,1.0927262333555885,nan,1.0011582857630104,nan,1.0011670534527808,nan
b U n,3,-10.8634944893109,nan,-inf,nan,-17.00022393272108,nan,1.1362581756881254,nan,1.1361003512430392,nan,1.0005146680391148,nan,1.0005835267263903,nan
b u r,3,-10.213320793252803,nan,-11.880195070271137,nan,-11.88951832517928,nan,1.2728456725138515,nan,1.2723370795219358,nan,1.017507027300552,nan,1.0159838664773018,nan
b U s,3,-11.198909643381247,nan,-inf,nan,-17.219016977604,nan,1.1223656970114648,nan,1.1222436871543564,nan,1.0005146680391148,nan,1.0005835267263903,nan
b W r,3,-11.574345182978622,nan,-16.356469876356915,nan,-15.974708763764957,nan,1.1431493266569293,nan,1.142973629829944,nan,1.0006436177238955,nan,1.0007004178951513,nan
C e D,3,-12.602985778121257,nan,-18.230491161753946,nan,-18.204424786319816,nan,1.103439238622473,nan,1.103366170957886,nan,1.0016142737972777,nan,1.001580005152776,nan
C i D,3,-12.189984203869265,nan,-17.637655090041733,nan,-17.617379704602207,nan,1.1054335772740427,nan,1.1053553906704117,nan,1.0049729017766225,nan,1.0046240534069808,nan
C O b,3,-15.783744656449754,nan,-20.86187422067534,nan,-20.1916801545765,nan,1.0216935688376902,nan,1.0218304289563858,nan,1,1,1.0001168911687608,1.0
C O g,3,-15.793913546191245,nan,-21.07484888224805,nan,-20.285416227001065,nan,1.0400445639268607,nan,1.0401341154735293,nan,1,1,1.0001168911687608,1.0
C O v,3,-16.71266027602527,nan,-inf,nan,-21.43323367967567,nan,1.0112903638751678,nan,1.0114540432899768,nan,1,1,1.0001168911687608,1.0
C u D,3,-12.319996496146802,nan,-17.724542198526777,nan,-17.70263347609413,nan,1.181089779023914,nan,1.1808174029907401,nan,1.0012911928978203,nan,1.00128719653249,nan
C u S,3,-14.394645921538306,nan,-16.060318432565406,nan,-16.087850870969316,nan,1.1579571866227767,nan,1.157744446043073,nan,1.001355809077712,nan,1.0013457582565473,nan
C u T,3,-14.282000419893617,nan,-15.112752923577593,nan,-15.1481619737062,nan,1.156987943924405,nan,1.156777702036886,nan,1.0018727385168433,nan,1.0018142520490045,nan
D e C,3,-12.602985778121255,nan,-13.115681077436546,nan,-13.097835304422127,nan,1.1585418730434434,nan,1.1583277818085949,nan,1.0182712807385785,nan,1.0166829180233148,nan
D e D,3,-10.462071558037056,nan,-14.859863869381336,nan,-14.824858737253916,nan,1.1823206272434952,nan,1.1820452347603867,nan,1.0194989881565162,nan,1.0177955907804008,nan
D e J,3,-12.785788219752561,nan,-11.852138471903253,nan,-11.886532723716762,nan,1.1588003377630092,nan,1.158585580210245,nan,1.0182712807385785,nan,1.0166829180233148,nan
D e S,3,-12.536720983428559,nan,-12.535778900493487,nan,-12.542045126323604,nan,1.1591880348423578,nan,1.1589722778127196,nan,1.0182712807385785,nan,1.0166829180233148,nan
D i C,3,-12.189984203869265,nan,-13.934372756985185,nan,-13.958848179851605,nan,1.160536211695013,nan,1.1603170015211206,nan,1.00167493252714,nan,1.0016353149658845,nan
D i D,3,-10.049069983785065,nan,-15.896182050538682,nan,-15.863940311723798,nan,1.184314965895065,nan,1.1840344544729124,nan,1.0055519033206266,nan,1.005149018409314,nan
D i S,3,-12.12371940917657,nan,-14.335299833053853,nan,-14.351850496531773,nan,1.1611823734939275,nan,1.1609614975252454,nan,1.0018041648869227,nan,1.0017524384139989,nan
D i T,3,-12.01107390753188,nan,-13.242270871995242,nan,-13.268168296844966,nan,1.1602131307955559,nan,1.1599947535190582,nan,1.001545700167357,nan,1.0015181915177702,nan
d u r,3,-9.75735185649176,nan,-10.597586424802909,nan,-10.608693819379793,nan,1.2845460903859185,nan,1.2840074867037248,nan,1.026771052004618,nan,1.0243833065146326,nan
D W C,3,-13.681020885872618,nan,-16.64544427807954,nan,-16.520893326585664,nan,1.1064960675879623,nan,1.1064155641494573,nan,1,1,1.0001168911687608,1.0
D W D,3,-11.540106665788418,nan,-19.41097057790163,nan,-19.23566645527375,nan,1.130274821788014,nan,1.1301330171012491,nan,1.0012277074179374,nan,1.0012295639258468,nan
D W T,3,-13.502110589535235,nan,-14.547889504345955,nan,-14.463603072725169,nan,1.106172986688505,nan,1.106093316147395,nan,1.0000646161798914,nan,1.000175452892818,nan
f U n,3,-11.443500896072528,nan,-inf,nan,-18.335988097029908,nan,1.1176146527051618,nan,1.1175046474918369,nan,1.0002573340195573,nan,1.0003502089475755,nan
f u r,3,-10.793327200014433,nan,-13.903328819703434,nan,-13.896114239616027,nan,1.254202149530888,nan,1.2537413757707334,nan,1.0166706917369905,nan,1.015225583696154,nan
f U s,3,-11.778916050142875,nan,-inf,nan,-18.554781141912827,nan,1.1037221740285013,nan,1.103647983403154,nan,1.0002573340195573,nan,1.0003502089475755,nan
f W r,3,-12.154351589740251,nan,-18.50179778461057,nan,-18.0946658896516,nan,1.1245058036739657,nan,1.1243779260787417,nan,1.0002576166945594,nan,1.000350441226929,nan
f ^ r,3,-10.65849612615168,nan,-14.595830534029716,nan,-14.594991148323661,nan,1.1880673065046399,nan,1.1877762833682695,nan,1.0012886488228017,nan,1.001285106018309,nan
g U n,3,-10.873663379052392,nan,-inf,nan,-16.83061982880478,nan,1.1363224636984115,nan,1.1361644743594226,nan,1.002380339680906,nan,1.0022750806227974,nan
g U S,3,-13.574337361252258,nan,-13.287249949318582,nan,-13.312681247049133,nan,1.0629830995216216,nan,1.0630141778912605,nan,1.0030911176597117,nan,1.0029192595874261,nan
g U T,3,-13.46169185960757,nan,-inf,nan,-16.687904047797147,nan,1.06201385682325,nan,1.0620474338850734,nan,1.002380339680906,nan,1.0022750806227974,nan
g W C,3,-14.050411049970965,nan,-18.610939009245257,nan,-18.215482291506042,nan,1.052815578999084,nan,1.0528727619692713,nan,1,1,1.0001168911687608,1.0
g W D,3,-11.909496829886765,nan,-21.37646530906735,nan,-20.93025542019413,nan,1.0765943331991359,nan,1.076590214921063,nan,1.0012277074179374,nan,1.0012295639258468,nan
g W T,3,-13.87150075363358,nan,-16.513384235511673,nan,-16.158192037645545,nan,1.0524924980996269,nan,1.052550513967209,nan,1.0000646161798914,nan,1.000175452892818,nan
g ^ r,3,-10.088658609131544,nan,-12.619480476071253,nan,-12.622069803453197,nan,1.2067751174978896,nan,1.2064361102358552,nan,1.0028969864450354,nan,1.002743342135901,nan
h U n,3,-11.082498502178218,nan,-inf,nan,-19.691257575432108,nan,1.1675664366974472,nan,1.1673283089217823,nan,1,1,1.0001168911687608,1.0
h u r,3,-10.432324806120123,nan,-11.459760287113715,nan,-11.468251725658101,nan,1.3041539335231733,nan,1.3035650372006788,nan,1.0207880360499086,nan,1.0189586681571898,nan
h U s,3,-11.417913656248565,nan,-inf,nan,-19.910050620315026,nan,1.1536739580207866,nan,1.1534716448330995,nan,1,1,1.0001168911687608,1.0
h W r,3,-11.793349195845941,nan,-14.98991211090052,nan,-14.61365346110232,nan,1.174457587666251,nan,1.174201587508687,nan,1.0052112965710391,nan,1.0048418084691129,nan
J O b,3,-15.966547098081058,nan,-17.80739215416002,nan,-17.703579737038364,nan,1.0261937295577161,nan,1.0263190471032275,nan,1,1,1.0001168911687608,1.0
J ^ r,3,-12.042985106748704,nan,-12.709190126690936,nan,-12.752418300820823,nan,1.1860743781857714,nan,1.1857884667603822,nan,1.0056633271552773,nan,1.0052515082581597,nan
k E G,3,-11.671477942791032,nan,-16.918283149609454,nan,-16.810549724888965,nan,1.10704501552041,nan,1.1069630153525343,nan,1.0000646161798914,nan,1.000175452892818,nan
k E S,3,-12.798188198214731,nan,-17.91621501602737,nan,-17.809651213141677,nan,1.107238864060084,nan,1.1071563641537716,nan,1,1,1.0001168911687608,1.0
k i b,3,-10.386352279981743,nan,-14.79874240856715,nan,-14.792525147476901,nan,1.1290426677881216,nan,1.1289040513791992,nan,1.0007096472787975,nan,1.0007601410159757,nan
k i C,3,-12.16804522570909,nan,-13.703587234012076,nan,-13.73341338912413,nan,1.1148917243918952,nan,1.1147895888888666,nan,1.000774263458689,nan,1.0008187027400328,nan
k i D,3,-10.02713100562489,nan,-15.665396527565573,nan,-15.638505520996322,nan,1.138670478591947,nan,1.1385070418406584,nan,1.0046512342521756,nan,1.0043324061834622,nan
k i r,3,-9.70214824845824,nan,-11.049070310051327,nan,-11.058673995929789,nan,1.2052897600600265,nan,1.2049545798659227,nan,1.0246822500185235,nan,1.0224865406411805,nan
k u f,3,-11.096370979020907,nan,-15.010274682056686,nan,-15.00025892584276,nan,1.1948772101944936,nan,1.1945697244368312,nan,1.0022615662962007,nan,1.0021665515107612,nan
k U m,3,-11.169080552094464,nan,-17.080554138967393,nan,-16.807322018241045,nan,1.1135365471759526,nan,1.1134374045106028,nan,1.0011580030880083,nan,1.0011668211734273,nan
k U n,3,-10.482334236793871,nan,-inf,nan,-17.835384968693113,nan,1.1443584649841718,nan,1.1441798639073546,nan,1.0011580030880083,nan,1.0011668211734273,nan
k U p,3,-11.60186331857571,nan,-16.427768398615033,nan,-16.22223935238164,nan,1.0786438100345725,nan,1.078634620287865,nan,1.0013518516276827,nan,1.0013425063455987,nan
k u r,3,-9.832160540735774,nan,-13.543226375441606,nan,-13.530632674097886,nan,1.280945961809898,nan,1.2804165921862511,nan,1.0166063582321012,nan,1.01516725425145,nan
l U n,3,-10.380573835797051,nan,-inf,nan,-16.39908996769524,nan,1.1579875231648211,nan,1.1577739645806473,nan,1.0101003602676273,nan,1.0092746139872397,nan
l R l,3,-11.069564356160214,nan,-13.653266733268932,nan,-13.650188035412855,nan,1.1061076313076303,nan,1.10602763516405,nan,1.0009043438434782,nan,1.0009365230262077,nan
m W l,3,-11.47712904512365,nan,-13.551096622188473,nan,-13.55262068620019,nan,1.09402626230719,nan,1.093977241735155,nan,1.0009683946733654,nan,1.0009946201915578,nan
m W r,3,-11.275845667113998,nan,-16.423005142233485,nan,-16.04020487032382,nan,1.146042287119803,nan,1.1458591700671994,nan,1.0002576166945594,nan,1.000350441226929,nan
m W t,3,-10.629777681619878,nan,-10.74175276709531,nan,-10.761116964074084,nan,1.197605998673176,nan,1.1972899511963564,nan,1.0003222328744508,nan,1.0004090029509862,nan
n c n,3,-10.057849461344382,nan,-15.563366975873787,nan,-15.534686070515168,nan,1.1233842410683372,nan,1.123259479109405,nan,1.0001935658646721,nan,1.000292344061579,nan
n W C,3,-13.054996329064256,nan,-13.974037142312538,nan,-13.976972731276636,nan,1.062973084624285,nan,1.0630042143578573,nan,1.0120303654143077,nan,1.0110244973283502,nan
n W D,3,-10.914082108980056,nan,-16.739563442134624,nan,-16.691745859964723,nan,1.086751838824337,nan,1.0867216673096491,nan,1.0132580728322451,nan,1.0121371700854362,nan
n ^ r,3,-9.093243888224837,nan,-14.291583510982763,nan,-14.286880260010099,nan,1.2169326231230906,nan,1.2165675626244412,nan,1.0016103163472485,nan,1.0015767532418274,nan
p c k,3,-11.781464121774407,nan,-14.839509026447146,nan,-14.800730291810016,nan,1.078893589789585,nan,1.0788832822251537,nan,1.0007104953038037,nan,1.0007608378540362,nan
p c p,3,-12.296907624908059,nan,-inf,nan,-19.671328741446665,nan,1.0391546391563464,nan,1.03924677797148,nan,1.0000643335048893,nan,1.0001752206134646,nan
p c s,3,-11.512793697196567,nan,-15.800447030685012,nan,-15.750694763815424,nan,1.0909768154292852,nan,1.0909353575022869,nan,1.0001289496847807,nan,1.0002337823375218,nan
p O l,3,-13.653414307825177,nan,-15.96344284750653,nan,-15.897195835438149,nan,1.0627680949919356,nan,1.0627992856035302,nan,1.0001938485396744,nan,1.0002925763409323,nan
p O m,3,-13.837835445474404,nan,-inf,nan,-18.784228683591003,nan,1.0675496923039025,nan,1.0675685560340535,nan,1,1,1.0001168911687608,1.0
p O n,3,-13.151089130173812,nan,-16.031027346897492,nan,-15.941090623135182,nan,1.0983716101121217,nan,1.0983110154308053,nan,1,1,1.0001168911687608,1.0
p O r,3,-13.452130929815524,nan,-inf,nan,-18.405833428759607,nan,1.1147841198045487,nan,1.1146812139355746,nan,1,1,1.0001168911687608,1.0
p O s,3,-13.486504284244159,nan,-16.855258540014404,nan,-16.698880168750787,nan,1.0844791314354612,nan,1.0844543513421225,nan,1.0000646161798914,nan,1.000175452892818,nan
p O t,3,-12.806062944321404,nan,-18.356073036953767,nan,-17.659345015663135,nan,1.1663478313579216,nan,1.1661119950647314,nan,1,1,1.0001168911687608,1.0
p u k,3,-10.6506478228759,nan,-12.76985753853523,nan,-12.77792503908949,nan,1.2221643051781594,nan,1.2217862596378846,nan,1.0144706321956585,nan,1.013231930005322,nan
p U m,3,-11.684524055228113,nan,-15.524312001129719,nan,-15.260395011868308,nan,1.0971431045530018,nan,1.0970860098328215,nan,1.0093926917138445,nan,1.0086329900954991,nan
p U n,3,-10.997777739927521,nan,-inf,nan,-16.288457962320376,nan,1.127965022361221,nan,1.1278284692295732,nan,1.0093926917138445,nan,1.0086329900954991,nan
p U p,3,-12.11730682170936,nan,-14.871526260777358,nan,-14.675312346008901,nan,1.0622503674116217,nan,1.0622832256100836,nan,1.009586540253519,nan,1.0088086752676706,nan
p U s,3,-11.333192893997868,nan,-inf,nan,-16.507251007203294,nan,1.1140725436845604,nan,1.1139718051408904,nan,1.0093926917138445,nan,1.0086329900954991,nan
p u v,3,-11.960723694968447,nan,-15.35790788154801,nan,-15.358975439454728,nan,1.1779022219525197,nan,1.1776382833553374,nan,1.0023227903760668,nan,1.0022223258825769,nan
r U n,3,-10.179290457787397,nan,-inf,nan,-21.149624252567698,nan,1.1156860123965793,nan,1.1155809540003332,nan,1,1,1.0001168911687608,1.0
r W r,3,-10.890141151455119,nan,-18.46047521842027,nan,-18.067410344556592,nan,1.1225771633653832,nan,1.122454232587238,nan,1.0002576166945594,nan,1.000350441226929,nan
S c g,3,-13.753938164450958,nan,-16.63956276550229,nan,-16.565089883280493,nan,1.0493709203732724,nan,1.0494365387545657,nan,1.0009692426983716,nan,1.0009953170296182,nan
s c p,3,-11.512793697196567,nan,-inf,nan,-17.208119371049378,nan,1.0712343562891011,nan,1.0712442130468247,nan,1.0003216675244466,nan,1.0004085383922794,nan
s U g,3,-11.209078533122739,nan,-21.115429172046127,nan,-20.38320036534489,nan,1.1185611520036682,nan,1.1184492608401073,nan,1.0003230808994572,nan,1.0004096997890466,nan
S U g,3,-13.574337361252258,nan,-16.66697175335906,nan,-16.645063962983112,nan,1.0724666486285477,nan,1.0724729863931692,nan,1.00103074945324,nan,1.0010513236807872,nan
s U k,3,-10.817749390864218,nan,-16.149667459541366,nan,-15.477380039905427,nan,1.134069035177615,nan,1.133917164939102,nan,1.010920134401654,nan,1.0100138225344202,nan
s U m,3,-10.900410127516622,nan,-21.719926334671847,nan,-20.761504972877766,nan,1.1292228216857565,nan,1.1290834449081661,nan,1,1,1.0001168911687608,1.0
s U n,3,-10.213663812216032,nan,-inf,nan,-21.78956792332983,nan,1.1600447394939757,nan,1.159825904304918,nan,1,1,1.0001168911687608,1.0
s U p,3,-11.333192893997868,nan,-21.067140594319486,nan,-20.17642230701836,nan,1.0943300845443764,nan,1.0942806606854283,nan,1.0001938485396744,nan,1.0002925763409323,nan
s U s,3,-10.549078966286379,nan,-inf,nan,-22.00836096821275,nan,1.1461522608173151,nan,1.1459692402162351,nan,1,1,1.0001168911687608,1.0
S u T,3,-14.21573562520092,nan,-14.22190499187588,nan,-14.271533691594994,nan,1.1598166163769927,nan,1.159599119157758,nan,1.0016797380021754,nan,1.0016392637148936,nan
s W l,3,-11.125797883893405,nan,-14.514904706865012,nan,-14.502582953373652,nan,1.1149198656501664,nan,1.1148172545597783,nan,1.001097061683144,nan,1.0011112790809653,nan
s W t,3,-10.278446520389632,nan,-11.70556085177185,nan,-11.711079231247547,nan,1.2184996020161525,nan,1.2181299640209797,nan,1.0004508998842294,nan,1.0005256618403937,nan
