word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.018810408103118,nan,-12.769555638788038,nan,-12.791846377964816,nan,1.1082658016193463,nan,1.1081804051598965,nan,1.0012135120369567,nan,1.0012171211421381,nan
b O r,3,-13.321270131659299,nan,-inf,nan,-15.256641059443792,nan,1.1235359158244023,nan,1.1234114303742826,nan,1.001149351893238,nan,1.0011589342458271,nan
b O s,3,-13.35537385508589,nan,-13.5857369184261,nan,-13.541609304774841,nan,1.0942147301449463,nan,1.0941653021264905,nan,1.0012135120369567,nan,1.0012171211421381,nan
b U n,3,-10.866798173588446,nan,-inf,nan,-16.96342912963177,nan,1.1376381277798724,nan,1.1374779021346113,nan,1.0005108230636612,nan,1.0005795935355555,nan
b u r,3,-10.213986865629588,nan,-11.848634812977568,nan,-11.858051229794677,nan,1.2714830456373132,nan,1.2709816488317056,nan,1.0171906168659626,nan,1.0157066696247,nan
b U s,3,-11.203361620571219,nan,-inf,nan,-17.174195555709108,nan,1.1235870563054724,nan,1.1234627991012054,nan,1.0005108230636612,nan,1.0005795935355555,nan
b W r,3,-11.57066873492475,nan,-16.303680004994703,nan,-15.922127437008823,nan,1.1436495739560668,nan,1.1434738467808807,nan,1.0007026889732955,nan,1.0007536485739208,nan
C e D,3,-12.598917747622481,nan,-18.083023827384444,nan,-18.061002483263433,nan,1.1033812000989773,nan,1.1033088182301103,nan,1.0017304803158391,nan,1.0016856502160312,nan
C i D,3,-12.185066623594345,nan,-17.512293348782304,nan,-17.4958275473375,nan,1.1054244923536227,nan,1.1053469049761773,nan,1.0048734055757733,nan,1.0045360496594162,nan
C O b,3,-15.779687182647745,nan,-20.750763973779947,nan,-20.08409449658863,nan,1.0222422568893448,nan,1.0223767021718893,nan,1.0000641601437188,nan,1.0001743078636491,nan
C O g,3,-15.791555543771553,nan,-20.95345542027896,nan,-20.167635060010955,nan,1.0401429369868682,nan,1.0402315594610227,nan,1,1,1.0001161209673382,1.0
C O v,3,-16.70435300177588,nan,-inf,nan,-21.21654672049303,nan,1.0119766338943494,nan,1.0121373574899488,nan,1,1,1.0001161209673382,1.0
C u D,3,-12.313717165337412,nan,-17.57524575493089,nan,-17.557375549128807,nan,1.1797492481163454,nan,1.1794823103643692,nan,1.001346133975049,nan,1.001337034488733,nan
C u S,3,-14.38368264431179,nan,-15.992481633265399,nan,-16.022126533582068,nan,1.156523276090168,nan,1.1563157930214791,nan,1.001346133975049,nan,1.001337034488733,nan
C u T,3,-14.273939852973974,nan,-15.004081069120723,nan,-15.042389644953527,nan,1.1556250340781058,nan,1.1554198503618094,nan,1.0019235752685176,nan,1.0018607165555315,nan
D e C,3,-12.598917747622483,nan,-13.111970492412539,nan,-13.094373945948604,nan,1.157291051629711,nan,1.1570817708297496,nan,1.0178794217496683,nan,1.0163381665055138,nan
D e D,3,-10.463812966477143,nan,-14.828364938699695,nan,-14.794714809762615,nan,1.1810944649493569,nan,1.1808242513109988,nan,1.019098464480324,nan,1.0174437175354218,nan
D e J,3,-12.784610364676022,nan,-11.854042156023423,nan,-11.888851027577187,nan,1.1573552117734296,nan,1.1571457667340117,nan,1.0178152616059497,nan,1.0162799796092028,nan
D e S,3,-12.53377844545152,nan,-12.586153554920104,nan,-12.590913268661854,nan,1.1578684929231795,nan,1.1576577339681087,nan,1.0178794217496683,nan,1.0163381665055138,nan
D i C,3,-12.185066623594345,nan,-13.939061746565208,nan,-13.963582398881634,nan,1.1593343438843564,nan,1.1591198575758166,nan,1.0016623257822268,nan,1.001624176591031,nan
D i D,3,-10.049961842449004,nan,-15.880545415662661,nan,-15.849426940223564,nan,1.1831377572040023,nan,1.1828623380570658,nan,1.00551193440535,nan,1.0051153903696879,nan
D i S,3,-12.119927321423383,nan,-14.371601206232441,nan,-14.387712008722975,nan,1.159911785177825,nan,1.1596958207141757,nan,1.001854806213383,nan,1.0017987372799637,nan
D i T,3,-12.010184530085567,nan,-13.274001350122772,nan,-13.299761535454202,nan,1.1590135431657627,nan,1.158799878054506,nan,1.001598165638508,nan,1.00156598969472,nan
d u r,3,-9.75827321808464,nan,-10.579360586614502,nan,-10.590543736539177,nan,1.282712548604199,nan,1.2821825652703234,nan,1.0265131377777819,nan,1.024165043994667,nan
D W C,3,-13.670399034632574,nan,-16.63583687191802,nan,-16.511518160711233,nan,1.1058256279658327,nan,1.1057474609131837,nan,1,1,1.0001161209673382,1.0
D W D,3,-11.535294253487233,nan,-19.373574826082475,nan,-19.19960872038154,nan,1.1296290412854786,nan,1.1294899413944328,nan,1.0012190427306558,nan,1.0012216719972462,nan
D W T,3,-13.495516941123796,nan,-14.56649601798591,nan,-14.482238147673772,nan,1.105504827247239,nan,1.105427481391873,nan,1.0000641601437188,nan,1.0001743078636491,nan
f U n,3,-11.44841999093213,nan,-inf,nan,-18.279508076372302,nan,1.1186245375291228,nan,1.11851271407377,nan,1.0003192644147882,nan,1.000405791322474,nan
f u r,3,-10.795608682973272,nan,-13.839136255865284,nan,-13.832448475697744,nan,1.2524694553865636,nan,1.2520164607708644,nan,1.016360529387513,nan,1.0149535267013468,nan
f U s,3,-11.784983437914903,nan,-inf,nan,-18.49027450244964,nan,1.1045734660547228,nan,1.1044976110403641,nan,1.0003192644147882,nan,1.000405791322474,nan
f W r,3,-12.152290552268434,nan,-18.43444301554901,nan,-18.027843685253476,nan,1.1246359837053173,nan,1.1245086587200395,nan,1.0002557187925918,nan,1.0003481100767306,nan
f ^ r,3,-10.660530638990439,nan,-14.5308527291632,nan,-14.530508272457281,nan,1.1882973080141097,nan,1.1880077989021935,nan,1.001407221511157,nan,1.0013926931322061,nan
g U n,3,-10.878666534712252,nan,-inf,nan,-16.787464013304024,nan,1.1377657357681326,nan,1.1376051852759592,nan,1.002298703786476,nan,1.0022017475243163,nan
g U S,3,-13.57440400708592,nan,-13.2531311592506,nan,-13.278803163051773,nan,1.0637890900604463,nan,1.0638179076617265,nan,1.0030044653673817,nan,1.0028418033837367,nan
g U T,3,-13.464661215748102,nan,-inf,nan,-16.659265506052595,nan,1.062890848048384,nan,1.0629219650020567,nan,1.002298703786476,nan,1.0022017475243163,nan
g W C,3,-14.040954147037006,nan,-18.557248883103103,nan,-18.162141216480407,nan,1.0539529807381163,nan,1.0540068639552507,nan,1,1,1.0001161209673382,1.0
g W D,3,-11.905849365891665,nan,-21.294986837267558,nan,-20.850231776150714,nan,1.0777563940577621,nan,1.0777493444364998,nan,1.0012190427306558,nan,1.0012216719972462,nan
g W T,3,-13.866072053528228,nan,-16.487908029170995,nan,-16.13286120344295,nan,1.0536321800195225,nan,1.05368688443394,nan,1.0000641601437188,nan,1.0001743078636491,nan
g ^ r,3,-10.09077718277056,nan,-12.57846659831464,nan,-12.58121868197579,nan,1.2074385062531194,nan,1.2071002701043827,nan,1.0030673964680563,nan,1.0028989789789127,nan
h U n,3,-11.087351510396743,nan,-inf,nan,-19.66052331939547,nan,1.1683916529505483,nan,1.1681531391994622,nan,1,1,1.0001161209673382,1.0
h u r,3,-10.434540202437885,nan,-11.440423460450816,nan,-11.44902385937294,nan,1.302236570807989,nan,1.3016568858965565,nan,1.0204471138968036,nan,1.0186613072470858,nan
h U s,3,-11.423914957379516,nan,-inf,nan,-19.871289745472808,nan,1.1543405814761483,nan,1.1541380361660563,nan,1,1,1.0001161209673382,1.0
