word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.251022322210334,nan,-14.401263794904105,nan,-14.445267135199895,nan,1.1133393341518598,nan,1.113006987539503,nan,1.001596182284632,nan,1.0015018623092633,nan
g i T,3,-12.69821408210206,nan,-13.394795088881489,nan,-13.615361224622598,nan,1.106860020807177,nan,1.1065850652072609,nan,1.0009205983889529,nan,1.001005246505667,nan
z i T,3,-12.458795704889999,nan,-14.415045651152598,nan,-14.623189859401384,nan,1.0827236169099228,nan,1.082660570036058,nan,1.001811466985835,nan,1.0016620609555849,nan
y c g,3,-12.367115344984164,nan,-13.862519949457248,nan,-13.66047365577072,nan,1.0928938954948775,nan,1.092737622023457,nan,1.0013660326873939,nan,1.0013336537306259,nan
l R z,3,-10.984115426803665,nan,-11.826705664134272,nan,-11.886074113287211,nan,1.0794199432536533,nan,1.0793816621469512,nan,1.0006830163436968,nan,1.0008330329608714,nan
J Y p,3,-12.82328757918798,nan,-14.8226261904642,nan,-14.462902984339975,nan,1.0762776460659627,nan,1.0762633530616639,nan,1.0020639139271261,nan,1.0018422844326966,nan
C ^ z,3,-12.042496254616124,nan,-13.194050826889097,nan,-13.062287692928328,nan,1.1254368768586924,nan,1.1249910712758298,nan,1.004365409899508,nan,1.0035243702190717,nan
C e J,3,-13.965242674931133,nan,-13.369479628361198,nan,-13.697718776690284,nan,1.059103559757142,nan,1.0592491908435917,nan,1.0013511677913585,nan,1.0013256437983098,nan
z i S,3,-11.695267727568254,nan,-14.99625207168039,nan,-14.978524648354837,nan,1.0889376560353543,nan,1.0888179246540741,nan,1.0013511677913585,nan,1.0013256437983098,nan
z u v,3,-11.767620613317051,nan,-15.01351134462128,nan,-14.872948998486148,nan,1.1049438172784696,nan,1.1046810039354895,nan,1.0022940635243642,nan,1.002010493011334,nan
D Y p,3,-11.169103179748257,nan,-13.872173484175145,nan,-13.588340666544925,nan,1.124771888758611,nan,1.1243318341854567,nan,1.0020639139271261,nan,1.0018422844326966,nan
s R k,3,-10.379656705078858,nan,-11.763713865161993,nan,-11.816602479145608,nan,1.159793268731866,nan,1.159035392288917,nan,1.0031700672252108,nan,1.002659297528936,nan
b R s,3,-10.846726346889806,nan,-10.5128953403049,nan,-10.617529989524275,nan,1.1384606536392303,nan,1.1378927488090196,nan,1.0038605160169254,nan,1.0031639232648486,nan
T ^ z,3,-12.637203362362817,nan,-13.038710378926249,nan,-13.03907460545573,nan,1.1218939184884533,nan,1.1214792187736347,nan,1.004365409899508,nan,1.0035243702190717,nan
S c G,3,-13.193650967527004,nan,-12.826214835125455,nan,-12.726404960578709,nan,1.0482496132038595,nan,1.048488530770352,nan,1.0016036147326497,nan,1.0015058672754216,nan
J e J,3,-14.353613349679998,nan,-14.328840279997916,nan,-14.59068411832346,nan,1.0575535154701625,nan,1.0577127553738814,nan,1.0009057334929174,nan,1.0009972365733508,nan
D ^ z,3,-10.776682529925266,nan,-7.674025839535809,nan,-7.8153557841823345,nan,1.172381075264361,nan,1.171523116929912,nan,1.0402228709240071,nan,1.029961151828267,nan
S Y p,3,-12.266096034864063,nan,-12.894911085000116,nan,-13.002428357554676,nan,1.0804849091306217,nan,1.0804336779080204,nan,1.0027320653747878,nan,1.002334895270135,nan
n W C,3,-12.59509160357839,nan,-13.396763416974549,nan,-13.5335954037752,nan,1.0487098710829963,nan,1.0489465815964794,nan,1.0017891696417816,nan,1.001650046057111,nan
l W C,3,-12.775805090440265,nan,-13.106660842809752,nan,-13.239984603090443,nan,1.058231571703014,nan,1.058384685196128,nan,1.0004528667464585,nan,1.000664824382234,nan
S c d,3,-12.410034193274472,nan,-16.196230298045894,nan,-15.416554910671254,nan,1.0878353439288309,nan,1.0877131601888241,nan,1.0002227171492204,nan,1.0004966158035964,nan
g i J,3,-12.491877649104232,nan,-14.622782769411298,nan,-14.637557847805168,nan,1.1061695720154625,nan,1.105900914694148,nan,1.000230149597238,nan,1.0005006207697544,nan
C u T,3,-14.115414615956837,nan,-12.922056163867564,nan,-13.3014545375293,nan,1.0909744094397253,nan,1.0908384186193976,nan,1.0031552023291754,nan,1.0026512875966198,nan
D i g,3,-10.837693249664508,nan,-13.8475983634141,nan,-13.827943132765176,nan,1.1458480047150519,nan,1.1452246027799782,nan,1.0022866310763467,nan,1.002006488045176,nan
w u T,3,-13.003481483313067,nan,-15.229765333633091,nan,-14.851054529393462,nan,1.1352613890677148,nan,1.1347365748968339,nan,1.0013734651354114,nan,1.001337658696784,nan
T c T,3,-15.463568481383403,nan,-14.36464421538832,nan,-14.608292011629187,nan,1.0335339009581275,nan,1.0339049325631187,nan,1.0002227171492204,nan,1.0004966158035964,nan
g u T,3,-13.163002575668687,nan,-14.385293827921702,nan,-14.42233103962283,nan,1.116882292522099,nan,1.1165188400416979,nan,1.0013734651354114,nan,1.001337658696784,nan
f R s,3,-11.28474693028249,nan,-11.859761346852506,nan,-11.922363404185184,nan,1.111002726269877,nan,1.110675891917009,nan,1.0034150817184844,nan,1.0028355160398896,nan
J Y m,3,-12.753940160631192,nan,-14.246238232660355,nan,-13.91990867396799,nan,1.0905469210947314,nan,1.0904024636659968,nan,1.0020639139271261,nan,1.0018422844326966,nan
n R z,3,-10.803401939941791,nan,-12.825459605394979,nan,-12.832826759918213,nan,1.0698982426336356,nan,1.0699435585473025,nan,1.0006830163436968,nan,1.0008330329608714,nan
m R n,3,-10.462203914149903,nan,-11.672181430954595,nan,-11.708173638206542,nan,1.141992909747419,nan,1.1413880831908365,nan,1.0041278278542523,nan,1.003352156674276,nan
C u S,3,-13.351886638635092,nan,-12.964266083662668,nan,-13.202534054205156,nan,1.0971884485651568,nan,1.0969957732374136,nan,1.0036155015236519,nan,1.0029877047538949,nan
S e J,3,-13.796421805356081,nan,-13.564275984339512,nan,-13.845829527950164,nan,1.0617607785348215,nan,1.061883080220238,nan,1.0020193192390199,nan,1.0018182546357484,nan
T ^ S,3,-13.660212910287974,nan,-14.807023233348147,nan,-14.85701073542889,nan,1.109235690640352,nan,1.1089364593665652,nan,1.0020639139271261,nan,1.0018422844326966,nan
v e D,3,-11.74980179809853,nan,-18.555334970763507,nan,-18.23683798355679,nan,1.072209804679938,nan,1.07223398516296,nan,1,1,1.0003324121911168,1.0
C ^ S,3,-13.065505802541281,nan,-14.962363681310997,nan,-14.880223822901488,nan,1.112778649010591,nan,1.1124483118687603,nan,1.0020639139271261,nan,1.0018422844326966,nan
n c T,3,-12.80754283612729,nan,-15.137002020466342,nan,-15.168950009143053,nan,1.0512486928093232,nan,1.0514641950740933,nan,1.0002227171492204,nan,1.0004966158035964,nan
s R p,3,-10.685458199293683,nan,-11.546102725990197,nan,-11.617332911904494,nan,1.1275723251185172,nan,1.127108368343649,nan,1.0029399176279727,nan,1.0024910889502985,nan
D i D,3,-10.5242915652618,nan,-14.99390917075191,nan,-14.924294511584819,nan,1.1458480047150519,nan,1.1452246027799782,nan,1.0018263318818703,nan,1.001670070887901,nan
S c g,3,-13.152921356026816,nan,-14.408941078264213,nan,-14.288807161350046,nan,1.057685746690626,nan,1.0578385877828949,nan,1.0011433155381733,nan,1.0011694501181465,nan
C i S,3,-12.887098145068464,nan,-14.016841242131413,nan,-14.136030414045429,nan,1.0871661768502348,nan,1.0870619984029766,nan,1.0022420363882403,nan,1.0019824582482277,nan
g i D,3,-10.83769324966451,nan,-14.379847183965142,nan,-14.39963050030672,nan,1.124811689391757,nan,1.124372978548196,nan,1.0013808975834293,nan,1.001341663662942,nan
T c S,3,-14.700040504061658,nan,-13.241102543677686,nan,-13.528542275293315,nan,1.039747940083559,nan,1.0400622871811347,nan,1.0018337643298878,nan,1.001674075854059,nan
z u T,3,-12.923584198456627,nan,-15.742016626814026,nan,-15.748613405520151,nan,1.0927458886248447,nan,1.0925943448704951,nan,1.0013734651354114,nan,1.001337658696784,nan
S Y m,3,-12.196748616307275,nan,-12.31852312719627,nan,-12.45943404718269,nan,1.0947541841593904,nan,1.0945727885123533,nan,1.0027320653747878,nan,1.002334895270135,nan
D ^ v,3,-11.407256470032593,nan,-6.846247411942816,nan,-7.0593090554529585,nan,1.1657067369444531,nan,1.164909661969821,nan,1.0383816741461014,nan,1.028615483199167,nan
t W C,3,-12.25070842739661,nan,-13.182842280818717,nan,-13.300609224906879,nan,1.0808179313132886,nan,1.0807727448976208,nan,1.0011210181941201,nan,1.0011574352196724,nan
g Y b,3,-11.643773011747088,nan,-16.569499695436555,nan,-16.172255763748723,nan,1.0947597391430262,nan,1.0945862532832071,nan,1.0009057334929174,nan,1.0009972365733508,nan
r c S,3,-12.262232741125873,nan,-12.277712924951317,nan,-12.461819045667085,nan,1.0590127762217343,nan,1.0591579851618196,nan,1.0025019157775494,nan,1.0021666866914973,nan
d R s,3,-10.453840020988501,nan,-11.28776973997457,nan,-11.373506676669589,nan,1.1156528591308157,nan,1.1152851983261398,nan,1.0029696474200434,nan,1.0025071088149307,nan
S c z,3,-12.913502978814755,nan,-13.973724973658616,nan,-13.732043926562582,nan,1.0586063450795788,nan,1.0587507884670453,nan,1.0004528667464585,nan,1.000664824382234,nan
y c d,3,-11.624228182231821,nan,-15.649809169238928,nan,-14.788221405091926,nan,1.1230434927330823,nan,1.1226121944293863,nan,1.000445434298441,nan,1.0006608194160758,nan
J u S,3,-13.740257313383957,nan,-13.689433347798587,nan,-13.930877416143778,nan,1.095638404278177,nan,1.0954593377677033,nan,1.0022791986283288,nan,1.002002483079018,nan
h u S,3,-12.594739875242185,nan,-12.427531631630732,nan,-12.561363275308333,nan,1.1339466416563877,nan,1.1334312429476858,nan,1.0045063701205337,nan,1.0036445192038126,nan
g u S,3,-12.399474598346941,nan,-14.427503747716806,nan,-14.323410556298684,nan,1.1230963316475304,nan,1.122676194659714,nan,1.0018337643298878,nan,1.001674075854059,nan
y R z,3,-11.91009359683351,nan,-11.32251949550002,nan,-11.355307837775777,nan,1.09359177673461,nan,1.093429072155731,nan,1.0013511677913585,nan,1.0013256437983098,nan
C e g,3,-12.624459959894118,nan,-14.128667648744013,nan,-14.240038399537276,nan,1.0777456771334366,nan,1.0777212546976396,nan,1.0011210181941201,nan,1.0011574352196724,nan
z i J,3,-12.252459271892171,nan,-15.64303333168241,nan,-15.645386482583957,nan,1.0820331681182083,nan,1.0819764195229453,nan,1.0011210181941201,nan,1.0011574352196724,nan
m u S,3,-11.818858195342992,nan,-12.422803490434788,nan,-12.538606941620547,nan,1.1332823369619682,nan,1.1327727706035242,nan,1.0058426730158567,nan,1.0046297408786895,nan
D Y m,3,-11.099755761191467,nan,-13.295785526371299,nan,-13.04534635617294,nan,1.1390411637873796,nan,1.1384709447897896,nan,1.0020639139271261,nan,1.0018422844326966,nan
J e g,3,-13.012830634642985,nan,-15.088028300380731,nan,-15.133003741170453,nan,1.076195632846457,nan,1.0761848192279293,nan,1.0006755838956791,nan,1.0008290279947134,nan
f u v,3,-12.095058737070758,nan,-13.67275851271136,nan,-13.569602728165894,nan,1.1255372628054847,nan,1.1250936466044974,nan,1.0025167806735849,nan,1.0021746966238134,nan
v R n,3,-11.43397588004912,nan,-11.707214204470365,nan,-11.845057159522325,nan,1.100363148897109,nan,1.1001238162900462,nan,1.0036823935558112,nan,1.003023749449317,nan
g i C,3,-12.103506974355367,nan,-12.616630855840432,nan,-12.79922551021633,nan,1.1110027135574647,nan,1.1106899682859381,nan,1.0020713463751438,nan,1.0018462893988545,nan
C i D,3,-11.790105289952658,nan,-14.420686916687275,nan,-14.5649649007761,nan,1.0989038063093832,nan,1.0986925571258956,nan,1.0031626347771931,nan,1.0026552925627779,nan
C Y z,3,-12.706767511674215,nan,-12.91277182208711,nan,-12.964307284568124,nan,1.0693121552551288,nan,1.069361932202982,nan,1.0004528667464585,nan,1.000664824382234,nan
d c T,3,-13.173562170596217,nan,-13.39987514696895,nan,-13.527237752950331,nan,1.06409191690144,nan,1.06419466039455,nan,1.0011135857461024,nan,1.0011534302535143,nan
y R v,3,-12.540667536940838,nan,-13.93409021553356,nan,-13.668681098391552,nan,1.086917438414702,nan,1.0868156171956398,nan,1.0013511677913585,nan,1.0013256437983098,nan
z i g,3,-10.911676556855156,nan,-14.25378693889844,nan,-14.311107756265864,nan,1.1006752854945028,nan,1.1004484833769932,nan,1.0027320653747878,nan,1.002334895270135,nan
S e g,3,-12.455639090319067,nan,-14.323464004722329,nan,-14.388149150797156,nan,1.080402895911116,nan,1.0803551440742858,nan,1.0017891696417816,nan,1.001650046057111,nan
C e D,3,-12.31105827549141,nan,-16.22763683212686,nan,-16.12962041747385,nan,1.0777456771334366,nan,1.0777212546976396,nan,1.000890868596882,nan,1.0009892266410347,nan
n W T,3,-13.189798711325084,nan,-13.011776840209924,nan,-13.308277243353308,nan,1.0445671783327086,nan,1.044841678517802,nan,1.0017891696417816,nan,1.001650046057111,nan
T ^ J,3,-14.217404454611891,nan,-inf,nan,-17.939786347959057,nan,1.102331202723206,nan,1.1020949542354364,nan,1.0002227171492204,nan,1.0004966158035964,nan
T c g,3,-13.91644933334856,nan,-13.628021358230598,nan,-13.847819755668468,nan,1.0514855695427074,nan,1.0516928459040538,nan,1.0011433155381733,nan,1.0011694501181465,nan
n c G,3,-11.301153299592636,nan,-12.817652920169863,nan,-12.846075552410996,nan,1.0597642279071366,nan,1.0599020514024855,nan,1.0016036147326497,nan,1.0015058672754216,nan
s R n,3,-10.087820686519573,nan,-10.940130476736785,nan,-11.00668713479124,nan,1.1692294022186325,nan,1.1683854493014598,nan,1.0052414136003547,nan,1.0041731747366736,nan
s R d,3,-10.453840020988501,nan,-10.883969026161374,nan,-10.96102442013483,nan,1.1482857888699558,nan,1.1476328837370355,nan,1.0031700672252108,nan,1.002659297528936,nan
J e D,3,-12.699428950240275,nan,-17.186997483763573,nan,-17.022585759107027,nan,1.076195632846457,nan,1.0761848192279293,nan,1.000445434298441,nan,1.0006608194160758,nan
b c T,3,-13.566448496497522,nan,-12.777875102766933,nan,-12.91233966406492,nan,1.0868997114098546,nan,1.0868022108774296,nan,1.001336302895323,nan,1.0013176338659937,nan
y ^ z,3,-11.087869373998423,nan,-10.328769990986457,nan,-10.443782896906109,nan,1.1633022444406234,nan,1.162523994893038,nan,1.0063698642424925,nan,1.005002202731387,nan
y c T,3,-13.914234493019007,nan,-14.59914280661497,nan,-14.420945911731438,nan,1.0749422269102975,nan,1.074949708682522,nan,1.000445434298441,nan,1.0006608194160758,nan
k R n,3,-10.225749838491865,nan,-11.498055297837698,nan,-11.550461066812924,nan,1.1455358681176582,nan,1.1448999356930312,nan,1.0045732621526933,nan,1.003680563899235,nan
D i C,3,-11.790105289952658,nan,-13.230692842627203,nan,-13.323889521494428,nan,1.1320390288807596,nan,1.1315415925177204,nan,1.0025167806735849,nan,1.0021746966238134,nan
