word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.973603131120814,nan,-12.75915809512121,nan,-12.76591115457472,nan,1.1154678256626194,nan,1.1153363810195465,nan,1.0008074896569428,nan,1.0008584394450881,nan
b O r,3,-13.265525604639848,nan,-inf,nan,-14.708231891103036,nan,1.1309137243700416,nan,1.1307322160410196,nan,1.0006449012494962,nan,1.0007145649036882,nan
b O s,3,-13.295190846223381,nan,-12.901650990961256,nan,-12.909654533794448,nan,1.09636368778765,nan,1.0962941640193034,nan,1.0008074896569428,nan,1.0008584394450881,nan
b U n,3,-10.834257515271906,nan,-inf,nan,-16.227097094936894,nan,1.1502118804792256,nan,1.1499687635024713,nan,1.0008867392180572,nan,1.0009287741146842,nan
b u r,3,-10.199658255020129,nan,-11.504005539156733,nan,-11.519241971734479,nan,1.2580398831769743,nan,1.257449773292928,nan,1.015434312399306,nan,1.0138023403677676,nan
b U s,3,-11.155845230374474,nan,-inf,nan,-16.370840474156623,nan,1.1311077426042562,nan,1.1309265465022282,nan,1.0008867392180572,nan,1.0009287741146842,nan
b W r,3,-11.551543836454478,nan,-15.545111916012182,nan,-15.177063132731119,nan,1.1500189238863656,nan,1.149776008728846,nan,1.0008068081094066,nan,1.0008579052447202,nan
C e D,3,-12.491423443905457,nan,-17.047750155728618,nan,-17.046538015636152,nan,1.103591045628282,nan,1.1034989043621704,nan,1.0016183870515667,nan,1.0015762095509837,nan
C i D,3,-12.086855452849672,nan,-16.31841231383517,nan,-16.33224141316314,nan,1.1025430810978507,nan,1.1024543081387874,nan,1.0040578947108012,nan,1.0037348618723503,nan
C O b,3,-15.609462353183481,nan,-19.899463517957233,nan,-19.222103880048323,nan,1.0270898249537077,nan,1.0272438293215143,nan,1,1,1.0001433403410318,1.0
