word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.88865684436306,nan,-10.099669036847537,nan,-10.169622293313337,nan,1.1358000500082257,nan,1.1354368138832376,nan,1.0066496255725574,nan,1.0055988991640294,nan
b i l,3,-10.045383056587022,nan,-9.75101003301589,nan,-9.807833660576732,nan,1.162330923917399,nan,1.161806848943073,nan,1.0118349436742335,nan,1.0097670852583762,nan
b i s,3,-9.994341556233284,nan,-9.930640175146664,nan,-9.983772304402073,nan,1.171508042302226,nan,1.1709281624122128,nan,1.007552288427981,nan,1.0063264364503153,nan
b R s,3,-10.945118464178607,nan,-10.726922557511486,nan,-10.788218015288164,nan,1.1257731242941018,nan,1.1254668195080704,nan,1.0027330702047026,nan,1.0024429893897384,nan
b Y s,3,-10.7417173915936,nan,-10.664956796662967,nan,-10.722704550903853,nan,1.1450299318764698,nan,1.1446084375729724,nan,1.0055990270717399,nan,1.004751729763555,nan
b ^ l,3,-10.051211144963222,nan,-11.79258672808649,nan,-11.82085625036628,nan,1.200393207654423,nan,1.199641453399481,nan,1.0061957859810025,nan,1.0052335064206939,nan
C @ l,3,-11.773090898672061,nan,-14.799256181526248,nan,-14.759374431806172,nan,1.113131760293841,nan,1.1129011150237167,nan,1.000910187346953,nan,1.0009765461158182,nan
C i D,3,-11.79495672941647,nan,-15.027627909481597,nan,-15.097929229283205,nan,1.1005069290944183,nan,1.100353545948557,nan,1.0033423699331812,nan,1.0029328865478404,nan
C i n,3,-11.161751223398582,nan,-11.938337350586563,nan,-12.041461580641046,nan,1.1471572808839565,nan,1.1467202227500162,nan,1.0042600817716638,nan,1.003670168435282,nan
C R J,3,-14.946490539105557,nan,-14.884248893345056,nan,-14.985733270291014,nan,1.0280054157972152,nan,1.0282883720927574,nan,1,1,1.0002441365289547,1.0
C R g,3,-13.083052494606456,nan,-15.990001236146641,nan,-15.883674863496973,nan,1.0500304999208003,nan,1.0501795244186924,nan,1.0001529519730805,nan,1.0003670168435284,nan
C R T,3,-14.760989329394224,nan,-14.441141443634017,nan,-14.525779976898779,nan,1.0284642717164565,nan,1.0287444377662145,nan,1.0001529519730805,nan,1.0003670168435284,nan
C ^ J,3,-14.001541719536434,nan,-18.394147070375716,nan,-17.846264104309604,nan,1.1118026175423632,nan,1.1115843194533077,nan,1.0001504438092372,nan,1.0003653927433356,nan
C ^ n,3,-11.16757931177478,nan,-12.389267664706079,nan,-12.353582390000078,nan,1.1852195646209807,nan,1.1845548272064241,nan,1.0180458246596502,nan,1.0147423895484473,nan
C ^ S,3,-13.286346401754727,nan,-15.399843646840752,nan,-15.405118847717414,nan,1.1186854563309836,nan,1.1184253045551624,nan,1.0018329155131223,nan,1.0017170762036451,nan
C ^ C,3,-13.357343951494055,nan,-14.935701473381298,nan,-14.96594268226694,nan,1.1173088885732596,nan,1.1170571075347915,nan,1.002138819459283,nan,1.0019628368327924,nan
d i k,3,-9.8179547968056,nan,-12.102385926218563,nan,-12.134931326655373,nan,1.157062280025967,nan,1.1565679284929178,nan,1.0036583065347147,nan,1.003185143577758,nan
d i s,3,-9.623115021654241,nan,-11.762505757404497,nan,-11.795207656445534,nan,1.1520148649143118,nan,1.1515512060848911,nan,1.0025876427231517,nan,1.0023249813757427,nan
d i t,3,-9.02896903484383,nan,-10.817023363174313,nan,-10.849882507866237,nan,1.2136545100657343,nan,1.2128160282192784,nan,1.0048819223193584,nan,1.0041681860943468,nan
d E p,3,-10.870226162809107,nan,-15.236365676690111,nan,-15.115099404414925,nan,1.1164573164295488,nan,1.116209401447048,nan,1.0010631393200335,nan,1.0010994264303918,nan
d R s,3,-10.573891929599565,nan,-11.722084845813512,nan,-11.768840620742466,nan,1.106279946906188,nan,1.1060898631807488,nan,1.0019808511585162,nan,1.0018367083178334,nan
D i D,3,-10.238397595715083,nan,-14.681627335001284,nan,-14.65768910371318,nan,1.1633349392908496,nan,1.1628069667266163,nan,1.002740594696232,nan,1.0024478616903163,nan
D i g,3,-10.575716452959746,nan,-13.536612355484444,nan,-13.542390837744447,nan,1.1585934281253556,nan,1.1580942881008942,nan,1.0028935466693125,nan,1.00257074200489,nan
D i C,3,-11.79495672941647,nan,-13.038341765186964,nan,-13.11613495996721,nan,1.1420746150326668,nan,1.141675923856443,nan,1.002740594696232,nan,1.0024478616903163,nan
d I J,3,-11.881214000020952,nan,-13.356116446698701,nan,-13.492009676219775,nan,1.113826942878353,nan,1.1135970210770458,nan,1.0058673085602527,nan,1.0049731288898132,nan
d I D,3,-9.680457098277188,nan,-13.177748178326086,nan,-13.194696272751242,nan,1.1405935381674321,nan,1.140200852028703,nan,1.0095381559141836,nan,1.0079222564395796,nan
d Y p,3,-10.949796838375695,nan,-12.117045842152757,nan,-12.163506693085813,nan,1.0947934078993848,nan,1.0946750811240331,nan,1.00394414517013,nan,1.0034179114053643,nan
d Y t,3,-9.776344870204145,nan,-10.788191658457913,nan,-10.829705585883449,nan,1.1871763996399782,nan,1.186496303380038,nan,1.0091445122548655,nan,1.0075958421008668,nan
d I T,3,-11.695712790309617,nan,-14.212291981117922,nan,-14.130668671495648,nan,1.1142857987975943,nan,1.114053086750503,nan,1.0058673085602527,nan,1.0049731288898132,nan
d I Z,3,-15.145700336141205,nan,-inf,nan,-17.7576727218915,nan,1.1112267593359852,nan,1.1110126489274563,nan,1.0058673085602527,nan,1.0049731288898132,nan
f i k,3,-10.678258212291837,nan,-11.514726705819566,nan,-11.574354289266527,nan,1.154213277176964,nan,1.1537359117989248,nan,1.0053131884363244,nan,1.004518961935949,nan
f i s,3,-10.483418437140479,nan,-11.1748465370055,nan,-11.23463061905669,nan,1.149165862065309,nan,1.1487191893908981,nan,1.0042425246247615,nan,1.0036587997339337,nan
f R s,3,-11.434195345085802,nan,-12.195297586099777,nan,-12.226381197690884,nan,1.1034309440571848,nan,1.1032578464867557,nan,1.0021312949677534,nan,1.0019579645322145,nan
f R t,3,-10.84004935827539,nan,-11.557157451620164,nan,-11.589644806382683,nan,1.1650705892086073,nan,1.164522668621143,nan,1.0033549107523971,nan,1.0029410070488034,nan
f Y k,3,-11.425634047652151,nan,-10.73626028338922,nan,-10.813664741736247,nan,1.1277351667512079,nan,1.1274161869596844,nan,1.0062233757832777,nan,1.0052513715228126,nan
f ^ l,3,-10.540288025870417,nan,-12.61012577418656,nan,-12.640793122388843,nan,1.178051027417506,nan,1.1774324803781664,nan,1.0037886850332065,nan,1.003293406990598,nan
g e s,3,-10.579319037165776,nan,-12.24792273493318,nan,-12.228920456425499,nan,1.160692961926679,nan,1.1601776752020494,nan,1.00320446694316,nan,1.0028197508344223,nan
g W d,3,-11.843508968074586,nan,-14.672612258138308,nan,-14.07329689603375,nan,1.1216352592933878,nan,1.1213532575081835,nan,1.0012236157846437,nan,1.0012271790455436,nan
g W r,3,-11.64447393030689,nan,-17.304136785088776,nan,-16.348714356351415,nan,1.1474841427439841,nan,1.1470449571129264,nan,1.0001529519730805,nan,1.0003670168435284,nan
g W z,3,-12.297020135244596,nan,-16.980772383509603,nan,-15.755504456818924,nan,1.0879858252156882,nan,1.0879084414546718,nan,1,1,1.0002441365289547,1.0
g i C,3,-12.13227558666113,nan,-12.487448807644242,nan,-12.59660295298014,nan,1.1183829071304325,nan,1.1181254692432367,nan,1.0019883756500458,nan,1.0018415806184116,nan
g i J,3,-12.776473354703509,nan,-14.207244760724553,nan,-14.253148943400687,nan,1.1128766360995361,nan,1.112652681161753,nan,1,1,1.0002441365289547,1.0
g i D,3,-10.575716452959744,nan,-14.130734377458563,nan,-14.13815709672611,nan,1.1396432313886153,nan,1.1392565121134102,nan,1.0019883756500458,nan,1.0018415806184116,nan
g R g,3,-11.86381221814973,nan,-14.2415922077922,nan,-14.112972514723547,nan,1.0891668022149972,nan,1.0890824905835457,nan,1.0003033957823178,nan,1.0004882730579092,nan
g u v,3,-11.895712077150165,nan,-14.953273444307742,nan,-14.738422635389608,nan,1.1492189177177372,nan,1.1487761470353506,nan,1.001374059593881,nan,1.0013484352599245,nan
