word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.060615868757989,nan,-15.063525182733695,nan,-15.078471300905694,nan,1.1513382711578657,nan,1.1511327002284384,nan,1.0017014935133497,nan,1.001656811142053,nan
g i T,3,-12.368143413223592,nan,-12.875543107290715,nan,-12.914422822142459,nan,1.1091884210732668,nan,1.1090966102102773,nan,1.0004765470760433,nan,1.0005521455182302,nan
z i T,3,-12.42215703674496,nan,-16.107079281216862,nan,-16.11785572936382,nan,1.080352656621619,nan,1.0803385283137255,nan,1.00061178272416,nan,1.0006741785891926,nan
y c g,3,-11.709200316406143,nan,-16.130773481934057,nan,-15.862771684618341,nan,1.179039217955455,nan,1.1787588000571705,nan,1.000884555668704,nan,1.0009201176679294,nan
l R z,3,-11.576593145180254,nan,-12.60226080724277,nan,-12.604426520989945,nan,1.082908941252681,nan,1.08288776892653,nan,1.0002713919555577,nan,1.0003672229749743,nan
J Y p,3,-13.667595107869865,nan,-16.82520498598395,nan,-16.205277062475997,nan,1.0464048819721294,nan,1.0464821515632754,nan,1.0012254067669686,nan,1.0012274478695102,nan
C ^ z,3,-12.540508637854987,nan,-15.018466195170626,nan,-14.947590543765115,nan,1.113055440327968,nan,1.1129527983365164,nan,1.0039476122564632,nan,1.0036823436085307,nan
C e J,3,-14.861503668233176,nan,-14.674322398838772,nan,-14.738363729781616,nan,1.0764984937119249,nan,1.076494761526899,nan,1.0008804127017457,nan,1.0009167463816668,nan
z i S,3,-12.506507563886231,nan,-17.31129801679277,nan,-17.308314814523037,nan,1.0814419070811467,nan,1.0814248206621537,nan,1.000747939031601,nan,1.00079696083488,nan
z u v,3,-11.871973213438434,nan,-19.492540432800457,nan,-19.354891843260074,nan,1.1473361924387033,nan,1.147141268132538,nan,1.0015653372059088,nan,1.001534028896366,nan
D Y p,3,-11.347298380213612,nan,-15.225004081221083,nan,-15.023639458389276,nan,1.1200812731120537,nan,1.119960061046034,nan,1.001293024591027,nan,1.0012884644049913,nan
