word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.081583984204944,nan,-15.405257265546448,nan,-15.419335455227538,nan,1.163341201250432,nan,1.163114667750174,nan,1.0016793164464592,nan,1.0016389003287158,nan
g i T,3,-12.380609092707433,nan,-13.032654251894924,nan,-13.065504974481213,nan,1.1064607586763013,nan,1.1063802468169914,nan,1.0003875968992249,nan,1.0004681621081517,nan
z i T,3,-12.446757634522708,nan,-17.435269473332582,nan,-17.394785470825493,nan,1.0798472333484537,nan,1.079834978799551,nan,1.0003875968992249,nan,1.0004681621081517,nan
y c g,3,-11.69673070740422,nan,-16.288991264589274,nan,-16.01742794541137,nan,1.196635621376517,nan,1.1963235412299618,nan,1.0010333216144178,nan,1.001053420235039,nan
l R z,3,-11.629779169209968,nan,-12.783054190478328,nan,-12.783591742653455,nan,1.0816738983994694,nan,1.0816568897510774,nan,1.0000643293663558,nan,1.0001752000945239,nan
J Y p,3,-13.685805258256023,nan,-16.95338143627559,nan,-16.32213306733117,nan,1.0416018749862714,nan,1.0416877010887118,nan,1.0012273901808786,nan,1.0012292862299315,nan
C ^ z,3,-12.619544480481096,nan,-15.664237930580649,nan,-15.57875641626238,nan,1.1049943812981382,nan,1.1049174339229213,nan,1.003358632892918,nan,1.0031609266054857,nan
C e J,3,-14.92351817811976,nan,-15.225960414476674,nan,-15.269082278058265,nan,1.0798486636475397,nan,1.0798364017382607,nan,1.0003865164318313,nan,1.0004672742409932,nan
z i S,3,-12.562783421076219,nan,-18.5376571752598,nan,-18.48781543213772,nan,1.0806870266301074,nan,1.0806726076655302,nan,1.0006459948320414,nan,1.0007023541456224,nan
z u v,3,-11.902839934720776,nan,-21.378536837686568,nan,-21.187905108708822,nan,1.1596329351078702,nan,1.1594158604958686,nan,1.001614716963255,nan,1.001580352319348,nan
D Y p,3,-11.364970442915405,nan,-15.4179233237966,nan,-15.21364838625211,nan,1.116042605251121,nan,1.1159375087316972,nan,1.0012917195472344,nan,1.0012876122725096,nan
s R k,3,-11.004270297971537,nan,-13.651115685274723,nan,-13.6522914887825,nan,1.1175820584985496,nan,1.117472526459406,nan,1.0005159855150878,nan,1.000584592226518,nan
b R s,3,-11.385036054013863,nan,-12.437186103457943,nan,-12.450761781333032,nan,1.1059404642052304,nan,1.1058606407789648,nan,1.0015487668958087,nan,1.001520694476032,nan
T ^ z,3,-12.441835385489346,nan,-15.479041531883032,nan,-15.362535562302044,nan,1.1071157492590538,nan,1.1070333610837317,nan,1.0032299741602067,nan,1.0030442745203296,nan
S c G,3,-14.33766781381685,nan,-15.077692980864525,nan,-15.01146645357171,nan,1.0171907151512465,nan,1.017339272199838,nan,1.0002583979328166,nan,1.0003510660894164,nan
J e J,3,-15.104639974721813,nan,-15.847371649653866,nan,-15.874473519556213,nan,1.084412818957388,nan,1.0843888510842468,nan,1.0005151751645427,nan,1.0005839263261491,nan
D ^ z,3,-10.47983146174253,nan,-8.541276765453846,nan,-8.557499456651003,nan,1.183999266872836,nan,1.1837196909118928,nan,1.0148735894705958,nan,1.0136012882269496,nan
