word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.202837303139384,nan,-11.532852697077136,nan,-11.548248316030191,nan,1.1070489277735294,nan,1.106966841180743,nan,1.001931054449644,nan,1.0018675990320969,nan
b i l,3,-10.285908624893748,nan,-11.34796332001153,nan,-11.36012963350947,nan,1.1447375889170037,nan,1.14455846245526,nan,1.0075518750667398,nan,1.0069618230495858,nan
b i s,3,-10.117798462405108,nan,-11.45115022515783,nan,-11.462413886222974,nan,1.1665693935934023,nan,1.16633400684387,nan,1.002578357433359,nan,1.0024541541583551,nan
b R s,3,-11.386916626491509,nan,-12.44613442356955,nan,-12.459697651908295,nan,1.1058580938313596,nan,1.105778486925979,nan,1.0015485173909926,nan,1.001520469000501,nan
b Y s,3,-10.940823790023282,nan,-11.811524302009428,nan,-11.82509934232558,nan,1.114283072929694,nan,1.1141818482705168,nan,1.003094251576472,nan,1.0029217972446423,nan
b ^ l,3,-10.280672462548047,nan,-13.225475930076342,nan,-13.229445533540684,nan,1.1544488243662288,nan,1.1542447797302617,nan,1.0064340649599668,nan,1.0059503845606632,nan
C @ l,3,-12.365911899486743,nan,-16.408290660754705,nan,-16.3920358880446,nan,1.1121487219121078,nan,1.1120531702620469,nan,1.000838849833592,nan,1.0008772024509194,nan
C i D,3,-12.189285057598667,nan,-17.677587982950005,nan,-17.655878984404396,nan,1.1052694977694435,nan,1.105191757133781,nan,1.0049710127484188,nan,1.0046224640362085,nan
C i n,3,-11.562919333402395,nan,-13.889737021753994,nan,-13.903675449212496,nan,1.1557151766223048,nan,1.1555074381027284,nan,1.002258184948393,nan,1.0021637355500828,nan
C R J,3,-15.779803008792127,nan,-17.58174208762092,nan,-17.530677661876105,nan,1.0209824326024144,nan,1.0211212262636933,nan,1.0000645911380959,nan,1.0001753947469063,nan
C R g,3,-13.828358357549856,nan,-17.894578449129313,nan,-17.856692209508847,nan,1.053278001650341,nan,1.053333570033826,nan,1.0002583645523835,nan,1.000351018210201,nan
C R T,3,-15.421977647700345,nan,-17.03130888853581,nan,-16.97511614426872,nan,1.0204011123595518,nan,1.020541404075831,nan,1,1,1.0001168535924747,1.0
C ^ J,3,-14.505448682360024,nan,-20.433785628172544,nan,-20.263287746113555,nan,1.0914049678136821,nan,1.0913630634565858,nan,1.0001932167731848,nan,1.0002920196229923,nan
C ^ n,3,-11.557683171056693,nan,-14.574514712603861,nan,-14.486134716305891,nan,1.1654264120715299,nan,1.16519375537773,nan,1.0120133950447259,nan,1.0110050508839687,nan
C ^ S,3,-14.25926329241091,nan,-18.2893750478049,nan,-18.213793303290952,nan,1.0917279235041613,nan,1.0916851868942872,nan,1.0002578079112807,nan,1.000350560777424,nan
C ^ C,3,-14.324326885757973,nan,-17.466883340878347,nan,-17.40282802334629,nan,1.0910820121232028,nan,1.0910409400188845,nan,1.0006453547398557,nan,1.0007018077040133,nan
d i k,3,-9.930306873805026,nan,-12.18003704158884,nan,-12.188733293421388,nan,1.1667662388227407,nan,1.1665305021408676,nan,1.0032930347606832,nan,1.0031015376029302,nan
d i s,3,-9.660547802833372,nan,-12.19779629163934,nan,-12.205436481085556,nan,1.1787801905085695,nan,1.178513494023357,nan,1.001613665170191,nan,1.0015794675877094,nan
d i t,3,-8.98009431583165,nan,-10.928671900843382,nan,-10.936969209251185,nan,1.260423389061728,nan,1.2599462990742525,nan,1.0017428474463828,nan,1.0016965498965726,nan
d E p,3,-11.142798609919092,nan,-16.332047411090095,nan,-16.278653176936544,nan,1.1185522836957067,nan,1.118440702598475,nan,1.000322677369928,nan,1.0004093306482438,nan
d R s,3,-10.929665966919773,nan,-12.440464174306658,nan,-12.452313186184503,nan,1.1180688907465268,nan,1.1179579741054662,nan,1.0015485173909926,nan,1.001520469000501,nan
D i D,3,-10.049007067093662,nan,-15.933896435056631,nan,-15.900275462587214,nan,1.184254073604919,nan,1.1839738084158322,nan,1.0055498281063198,nan,1.0051472759785958,nan
D i g,3,-10.418962202958447,nan,-13.940842476508042,nan,-13.939440298973414,nan,1.192973877247859,nan,1.192671141233768,nan,1.004903916725361,nan,1.00456186443428,nan
D i C,3,-12.189285057598667,nan,-13.949581842520633,nan,-13.9737875249377,nan,1.1603553525094532,nan,1.160136674025934,nan,1.0016097686824725,nan,1.0015762655582703,nan
d I J,3,-12.05925123426906,nan,-14.642375195095207,nan,-14.639405248911107,nan,1.0877127673051645,nan,1.087680404250801,nan,1.0076532252877999,nan,1.0070560337195957,nan
d I D,3,-9.737851447162004,nan,-14.5519768042349,nan,-14.525985389916396,nan,1.111288532710151,nan,1.111195415202998,nan,1.0086866834973336,nan,1.0079926921905007,nan
d Y p,3,-11.269100440974542,nan,-12.548163132642625,nan,-12.559434814050906,nan,1.0744980036776992,nan,1.0744994619800903,nan,1.0018703597992664,nan,1.0018122599071047,nan
d Y t,3,-9.803119643449826,nan,-11.47273188084913,nan,-11.482121275076643,nan,1.2081370683980197,nan,1.2077941405008994,nan,1.0030330002849919,nan,1.0028660006868728,nan
d I T,3,-11.701425873177278,nan,-13.996631816205774,nan,-13.992871953098,nan,1.087131447062302,nan,1.0871005820629387,nan,1.0076532252877999,nan,1.0070560337195957,nan
d I Z,3,-16.405938502497634,nan,-inf,nan,-18.926546206058124,nan,1.08357893446703,nan,1.083557224248224,nan,1.0076532252877999,nan,1.0070560337195957,nan
f i k,3,-10.96756394013839,nan,-13.259996151859621,nan,-13.27019271895803,nan,1.1359821771260825,nan,1.1358253739357396,nan,1.0035502860308614,nan,1.0033347873551024,nan
f i s,3,-10.697804869166736,nan,-13.277755401910122,nan,-13.286895906622199,nan,1.1479961288119114,nan,1.147808365818229,nan,1.0018709164403692,nan,1.0018127173398816,nan
f R s,3,-11.966923033253138,nan,-14.174319356385384,nan,-14.174905257328557,nan,1.0872848290498687,nan,1.087252845900338,nan,1.0016128302085372,nan,1.001578781438544,nan
f R t,3,-11.286469546251418,nan,-13.589787258783629,nan,-13.590703395919356,nan,1.1689280276030272,nan,1.1686856509512336,nan,1.001225283379962,nan,1.0012275345119546,nan
f Y k,3,-11.790589267756564,nan,-12.405332882493479,nan,-12.419442980762462,nan,1.0836958564623742,nan,1.0836732153623865,nan,1.0023870889040334,nan,1.002280589142557,nan
f ^ l,3,-10.860678869309677,nan,-14.65539668110986,nan,-14.65713864087068,nan,1.1358755595847378,nan,1.1357191387046208,nan,1.0014819780090374,nan,1.0014603268313496,nan
g e s,3,-10.541550158092383,nan,-13.634549899481275,nan,-13.627069822660928,nan,1.1648971694065255,nan,1.1646660736694259,nan,1.002196098695259,nan,1.0021072528431478,nan
g W d,3,-11.81124119923798,nan,-17.3596818811735,nan,-16.967720141086374,nan,1.1149996075701585,nan,1.1148965209709942,nan,1.0013564139000128,nan,1.0013462178355375,nan
