word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.20050543500379,nan,-11.500826749037527,nan,-11.51637110802301,nan,1.1073787087190996,nan,1.1072962587175965,nan,1.002052437325141,nan,1.0019780198750023,nan
b i l,3,-10.284424893482024,nan,-11.319433648609726,nan,-11.331700669148955,nan,1.1456654690731523,nan,1.145484559692443,nan,1.0076729734572252,nan,1.0070720121734758,nan
b i s,3,-10.117390071074468,nan,-11.43334838172104,nan,-11.44469600780398,nan,1.1670354735924886,nan,1.1667995188012072,nan,1.0025725796293474,nan,1.0024491553650026,nan
b R s,3,-11.383526195781695,nan,-12.419869573266062,nan,-12.433532415836172,nan,1.1064527006177847,nan,1.106371540519508,nan,1.0016749639001967,nan,1.001635054503658,nan
b Y s,3,-10.942308014190946,nan,-11.814308049657562,nan,-11.827894809020552,nan,1.1144578238966831,nan,1.1143562099541935,nan,1.0029594303515201,nan,1.002799830114937,nan
b ^ l,3,-10.279901664816002,nan,-13.187480070414699,nan,-13.191562466997148,nan,1.155143535035368,nan,1.1549384083031105,nan,1.0064738701798785,nan,1.0059882938116924,nan
C @ l,3,-12.361526648720002,nan,-16.30747313652163,nan,-16.293407017851017,nan,1.1127311351546731,nan,1.1126342571139956,nan,1.000837742430577,nan,1.0008760444266198,nan
C i D,3,-12.187214633542998,nan,-17.46064264024502,nan,-17.44601284643194,nan,1.1055017227409552,nan,1.1054236270565798,nan,1.0049020193376985,nan,1.004560056645577,nan
C i n,3,-11.56036738825256,nan,-13.803972464428146,nan,-13.82006302445273,nan,1.156182851283792,nan,1.155974209837184,nan,1.0023195414501656,nan,1.002219369653945,nan
C R J,3,-15.771094156644603,nan,-17.503320945828325,nan,-17.454477145608895,nan,1.0214829629368885,nan,1.0216200289667796,nan,1.0000645619471884,nan,1.0001751232255618,nan
C R g,3,-13.824155306747622,nan,-17.794701947677652,nan,-17.759148070823606,nan,1.0536993745838639,nan,1.0537534567470617,nan,1.0002582477887534,nan,1.0003506747499342,nan
C R T,3,-15.413843009866534,nan,-16.9523135324295,nan,-16.89834101093772,nan,1.0209019054121935,nan,1.0210404681450913,nan,1,1,1.0001166060507711,1.0
C ^ J,3,-14.500434803271355,nan,-20.351669513321088,nan,-20.18339591994578,nan,1.0915438018738082,nan,1.0915018558591463,nan,1.0001926439196507,nan,1.0002913009775223,nan
C ^ n,3,-11.555844159586538,nan,-14.491887019182073,nan,-14.40566463556015,nan,1.1656609172460077,nan,1.1654280584478514,nan,1.0120074802551144,nan,1.010999943964239,nan
C ^ S,3,-14.25393502078599,nan,-18.207573325489697,nan,-18.134185249305755,nan,1.0918666116097497,nan,1.0918238340934177,nan,1.0002572058668389,nan,1.0003498181523132,nan
C ^ C,3,-14.31907432295695,nan,-17.385005909739245,nan,-17.323150996878628,nan,1.091285554085055,nan,1.0912442732717291,nan,1.0006445775499688,nan,1.000700921201058,nan
d i k,3,-9.928696262066774,nan,-12.175825539613932,nan,-12.18453561306994,nan,1.1669816953558605,nan,1.1667461801217707,nan,1.0032905754627761,nan,1.0030992687698597,nan
d i s,3,-9.659731173245502,nan,-12.184765561394745,nan,-12.19245094401862,nan,1.1788610936385127,nan,1.1785949791429569,nan,1.0016119648358797,nan,1.001577822225299,nan
d i t,3,-8.980989619812002,nan,-10.923859622893843,nan,-10.932185702025413,nan,1.2603382709901816,nan,1.2598622854730488,nan,1.0018056506774446,nan,1.0017533737496713,nan
d E p,3,-11.13896578286475,nan,-16.319008359364744,nan,-16.26568208351711,nan,1.1185639189028118,nan,1.1184529455045713,nan,1.0003863297612157,nan,1.0004668525018947,nan
d R s,3,-10.92586729795273,nan,-12.43367047412956,nan,-12.445535668328816,nan,1.1182783206638087,nan,1.1181670008612576,nan,1.0016109229139654,nan,1.0015769656276778,nan
D i D,3,-10.050831715463024,nan,-15.791518948440633,nan,-15.762870288439258,nan,1.1839982709383472,nan,1.1837199800277607,nan,1.0055424292000104,nan,1.0051409454053795,nan
D i g,3,-10.421636263960421,nan,-13.922502122619358,nan,-13.921293222599523,nan,1.1927786957559596,nan,1.1924777879999418,nan,1.0049613716753156,nan,1.0046142908322622,nan
D i C,3,-12.187214633542998,nan,-13.954413896973822,nan,-13.978580989278532,nan,1.1603040363202313,nan,1.1600867776322425,nan,1.001733274315899,nan,1.0016884320927222,nan
d I J,3,-12.056829892332633,nan,-14.642990535702857,nan,-14.640116582536876,nan,1.0876326063026083,nan,1.087600828616456,nan,1.0075568363752803,nan,1.0069710934164406,nan
d I D,3,-9.739086493938254,nan,-14.415202662492803,nan,-14.394185001827527,nan,1.111068593131971,nan,1.110976448424557,nan,1.0085898275302936,nan,1.0079073682130935,nan
d Y p,3,-11.268097325098092,nan,-12.538091487423706,nan,-12.549428933747066,nan,1.074375638403292,nan,1.074377570225108,nan,1.0018670868588901,nan,1.0018093211315988,nan
d Y t,3,-9.805907562928478,nan,-11.457516544522797,nan,-11.466991875059076,nan,1.2077606212943761,nan,1.2074189766260353,nan,1.0029646399610916,nan,1.0028041131030423,nan
d I T,3,-11.699578745554565,nan,-13.996672942499712,nan,-13.993008669659975,nan,1.0870515487779133,nan,1.0870212677947677,nan,1.0075568363752803,nan,1.0069710934164406,nan
d I Z,3,-16.402077275503217,nan,-inf,nan,-18.928617159199934,nan,1.0835006416825554,nan,1.0834795072177825,nan,1.0075568363752803,nan,1.0069710934164406,nan
f i k,3,-10.966449479174704,nan,-13.182052167795717,nan,-13.192805857065306,nan,1.1368103836708696,nan,1.1366518164390367,nan,1.0037388623663943,nan,1.0035058909017214,nan
f i s,3,-10.697484390353432,nan,-13.19099218957653,nan,-13.200721188013986,nan,1.1486897819535218,nan,1.1485006154602229,nan,1.0020602517394979,nan,1.0019844443571606,nan
f R s,3,-11.963620515060658,nan,-14.100639279417472,nan,-14.10176221274434,nan,1.0881070089788178,nan,1.0880726371785236,nan,1.0016749639001967,nan,1.001635054503658,nan
f R t,3,-11.284878961627156,nan,-13.515652319437546,nan,-13.517118528462147,nan,1.1695841863304868,nan,1.1693399435086156,nan,1.001352154164255,nan,1.0013424686297039,nan
f Y k,3,-11.79136742229118,nan,-12.337736483667262,nan,-12.352361808893,nan,1.0842327339750641,nan,1.084208507592023,nan,1.0025121853698162,nan,1.0023940645806961,nan
f ^ l,3,-10.859995984094965,nan,-14.58028099864489,nan,-14.582496605280287,nan,1.1367978433964012,nan,1.136639504962126,nan,1.0016067552263082,nan,1.0015735392371934,nan
g e s,3,-10.542225070052853,nan,-13.637063691128867,nan,-13.629140813738745,nan,1.1644740715746653,nan,1.1642446608028818,nan,1.0022596681515914,nan,1.0021647071684492,nan
g W d,3,-11.809031643345131,nan,-17.338919006807547,nan,-16.947049129855472,nan,1.1151797038882363,nan,1.1150762007006538,nan,1.0013558008909549,nan,1.001345466721378,nan
g W r,3,-11.58057882170124,nan,-20.593243049483725,nan,-19.813171624076947,nan,1.1433287128623468,nan,1.1431527027291166,nan,1.0000645619471884,nan,1.0001751232255618,nan
g W z,3,-12.342002871058108,nan,-19.903594269662797,nan,-19.128209093672208,nan,1.0672101771273093,nan,1.0672302350879292,nan,1,1,1.0001166060507711,1.0
g i C,3,-12.558019182040397,nan,-13.73576541037665,nan,-13.766935983642094,nan,1.1068650181663064,nan,1.1067840487365526,nan,1.0006445775499688,nan,1.000700921201058,nan
g i J,3,-12.7393796623548,nan,-14.801437223848627,nan,-14.819140551877055,nan,1.1071232659550596,nan,1.1070416313239697,nan,1.0005800156027806,nan,1.0006424040262671,nan
