word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.828625825208384,nan,-11.599431476750745,nan,-11.805264451629661,nan,1.1294722065177034,nan,1.1288646073491346,nan,1.0005393770253386,nan,1.0007531544449904,nan
b O r,3,-12.980410658142256,nan,-inf,nan,-13.171827697285035,nan,1.1385502207021005,nan,1.1378407644318835,nan,1.0002556890820762,nan,1.0005580324937708,nan
b O s,3,-13.100075161898346,nan,-11.329655780618811,nan,-11.659612794860035,nan,1.1096140504893346,nan,1.1092292637306214,nan,1.000823064968601,nan,1.0009482763962099,nan
b U n,3,-10.902133762010171,nan,-inf,nan,-13.990004472303635,nan,1.1570866273819325,nan,1.1561994592853533,nan,1.0017898235745333,nan,1.0016467641214246,nan
b u r,3,-10.253312262069352,nan,-11.361413019911081,nan,-11.42951650347096,nan,1.2017054239749208,nan,1.2003565832119392,nan,1.0080589571874925,nan,1.0059531137281976,nan
b U s,3,-11.173583098700133,nan,-inf,nan,-14.132034887985789,nan,1.1372284713535636,nan,1.13656411566684,nan,1.0017898235745333,nan,1.0016467641214246,nan
b W r,3,-11.4062014375919,nan,-13.49972033083636,nan,-13.274528131571898,nan,1.1500562293955292,nan,1.1492302860719747,nan,1.0015621333536433,nan,1.0014789755300928,nan
C e D,3,-12.340074202028415,nan,-16.260556556548977,nan,-16.154643634621525,nan,1.082570353551748,nan,1.0825045658508246,nan,1.001278445410381,nan,1.0012838535788733,nan
C i D,3,-11.858580843665376,nan,-13.62115449840402,nan,-13.788280872559152,nan,1.082570353551748,nan,1.0825045658508246,nan,1.0056214604742761,nan,1.0043101380387782,nan
C O b,3,-15.008558905434542,nan,-14.960666637163339,nan,-14.801781424345565,nan,1.0355404633167136,nan,1.0359420999066833,nan,1.0002556890820762,nan,1.0005580324937708,nan
C O g,3,-15.167674838759705,nan,-16.011388627616512,nan,-15.454867202337436,nan,1.0397957824656496,nan,1.040149673539222,nan,1.0002556890820762,nan,1.0005580324937708,nan
C O v,3,-15.936807926297572,nan,-inf,nan,-15.293609717086177,nan,1.0287319526784156,nan,1.0292099820946217,nan,1.0002556890820762,nan,1.0005580324937708,nan
C u D,3,-12.305521820521754,nan,-14.74451152564447,nan,-14.843738583946642,nan,1.0907524041781862,nan,1.0906037812393337,nan,1.0010227563283047,nan,1.0011023983075977,nan
C u S,3,-13.66330712408329,nan,-13.55999794335697,nan,-13.7765238348245,nan,1.0845112694264132,nan,1.0844326732449436,nan,1.0013064442715671,nan,1.0012975202588172,nan
C u T,3,-13.964892101704063,nan,-13.258412965736198,nan,-13.541404092463575,nan,1.0828091417668386,nan,1.0827496437919282,nan,1.0015901322148295,nan,1.0014926422100368,nan
D e C,3,-12.340074202028415,nan,-12.49099204921703,nan,-12.378156221065357,nan,1.115225501008057,nan,1.1148380129847204,nan,1.0097161851188954,nan,1.007271877530969,nan
D e D,3,-11.017176157467318,nan,-14.397036379123744,nan,-14.214391133553828,nan,1.120048196043518,nan,1.1196065964349309,nan,1.0097161851188954,nan,1.007271877530969,nan
D e J,3,-12.676546438649627,nan,-10.952875298029474,nan,-11.216924008531777,nan,1.1126723095186952,nan,1.1123134688051972,nan,1.0105672489486826,nan,1.0078572433846276,nan
D e S,3,-12.374961461028855,nan,-11.913239812705983,nan,-11.985763194524548,nan,1.113807061291745,nan,1.1134354884405409,nan,1.0097161851188954,nan,1.007271877530969,nan
D i C,3,-11.858580843665376,nan,-13.07223581034713,nan,-13.196767732195505,nan,1.115225501008057,nan,1.1148380129847204,nan,1.0013624419939395,nan,1.001324853618705,nan
D i D,3,-10.53568279910428,nan,-14.255279996544216,nan,-14.250243305434342,nan,1.120048196043518,nan,1.1196065964349309,nan,1.003064569653514,nan,1.002495585326022,nan
D i S,3,-11.893468102665816,nan,-13.793766557966341,nan,-13.854196830153372,nan,1.113807061291745,nan,1.1134354884405409,nan,1.0007950661074148,nan,1.000934609716266,nan
D i T,3,-12.195053080286588,nan,-12.575890848471415,nan,-12.792398514607978,nan,1.1121049336321704,nan,1.1117524589875254,nan,1.0013624419939395,nan,1.001324853618705,nan
d u r,3,-9.870387552280597,nan,-10.630896386025857,nan,-10.714723155496685,nan,1.193602106679403,nan,1.1923345225451052,nan,1.011382915254483,nan,1.008312032254781,nan
D W C,3,-13.458410996044302,nan,-inf,nan,-14.760308487937303,nan,1.0717583570551037,nan,1.071810931233265,nan,1.0002836879432624,nan,1.0005716991737146,nan
D W D,3,-12.135512951483205,nan,-inf,nan,-18.270519833997447,nan,1.0765810520905648,nan,1.0765795146834756,nan,1.0002836879432624,nan,1.0005716991737146,nan
D W T,3,-13.794883232665516,nan,-inf,nan,-14.238156234693394,nan,1.0686377896792172,nan,1.06872537723607,nan,1.0002836879432624,nan,1.0005716991737146,nan
f U n,3,-11.424917674765037,nan,-inf,nan,-14.379305241267247,nan,1.1375880201395927,nan,1.1368963758057844,nan,1.0010227563283047,nan,1.0011023983075977,nan
f u r,3,-10.776096174824216,nan,-13.650314197948783,nan,-13.397002641364569,nan,1.182206816732581,nan,1.1810534997323703,nan,1.0067805117771116,nan,1.0050458373718196,nan
f U s,3,-11.696367011455,nan,-inf,nan,-14.5213356569494,nan,1.1177298641112239,nan,1.1172610321872711,nan,1.0010227563283047,nan,1.0011023983075977,nan
f W r,3,-11.928985350346764,nan,-14.872330776999908,nan,-14.519879552032311,nan,1.1305576221531894,nan,1.1299272025924059,nan,1.0007950661074148,nan,1.000934609716266,nan
f ^ r,3,-10.51035108124902,nan,-13.177449736887278,nan,-13.186931171617712,nan,1.198059539821305,nan,1.196745729547607,nan,1.003152265568473,nan,1.0025950405176343,nan
