word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.956375119587637,nan,-10.137266850125895,nan,-10.260571349681017,nan,1.1361377660589846,nan,1.1355193372196632,nan,1.0063256946236634,nan,1.0048248613705661,nan
b i l,3,-10.00744066101191,nan,-10.517608617191957,nan,-10.605011723077622,nan,1.157588985067119,nan,1.1567194560900174,nan,1.0063503045274775,nan,1.0047799327771485,nan
b i s,3,-9.985755073940322,nan,-11.242293681266503,nan,-11.304833862340285,nan,1.161004868927068,nan,1.1600968836160517,nan,1.0023651066908705,nan,1.0020418142557324,nan
b R s,3,-10.907550795367856,nan,-10.729358656948271,nan,-10.83673770437354,nan,1.1353506872954622,nan,1.1347032828034564,nan,1.0054963335624902,nan,1.0041931930939878,nan
b Y s,3,-10.797107676646563,nan,-10.621773325022124,nan,-10.726388050899313,nan,1.139455356356519,nan,1.1387662589334717,nan,1.0024494522069096,nan,1.0020829009741785,nan
b ^ l,3,-10.109615565430817,nan,-11.959274342721338,nan,-11.988198050176484,nan,1.1852955012292536,nan,1.1841445449676202,nan,1.0054998388306893,nan,1.0042518172602208,nan
C @ l,3,-11.639972853076705,nan,-13.562670626526817,nan,-13.567167042892441,nan,1.1256610003178005,nan,1.1251118316741469,nan,1.0022210255626065,nan,1.0019147122254226,nan
C i D,3,-11.858798144444423,nan,-14.2455372676121,nan,-14.380775322978044,nan,1.0759479722436691,nan,1.0759488770854524,nan,1.005071100714096,nan,1.003929135335524,nan
C i n,3,-11.02614940427345,nan,-11.03928564323485,nan,-11.228571123388448,nan,1.1462582483609478,nan,1.1454675936629926,nan,1.0067790426440704,nan,1.0051026147018451,nan
C R J,3,-14.364901113580476,nan,-15.067300407052652,nan,-14.785591885731458,nan,1.0426080519271785,nan,1.04295606433928,nan,1.0005130836326321,nan,1.0007412328591014,nan
C R g,3,-12.933996322693861,nan,-14.670078084540336,nan,-14.619809325367227,nan,1.0645266400285165,nan,1.064627890964667,nan,1.0007977406209612,nan,1.0009368127534883,nan
C R T,3,-14.357628354251396,nan,-13.963690785121809,nan,-13.9802639250638,nan,1.0423233949388495,nan,1.0426746120454438,nan,1.0007977406209612,nan,1.0009368127534883,nan
C ^ J,3,-13.54528029657185,nan,-inf,nan,-18.044289204786335,nan,1.095968749720919,nan,1.095774754029478,nan,1.000256541816316,nan,1.00055934853753,nan
C ^ n,3,-11.128324308692356,nan,-13.084340723245852,nan,-12.635907618414283,nan,1.1739647645230824,nan,1.1728926825405954,nan,1.0113581643611496,nan,1.0081869644186172,nan
C ^ S,3,-13.409015417051666,nan,-16.082128639214915,nan,-15.702233679571656,nan,1.095968749720919,nan,1.095774754029478,nan,1.0011105127813034,nan,1.0011460882206904,nan
C ^ C,3,-13.250325464790988,nan,-15.142206302807484,nan,-14.806196046811246,nan,1.0985306626158806,nan,1.098307824674004,nan,1.0025337977229485,nan,1.0021239876926247,nan
d i k,3,-9.805006786288722,nan,-11.755802602890917,nan,-11.813921917095875,nan,1.1498778615745862,nan,1.1490784085664862,nan,1.0033034231718967,nan,1.002669640657339,nan
d i s,3,-9.670059965260867,nan,-12.035877913465683,nan,-12.077683805830002,nan,1.1470312916912957,nan,1.1462638856281242,nan,1.0015954812419223,nan,1.0014961612910178,nan
d i t,3,-9.132370699225328,nan,-10.325093313146116,nan,-10.393713345725278,nan,1.1957076366955655,nan,1.1943922278741137,nan,1.004157394136884,nan,1.0032563803404997,nan
d E p,3,-10.860816041158436,nan,-14.011912602370032,nan,-13.937337149052286,nan,1.125499232435321,nan,1.1249875073373732,nan,1.0021647952185806,nan,1.0018873210797916,nan
d R s,3,-10.591855686688401,nan,-11.000753506731147,nan,-11.10079248164765,nan,1.1213771100596899,nan,1.120870284815529,nan,1.004983249929858,nan,1.0038294244508448,nan
D i D,3,-10.569445728516762,nan,-14.948714622531984,nan,-14.906221784489835,nan,1.1117711429753765,nan,1.1114116537454122,nan,1.0025056825509355,nan,1.0021102921198093,nan
D i g,3,-10.722848185338668,nan,-13.76569274852892,nan,-13.76633548621184,nan,1.1260039923918297,nan,1.125484268437222,nan,1.0016517115859485,nan,1.0015235524366488,nan
D i C,3,-11.858798144444421,nan,-13.659362206604325,nan,-13.733774047571755,nan,1.1066473171854534,nan,1.1063455124563608,nan,1.0016517115859485,nan,1.0015235524366488,nan
d I J,3,-11.621571806112916,nan,-12.581305219459127,nan,-12.751260619464775,nan,1.1144362408670976,nan,1.114057252473673,nan,1.0069828593845596,nan,1.005315732044019,nan
d I D,3,-10.037264558404395,nan,-13.306480149133442,nan,-13.334824899487048,nan,1.1221219795519823,nan,1.1216564644072502,nan,1.0066982023962305,nan,1.0051201521496322,nan
d Y p,3,-11.096804498961117,nan,-12.231024753270823,nan,-12.2940037815927,nan,1.0918922544979173,nan,1.0917218902728734,nan,1.0032753079998837,nan,1.0026559450845236,nan
d Y t,3,-9.94372330193157,nan,-11.049847349788426,nan,-11.11052031072104,nan,1.1741581241250165,nan,1.1730616031915337,nan,1.0061218778831744,nan,1.0046117440283924,nan
d I T,3,-11.614299046783836,nan,-12.45852485054001,nan,-12.602712195186188,nan,1.1141515838787686,nan,1.1137758001798368,nan,1.0064135454079015,nan,1.0049245722552453,nan
