word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.089232201484062,nan,-15.338578668320913,nan,-15.35321137861917,nan,1.160022896134454,nan,1.1598034359862341,nan,1.0016482531866855,nan,1.001609464938911,nan
g i T,3,-12.387731988603534,nan,-13.017151487039252,nan,-13.05183442763536,nan,1.1067364938663042,nan,1.1066551835638212,nan,1.000394789669071,nan,1.0004756780908384,nan
z i T,3,-12.456066396125252,nan,-17.253937359059982,nan,-17.22375357137671,nan,1.0798547734361965,nan,1.0798429339191642,nan,1.0003298588204248,nan,1.0004168580214305,nan
y c g,3,-11.706295175795711,nan,-16.17977118708691,nan,-15.909712683886994,nan,1.1912407568142607,nan,1.1909399360655342,nan,1.000988535545836,nan,1.0010127350188727,nan
l R z,3,-11.629765539361687,nan,-12.801020911387885,nan,-12.801426044044227,nan,1.0821255377953003,nan,1.08210747432722,nan,1.0000649308486462,nan,1.0001773131308191,nan
J Y p,3,-13.656367066567903,nan,-16.800789107321243,nan,-16.172317137342556,nan,1.0437569601673427,nan,1.0438382808055326,nan,1.0011215199894445,nan,1.0011329339254764,nan
C ^ z,3,-12.614184045985951,nan,-15.362981796270274,nan,-15.285779779944383,nan,1.1074924153858625,nan,1.107408358487535,nan,1.003494421665626,nan,1.0032794557924216,nan
C e J,3,-14.89184245814238,nan,-14.89347059652108,nan,-14.946393781116493,nan,1.0799914166424915,nan,1.079979205126549,nan,1.0006524312327782,nan,1.0007092525232768,nan
z i S,3,-12.54481640003792,nan,-18.293846816740015,nan,-18.25380618660207,nan,1.081108236953811,nan,1.0810930984144926,nan,1.0006597176408498,nan,1.0007152229814495,nan
z u v,3,-11.897285867453151,nan,-21.03029763495916,nan,-20.850337615485888,nan,1.155833881415187,nan,1.1556250208374859,nan,1.0016482531866855,nan,1.001609464938911,nan
D Y p,3,-11.362100500448946,nan,-15.353217645619651,nan,-15.149865745899207,nan,1.1142324103551908,nan,1.1141316003558621,nan,1.001251381686737,nan,1.0012505740642919,nan
s R k,3,-10.999153193730947,nan,-13.528226020276382,nan,-13.53028670319961,nan,1.1195292973499886,nan,1.119412965775155,nan,1.0007204848277407,nan,1.0007706313604727,nan
b R s,3,-11.371157535056703,nan,-12.364679000540512,nan,-12.378827115837286,nan,1.106823292845995,nan,1.1067393138448722,nan,1.0013791615531518,nan,1.0013665083579149,nan
T ^ z,3,-12.450790499077515,nan,-15.408592307522326,nan,-15.294764028060207,nan,1.1089822456747602,nan,1.1088943385883232,nan,1.0033645599683336,nan,1.0031618156536062,nan
S c G,3,-14.322565853158252,nan,-14.885697169638892,nan,-14.822995551878993,nan,1.0187661220131439,nan,1.0189125028954438,nan,1.0003958305845098,nan,1.0004765310134343,nan
J e J,3,-15.060261109767342,nan,-15.652179406935804,nan,-15.683852904318028,nan,1.0843961322792321,nan,1.0843725375984448,nan,1.000587500384132,nan,1.000650432453869,nan
D ^ z,3,-10.488336131491959,nan,-8.575874859527563,nan,-8.59280802029984,nan,1.1823725812104513,nan,1.18209501050976,nan,1.0151819744219406,nan,1.0138670682858044,nan
S Y p,3,-13.413304871947172,nan,-14.78428359403162,nan,-14.75933457297754,nan,1.0418137032687806,nan,1.0419000458914611,nan,1.0011215199894445,nan,1.0011329339254764,nan
n W C,3,-13.054851471640365,nan,-14.084892538952552,nan,-14.08141917798785,nan,1.0624380655496362,nan,1.062471550420338,nan,1.0116226219076683,nan,1.0106472854853865,nan
l W C,3,-13.55817755364534,nan,-14.9188448810063,nan,-14.907613646590969,nan,1.0732555289516312,nan,1.0732610581086697,nan,1.0000649308486462,nan,1.0001773131308191,nan
