word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.01524943063548,nan,-12.743851314957087,nan,-12.767289396931236,nan,1.1087385359971949,nan,1.108650442152755,nan,1.0010899531961275,nan,1.0011055384888345,nan
b O r,3,-13.31066773489474,nan,-inf,nan,-15.237144952391155,nan,1.1240042239275572,nan,1.123876566294261,nan,1.0010899531961275,nan,1.0011055384888345,nan
b O s,3,-13.346308370672997,nan,-13.570615996973117,nan,-13.527622023726428,nan,1.0934728480668323,nan,1.0934243180112493,nan,1.0011549135702993,nan,1.0011643827868222,nan
b U n,3,-10.863740039916866,nan,-inf,nan,-16.9314586383263,nan,1.1384878467620856,nan,1.1383236531267271,nan,1.0005129191511188,nan,1.000582191393411,nan
b u r,3,-10.214082371489694,nan,-11.851202708047309,nan,-11.860721204031842,nan,1.2694168032697384,nan,1.2689171751066928,nan,1.0169428209348814,nan,1.0154656310599455,nan
b U s,3,-11.194798979954383,nan,-inf,nan,-17.152794764388805,nan,1.123222158831723,nan,1.1230975289852214,nan,1.0005129191511188,nan,1.000582191393411,nan
b W r,3,-11.56715509920607,nan,-16.263806637871614,nan,-15.88272371603199,nan,1.1440080708211906,nan,1.1438292426388283,nan,1.0007061093130702,nan,1.0007573350459373,nan
C e D,3,-12.593952105005991,nan,-17.875275510475657,nan,-17.85898078929377,nan,1.1024883258582185,nan,1.102417794523355,nan,1.0017488572209459,nan,1.0017016222966106,nan
C i D,3,-12.179712413643475,nan,-17.313801049493218,nan,-17.30323582533997,nan,1.1046682322504735,nan,1.104592124637827,nan,1.0048644187403444,nan,1.004524064737857,nan
C O b,3,-15.766192120529746,nan,-20.722306553928725,nan,-20.049125186763412,nan,1.0218973119841703,nan,1.022033263159498,nan,1,1,1.0001169939752568,1.0
C O g,3,-15.783670717803705,nan,-20.847508543932875,nan,-20.06458426841215,nan,1.0398913356297466,nan,1.0399806520411876,nan,1,1,1.0001169939752568,1.0
C O v,3,-16.691392058748658,nan,-inf,nan,-21.171881641827927,nan,1.0118934143617202,nan,1.01205529244549,nan,1,1,1.0001169939752568,1.0
C u D,3,-12.315927219030458,nan,-17.387990769643014,nan,-17.375981253500818,nan,1.177053947452115,nan,1.1767926746154442,nan,1.0013599404561973,nan,1.0013492511294035,nan
C u S,3,-14.377143387188674,nan,-15.908252097193653,nan,-15.939778724141128,nan,1.153993014621142,nan,1.153791508359127,nan,1.001424900830369,nan,1.0014080954273912,nan
C u T,3,-14.272465698460758,nan,-14.918334990545521,nan,-14.958778186636904,nan,1.1530835693827373,nan,1.152884420112399,nan,1.001944583823743,nan,1.0018788498112914,nan
D e C,3,-12.593952105005991,nan,-13.139108231049338,nan,-13.12140718705179,nan,1.155865233063554,nan,1.1556593947294196,nan,1.0177615165680525,nan,1.016225843820287,nan
D e D,3,-10.470545812683577,nan,-14.684169750330053,nan,-14.654827041690126,nan,1.1794458488879012,nan,1.179178897126724,nan,1.0189957636773157,nan,1.01734388548205,nan
D e J,3,-12.77530560751331,nan,-11.789331771309762,nan,-11.825390740220207,nan,1.156125074560241,nan,1.1559185627999133,nan,1.017826476942224,nan,1.0162846881182745,nan
D e S,3,-12.531761980841793,nan,-12.513138716164633,nan,-12.5202926150363,nan,1.1563849160569282,nan,1.1561777308704069,nan,1.0177615165680525,nan,1.016225843820287,nan
D i C,3,-12.179712413643475,nan,-13.965199118986547,nan,-13.989401836909813,nan,1.158045139455809,nan,1.1578337248438915,nan,1.001737865977281,nan,1.0016925922272735,nan
D i D,3,-10.056306121321061,nan,-15.70953175337499,nan,-15.683111126073733,nan,1.1816257552801561,nan,1.181353227241196,nan,1.0055055676792428,nan,1.00510556151055,nan
D i S,3,-12.117522289479275,nan,-14.303722437793873,nan,-14.320809191697062,nan,1.1585648224491831,nan,1.1583520609848788,nan,1.001802826351453,nan,1.001751436525261,nan
D i T,3,-12.012844600751361,nan,-13.26674608659511,nan,-13.293018490690075,nan,1.1576553772107785,nan,1.1574449727381508,nan,1.001542984854766,nan,1.001516059333311,nan
d u r,3,-9.760954037074605,nan,-10.603111270710501,nan,-10.614417726908062,nan,1.2797801604857058,nan,1.2792540816916853,nan,1.0260471358672403,nan,1.023722885232185,nan
D W C,3,-13.668999946746835,nan,-16.697401452263286,nan,-16.570467881730966,nan,1.1050221222089025,nan,1.104946342353644,nan,1.0000649603741718,nan,1.0001758382732444,nan
D W D,3,-11.54559365442442,nan,-19.19203968105162,nan,-19.022952395126183,nan,1.1286027380332497,nan,1.1284658447509486,nan,1.0012342471092635,nan,1.0012350356370199,nan
D W T,3,-13.50213213385472,nan,-14.552029436935523,nan,-14.468536233748402,nan,1.104632359963872,nan,1.1045575902479035,nan,1.0000649603741718,nan,1.0001758382732444,nan
f U n,3,-11.444251255007085,nan,-inf,nan,-18.23663792316805,nan,1.1198082152370088,nan,1.119691698047605,nan,1.0002564595755594,nan,1.0003495926843338,nan
