word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.165192029746503,nan,-14.984466491777326,nan,-14.94381529808977,nan,1.1133689173448045,nan,1.1130750617927951,nan,1.0008578622105477,nan,1.0009530591677394,nan
g i T,3,-12.372218130889703,nan,-12.408033331461882,nan,-12.585474955132241,nan,1.0953889827718941,nan,1.095239253919209,nan,1.0010595564420925,nan,1.0011055446816157,nan
z i T,3,-12.462708484068077,nan,-14.774861671552678,nan,-14.902442185985581,nan,1.0723705680401088,nan,1.072403670122545,nan,1.0010595564420925,nan,1.0011055446816157,nan
y c g,3,-11.825911438079554,nan,-15.278051634625207,nan,-14.689360696772331,nan,1.1250361177624884,nan,1.1246384126873072,nan,1.00063913955088,nan,1.0007910371327426,nan
l R z,3,-11.434523896636515,nan,-12.306897169587135,nan,-12.337183263515643,nan,1.084398317945833,nan,1.084326907729351,nan,1.0008238053543024,nan,1.0009339861254982,nan
J Y p,3,-13.193252980861905,nan,-inf,nan,-14.869683876547308,nan,1.0618890300942208,nan,1.0619937811425493,nan,1.0015310586176729,nan,1.0014486617938503,nan
C ^ z,3,-12.35110151375854,nan,-14.198936187260472,nan,-13.98820687490775,nan,1.1129009102576815,nan,1.112599296907421,nan,1.0030280603791004,nan,1.0025637429965866,nan
C e J,3,-14.217750789297055,nan,-13.002217440706238,nan,-13.262604431585558,nan,1.0774719862108235,nan,1.07746373357541,nan,1.0016646391367277,nan,1.0015630012232442,nan
z i S,3,-12.290292456263526,nan,-15.75983261130056,nan,-15.807976724312171,nan,1.0741203493174492,nan,1.0741382754998219,nan,1.0006221111227573,nan,1.000781500611622,nan
z u v,3,-12.037913867867864,nan,-16.87315183648721,nan,-16.71716426208996,nan,1.102465006114333,nan,1.102251689121992,nan,1.0010765848702152,nan,1.001115081202736,nan
D Y p,3,-11.333528785720054,nan,-13.780466994053308,nan,-13.588213974747271,nan,1.107325379173484,nan,1.1070692378542253,nan,1.001732752849218,nan,1.0016011473077264,nan
s R k,3,-10.756948119781676,nan,-12.539201710409428,nan,-12.560930889891925,nan,1.1385350656642175,nan,1.1380087419746494,nan,1.0029088613822426,nan,1.0024969873487424,nan
b R s,3,-11.144358574978023,nan,-11.423196259714208,nan,-11.49115346191436,nan,1.12243749819642,nan,1.122036319306843,nan,1.0033973919859451,nan,1.0028496409820975,nan
T ^ z,3,-12.589186645070948,nan,-14.471676679714054,nan,-14.285576272515705,nan,1.1092980279518367,nan,1.1090250316175083,nan,1.0028263661475556,nan,1.0024112574827102,nan
S c G,3,-14.000014888929218,nan,-13.661747513850395,nan,-13.515556700326345,nan,1.0359406944422047,nan,1.0362611987060295,nan,1.0010936132983377,nan,1.0011246177238566,nan
J e J,3,-14.528290999824886,nan,-13.536508998070417,nan,-13.777318140535428,nan,1.0800740678761558,nan,1.0800451473959023,nan,1.0018663333682725,nan,1.0017154867371203,nan
D ^ z,3,-10.80191752914452,nan,-8.65790445685368,nan,-8.744534831593167,nan,1.160939341002277,nan,1.1602561674395893,nan,1.016743268124159,nan,1.0129327579401668,nan
S Y p,3,-12.94838187384193,nan,-13.253754894732246,nan,-13.311859362026334,nan,1.0598874288131959,nan,1.060008078203709,nan,1.0019344470807627,nan,1.0017536328216028,nan
n W C,3,-12.678979285341377,nan,-12.795702989173792,nan,-12.932364258903995,nan,1.0534749737664075,nan,1.0536586144494466,nan,1.0032441361328421,nan,1.0027638122920124,nan
l W C,3,-13.03303642673803,nan,-13.186200995048594,nan,-13.289356858758158,nan,1.0664853820930689,nan,1.066565683551909,nan,1.0004204168912125,nan,1.0006290150977457,nan
S c d,3,-12.95096675827723,nan,-17.39430473668848,nan,-16.55085643529541,nan,1.0790290583967104,nan,1.0789758561214675,nan,1,1,1.0003145075488729,1.0
g i J,3,-12.444673210105124,nan,-13.619112879408581,nan,-13.730473756998624,nan,1.0964825960702318,nan,1.0963233822800071,nan,1.0006221111227573,nan,1.000781500611622,nan
C u T,3,-14.020328338467326,nan,-13.964294262549576,nan,-14.147645060843807,nan,1.0975562672247086,nan,1.0973880085759564,nan,1.0014629449051826,nan,1.001410515709368,nan
D i g,3,-10.584949014963273,nan,-13.267369864575135,nan,-13.285358920949268,nan,1.1448090962905306,nan,1.144251500178062,nan,1.0023718924000977,nan,1.0020776768915962,nan
w u T,3,-12.520024531074693,nan,-15.234979798445188,nan,-14.984073302455808,nan,1.1622079886018102,nan,1.1615262135004996,nan,1.0008578622105477,nan,1.0009530591677394,nan
T c T,3,-15.194727117528998,nan,-15.395666835469694,nan,-15.37109319669208,nan,1.0251756519620263,nan,1.0255864523696774,nan,1.0004204168912125,nan,1.0006290150977457,nan
g u T,3,-12.692938680766751,nan,-15.601838848553989,nan,-15.471477897341998,nan,1.1171719597787517,nan,1.1168478973765918,nan,1.0008578622105477,nan,1.0009530591677394,nan
f R s,3,-11.739127811891272,nan,-12.955361805058972,nan,-12.95936079595266,nan,1.1034222860266842,nan,1.1031721413878597,nan,1.0025906150597652,nan,1.002239698926593,nan
J Y m,3,-12.931203379707268,nan,-inf,nan,-14.557728387444234,nan,1.0863859679769854,nan,1.0862782564244227,nan,1.0006561679790027,nan,1.0008005736538632,nan
n R z,3,-11.080466755239861,nan,-13.158112296021114,nan,-13.169774730535318,nan,1.0713879096191716,nan,1.0714198386268885,nan,1.0004204168912125,nan,1.0006290150977457,nan
m R n,3,-10.633638593598217,nan,-13.310892991343902,nan,-13.244918267111816,nan,1.1351540581460422,nan,1.1346371802718154,nan,1.0027923092913102,nan,1.002392184440469,nan
C u S,3,-13.847912310662775,nan,-14.20732785756808,nan,-14.360032418610453,nan,1.099306048502049,nan,1.0991226139532333,nan,1.0010254995858474,nan,1.0010864716393744,nan
S e J,3,-14.283419892804913,nan,-13.652168373610385,nan,-13.877721702617986,nan,1.078072466595131,nan,1.078059444457062,nan,1.0016646391367277,nan,1.0015630012232442,nan
