word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.077777406276027,nan,-15.373571487101643,nan,-15.387953152566398,nan,1.162556558474736,nan,1.1623330258646387,nan,1.001683289989329,nan,1.001642127713946,nan
g i T,3,-12.37997695596053,nan,-13.031565313564005,nan,-13.064482576545242,nan,1.1058316524088936,nan,1.1057533446570762,nan,1.0003886010362695,nan,1.0004689511809166,nan
z i T,3,-12.445104409298896,nan,-17.426362046226668,nan,-17.38605594580089,nan,1.079285244169912,nan,1.0792746870931127,nan,1.0003886010362695,nan,1.0004689511809166,nan
y c g,3,-11.695791763367403,nan,-16.267166461316336,nan,-15.995852280472768,nan,1.1951838859068404,nan,1.1948768992325447,nan,1.0010356215955467,nan,1.001055273253852,nan
l R z,3,-11.624387079054097,nan,-12.775760146473905,nan,-12.776347268190563,nan,1.082200187112816,nan,1.0821820931272723,nan,1.000128238009746,nan,1.000233144622562,nan
J Y p,3,-13.684286170348782,nan,-16.952515141331265,nan,-16.321438407899404,nan,1.0421676221805212,nan,1.0422518348939782,nan,1.0012953367875648,nan,1.001290547425048,nan
C ^ z,3,-12.614802360404513,nan,-15.66465504898338,nan,-15.57919862375915,nan,1.105138093584364,nan,1.1050610359272444,nan,1.0034313468180363,nan,1.003226102369041,nan
C e J,3,-14.917319371956568,nan,-15.204872031379468,nan,-15.248547903938118,nan,1.0795442120656538,nan,1.0795329859689886,nan,1.0004507765376267,nan,1.0005255070782921,nan
z i S,3,-12.559118122738987,nan,-18.51569594171859,nan,-18.466003306464163,nan,1.0801919799212072,nan,1.0801790798579705,nan,1.000582901554404,nan,1.0006450075189448,nan
z u v,3,-11.900755227849228,nan,-21.70960921921511,nan,-21.470262204831446,nan,1.1585130287619487,nan,1.158299686051985,nan,1.0016185231499508,nan,1.0015834422679366,nan
D Y p,3,-11.365668669823688,nan,-15.419594081154028,nan,-15.215355700343055,nan,1.1158578927619835,nan,1.1157540361317757,nan,1.001359455792438,nan,1.001348700483899,nan
s R k,3,-10.999719518148588,nan,-13.630810154490012,nan,-13.63204753931874,nan,1.1178675254355945,nan,1.1177573166349717,nan,1.0005161912115104,nan,1.0005847249114599,nan
b R s,3,-11.382398050701447,nan,-12.430533366485513,nan,-12.44413367664562,nan,1.106434978899421,nan,1.1063535727089224,nan,1.0015505171380465,nan,1.0015220948861345,nan
T ^ z,3,-12.439105338526184,nan,-15.434886962753547,nan,-15.319081202948729,nan,1.1074409145400346,nan,1.1073579797159256,nan,1.0033031088082902,nan,1.0031097962513391,nan
S c G,3,-14.33112157449931,nan,-15.0294921242679,nan,-14.963932265653188,nan,1.0174085069008914,nan,1.0175562473964324,nan,1.000259067357513,nan,1.0003515802888978,nan
J e J,3,-15.101323014933508,nan,-15.823401420181773,nan,-15.851218055321702,nan,1.0840858867282264,nan,1.0840630695522209,nan,1.000579014547373,nan,1.0006418131959938,nan
D ^ z,3,-10.480188502856358,nan,-8.549720842320177,nan,-8.565990797226638,nan,1.183370038828399,nan,1.1830933207482741,nan,1.0148445296854383,nan,1.0135773468445004,nan
S Y p,3,-13.438599218933604,nan,-14.899362322482558,nan,-14.872263415123053,nan,1.0405684409613054,nan,1.0406567350407274,nan,1.0012953367875648,nan,1.001290547425048,nan
n W C,3,-13.052882930458363,nan,-13.934830164489405,nan,-13.93825022882288,nan,1.0628504220714603,nan,1.0628821234821146,nan,1.0119261349063862,nan,1.0109333074511269,nan
l W C,3,-13.553540596086226,nan,-14.806896067316929,nan,-14.802602522450375,nan,1.0743005596010453,nan,1.0743030384313905,nan,1.0000641190048731,nan,1.0001749915637113,nan
S c d,3,-13.287688778827448,nan,-19.046546171419205,nan,-18.695947005985357,nan,1.0789370043102178,nan,1.07892575644036,nan,1,1,1.0001168385048602,1.0
g i J,3,-12.739677620815797,nan,-14.817889744688104,nan,-14.835163496964494,nan,1.1064145539632977,nan,1.1063347400059134,nan,1.0004533678756478,nan,1.000527636626926,nan
C u T,3,-14.276091976039337,nan,-15.119284404184086,nan,-15.154666792079942,nan,1.1558399973540299,nan,1.1556336064809853,nan,1.001875647003948,nan,1.0018165868904987,nan
D i g,3,-10.421060120290704,nan,-13.930871007962736,nan,-13.929646260479185,nan,1.1916964896122455,nan,1.191397998286295,nan,1.0049106187716526,nan,1.0045673494327212,nan
w u T,3,-12.297120964723138,nan,-16.314306308115068,nan,-16.063048384122,nan,1.2611300888271955,nan,1.260654980819019,nan,1.001747408994202,nan,1.0017002807727968,nan
T c T,3,-15.229166417704727,nan,-16.73328536482054,nan,-16.680494079039192,nan,1.015926865501288,nan,1.0160784141734784,nan,1.0000641190048731,nan,1.0001749915637113,nan
g u T,3,-12.510481762023481,nan,-17.4672274324196,nan,-17.215841249945335,nan,1.1809791261201015,nan,1.180708576174088,nan,1.001619170984456,nan,1.001583974655095,nan
f R s,3,-11.961535401315256,nan,-14.138193948842513,nan,-14.139039960268873,nan,1.0878205095077496,nan,1.0877866104170828,nan,1.0016146361429195,nan,1.0015802479449856,nan
J Y m,3,-13.254049153348245,nan,-16.416880853665003,nan,-15.78609974407714,nan,1.0768178812478788,nan,1.0768125584081902,nan,1.0011658031088082,nan,1.0011731765330292,nan
n R z,3,-11.123729413426233,nan,-14.320758108330669,nan,-14.295107607513259,nan,1.070750049583231,nan,1.0707611781779964,nan,1.0000641190048731,nan,1.0001749915637113,nan
m R n,3,-10.75124412134572,nan,-14.124992532972081,nan,-14.101053766089622,nan,1.123174408311562,nan,1.1230498373395326,nan,1.0014248704663213,nan,1.0014079183170668,nan
C u S,3,-14.39010568947943,nan,-16.044805708937016,nan,-16.072602344816843,nan,1.1567467331053252,nan,1.156537999245843,nan,1.0013575122889222,nan,1.0013471033224235,nan
S e J,3,-14.855636063518329,nan,-14.848820139117729,nan,-14.90103422866434,nan,1.0824867055090106,nan,1.08246796969897,nan,1.0010278475814842,nan,1.0010488846079502,nan
T ^ S,3,-14.077904790765437,nan,-18.030983041222683,nan,-17.92552514773225,nan,1.0939046451099828,nan,1.0938566877262614,nan,1.0001943005181346,nan,1.0002928948428884,nan
v e D,3,-11.748150862040523,nan,-20.1691031968656,nan,-20.094231062019823,nan,1.1020934668472053,nan,1.1020239474819906,nan,1.001360103626943,nan,1.0013492328710574,nan
C ^ S,3,-14.253601812643765,nan,-18.26075112745252,nan,-18.185642568542676,nan,1.0916018241543122,nan,1.0915597439375802,nan,1.0003225385278807,nan,1.0004092009605903,nan
n c T,3,-12.643668917204648,nan,-16.821076040765657,nan,-16.756609651010407,nan,1.0491898348609758,nan,1.0492564911210953,nan,1.0000641190048731,nan,1.0001749915637113,nan
s R p,3,-11.5171189353211,nan,-13.583346576846909,nan,-13.585538447929665,nan,1.0778416186998432,nan,1.0778348360148167,nan,1.000645724890267,nan,1.0007020958034787,nan
D i D,3,-10.052056476758406,nan,-15.859988549421793,nan,-15.829061272385156,nan,1.182888199456805,nan,1.1826124685705328,nan,1.0054935203260569,nan,1.0050955184468056,nan
S c g,3,-13.75326693900729,nan,-16.58940678215778,nan,-16.515634692523037,nan,1.0493385587143629,nan,1.0494037926160704,nan,1.0009715025906736,nan,1.000997120195001,nan
C i S,3,-14.259600883416478,nan,-16.080101801382124,nan,-16.108546840073124,nan,1.0815992593941173,nan,1.0815827677288312,nan,1.0011599725982614,nan,1.0011683850486028,nan
g i D,3,-10.421060120290704,nan,-15.64538727082855,nan,-15.621428726803861,nan,1.1297953829788416,nan,1.1296551534426058,nan,1.004339378238342,nan,1.0040487633874893,nan
T c S,3,-15.34318013114482,nan,-15.421972954142207,nan,-15.438945382422718,nan,1.0168336012525834,nan,1.0169828069383362,nan,1.0004527200411426,nan,1.0005271042397677,nan
z u T,3,-12.575609215361848,nan,-20.313673944628,nan,-20.101545472451242,nan,1.1544327178811198,nan,1.1542299186101246,nan,1.001683289989329,nan,1.001642127713946,nan
S Y m,3,-13.008362201933066,nan,-14.363728034816296,nan,-14.336924751300787,nan,1.075218700028663,nan,1.0752174585549392,nan,1.0011658031088082,nan,1.0011731765330292,nan
D ^ v,3,-11.330120254142898,nan,-9.75215075981581,nan,-9.769622201817471,nan,1.1730073445278808,nan,1.1727574034356125,nan,1.0119947887527958,nan,1.0109951872200873,nan
t W C,3,-12.70840931219314,nan,-16.165960788936843,nan,-16.161623369196555,nan,1.0418691644753495,nan,1.0419544134074639,nan,1.0000641190048731,nan,1.0001749915637113,nan
g Y b,3,-11.59995142873633,nan,-17.705803396076302,nan,-17.612828546373848,nan,1.0687236255068182,nan,1.068739873458629,nan,1.001360103626943,nan,1.0013492328710574,nan
r c S,3,-13.057350951879211,nan,-15.243332369986774,nan,-15.265907039593786,nan,1.0197760946959404,nan,1.0199177906683177,nan,1.0005168390460155,nan,1.0005852572986185,nan
d R s,3,-10.928661596882868,nan,-12.447812575040416,nan,-12.45966154506402,nan,1.1176932146827,nan,1.117583075675808,nan,1.0015505171380465,nan,1.0015220948861345,nan
S c z,3,-13.818394392345658,nan,-14.68407472050867,nan,-14.616115937082382,nan,1.0310095431703215,nan,1.0311221388693006,nan,1.0000647668393783,nan,1.0001755239508696,nan
