word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.196510115994844,nan,-11.477955386787874,nan,-11.49418844985001,nan,1.1065254860822302,nan,1.1064439156963197,nan,1.0021007699887663,nan,1.002020463325306,nan
b i l,3,-10.286723962229651,nan,-11.250533886907515,nan,-11.263465050657906,nan,1.1442236716015075,nan,1.1440422793493839,nan,1.007504646483934,nan,1.0069031582380092,nan
b i s,3,-10.121362590239801,nan,-11.41255317358548,nan,-11.42441774500573,nan,1.1656760366914476,nan,1.165437628186593,nan,1.0026412221001897,nan,1.0025082154324705,nan
b R s,3,-11.374456447173635,nan,-12.389453117579205,nan,-12.40364072672976,nan,1.1070332542646693,nan,1.106947800330568,nan,1.0016555908334472,nan,1.0016163549819386,nan
b Y s,3,-10.942072496818486,nan,-11.733865482471192,nan,-11.748277835056014,nan,1.1152053253943766,nan,1.115098556720761,nan,1.0030372185627991,nan,1.0028663863385512,nan
b ^ l,3,-10.278705906203253,nan,-13.116862622043147,nan,-13.121485133514541,nan,1.1554684414759846,nan,1.1552577201422893,nan,1.0065513594145048,nan,1.00604916089705,nan
C @ l,3,-12.358521101999736,nan,-16.015949048624194,nan,-16.007588900050997,nan,1.1114021184772935,nan,1.1113061696548734,nan,1.000862352225434,nan,1.0008989940798716,nan
C i D,3,-12.186405660652152,nan,-17.337674060949176,nan,-17.324765351339238,nan,1.1037305504989026,nan,1.1036553638727213,nan,1.0049829663766694,nan,1.004623532510536,nan
C i n,3,-11.557242260160752,nan,-13.613028759235368,nan,-13.634328397015823,nan,1.1546299508986362,nan,1.1544194834740502,nan,1.0024513208070491,nan,1.002335754063817,nan
C R J,3,-15.758267163301763,nan,-17.255899551963125,nan,-17.214404773271067,nan,1.0219698466863816,nan,1.0221090576113805,nan,1.0000666222518322,nan,1.000179594997993,nan
C R g,3,-13.800558100149185,nan,-17.51689269457454,nan,-17.486641315237627,nan,1.0545481278322841,nan,1.05460075196354,nan,1.0002664890073285,nan,1.000360209085892,nan
C R T,3,-15.393917815584569,nan,-16.72825086037521,nan,-16.680426365468882,nan,1.0218366021827172,nan,1.021976167245932,nan,1.0000666222518322,nan,1.000179594997993,nan
C ^ J,3,-14.497155250341528,nan,-20.06191085621989,nan,-19.901719139651018,nan,1.091857398987637,nan,1.091814326260311,nan,1.0001973753899076,nan,1.0002979662101144,nan
C ^ n,3,-11.549224204134351,nan,-14.280179932894788,nan,-14.1994387315438,nan,1.1658747207731133,nan,1.1656349242669557,nan,1.0119895139641915,nan,1.010954197396147,nan
C ^ S,3,-14.227381829497995,nan,-17.98340905815226,nan,-17.915646155264035,nan,1.092523621505958,nan,1.0924787780875538,nan,1.0002639976417396,nan,1.0003581709060807,nan
C ^ C,3,-14.306559859210179,nan,-17.038040130971737,nan,-16.98458512770317,nan,1.091924021239469,nan,1.0918807714430354,nan,1.0008635979082288,nan,1.0009000131697774,nan
d i k,3,-9.924787981247714,nan,-12.163580183632174,nan,-12.172632960691914,nan,1.1653743292170946,nan,1.1651373326105525,nan,1.0031262631049314,nan,1.0029449346528196,nan
d i s,3,-9.660602869805587,nan,-12.20917756029595,nan,-12.217086608892341,nan,1.1765668675248895,nan,1.1763001233082269,nan,1.001660573564625,nan,1.0016204313415613,nan
d i t,3,-8.984629495387866,nan,-10.935511414932312,nan,-10.944126040053627,nan,1.2568466809825845,nan,1.256366568490951,nan,1.0018604403201212,nan,1.0018010454294601,nan
d E p,3,-11.129090558438094,nan,-16.357871764337485,nan,-16.301642832244312,nan,1.1173509403466346,nan,1.117241204766832,nan,1.0003318655763662,nan,1.0004193946919526,nan
d R s,3,-10.913696726739424,nan,-12.400888225396137,nan,-12.413322725257135,nan,1.1179240850981111,nan,1.1178102954522018,nan,1.0016555908334472,nan,1.0016163549819386,nan
D i D,3,-10.058233406067727,nan,-15.867486067154646,nan,-15.83552611849362,nan,1.1795750789976638,nan,1.1793025604383518,nan,1.0055713554980084,nan,1.0051562029650813,nan
D i g,3,-10.419291988630924,nan,-13.842049006546768,nan,-13.841569193094148,nan,1.1890354387578235,nan,1.1887377763851956,nan,1.0050383774833513,nan,1.004674565397351,nan
D i C,3,-12.186405660652152,nan,-13.818966219219142,nan,-13.846114044724082,nan,1.1565237798637529,nan,1.1563125272157604,nan,1.001773887143578,nan,1.001724535295003,nan
d I J,3,-12.054856082969252,nan,-14.622602902211343,nan,-14.620213376234243,nan,1.0882371469620291,nan,1.0882037500644577,nan,1.0073221757322175,nan,1.0067481781808147,nan
d I D,3,-9.736088437253475,nan,-14.464124746595237,nan,-14.440063813757883,nan,1.111355068347772,nan,1.1112602284697732,nan,1.0083881317615313,nan,1.0077114533162752,nan
d Y p,3,-11.257094298796947,nan,-12.54632021819274,nan,-12.558016925922304,nan,1.0744639110579317,nan,1.074466035231099,nan,1.0021169638650942,nan,1.0020337114940798,nan
d Y t,3,-9.80533940196655,nan,-11.487185410468049,nan,-11.496874929715638,nan,1.2063759696855132,nan,1.206027497025119,nan,1.003182919894408,nan,1.0029969866295405,nan
d I T,3,-11.690506735252058,nan,-13.903898973860716,nan,-13.903913411638104,nan,1.0881039024583647,nan,1.088070859699009,nan,1.0073221757322175,nan,1.0067481781808147,nan
d I Z,3,-16.35289706157004,nan,-inf,nan,-18.90443739613004,nan,1.0842398118521024,nan,1.0842170391010024,nan,1.0073221757322175,nan,1.0067481781808147,nan
f i k,3,-10.954380635773482,nan,-13.07176755207847,nan,-13.083497659717398,nan,1.136158208178879,nan,1.1359972259369477,nan,1.0035185225191574,nan,1.0033000482891834,nan
f i s,3,-10.690195524331354,nan,-13.11736492874225,nan,-13.127951307917828,nan,1.147350746486674,nan,1.147160016634622,nan,1.002052832978851,nan,1.001975544977925,nan
f R s,3,-11.943289381265188,nan,-14.015569736575346,nan,-14.017458298330263,nan,1.0887079640598956,nan,1.088670188778597,nan,1.0015902142644095,nan,1.001557169375878,nan
f R t,3,-11.267316006847468,nan,-13.439416184651188,nan,-13.441574536738022,nan,1.1689877775175903,nan,1.1687366339613212,nan,1.0012571030052488,nan,1.0012561458960465,nan
f Y k,3,-11.775090542352167,nan,-12.229610957003036,nan,-12.245450698540317,nan,1.085687496881808,nan,1.0856581544711157,nan,1.0025166973760868,nan,1.0023949396698775,nan
f ^ l,3,-10.847538840294805,nan,-14.437379364220075,nan,-14.44053317096737,nan,1.137143151271211,nan,1.1369801085903184,nan,1.0017788698747558,nan,1.0017286116546258,nan
g e s,3,-10.539339040273397,nan,-13.641502469395265,nan,-13.633049547902468,nan,1.1639780280411052,nan,1.1637440437291233,nan,1.002465023317788,nan,1.0023469640527793,nan
g W d,3,-11.809020821372334,nan,-17.21899548792799,nan,-16.828673054159466,nan,1.1148534642914152,nan,1.1147475063654062,nan,1.0013990672884743,nan,1.0013836889173189,nan
g W r,3,-11.587082331461234,nan,-20.50153765814881,nan,-19.72296773373152,nan,1.1417688540315885,nan,1.1415913601860042,nan,1.0000666222518322,nan,1.000179594997993,nan
g W z,3,-12.34441082651091,nan,-19.784659571561978,nan,-19.010991766902503,nan,1.0675516654906156,nan,1.0675714266311869,nan,1,1,1.000119390302027,1.0
g i C,3,-12.547464243215348,nan,-13.630759374759654,nan,-13.664922262269426,nan,1.1052651389350976,nan,1.1051872507750162,nan,1.0004663557628248,nan,1.000540823173791,nan
g i J,3,-12.738059634346701,nan,-14.87651754462093,nan,-14.893308523325292,nan,1.1051985166832656,nan,1.1051208055922919,nan,1.0003997335109927,nan,1.0004806184778245,nan
g i D,3,-10.419291988630924,nan,-15.679279222695158,nan,-15.654334336038964,nan,1.1283164380690085,nan,1.1281772839976076,nan,1.0042638241172552,nan,1.0039724908438692,nan
g R g,3,-12.03344442812796,nan,-15.340915450091652,nan,-15.315810416052697,nan,1.0791340154023898,nan,1.0791226720884264,nan,1.000397242145404,nan,1.0004785802980134,nan
g u v,3,-11.838017429445223,nan,-18.69157157901637,nan,-18.414975675454983,nan,1.1822843646117036,nan,1.182005403446428,nan,1.0015989340439706,nan,1.0015643030052177,nan
h e s,3,-10.75774866609585,nan,-11.368574243139658,nan,-11.381474841183636,nan,1.194107152861765,nan,1.1937947787362782,nan,1.0064529940290852,nan,1.0059572860224764,nan
h e n,3,-10.42119719958908,nan,-11.661592659202006,nan,-11.671886587276921,nan,1.208364314753837,nan,1.2080140478392682,nan,1.0056535270070999,nan,1.005234829670881,nan
h i n,3,-10.008538213961973,nan,-9.564921653835007,nan,-9.580751711901089,nan,1.2093449632894018,nan,1.2089921386060913,nan,1.0310208814765052,nan,1.0281998639123018,nan
h Y s,3,-11.165799587047427,nan,-11.52188502942221,nan,-11.535887770293748,nan,1.1446170901002588,nan,1.1444337980372692,nan,1.004933139064891,nan,1.0045827689143088,nan
h ^ s,3,-10.337071624442343,nan,-10.401218792154006,nan,-10.416731590889352,nan,1.206332571271807,nan,1.2059883102960067,nan,1.0074392699148964,nan,1.0068439726319487,nan
J R T,3,-15.584513206715922,nan,-inf,nan,-19.099192749899398,nan,1.0257494755360497,nan,1.025878860104004,nan,1.0000666222518322,nan,1.000179594997993,nan
J ^ n,3,-11.739819595265704,nan,-9.578725035246585,nan,-9.635239298285235,nan,1.1697875941264457,nan,1.1695376171250278,nan,1.0168927566420156,nan,1.0153931178506923,nan
k e d,3,-10.337446966874824,nan,-11.98345495418907,nan,-11.992805949773825,nan,1.174651639225232,nan,1.1743897686813338,nan,1.0025833196279188,nan,1.0024551443658438,nan
k R m,3,-11.337108046797548,nan,-14.398064078718113,nan,-14.391071682155271,nan,1.0980687858136986,nan,1.0980075996984442,nan,1.0003306198935717,nan,1.000418375602047,nan
l e l,3,-10.21639126770527,nan,-11.590951672374,nan,-11.601767921219812,nan,1.163850822726827,nan,1.163618370968407,nan,1.0019158514268034,nan,1.0018520783162752,nan
m @ b,3,-10.767548133905294,nan,-15.814936385550457,nan,-15.79989549534066,nan,1.1150592256430134,nan,1.1149551312922237,nan,1.0026891591101053,nan,1.0025531337798514,nan
m e p,3,-11.008269586461363,nan,-12.763734097470167,nan,-12.773969567495966,nan,1.1158673688892176,nan,1.1157614506900924,nan,1.0046616673263848,nan,1.0043378737708208,nan
m @ v,3,-11.696433759564357,nan,-12.597445088310824,nan,-12.613724193027512,nan,1.1050658878681965,nan,1.1049883538835858,nan,1.0030222703692657,nan,1.0028541572596827,nan
