word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.080088629726692,nan,-15.201513513030854,nan,-15.217998899555624,nan,1.1597728343150513,nan,1.1595527691492462,nan,1.0017309115013449,nan,1.0016836582882482,nan
g i T,3,-12.38031475906956,nan,-12.930898652236372,nan,-12.96579683119754,nan,1.1052852566798643,nan,1.1052073830953155,nan,1.0003997335109927,nan,1.0004806009683263,nan
z i T,3,-12.439371685886975,nan,-17.049125018665652,nan,-17.025741260758686,nan,1.0785594891288572,nan,1.0785511188732233,nan,1.0004650887165347,nan,1.0005397690648887,nan
y c g,3,-11.712837476139935,nan,-16.16440192162214,nan,-15.894563891090346,nan,1.1901507415115082,nan,1.1898507884122753,nan,1.0009314444793596,nan,1.0009612019366527,nan
l R z,3,-11.624482879959114,nan,-12.718670365364776,nan,-12.720064110086192,nan,1.0821133135885155,nan,1.0820952581118137,nan,1.0001307104110841,nan,1.0002377089856533,nan
J Y p,3,-13.662021592717354,nan,-16.815764678345914,nan,-16.18772611027014,nan,1.0434174725695642,nan,1.043500333315045,nan,1.001132578281146,nan,1.0011428526239554,nan
C ^ z,3,-12.58514785499447,nan,-15.322643498725927,nan,-15.244977349233835,nan,1.1052391642451356,nan,1.1051604972292657,nan,1.0034618230026897,nan,1.0032479437839676,nan
C e J,3,-14.870277093042008,nan,-14.82060176292184,nan,-14.87387932920171,nan,1.0802009275311935,nan,1.0801882570746064,nan,1.000526642783207,nan,1.0005958273632392,nan
z i S,3,-12.536044049587165,nan,-18.095337767311563,nan,-18.06267202268455,nan,1.0795588229063389,nan,1.0795477966140872,nan,1.0007315777238632,nan,1.000780587848754,nan
z u v,3,-11.91742478561552,nan,-21.214803615881642,nan,-20.993186700704317,nan,1.155171525781241,nan,1.1549631829552944,nan,1.0015976669976807,nan,1.0015632488963155,nan
D Y p,3,-11.359735051748213,nan,-15.355000583919976,nan,-15.151662773663615,nan,1.1153814905605686,nan,1.1152772008789227,nan,1.001197933486688,nan,1.001202020720518,nan
s R k,3,-10.986447560297934,nan,-13.556822809799563,nan,-13.55854175760218,nan,1.118044768537112,nan,1.1179313297547628,nan,1.0006611543331612,nan,1.0007172733545757,nan
b R s,3,-11.37346419475936,nan,-12.355191498448521,nan,-12.36966307450782,nan,1.1068918578968727,nan,1.1068067490331104,nan,1.0013927320570244,nan,1.0013784884108008,nan
T ^ z,3,-12.43760704442321,nan,-15.409559687480751,nan,-15.295023321680828,nan,1.1065428602232334,nan,1.106460802801075,nan,1.0033311125916056,nan,1.003129607590843,nan
S c G,3,-14.315922578234058,nan,-14.845937551953195,nan,-14.794832385565465,nan,1.018444600838543,nan,1.0185929414893446,nan,1.0003984664647025,nan,1.0004795643689224,nan
J e J,3,-15.07716991056647,nan,-15.633364724031527,nan,-15.666025565537511,nan,1.0844379394600117,nan,1.0844142501829868,nan,1.0006573531942913,nan,1.000714163556364,nan
D ^ z,3,-10.489754131549791,nan,-8.543187069152856,nan,-8.560202317607642,nan,1.1814401941649582,nan,1.1811633579015237,nan,1.014768273561477,nan,1.0134840244892513,nan
S Y p,3,-13.404260328321824,nan,-14.829245156727998,nan,-14.803745750610778,nan,1.0413967438035123,nan,1.0414848596787405,nan,1.001132578281146,nan,1.0011428526239554,nan
n W C,3,-13.007835725521568,nan,-13.76978729460124,nan,-13.776119358443363,nan,1.0633132275494854,nan,1.0633448271258974,nan,1.0115678713809555,nan,1.0105921258840618,nan
l W C,3,-13.510331702054405,nan,-14.620874360317554,nan,-14.61924950392546,nan,1.0750464913523667,nan,1.0750475772721817,nan,1.000065355205542,nan,1.000178540889091,nan
S c d,3,-13.270668512196162,nan,-19.213446722553265,nan,-18.759542359901403,nan,1.0794039612649253,nan,1.0793902836820357,nan,1.000065355205542,nan,1.000178540889091,nan
g i J,3,-12.73474838716528,nan,-14.703123165542493,nan,-14.722648478017385,nan,1.1059514791981855,nan,1.105871834922558,nan,1.0004663557628248,nan,1.0005408056642926,nan
C u T,3,-14.2383732498812,nan,-14.811678686913083,nan,-14.854909121934455,nan,1.1528632456311325,nan,1.1526611496186565,nan,1.0020576875290554,nan,1.0019794987710597,nan
D i g,3,-10.43246184619614,nan,-13.863565190705852,nan,-13.862828871985887,nan,1.188561499391576,nan,1.1882652352453882,nan,1.0049085068486465,nan,1.0045568981041666,nan
w u T,3,-12.294545711783414,nan,-16.252497962594067,nan,-16.00284552272138,nan,1.2549426407161985,nan,1.2544750758913306,nan,1.001796266706887,nan,1.0017428263848105,nan
T c T,3,-15.225027442752268,nan,-16.60807906682013,nan,-16.558763694826958,nan,1.0163328131208964,nan,1.0164867143000416,nan,1.000065355205542,nan,1.000178540889091,nan
g u T,3,-12.514177368920407,nan,-17.360213958705174,nan,-17.110582837706087,nan,1.1776334692149928,nan,1.1773669554830346,nan,1.0016655562958028,nan,1.0016244901916858,nan
f R s,3,-11.961208514591497,nan,-14.014379772412267,nan,-14.015837342802712,nan,1.0885097446056922,nan,1.0884724404705983,nan,1.0015234424681088,nan,1.0014968246039255,nan
J Y m,3,-13.236243910973018,nan,-16.28952910017182,nan,-15.661722874021947,nan,1.077861176766766,nan,1.0778524927834834,nan,1.001199200532978,nan,1.0012030573199218,nan
n R z,3,-11.121986903426276,nan,-14.31936590201143,nan,-14.292331080532504,nan,1.0703800497856342,nan,1.0703925079655294,nan,1.000065355205542,nan,1.000178540889091,nan
m R n,3,-10.750455012103595,nan,-14.19097233174622,nan,-14.161647455055508,nan,1.1241590201619878,nan,1.1240281601843323,nan,1.0013990672884743,nan,1.0013836714078206,nan
C u S,3,-14.33504561358139,nan,-15.750427869704387,nan,-15.784889723266858,nan,1.1538625794086141,nan,1.1536578273595204,nan,1.0013248427589023,nan,1.0013172471154306,nan
S e J,3,-14.81940864617094,nan,-14.761784384369147,nan,-14.8169683812232,nan,1.0824172106939598,nan,1.0823987765466823,nan,1.0009841292220019,nan,1.0010100040391756,nan
T ^ S,3,-14.05187755169552,nan,-17.91087757425647,nan,-17.808012122191027,nan,1.0927520540939861,nan,1.0927066499771547,nan,1.0001332445036641,nan,1.000239782184461,nan
v e D,3,-11.76464023137931,nan,-19.83158264811607,nan,-19.766186062137827,nan,1.1016820416796778,nan,1.1016122039944913,nan,1.0013324450366423,nan,1.0013234667118542,nan
C ^ S,3,-14.19941836226678,nan,-17.823961385501647,nan,-17.757966149744032,nan,1.0914483581158883,nan,1.0914063444053455,nan,1.0002639549147483,nan,1.0003581183775858,nan
n c T,3,-12.645842400227153,nan,-16.687916202475922,nan,-16.62538925035767,nan,1.049511875763488,nan,1.0495794911025902,nan,1.000065355205542,nan,1.000178540889091,nan
s R p,3,-11.50859997102428,nan,-13.550915608757839,nan,-13.55332822684891,nan,1.078071417437845,nan,1.0780642201202115,nan,1.000594532081329,nan,1.0006570686586094,nan
D i D,3,-10.061264003712257,nan,-15.787961227300961,nan,-15.758366722683775,nan,1.18016709566073,nan,1.1798931422221324,nan,1.0055747293669677,nan,1.0051589450638294,nan
S c g,3,-13.74504473606292,nan,-16.34376926106518,nan,-16.28460399060551,nan,1.0490908366813145,nan,1.0491577255425009,nan,1.0009314444793596,nan,1.0009612019366527,nan
C i S,3,-14.201183003730543,nan,-15.689510687839237,nan,-15.726472234780385,nan,1.0815143668734857,nan,1.0814982549718013,nan,1.0012544193682003,nan,1.0012539326212524,nan
g i D,3,-10.43246184619614,nan,-15.528964248397441,nan,-15.506861014633742,nan,1.1287362893247677,nan,1.1285960874142524,nan,1.0044636908727516,nan,1.0041530874222697,nan
T c S,3,-15.321699806452457,nan,-15.31533907830112,nan,-15.335194782325804,nan,1.017332146898378,nan,1.0174833920409054,nan,1.000531710968367,nan,1.000599973760855,nan
z u T,3,-12.573234295737823,nan,-19.959082845807398,nan,-19.763613618944607,nan,1.1509077016639857,nan,1.1507106912609424,nan,1.0017309115013449,nan,1.0016836582882482,nan
S Y m,3,-12.978482646577488,nan,-14.3030095785539,nan,-14.277742514362586,nan,1.0758404480007142,nan,1.0758370191471789,nan,1.001199200532978,nan,1.0012030573199218,nan
D ^ v,3,-11.35154276499961,nan,-9.629197290584566,nan,-9.649599377076946,nan,1.1709138783754844,nan,1.1706650190310917,nan,1.0119701389845281,nan,1.0109554272586672,nan
t W C,3,-12.662790119846331,nan,-16.00921181843625,nan,-16.00722279915741,nan,1.0431711246878728,nan,1.0432551060414426,nan,1.000065355205542,nan,1.000178540889091,nan
g Y b,3,-11.595797117967177,nan,-17.81510435855435,nan,-17.70071183278388,nan,1.0702797981486567,nan,1.0702924384298467,nan,1.0014631554477265,nan,1.001441802904979,nan
r c S,3,-13.042742448206324,nan,-14.972188665245767,nan,-14.997943026484965,nan,1.0218950828217206,nan,1.0220344615422383,nan,1.0007277765849933,nan,1.000777478050542,nan
d R s,3,-10.920921029918452,nan,-12.397972491119466,nan,-12.410546889728671,nan,1.117321425721656,nan,1.1172091936075854,nan,1.0013927320570244,nan,1.0013784884108008,nan
S c z,3,-13.804101662880335,nan,-14.48134205902161,nan,-14.427717197512116,nan,1.0320355402122938,nan,1.0321477587650922,nan,1.0001985997092062,nan,1.0002989502810236,nan
y c d,3,-11.238461252273176,nan,-19.034079383110225,nan,-18.369502260386238,nan,1.220463866095119,nan,1.2200833465518102,nan,1.000065355205542,nan,1.000178540889091,nan
J u S,3,-14.54193843110585,nan,-14.790888923316318,nan,-14.846237190164292,nan,1.1580995913374323,nan,1.1578838204679007,nan,1.001128777142276,nan,1.0011397428257436,nan
h u S,3,-12.816244352897424,nan,-13.850595843620365,nan,-13.873233559266627,nan,1.2084222560920115,nan,1.2080756155397427,nan,1.0049847342692613,nan,1.0046306605229214,nan
g u S,3,-12.610849732620595,nan,-18.29896314149648,nan,-18.04056343903849,nan,1.1786328029924744,nan,1.1783636332238985,nan,1.0009327115256497,nan,1.0009622385360566,nan
y R z,3,-11.765637049728596,nan,-10.146238567033262,nan,-10.164517645441602,nan,1.1791734791579047,nan,1.1789030079330218,nan,1.0095418600091497,nan,1.0087579148906294,nan
C e g,3,-12.939188394556753,nan,-15.23304464880253,nan,-15.254590789935762,nan,1.1113801413886217,nan,1.1112846025895566,nan,1.0013927320570244,nan,1.0013784884108008,nan
z i J,3,-12.793805313982695,nan,-18.821349531971773,nan,-18.782592907578533,nan,1.0792257116471784,nan,1.0792155707004658,nan,1.000531710968367,nan,1.000599973760855,nan
m u S,3,-12.298374768115329,nan,-14.828842775445045,nan,-14.847620199610418,nan,1.1816313037420996,nan,1.18135433603906,nan,1.0023705260475764,nan,1.002263936660428,nan
D Y m,3,-10.933957370003878,nan,-14.828765005745877,nan,-14.625659537415423,nan,1.1498251947577705,nan,1.149629360347361,nan,1.00126455573852,nan,1.0012622254164842,nan
J e g,3,-13.146081212081215,nan,-16.045807609912217,nan,-16.04673702627156,nan,1.11561715331744,nan,1.115510595697937,nan,1.0015234424681088,nan,1.0014968246039255,nan
f u v,3,-12.424279119604392,nan,-16.457234283105095,nan,-16.44757198131533,nan,1.1640366584323065,nan,1.1638052608435983,nan,1.0015976669976807,nan,1.0015632488963155,nan
v R n,3,-11.983775536876097,nan,-13.23720944756802,nan,-13.2353597642965,nan,1.0950865998504045,nan,1.0950313459329832,nan,1.0014644224940163,nan,1.001442839504383,nan
g i C,3,-12.527855569640819,nan,-13.497247348492856,nan,-13.53156979725794,nan,1.1058848569463533,nan,1.1058053897398339,nan,1.0005329780146568,nan,1.0006010103602587,nan
C i D,3,-12.156657727156935,nan,-17.241363535354395,nan,-17.23060565629072,nan,1.1039660657409076,nan,1.1038902815498743,nan,1.0050518877226307,nan,1.0046856002913307,nan
