word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.19619576114112,nan,-11.480165190158075,nan,-11.49583467265721,nan,1.1079958818852733,nan,1.107911848913661,nan,1.0021236174408383,nan,1.0020424011282034,nan
b i l,3,-10.284462727302873,nan,-11.329979840315358,nan,-11.342290222058942,nan,1.1448084462270316,nan,1.1446292236053488,nan,1.0074555655741433,nan,1.0068719030176028,nan
b i s,3,-10.117486198843757,nan,-11.420532240402922,nan,-11.431966333466159,nan,1.166506620721932,nan,1.1662711597162798,nan,1.0025832210019352,nan,1.0024583209544002,nan
b R s,3,-11.380557160445495,nan,-12.409760548787025,nan,-12.423492290864926,nan,1.1068415151852666,nan,1.1067587773012288,nan,1.0015542988620827,nan,1.0015253920315628,nan
b Y s,3,-10.938321847877617,nan,-11.814836351900457,nan,-11.828455527396327,nan,1.1146685505352378,nan,1.1145657780051388,nan,1.0028430793791197,nan,1.002693711997771,nan
b ^ l,3,-10.276734958998572,nan,-13.174076955684908,nan,-13.178255785622584,nan,1.1547526304831424,nan,1.1545479540078574,nan,1.0066819296577612,nan,1.0061760873947079,nan
C @ l,3,-12.358872586179423,nan,-16.280126829289507,nan,-16.26690310313161,nan,1.1124715952614832,nan,1.1123749866194355,nan,1.0008421140253374,nan,1.0008800594124418,nan
C i D,3,-12.18781082233377,nan,-17.545504318711103,nan,-17.527942776430578,nan,1.104783412510407,nan,1.104706953418944,nan,1.0049300320649681,nan,1.0045834828452338,nan
C i n,3,-11.5605663610366,nan,-13.79702807243294,nan,-13.8137349633669,nan,1.155715654438556,nan,1.1555071866853213,nan,1.0022664836988278,nan,1.0021707246506832,nan
C R J,3,-15.765406887871702,nan,-17.4247492543107,nan,-17.377774126202745,nan,1.0217310530271426,nan,1.0218679332795362,nan,1.000064964594296,nan,1.0001758790324786,nan
C R g,3,-13.822810057233749,nan,-17.734341897569067,nan,-17.699870692805586,nan,1.053693633420828,nan,1.0537476715028238,nan,1.0002598583771845,nan,1.0003524223150067,nan
