word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.017946877150726,nan,-12.773353109226207,nan,-12.7958951668795,nan,1.1072079495046088,nan,1.1071238929444096,nan,1.0010889757222472,nan,1.001104635178991,nan
b O r,3,-13.320200829915578,nan,-inf,nan,-15.258514647953453,nan,1.1234971311516981,nan,1.1233708992231333,nan,1.0010889757222472,nan,1.001104635178991,nan
b O s,3,-13.351753156447819,nan,-13.607096013146656,nan,-13.563192823985586,nan,1.0931901676887867,nan,1.0931424054694923,nan,1.0011538728602833,nan,1.0011634275830124,nan
b U n,3,-10.863242850970343,nan,-inf,nan,-16.95068958812879,nan,1.1364821792144286,nan,1.1363233051225452,nan,1.0005124591634105,nan,1.000581713791506,nan
b u r,3,-10.213838928023748,nan,-11.839493229642093,nan,-11.84900257501855,nan,1.271149427609324,nan,1.2706458337321105,nan,1.0173806765971662,nan,1.0158635986712652,nan
b U s,3,-11.197049130267436,nan,-inf,nan,-17.178990744502187,nan,1.1224643973986066,nan,1.1223418176476279,nan,1.0005124591634105,nan,1.000581713791506,nan
b W r,3,-11.574875811164496,nan,-16.32204246842887,nan,-15.940469047914414,nan,1.1437392681064096,nan,1.14356130239226,nan,1.0007054710922991,nan,1.000756710948302,nan
C e D,3,-12.602721608458353,nan,-18.050182142084893,nan,-18.029377726651823,nan,1.1027776042067419,nan,1.102706388648296,nan,1.0016190694804656,nan,1.001583944770407,nan
C i D,3,-12.192196973672845,nan,-17.494115306521444,nan,-17.478765326171825,nan,1.1052758426283675,nan,1.1051982422039792,nan,1.0050535793407254,nan,1.004695802017736,nan
C O b,3,-15.781349033626434,nan,-20.79238570308038,nan,-20.117080570982118,nan,1.021876946667908,nan,1.0220128137052824,nan,1,1,1.0001168947804087,1.0
C O g,3,-15.792841054211115,nan,-21.236789644230754,nan,-20.38693561837274,nan,1.0405024252843011,nan,1.040590067896492,nan,1,1,1.0001168947804087,1.0
C O v,3,-16.710164310699458,nan,-inf,nan,-21.23616133097088,nan,1.011752993134259,nan,1.0119150727511752,nan,1,1,1.0001168947804087,1.0
C u D,3,-12.319373759020833,nan,-17.53502229530464,nan,-17.518633955676794,nan,1.1791340195548936,nan,1.1788676562989253,nan,1.0012945837902847,nan,1.0012899827503,nan
C u S,3,-14.388856476040193,nan,-15.926715293407447,nan,-15.95772155285752,nan,1.1560955355520381,nan,1.1558888227174637,nan,1.0013594809283208,nan,1.0013487751543213,nan
C u T,3,-14.274476733515517,nan,-14.9617141091919,nan,-15.000591084236738,nan,1.1553816670336396,nan,1.1551768025219817,nan,1.0018786580326104,nan,1.0018191143864925,nan
D e C,3,-12.602721608458353,nan,-13.068707306618395,nan,-13.052011881829827,nan,1.156415364572295,nan,1.1562083244009855,nan,1.0178096354137318,nan,1.016270735471317,nan
D e D,3,-10.467718385858724,nan,-14.809572650747002,nan,-14.77687830266521,nan,1.1798432314033678,nan,1.1795755326345283,nan,1.0190426810364197,nan,1.0173877911477236,nan
D e J,3,-12.780940347864375,nan,-11.882630641812726,nan,-11.916920187602443,nan,1.1566100559864037,nan,1.1564025117270262,nan,1.0178096354137318,nan,1.016270735471317,nan
D e S,3,-12.537201102878084,nan,-12.53183499490718,nan,-12.538640361561193,nan,1.1568047474005123,nan,1.1565966990530667,nan,1.0178096354137318,nan,1.016270735471317,nan
D i C,3,-12.192196973672843,nan,-13.889284213518973,nan,-13.91469259015763,nan,1.1589136029939209,nan,1.1587001779566688,nan,1.0017354278747794,nan,1.0016904891363023,nan
D i D,3,-10.057193751073214,nan,-15.833629339948882,nan,-15.803862062284292,nan,1.1823414698249937,nan,1.1820673861902116,nan,1.0056941532949883,nan,1.0052768257816078,nan
D i S,3,-12.126676468092576,nan,-14.34016159766406,nan,-14.35683251491643,nan,1.1593029858221382,nan,1.15908855260875,nan,1.001930119288888,nan,1.0018668663483665,nan
