word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.972685707313513,nan,-11.684113660677454,nan,-11.961478191863575,nan,1.128470574386997,nan,1.12790631436586,nan,1.0019572127657002,nan,1.0017643083318974,nan
b O r,3,-13.212133967652665,nan,-inf,nan,-13.608478586839578,nan,1.1282057438785222,nan,1.1276442598585226,nan,1.001427551748751,nan,1.0013922845223735,nan
b O s,3,-13.296036855972028,nan,-12.478422995657741,nan,-12.578689970022994,nan,1.106489642183607,nan,1.1061557902568455,nan,1.0019572127657002,nan,1.0017643083318974,nan
b U n,3,-10.914297574831508,nan,-inf,nan,-14.675902525849011,nan,1.1525010288243036,nan,1.1517102266920445,nan,1.001427551748751,nan,1.0013922845223735,nan
b u r,3,-10.224769943769191,nan,-11.710006222611039,nan,-11.752433153616348,nan,1.2198069810900378,nan,1.218381945458334,nan,1.010166958528412,nan,1.0075306773795163,nan
b U s,3,-11.237648723490024,nan,-inf,nan,-14.78228868024244,nan,1.1305200966209137,nan,1.12995970258303,nan,1.001427551748751,nan,1.0013922845223735,nan
b W r,3,-11.472199566289195,nan,-14.104340623250312,nan,-13.825671922937529,nan,1.1410537096172801,nan,1.1403711040725222,nan,1.0014544569657668,nan,1.0014059717674766,nan
C e D,3,-12.479383462963744,nan,-15.975857561652685,nan,-16.003370000945647,nan,1.0885105584845078,nan,1.0883874770016626,nan,1.0025675894336974,nan,1.0021773938767304,nan
C i D,3,-12.021175434700764,nan,-15.194374702987648,nan,-15.278888464150892,nan,1.0832762020724211,nan,1.083202466395959,nan,1.004259971690923,nan,1.0033973537394452,nan
C O b,3,-15.372379541747797,nan,-17.3992679305342,nan,-16.682706018871762,nan,1.0331815864427458,nan,1.0335789898695702,nan,1.0002379252914584,nan,1.0005306612240794,nan
