word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.874093370194442,nan,-9.944780001105475,nan,-9.994233351334868,nan,1.1540285253516787,nan,1.15367911810965,nan,1.0075745232821438,nan,1.006618215222843,nan
b i l,3,-9.638873412325633,nan,-9.652287921876821,nan,-9.687710757386572,nan,1.200960108830696,nan,1.2004018607668214,nan,1.0171669545438338,nan,1.0147579644506333,nan
b i s,3,-9.57083305899193,nan,-9.870651931614482,nan,-9.903319739778842,nan,1.200960108830696,nan,1.2004018607668214,nan,1.0141366515135306,nan,1.012188982528654,nan
b R s,3,-10.49519920487163,nan,-10.442482434005909,nan,-10.482006033107274,nan,1.148860575393682,nan,1.148532805248131,nan,1.0036899394597683,nan,1.0033194282679372,nan
b Y s,3,-10.204144447941209,nan,-9.964963617499482,nan,-10.004853979855602,nan,1.177965218806257,nan,1.17750869553789,nan,1.0098191921934794,nan,1.0085211647946792,nan
b ^ l,3,-9.793520690464732,nan,-11.053283714194292,nan,-11.07679511417102,nan,1.2431729504214537,nan,1.2424279611870825,nan,1.008472390846678,nan,1.0073793950515773,nan
C @ l,3,-11.827404062885224,nan,-13.897433713549889,nan,-13.927043107446933,nan,1.1151852954934736,nan,1.1150060802806163,nan,1.0013410662451616,nan,1.0013271107851578,nan
C i D,3,-11.78892945534328,nan,-15.86082364310148,nan,-15.878677010406122,nan,1.108918225773838,nan,1.1087679290830392,nan,1.0031276252116066,nan,1.0028428652224568,nan
C i n,3,-11.008507052511048,nan,-11.368439054287565,nan,-11.444445180074975,nan,1.1508935344158133,nan,1.1505556385802458,nan,1.004362193112841,nan,1.0038894874869666,nan
C R J,3,-14.70720458735096,nan,-15.723936787285428,nan,-15.73017381563973,nan,1.0316784005298654,nan,1.0318709406034547,nan,1.000111086425239,nan,1.0002837911307327,nan
C R g,3,-13.029456206756741,nan,-15.504565182993769,nan,-15.486477046000422,nan,1.0536761558609542,nan,1.053770381944237,nan,1.0004477867619392,nan,1.0005692335665082,nan
C R T,3,-14.245960138195105,nan,-14.81723601398959,nan,-14.855492439468524,nan,1.0336986025500674,nan,1.0338821137878123,nan,1.0003355533163725,nan,1.0004740860879164,nan
C ^ J,3,-13.937485719610358,nan,-17.76662133083892,nan,-17.58234366840759,nan,1.125990775557637,nan,1.1257660965424063,nan,1.0003344062960444,nan,1.0004732604353954,nan
C ^ n,3,-11.163154330650146,nan,-12.645479093414435,nan,-12.611823978783113,nan,1.193106376006571,nan,1.192581739000507,nan,1.0130167856450905,nan,1.0112249255162706,nan
C ^ S,3,-12.931396799839394,nan,-15.273451655771515,nan,-15.262421655760267,nan,1.132612548846077,nan,1.132358275313356,nan,1.0012322738605786,nan,1.00123444026413,nan
C ^ C,3,-13.207804795717957,nan,-14.397925428981281,nan,-14.418767857240299,nan,1.1355306184308134,nan,1.135263303246317,nan,1.0052726779009826,nan,1.0046597494934353,nan
d i k,3,-9.636947410113581,nan,-11.716106224741266,nan,-11.742637146249706,nan,1.1695825506644524,nan,1.1691623529792166,nan,1.004251106687602,nan,1.003795165660896,nan
d i s,3,-9.399192511618308,nan,-11.482073372197302,nan,-11.506840826968633,nan,1.1588081398900416,nan,1.1584360959959765,nan,1.0041388732420353,nan,1.0037000181823044,nan
d i t,3,-9.077500298909605,nan,-10.156403784050632,nan,-10.184942957105722,nan,1.1826016303501987,nan,1.1821232468339653,nan,1.0080670438368726,nan,1.007030179933018,nan
d E p,3,-10.862821139258951,nan,-14.357590289050663,nan,-14.323510733156269,nan,1.111432210710069,nan,1.1112709733343813,nan,1.0008944265035504,nan,1.000948172175833,nan
d R s,3,-10.323558657498008,nan,-11.360997985975974,nan,-11.396453265124755,nan,1.1067086064530276,nan,1.106567040477286,nan,1.0041342851607238,nan,1.0036967155722194,nan
D i D,3,-10.524701393107703,nan,-14.87957387659598,nan,-14.84760251435511,nan,1.1750302612702328,nan,1.1745879180394168,nan,1.0031276252116066,nan,1.0028428652224568,nan
D i g,3,-10.840861998641461,nan,-12.581161020293987,nan,-12.609723741811052,nan,1.171887724794363,nan,1.171459426419305,nan,1.003464325548307,nan,1.0031283076582322,nan
D i C,3,-11.78892945534328,nan,-12.065734969533242,nan,-12.141607812434996,nan,1.1594298123364506,nan,1.1590571917824335,nan,1.003913259330574,nan,1.0035088975725994,nan
d I J,3,-12.035903251538024,nan,-13.67835546400316,nan,-13.76653305013957,nan,1.1060721847175907,nan,1.1059357716251632,nan,1.0044446040298813,nan,1.0039631680000058,nan
d I D,3,-10.041994265410045,nan,-14.661582233969732,nan,-14.638087888172334,nan,1.1312124765245493,nan,1.1309637045860572,nan,1.0074749070601843,nan,1.0065321499219848,nan
d Y p,3,-10.651809090002066,nan,-12.300281839287596,nan,-12.327804635655202,nan,1.1088772229295758,nan,1.1087272883089443,nan,1.0060388126743751,nan,1.0053117457507166,nan
d Y t,3,-9.710811687858884,nan,-10.873326561822363,nan,-10.898401746937,nan,1.1596067403257597,nan,1.1592300816050338,nan,1.0099669832692124,nan,1.0086419075014301,nan
d I T,3,-11.57465880238217,nan,-14.052588536169385,nan,-14.021716506140576,nan,1.1080923867377928,nan,1.1079469448095207,nan,1.0043323705843146,nan,1.0038680205214139,nan
d I Z,3,-15.614781810437634,nan,-inf,nan,-18.162813089447766,nan,1.103378582023988,nan,1.1032542073793532,nan,1.0043323705843146,nan,1.0038680205214139,nan
f i k,3,-10.220548217083023,nan,-11.212292534389656,nan,-11.251032242991766,nan,1.1747960836650069,nan,1.1743528554640315,nan,1.007694785870006,nan,1.0067191422690833,nan
f i s,3,-9.982793318587749,nan,-10.978259681845692,nan,-11.015235923710692,nan,1.164021672890596,nan,1.1636265984807914,nan,1.0075825524244393,nan,1.0066239947904916,nan
f R s,3,-10.90715946446745,nan,-11.85107051932739,nan,-11.876489188824134,nan,1.111922139453582,nan,1.111757542962101,nan,1.0036899394597683,nan,1.0033194282679372,nan
f R t,3,-10.585467251758747,nan,-10.967540416246784,nan,-10.996167341859524,nan,1.1357156299137392,nan,1.1354446938000897,nan,1.004924507361003,nan,1.0043660505324472,nan
f Y k,3,-10.853859606032303,nan,-11.088862534521681,nan,-11.131004334842617,nan,1.1518011936405679,nan,1.1514596902351002,nan,1.0053631179603184,nan,1.004739209574123,nan
f ^ l,3,-10.20548095006055,nan,-12.121971047475732,nan,-12.145855869453253,nan,1.2062345144813538,nan,1.2056526989010525,nan,1.0055841437904682,nan,1.0049270275737427,nan
g e s,3,-10.446800729845782,nan,-11.307238036425288,nan,-11.33928296663082,nan,1.1489288168382712,nan,1.1486004446866869,nan,1.0073982312447838,nan,1.0064625976715522,nan
g W d,3,-12.095628027254673,nan,-14.462928431388368,nan,-14.140740904186709,nan,1.0942662664784686,nan,1.0941797462452731,nan,1.0006722536530728,nan,1.0007595285236919,nan
g W r,3,-11.897630211309684,nan,-18.170805545765724,nan,-17.46802119588444,nan,1.111774683986886,nan,1.1116099138430384,nan,1.0002233198708057,nan,1.0003789386093247,nan
g W z,3,-12.271760720939513,nan,-16.547214217036288,nan,-15.853459328706407,nan,1.0785535840991196,nan,1.0785372881447144,nan,1.0003355533163725,nan,1.0004740860879164,nan
g i C,3,-12.105090060877039,nan,-12.333544475886669,nan,-12.423357939977675,nan,1.1118424579271329,nan,1.1116800520806114,nan,1.002469135802469,nan,1.0022827138336823,nan
g i J,3,-12.834770984769442,nan,-14.954033420001332,nan,-14.910122989904714,nan,1.1023026150539565,nan,1.1021828453767006,nan,1.0002244668911335,nan,1.000379764261846,nan
g i D,3,-10.840861998641461,nan,-15.14738338294941,nan,-15.129352641897789,nan,1.127442906860915,nan,1.1272107783375946,nan,1.0016835016835017,nan,1.0016166814835397,nan
g R g,3,-12.081388750054924,nan,-13.613469426833136,nan,-13.603891253410803,nan,1.0722008369480314,nan,1.0722132311987924,nan,1.0004477867619392,nan,1.0005692335665082,nan
g u v,3,-12.404438738619607,nan,-14.540150643569461,nan,-14.334015975338609,nan,1.0789495803997295,nan,1.078932242046988,nan,1.0021324354657688,nan,1.0019972713979068,nan
h e s,3,-10.311316423505211,nan,-9.726444189311895,nan,-9.769879777027764,nan,1.194630425268665,nan,1.1941001685961292,nan,1.0099532190252771,nan,1.008631999671175,nan
