word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.059290114877282,nan,-15.027727093437216,nan,-15.045468979712755,nan,1.1535475276304572,nan,1.1533426224085974,nan,1.001513256519652,nan,1.00148794653961,nan
g i T,3,-12.364749609978102,nan,-12.996658299691573,nan,-13.031672360293285,nan,1.1030545148561455,nan,1.1029815360868431,nan,1.0002632964718272,nan,1.0003570271219058,nan
z i T,3,-12.407251486009514,nan,-16.706453797496142,nan,-16.699441718591483,nan,1.0780626928083863,nan,1.078054945548507,nan,1.0002632964718272,nan,1.0003570271219058,nan
y c g,3,-11.712542591904082,nan,-16.211267387230865,nan,-15.941353269432573,nan,1.184195102047802,nan,1.1839099536065134,nan,1.001316133262459,nan,1.0013095759208008,nan
l R z,3,-11.568081951318405,nan,-12.622612223892215,nan,-12.624286582887075,nan,1.0828930550703795,nan,1.0828725568017816,nan,1.0002619000851176,nan,1.0003558835847557,nan
J Y p,3,-13.653790074135458,nan,-16.80092079921057,nan,-16.174640314169405,nan,1.0455058836380213,nan,1.0455830495876517,nan,1.0016456029489205,nan,1.0016076226435828,nan
C ^ z,3,-12.563152577630367,nan,-15.241210574741531,nan,-15.16424091710049,nan,1.1125229245823245,nan,1.1124249368339307,nan,1.0036851033155496,nan,1.0034528821893862,nan
C e J,3,-14.870467148479527,nan,-14.842114030830187,nan,-14.897266012170792,nan,1.0801582104056169,nan,1.0801449884721006,nan,1.0004590233423105,nan,1.000534254203565,nan
z i S,3,-12.469532669845435,nan,-17.718417545880037,nan,-17.701140738343735,nan,1.0798399439932205,nan,1.0798275295821202,nan,1.0005924170616114,nan,1.0006547879604004,nan
z u v,3,-11.884431660776926,nan,-20.36190997338588,nan,-20.206475137992893,nan,1.1497251811757094,nan,1.1495301541096952,nan,1.0017110779701999,nan,1.0016668889269942,nan
D Y p,3,-11.352754168128241,nan,-15.254267113757995,nan,-15.05154138353659,nan,1.1184532176255908,nan,1.1183399827034755,nan,1.0017110779701999,nan,1.0016668889269942,nan
s R k,3,-10.960927106706,nan,-13.39633248930203,nan,-13.398630566405114,nan,1.1260172059457174,nan,1.1258836084899937,nan,1.000656495696181,nan,1.0007129107066615,nan
b R s,3,-11.332483309142875,nan,-12.248083724922676,nan,-12.262916527547821,nan,1.1077506579304148,nan,1.1076646018824565,nan,1.001839933432694,nan,1.0017837061880919,nan
T ^ z,3,-12.407588470005962,nan,-15.140155201855338,nan,-15.028619563885776,nan,1.114747327591811,nan,1.1146435338975522,nan,1.0034886782517114,nan,1.0032750833391522,nan
S c G,3,-14.219909057493354,nan,-14.507262977057817,nan,-14.467223031826078,nan,1.021564028723223,nan,1.0217038484890995,nan,1.0003291205897842,nan,1.0004165792896047,nan
J e J,3,-15.094229703218023,nan,-15.650353823959604,nan,-15.6861729983897,nan,1.083887356627403,nan,1.0838644011964074,nan,1.0005899733848693,nan,1.0006527867703878,nan
D ^ z,3,-10.485879226361645,nan,-8.416515498330927,nan,-8.43396041183189,nan,1.18919940479168,nan,1.1889012826740613,nan,1.0196610085077187,nan,1.01791385534176,nan
S Y p,3,-13.33674459560848,nan,-14.734155744820914,nan,-14.703619036388647,nan,1.0448516474587606,nan,1.0449305210395277,nan,1.0016456029489205,nan,1.0016076226435828,nan
