word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.202315599015641,nan,-11.499735210994102,nan,-11.515265878775175,nan,1.1073448247585151,nan,1.1072620323855378,nan,1.0019307335764733,nan,1.001867342108547,nan
b i l,3,-10.28308528980611,nan,-11.313112097295633,nan,-11.325398547302145,nan,1.1460123757970253,nan,1.1458299951166029,nan,1.0076189659122847,nan,1.0070224241992825,nan
b i s,3,-10.114952840686087,nan,-11.430863348773585,nan,-11.442211089503722,nan,1.1669493709504988,nan,1.1667130115523103,nan,1.0025139578347404,nan,1.002395777054334,nan
b R s,3,-11.383148459753919,nan,-12.41846012882946,nan,-12.432107696144707,nan,1.1066433403474385,nan,1.1065616712932362,nan,1.0016132114019156,nan,1.001579101451309,nan
b Y s,3,-10.94179682367372,nan,-11.787046293076273,nan,-11.800734526671693,nan,1.1148084425719467,nan,1.1147058293027272,nan,1.0030945563977123,nan,1.0029220543006245,nan
b ^ l,3,-10.279513106978339,nan,-13.180389246792375,nan,-13.18449827895092,nan,1.155656197322035,nan,1.1554490793797811,nan,1.0064324964691254,nan,1.0059491018490494,nan
C @ l,3,-12.358922774644743,nan,-16.39223664382269,nan,-16.37597924394622,nan,1.1124700513475183,nan,1.1123736632524224,nan,1.0008390799846196,nan,1.0008773984562547,nan
C i D,3,-12.183811091283683,nan,-17.63658498792965,nan,-17.6162232981727,nan,1.1051279093327169,nan,1.1050505528284762,nan,1.0049728134595135,nan,1.0046239500205785,nan
C i n,3,-11.556576676835316,nan,-13.88433884756519,nan,-13.89824619021893,nan,1.1559841290419253,nan,1.1557756575658271,nan,1.0022587585322116,nan,1.0021642135637703,nan
C R J,3,-15.767316258394853,nan,-17.581767805574717,nan,-17.530668859191366,nan,1.021364689715117,nan,1.021502499710878,nan,1.000064620355412,nan,1.0001754257487634,nan
