word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.018597852499715,nan,-12.807187766864013,nan,-12.828898814418505,nan,1.1069732015772338,nan,1.1068904865231604,nan,1.0010940214943047,nan,1.001108825475889,nan
b O r,3,-13.320229982509158,nan,-inf,nan,-15.294240372848758,nan,1.1229416525728375,nan,1.1228177498711098,nan,1.0010940214943047,nan,1.001108825475889,nan
b O s,3,-13.353575060942827,nan,-13.632390103515831,nan,-13.587656841138081,nan,1.0926856401601144,nan,1.0926397772118372,nan,1.0011586710934772,nan,1.0011674146486098,nan
b U n,3,-10.864475546287728,nan,-inf,nan,-16.998360836526643,nan,1.1364474277179122,nan,1.1362890358523856,nan,1.0005148336443788,nan,1.0005837073243051,nan
b u r,3,-10.213152463773632,nan,-11.880643019093787,nan,-11.889970955419628,nan,1.2728869514981223,nan,1.272378055410618,nan,1.0175159058649914,nan,1.0159912034812941,nan
b U s,3,-11.199452754730842,nan,-inf,nan,-17.21812236251353,nan,1.1221598663007928,nan,1.1220383265410625,nan,1.0005148336443788,nan,1.0005837073243051,nan
b W r,3,-11.574990528915993,nan,-16.35610414976302,nan,-15.974364655224448,nan,1.142955810498058,nan,1.1427805202671557,nan,1.0006438374490985,nan,1.000700642958313,nan
C e D,3,-12.602667631985561,nan,-18.284620434789602,nan,-18.256831075915798,nan,1.1034129941218977,nan,1.103339970363516,nan,1.0016150584048116,nan,1.001580694106295,nan
C i D,3,-12.189346112688893,nan,-17.681867452224253,nan,-17.660146419328495,nan,1.1052149118772232,nan,1.1051372615888837,nan,1.0049107109944824,nan,1.0045675283578912,nan
C O b,3,-15.784108764904875,nan,-20.85988133403793,nan,-20.18989688547665,nan,1.0216397302138882,nan,1.0217767758401186,nan,1,1,1.000116935634008,1.0
C O g,3,-15.79571194852003,nan,-21.071421701736984,nan,-20.28221061273295,nan,1.040000216378874,nan,1.0400899045478824,nan,1,1,1.000116935634008,1.0
C O v,3,-16.712822016777586,nan,-inf,nan,-21.41840588628508,nan,1.0111664951479455,nan,1.0113305545349858,nan,1,1,1.000116935634008,1.0
C u D,3,-12.319162924324246,nan,-17.761487320149893,nan,-17.738159925626782,nan,1.181088520217528,nan,1.1808160599713216,nan,1.0012918104089492,nan,1.0012877482426905,nan
C u S,3,-14.393382522022929,nan,-16.059953053898496,nan,-16.08748018482696,nan,1.158008613312951,nan,1.1577956833914917,nan,1.0013564600081217,nan,1.0013463374154115,nan
C u T,3,-14.282631157730227,nan,-15.118590617791316,nan,-15.15399935289478,nan,1.1571035189245362,nan,1.156892923525616,nan,1.0018736568015014,nan,1.0018150507971784,nan
D e C,3,-12.602667631985561,nan,-13.131221498015432,nan,-13.113120664321483,nan,1.1585933436371711,nan,1.1583790629347446,nan,1.0182771851626928,nan,1.0166878160624184,nan
D e D,3,-10.46450993346155,nan,-14.913488874061128,nan,-14.876823570938647,nan,1.1823197465334734,nan,1.1820442679902,nan,1.01950552754697,nan,1.0178010103441153,nan
D e J,3,-12.783789428587612,nan,-11.854760738090242,nan,-11.889005616462446,nan,1.158981241232206,nan,1.15876596002012,nan,1.0183418347618653,nan,1.0167464052351394,nan
D e S,3,-12.538729531160234,nan,-12.534393827783855,nan,-12.540721081621463,nan,1.159239839628896,nan,1.15902389141037,nan,1.0182771851626928,nan,1.0166878160624184,nan
D i C,3,-12.189346112688892,nan,-13.947980869404425,nan,-13.972201009371604,nan,1.1603952613924966,nan,1.1601763541601122,nan,1.0016109228940593,nan,1.0015772961462224,nan
D i D,3,-10.051188414164882,nan,-15.937637891161017,nan,-15.904015850804821,nan,1.1841216642887988,nan,1.1838415592155676,nan,1.0054898988444083,nan,1.0050926465094752,nan
D i S,3,-12.125408011863566,nan,-14.331982452184572,nan,-14.348593921450274,nan,1.1610417573842216,nan,1.1608211826357377,nan,1.0018048716915768,nan,1.001753063664385,nan
D i T,3,-12.014656647570863,nan,-13.245156564006592,nan,-13.271119787094404,nan,1.1601366629958068,nan,1.159918422769862,nan,1.0015462732948868,nan,1.0015187069735014,nan
d u r,3,-9.757109421991931,nan,-10.591818001135062,nan,-10.602939010940688,nan,1.2847840576074472,nan,1.2842446365523756,nan,1.026911619874902,nan,1.0245097868292141,nan
D W C,3,-13.681000989466611,nan,-16.65843419572442,nan,-16.533644130618683,nan,1.1063377287327372,nan,1.1062576173990877,nan,1,1,1.000116935634008,1.0
D W D,3,-11.5428432909426,nan,-19.444345502548018,nan,-19.26770499038028,nan,1.1300641316290392,nan,1.129922822454543,nan,1.0012283423842772,nan,1.0012301299157047,nan
D W T,3,-13.50631152434858,nan,-14.56976547297132,nan,-14.485370623344728,nan,1.1060791303360473,nan,1.1059996860088375,nan,1.0000646495991725,nan,1.0001755248067288,nan
f U n,3,-11.445364380245918,nan,-inf,nan,-18.349831908097237,nan,1.1177336013513528,nan,1.1176232244348103,nan,1.0002574168221894,nan,1.0003503214791565,nan
f u r,3,-10.79404129773182,nan,-13.910220381421595,nan,-13.902971384455828,nan,1.2541731251315629,nan,1.2537122439930428,nan,1.016679301192876,nan,1.0152326994845615,nan
f U s,3,-11.78034158868903,nan,-inf,nan,-18.569593434084123,nan,1.1034460399342334,nan,1.1033725151234872,nan,1.0002574168221894,nan,1.0003503214791565,nan
f W r,3,-12.155879362874185,nan,-18.50787567091219,nan,-18.100726295710544,nan,1.1242419841314986,nan,1.1241147088495804,nan,1.0002577122158145,nan,1.00035056419059,nan
f ^ r,3,-10.659613285303664,nan,-14.602319034313286,nan,-14.601446878600672,nan,1.1879526476233577,nan,1.1876617914607879,nan,1.0012891518663227,nan,1.0012855638397868,nan
