word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.080412448804516,nan,-15.32469534374876,nan,-15.339288325234019,nan,1.1622043430319868,nan,1.1619799258365984,nan,1.0016931745799955,nan,1.0016509562603377,nan
g i T,3,-12.378324569975174,nan,-13.04863444178227,nan,-13.082113830049046,nan,1.1062230464304443,nan,1.1061430089461832,nan,1.0004554701959165,nan,1.0005300784360207,nan
z i T,3,-12.448153037917681,nan,-17.560308770580058,nan,-17.50962710988593,nan,1.079183810498591,nan,1.0791733899966467,nan,1.0003908540160251,nan,1.0004715167119635,nan
y c g,3,-11.698202674465552,nan,-16.283661195461036,nan,-16.0124625409672,nan,1.1938836518791927,nan,1.193577349009589,nan,1.0010417512199539,nan,1.0010610205633288,nan
l R z,3,-11.617271109935075,nan,-12.77461871157079,nan,-12.774984595920941,nan,1.0829869691430756,nan,1.0829665989741244,nan,1.0000646161798914,nan,1.0001761170178152,nan
J Y p,3,-13.687212227468033,nan,-16.92824847721158,nan,-16.298458133241617,nan,1.0425444858989967,nan,1.0426283583575249,nan,1.0012377043840792,nan,1.0012384331180753,nan
C ^ z,3,-12.620648546495328,nan,-15.427431225912565,nan,-15.347578207484707,nan,1.1057922440650727,nan,1.1057129272053856,nan,1.0034514914959953,nan,1.0032433507966183,nan
C e J,3,-14.921634649685895,nan,-15.028900221784276,nan,-15.07814323877077,nan,1.0802192933113821,nan,1.0802061990791512,nan,1.0005185079074697,nan,1.0005873446231466,nan
z i S,3,-12.552030127731502,nan,-18.64368530662499,nan,-18.58321312911811,nan,1.0800958032026493,nan,1.0800830125033065,nan,1.0006514233600416,nan,1.0007074909907672,nan
z u v,3,-11.906513015256106,nan,-21.420350180863757,nan,-21.219922338392795,nan,1.1575312422060111,nan,1.1573187587147744,nan,1.0016931745799955,nan,1.0016509562603377,nan
D Y p,3,-11.371023472628364,nan,-15.407625855477386,nan,-15.203724491748902,nan,1.1150148008189762,nan,1.1149120864728699,nan,1.0013023205639706,nan,1.0012969948421324,nan
s R k,3,-10.986707821722508,nan,-13.574573087584417,nan,-13.576054174786758,nan,1.1195117043808454,nan,1.1193964609495817,nan,1.000714461071595,nan,1.000764757177893,nan
b R s,3,-11.366565201835918,nan,-12.36482233278862,nan,-12.378788474149346,nan,1.1078685333474394,nan,1.1077830033074179,nan,1.0016248753073154,nan,1.0015893716167745,nan
T ^ z,3,-12.445903559169325,nan,-15.529314864973696,nan,-15.38679892063799,nan,1.1077927603273339,nan,1.1077082928078572,nan,1.0033222591362125,nan,1.003126227348504,nan
S c G,3,-14.326889382770107,nan,-15.051738174472622,nan,-14.986490604718414,nan,1.0185130173783787,nan,1.018658995224247,nan,1.0003257116800208,nan,1.0004125231422625,nan
J e J,3,-15.106652616987201,nan,-15.766192568115509,nan,-15.797942450328142,nan,1.084284858618558,nan,1.0842612969164322,nan,1.0006477402672527,nan,1.000704468071261,nan
D ^ z,3,-10.489477758956966,nan,-8.534242443286487,nan,-8.550892469159406,nan,1.182328124292228,nan,1.1820517531580117,nan,1.0146947067971068,nan,1.0134330907825635,nan
S Y p,3,-13.431326362654545,nan,-14.900597444001711,nan,-14.873873842586159,nan,1.0408666335500034,nan,1.0409548259167423,nan,1.0012377043840792,nan,1.0012384331180753,nan
n W C,3,-13.053386502429468,nan,-13.903341097393659,nan,-13.905978882746194,nan,1.0630501690111949,nan,1.0630814542421858,nan,1.0118899032561384,nan,1.0108933443659185,nan
l W C,3,-13.552118407350445,nan,-14.762403095262869,nan,-14.757253931398015,nan,1.0751177993674157,nan,1.0751180144893537,nan,1.000065142336004,nan,1.0001765488634589,nan
S c d,3,-13.276731243035577,nan,-19.002656696595423,nan,-18.652625996610997,nan,1.0803330942463354,nan,1.0803184065685392,nan,1,1,1.000117555293758,1.0
g i J,3,-12.738087524602484,nan,-14.819913094345093,nan,-14.838000714567062,nan,1.1067441851184776,nan,1.1066627932357032,nan,1.0005206125319206,nan,1.0005890720057216,nan
C u T,3,-14.281688842623101,nan,-14.930657010955974,nan,-14.971454335203255,nan,1.1554929336360138,nan,1.1552857960734675,nan,1.00188702311967,nan,1.0018266414325092,nan
D i g,3,-10.421898769762816,nan,-13.929868259173926,nan,-13.928664134382041,nan,1.1902262326540878,nan,1.189929126610545,nan,1.0048756782341708,nan,1.0045338679540947,nan
w u T,3,-12.29921123422528,nan,-16.27021783135963,nan,-16.019904864909908,nan,1.2600360415348264,nan,1.2595597404606969,nan,1.001757790759887,nan,1.001709517984395,nan
T c T,3,-15.235453737021398,nan,-16.636484327777133,nan,-16.58601780763732,nan,1.0169532586343824,nan,1.0171032807788005,nan,1.0001292323597828,nan,1.0002346787418723,nan
g u T,3,-12.513251037140495,nan,-17.406448417533596,nan,-17.15605605196126,nan,1.1805316533056058,nan,1.1802600494205324,nan,1.0016285584001041,nan,1.0015923945362806,nan
f R s,3,-11.949471707777438,nan,-14.076683498707261,nan,-14.078179476907367,nan,1.0882505674207485,nan,1.0882155470767279,nan,1.0016248753073154,nan,1.0015893716167745,nan
J Y m,3,-13.258682614123956,nan,-16.37365845548871,nan,-15.744246285053173,nan,1.0770699239812065,nan,1.0770640675382148,nan,1.0011725620480751,nan,1.0011794395483744,nan
n R z,3,-11.118539205014097,nan,-14.358434478305194,nan,-14.330872340970693,nan,1.070919338786855,nan,1.0709300387269565,nan,1.0000646161798914,nan,1.0001761170178152,nan
m R n,3,-10.741232178867799,nan,-14.134005963832283,nan,-14.108440542503809,nan,1.124461542427985,nan,1.1243329354202973,nan,1.0014331313920917,nan,1.001415413827178,nan
C u S,3,-14.385565932436922,nan,-15.856558764389808,nan,-15.889503673000302,nan,1.1564049263400722,nan,1.1561954185801273,nan,1.0013658844316367,nan,1.001354692874902,nan
S e J,3,-14.850766752173715,nan,-14.880382558124575,nan,-14.932973947608106,nan,1.082607006269565,nan,1.0825877644756496,nan,1.0009708211667099,nan,1.0009972766915467,nan
T ^ S,3,-14.073644999197246,nan,-18.14506917736077,nan,-18.01286773402866,nan,1.0940477274304543,nan,1.0939989821717713,nan,1.0001302846720084,nan,1.00023554243316,nan
v e D,3,-11.754134417693331,nan,-20.061023104603255,nan,-19.989628511749647,nan,1.1019871959437346,nan,1.101917502032092,nan,1.0013679890560876,nan,1.001356420257477,nan
C ^ S,3,-14.248389986523248,nan,-18.04318553829964,nan,-17.973647020875376,nan,1.0920472111681931,nan,1.0920036165692997,nan,1.0002595170317912,nan,1.0003526658812743,nan
n c T,3,-12.648455010911551,nan,-16.77365373486367,nan,-16.710351216456328,nan,1.049606846657098,nan,1.0496727967417254,nan,1.0000646161798914,nan,1.0001761170178152,nan
s R p,3,-11.503361351253698,nan,-13.536434456464532,nan,-13.538988394610588,nan,1.0791885983942646,nan,1.0791781515479832,nan,1.000714461071595,nan,1.000764757177893,nan
D i D,3,-10.05916578770706,nan,-15.88676642182159,nan,-15.854703894722068,nan,1.1811063056135043,nan,1.1808329015439476,nan,1.0054619592582084,nan,1.0050648100814028,nan
S c g,3,-13.745638008678615,nan,-16.619238203354637,nan,-16.54562317869488,nan,1.0498464809963841,nan,1.049911025631628,nan,1.0009771350400625,nan,1.0010024588392716,nan
C i S,3,-14.250639465271602,nan,-15.880752753895413,nan,-15.914540158640575,nan,1.0820963194649105,nan,1.0820783781057781,nan,1.001297585158956,nan,1.0012931082313388,nan
g i D,3,-10.421898769762816,nan,-15.688113919059528,nan,-15.662959658695652,nan,1.1296091450559411,nan,1.1294683289383864,nan,1.0042988680201623,nan,1.004010699048374,nan
T c S,3,-15.33933082683522,nan,-15.335308540725068,nan,-15.354244806992728,nan,1.0178652513384407,nan,1.0180129032854603,nan,1.000585228711812,nan,1.0006476337297787,nan
z u T,3,-12.583079505082999,nan,-20.070523529519637,nan,-19.89717037822792,nan,1.1534924173737526,nan,1.1532904304709957,nan,1.0016931745799955,nan,1.0016509562603377,nan
S Y m,3,-13.00279674931047,nan,-14.346007422278845,nan,-14.319661994397713,nan,1.0753920716322132,nan,1.0753905350974322,nan,1.0011725620480751,nan,1.0011794395483744,nan
D ^ v,3,-11.33677561934417,nan,-9.704760830448453,nan,-9.723414694421017,nan,1.1717099235235486,nan,1.1714611482590447,nan,1.0117633016769194,nan,1.010778380146023,nan
