word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.018522682945648,nan,-12.799086231627516,nan,-12.820813861236374,nan,1.1072771045745498,nan,1.107193584943513,nan,1.0010935288820275,nan,1.001108396708006,nan
b O r,3,-13.31995468662883,nan,-inf,nan,-15.286841179956635,nan,1.1231809059709812,nan,1.1230563654439,nan,1.0010935288820275,nan,1.001108396708006,nan
b O s,3,-13.353303229588455,nan,-13.628438716655037,nan,-13.583717368171197,nan,1.0927309447607407,nan,1.0926849442419397,nan,1.0011581784812,nan,1.0011669858807268,nan
b U n,3,-10.864090251130307,nan,-inf,nan,-16.994846513950847,nan,1.1368667096176477,nan,1.1367072510541252,nan,1.0005146018268365,nan,1.0005834929403636,nan
b u r,3,-10.213834449287456,nan,-11.879775322872527,nan,-11.88910982642087,nan,1.2728013871236894,nan,1.2722928597336474,nan,1.01745085058512,nan,1.015932257002004,nan
b U s,3,-11.198870797773115,nan,-inf,nan,-17.218753520152983,nan,1.1223205498038387,nan,1.1221986103525519,nan,1.0005146018268365,nan,1.0005834929403636,nan
b W r,3,-11.572849560852717,nan,-16.350554681464793,nan,-15.96879612645915,nan,1.1433147024459587,nan,1.14313849042786,nan,1.0006435766543635,nan,1.0007004047539334,nan
C e D,3,-12.602218326303674,nan,-18.229895248497172,nan,-18.203784751410446,nan,1.1033144134486859,nan,1.1032416604591897,nan,1.0016149424960403,nan,1.0015805750041054,nan
C i D,3,-12.187841302223855,nan,-17.642159025703773,nan,-17.621817030385216,nan,1.1055014712127411,nan,1.1054231053456263,nan,1.00497509979892,nan,1.0046258793262326,nan
C O b,3,-15.783731297887806,nan,-20.86052421416293,nan,-20.19053807554735,nan,1.0217023413848683,nan,1.021839160758808,nan,1,1,1.0001169118135702,1.0
C O g,3,-15.794311254154909,nan,-21.073087809210037,nan,-20.28386651623419,nan,1.039933528351509,nan,1.0400233237714465,nan,1,1,1.0001169118135702,1.0
C O v,3,-16.713469665175765,nan,-inf,nan,-21.404970978639827,nan,1.0112937559180981,nan,1.0114574223012376,nan,1,1,1.0001169118135702,1.0
C u D,3,-12.319035475074703,nan,-17.73226998060777,nan,-17.71028125938241,nan,1.1808263136159316,nan,1.1805546336402497,nan,1.001291694500178,nan,1.0012876291405008,nan
C u S,3,-14.3962171287871,nan,-16.07012288601969,nan,-16.097592376020746,nan,1.1576171075130095,nan,1.157405291365295,nan,1.0013563440993505,nan,1.0013462183132218,nan
C u T,3,-14.281196872735608,nan,-15.112193105661252,nan,-15.147590000012256,nan,1.1567766627237672,nan,1.1565670143469817,nan,1.0018735408927302,nan,1.0018149316949887,nan
D e C,3,-12.602218326303674,nan,-13.129683963600925,nan,-13.111584006964856,nan,1.1583794020843168,nan,1.1581658187100181,nan,1.018269013594331,nan,1.0166810748784798,nan
D e D,3,-10.463353364153038,nan,-14.857218698191001,nan,-14.822230712158255,nan,1.1821704545797913,nan,1.1818955066130359,nan,1.0194973559786082,nan,1.0177942691601767,nan
D e J,3,-12.783340122905726,nan,-11.853223203675736,nan,-11.88746895910582,nan,1.1587026500801794,nan,1.158488232947831,nan,1.018269013594331,nan,1.0166810748784798,nan
D e S,3,-12.540535017865437,nan,-12.543340526759689,nan,-12.549608033223713,nan,1.1589612484768692,nan,1.1587461643380812,nan,1.018269013594331,nan,1.0166810748784798,nan
D i C,3,-12.187841302223855,nan,-13.949751092977394,nan,-13.973963663690181,nan,1.160566459848372,nan,1.1603472635964545,nan,1.0016104013045894,nan,1.0015768435579016,nan
D i D,3,-10.048976340073217,nan,-15.89863672826716,nan,-15.866389647320517,nan,1.1843575123438466,nan,1.1840769514994722,nan,1.005554026854111,nan,1.0051507830938753,nan
D i S,3,-12.126157993785617,nan,-14.344236909147881,nan,-14.360780184727728,nan,1.1611483062409245,nan,1.1609276092245175,nan,1.001804350102107,nan,1.0017526110760642,nan
D i T,3,-12.011137737734124,nan,-13.240843676718645,nan,-13.266784506295547,nan,1.1603078614516822,nan,1.1600893322062042,nan,1.001545751705417,nan,1.0015182543851806,nan
d u r,3,-9.758176294289644,nan,-10.595680430662805,nan,-10.606797142429652,nan,1.284626579925746,nan,1.2840877315285193,nan,1.0268423339248858,nan,1.024447362565984,nan
D W C,3,-13.678050586639964,nan,-16.661650011659,nan,-16.536819170275177,nan,1.1064046175738318,nan,1.1063244225852906,nan,1,1,1.0001169118135702,1.0
D W D,3,-11.539185624489328,nan,-19.41052825412637,nan,-19.235215571324876,nan,1.1301956700693063,nan,1.1300541104883084,nan,1.0012283423842772,nan,1.0012301060952669,nan
D W T,3,-13.501347022150233,nan,-14.547289706656603,nan,-14.463029642026688,nan,1.106146019177142,nan,1.1060664911950404,nan,1.0000646495991725,nan,1.000175500986291,nan
f U n,3,-11.444979085088496,nan,-inf,nan,-18.339735688594622,nan,1.1179721080752312,nan,1.1178610972079714,nan,1.0002573009134181,nan,1.0003502023769668,nan
f u r,3,-10.794723283245643,nan,-13.91635388065932,nan,-13.909095149979024,nan,1.2539067855812729,nan,1.2534467058874936,nan,1.0166146226165107,nan,1.0151740626709647,nan
f U s,3,-11.779759631731306,nan,-inf,nan,-18.56364269479676,nan,1.1034259482614222,nan,1.1033524565063981,nan,1.0002573009134181,nan,1.0003502023769668,nan
f W r,3,-12.153738394810906,nan,-18.509327398072948,nan,-18.102142661467198,nan,1.1244201009035422,nan,1.1242923365817064,nan,1.0002576252842361,nan,1.0003504689088383,nan
f ^ r,3,-10.659128893761308,nan,-14.60211418495312,nan,-14.601240783437582,nan,1.1879091012894936,nan,1.187618398432085,nan,1.0013531003911713,nan,1.0013435529945047,nan
g U n,3,-10.87467020739741,nan,-inf,nan,-16.825226984272728,nan,1.1368024422654626,nan,1.1366431484900226,nan,1.0023800334491186,nan,1.0022748495249898,nan
g U S,3,-13.578195513901331,nan,-13.292433734026368,nan,-13.317883174354742,nan,1.0628433008121396,nan,1.0628747708784674,nan,1.0030911790400159,nan,1.0029193304249193,nan
g U T,3,-13.463175257849837,nan,-inf,nan,-16.682792496357383,nan,1.0620028560228973,nan,1.062036493860154,nan,1.0023800334491186,nan,1.0022748495249898,nan
g W C,3,-14.047206128378798,nan,-18.625045641838007,nan,-18.22931468160932,nan,1.0528056458514667,nan,1.0528628841237522,nan,1,1,1.0001169118135702,1.0
g W D,3,-11.908341166228162,nan,-21.373923884305377,nan,-20.92771108265902,nan,1.0765966983469413,nan,1.07659257202677,nan,1.0012283423842772,nan,1.0012301060952669,nan
g W T,3,-13.870502563889067,nan,-16.51068533683561,nan,-16.15552515336083,nan,1.052547047454777,nan,1.052604952733502,nan,1.0000646495991725,nan,1.000175500986291,nan
g ^ r,3,-10.088820016070223,nan,-12.61815675222463,nan,-12.6207575347634,nan,1.206739435479725,nan,1.206400449714136,nan,1.0029612311000353,nan,1.0028016190157343,nan
h U n,3,-11.083899960896316,nan,-inf,nan,-19.691087674923928,nan,1.1677793060186759,nan,1.1675405843874587,nan,1,1,1.0001169118135702,1.0
h u r,3,-10.433644159053463,nan,-11.468823712469591,nan,-11.477315143948204,nan,1.3037139835247176,nan,1.3031261930669809,nan,1.0207314372312026,nan,1.018906711685312,nan
h U s,3,-11.418680507539126,nan,-inf,nan,-19.914994681126064,nan,1.1532331462048668,nan,1.1530319436858854,nan,1,1,1.0001169118135702,1.0
h W r,3,-11.792659270618726,nan,-14.993480088762885,nan,-14.617212740845027,nan,1.1742272988469868,nan,1.1739718237611936,nan,1.005146342639183,nan,1.004782989613376,nan
J O b,3,-15.964853094489857,nan,-17.79833305232703,nan,-17.694711535645325,nan,1.0262653233900096,nan,1.02639044281009,nan,1,1,1.0001169118135702,1.0
J ^ r,3,-12.039651233084077,nan,-12.696700523843301,nan,-12.739876797186405,nan,1.186045348076126,nan,1.1857594240731106,nan,1.0057272159192814,nan,1.0053094925722488,nan
k E G,3,-11.672533541049233,nan,-16.915907640340116,nan,-16.808208359750772,nan,1.107156148627248,nan,1.1070739124486473,nan,1.0000646495991725,nan,1.000175500986291,nan
k E S,3,-12.800799596292546,nan,-17.923172593427683,nan,-17.816608478747536,nan,1.107156148627248,nan,1.1070739124486473,nan,1,1,1.0001169118135702,1.0
k i b,3,-10.384626683347241,nan,-14.79729795490235,nan,-14.791083543668446,nan,1.1292884685662625,nan,1.12914925495906,nan,1.0007098481076255,nan,1.000760326586013,nan
k i C,3,-12.164916060026147,nan,-13.718145148816866,nan,-13.747706045042987,nan,1.1150009071491431,nan,1.1148985456477367,nan,1.0007098481076255,nan,1.000760326586013,nan
