word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.76903495649802,nan,-9.982342470135771,nan,-10.160341964554123,nan,1.1708273085521292,nan,1.1697649234770877,nan,1.0097013557385217,nan,1.0070530206678618,nan
b i l,3,-10.0165730374732,nan,-9.762274451679032,nan,-9.907825893325402,nan,1.1878953678062212,nan,1.1866214910749555,nan,1.0097490790796368,nan,1.007075425336577,nan
b i s,3,-9.899201101514283,nan,-10.772575439020363,nan,-10.83275070382016,nan,1.1613310230600582,nan,1.1603671153456672,nan,1.0059120070607468,nan,1.004469170324548,nan
b R s,3,-10.392719641042063,nan,-10.517948807774934,nan,-10.616156351187822,nan,1.1356398753359587,nan,1.1349597693086608,nan,1.0048586317594466,nan,1.0037269914887024,nan
b Y s,3,-10.675943391352131,nan,-10.881352222389914,nan,-10.970977726477233,nan,1.1409456558441966,nan,1.1402069385989122,nan,1.002560987792386,nan,1.002153015142151,nan
b ^ l,3,-10.293942942558562,nan,-11.299136871673785,nan,-11.280750877080205,nan,1.222522566912616,nan,1.220866174863964,nan,1.0089837747234107,nan,1.0065923125750789,nan
C @ l,3,-11.321196946982553,nan,-11.778028517090126,nan,-11.965169919204149,nan,1.150078121535,nan,1.1492202458068124,nan,1.006988378583413,nan,1.0051602324637228,nan
C i D,3,-12.559418763610022,nan,-14.778950999089876,nan,-14.84841275653388,nan,1.0691532646143573,nan,1.0692273384921946,nan,1.002560987792386,nan,1.002153015142151,nan
C i n,3,-10.933353389715428,nan,-10.661818953844861,nan,-10.903933438040996,nan,1.1538640084160101,nan,1.1529496255400358,nan,1.006398059811276,nan,1.0047592701541799,nan
C R J,3,-13.53620212732492,nan,-14.07410135085862,nan,-14.189028317805,nan,1.0390347260992305,nan,1.0394442631669736,nan,1,1,1.000393494086638,1.0
C R g,3,-12.34198549794435,nan,-14.575170799679245,nan,-14.498720175945436,nan,1.0573346080354762,nan,1.0575306108915943,nan,1,1,1.000393494086638,1.0
C R T,3,-13.77648196088212,nan,-13.256506152266597,nan,-13.573035061012698,nan,1.040510523029573,nan,1.0409028395963784,nan,1.0002951593860685,nan,1.0005939752414093,nan
C ^ J,3,-13.3200534928825,nan,-15.994998077539462,nan,-15.666672457513119,nan,1.099353072929725,nan,1.0990962929929884,nan,1.0011329142031586,nan,1.0011730140370085,nan
C ^ n,3,-11.21072329480079,nan,-10.868078929717,nan,-10.98979847118687,nan,1.188491207522405,nan,1.1871943093290442,nan,1.0147102459623085,nan,1.0103951471564954,nan
