word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.25743030519007,nan,-9.689598264309193,nan,-10.11560984285502,nan,1.1669077347400705,nan,1.1658503276771186,nan,1.0008379888268157,nan,1.0009727221277251,nan
b O r,3,-12.184421838369765,nan,-inf,nan,-13.051762354301964,nan,1.139449807370717,nan,1.1387128896847054,nan,1.0008379888268157,nan,1.0009727221277251,nan
b O s,3,-12.178936361093093,nan,-10.082341308242672,nan,-10.456145179305238,nan,1.1161253314333093,nan,1.1156606574115802,nan,1.0008379888268157,nan,1.0009727221277251,nan
b U n,3,-11.414751390659163,nan,-inf,nan,-12.875988401187872,nan,1.1878574554104615,nan,1.1865685597213174,nan,1.0022346368715085,nan,1.001937973092976,nan
b u r,3,-10.61111265002417,nan,-11.721908924170437,nan,-11.761072333894536,nan,1.1740866788790971,nan,1.1729670333311142,nan,1.0033678722291772,nan,1.0027176450276511,nan
b U s,3,-11.336257446562186,nan,-inf,nan,-12.928841665186308,nan,1.1370750521037003,nan,1.136378889455779,nan,1.0022346368715085,nan,1.001937973092976,nan
b W r,3,-11.362796333036687,nan,-12.851596869075662,nan,-12.723098459943166,nan,1.1550922654712759,nan,1.154182502944374,nan,1.0019712241844845,nan,1.0017523940624002,nan
C e D,3,-12.866965746182256,nan,-inf,nan,-17.565887208868407,nan,1.0702741183544429,nan,1.0703360125028056,nan,1.0016759776536313,nan,1.0015518727068757,nan
C i D,3,-12.536436082347844,nan,-15.016190284219865,nan,-15.058412004869501,nan,1.068318811091873,nan,1.068402310845347,nan,1.0019712241844845,nan,1.0017523940624002,nan
C O b,3,-13.959814330133614,nan,-15.814134165349376,nan,-15.233438931707969,nan,1.030121497340477,nan,1.0306230248051755,nan,1,1,1.0003935715485746,1.0
C O g,3,-14.128437042569406,nan,-15.893347616818165,nan,-15.322684946499015,nan,1.0372074140809553,nan,1.0376262346096692,nan,1,1,1.0003935715485746,1.0
C O v,3,-14.724420474675703,nan,-inf,nan,-14.97442475412576,nan,1.0434075912288738,nan,1.0437540431886012,nan,1,1,1.0003935715485746,1.0
C u D,3,-13.239566706891974,nan,-17.539903654193115,nan,-16.94383594999219,nan,1.0582629451700853,nan,1.0584575594641317,nan,1.0011173184357542,nan,1.0011657723207752,nan
C u S,3,-13.211074751097668,nan,-13.725365476046226,nan,-13.853416355576467,nan,1.0662346015031234,nan,1.0663361704941872,nan,1.0022983045591674,nan,1.0019678577428728,nan
C u T,3,-13.9861390541255,nan,-13.338066704027158,nan,-13.681994089240547,nan,1.0553104798615527,nan,1.055539555378926,nan,1.0017078114974607,nan,1.001566815031824,nan
D e C,3,-12.866965746182256,nan,-12.32868145532561,nan,-12.558092825773754,nan,1.0813045780919446,nan,1.0812429973042648,nan,1.0019871411063992,nan,1.0017598652248743,nan
D e D,3,-12.750626754098105,nan,-inf,nan,-16.485130746190293,nan,1.0783521127834121,nan,1.078324993219059,nan,1.0013966480446927,nan,1.0013588225138255,nan
D e J,3,-13.259527449454511,nan,-12.053902787709736,nan,-12.451744913316471,nan,1.0742186613514664,nan,1.0742397874997711,nan,1.002872880698959,nan,1.0023614292914473,nan
D e S,3,-12.722134798303799,nan,-11.808536099610818,nan,-12.113777306312503,nan,1.0863237691164502,nan,1.0862036042491146,nan,1.0013966480446927,nan,1.0013588225138255,nan
D i C,3,-12.536436082347844,nan,-13.295199885880017,nan,-13.451815003437005,nan,1.0793492708293748,nan,1.0793092956468062,nan,1.0014284818885222,nan,1.001373764838774,nan
D i D,3,-12.420097090263695,nan,-15.896445527752167,nan,-15.769415011419444,nan,1.0763968055208424,nan,1.0763912915616005,nan,1.001133235357669,nan,1.0011732434832497,nan
