word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.199608798087308,nan,-11.502282365439523,nan,-11.517762213603346,nan,1.1075295564640006,nan,1.107446413376215,nan,1.0019283026622632,nan,1.001865224299227,nan
b i l,3,-10.284382058757329,nan,-11.332930827658663,nan,-11.345121914422467,nan,1.145319722259703,nan,1.1451393484974255,nan,1.0076757419209221,nan,1.007074424902661,nan
b i s,3,-10.117193569362914,nan,-11.439209506023076,nan,-11.450489733398948,nan,1.1668188506734158,nan,1.1665830988998982,nan,1.0026399100402326,nan,1.0025100852689786,nan
b R s,3,-11.385086700052057,nan,-12.433609181597983,nan,-12.44718002840675,nan,1.1058878715401894,nan,1.1058082029665008,nan,1.0016115532516372,nan,1.0015776196252466,nan
b Y s,3,-10.939874802114762,nan,-11.794722532505794,nan,-11.80833124721979,nan,1.1142345810104946,nan,1.1141335311765554,nan,1.003155336148566,nan,1.0029773436320155,nan
b ^ l,3,-10.280190498601831,nan,-13.201064124935286,nan,-13.205155202810573,nan,1.1550147463367495,nan,1.154809537418335,nan,1.006424110643633,nan,1.0059420877582155,nan
C @ l,3,-12.364179122557548,nan,-16.367982312590126,nan,-16.352577772354397,nan,1.1122701432668554,nan,1.112174389163452,nan,1.0008382358442751,nan,1.0008765855748094,nan
C i D,3,-12.190702051262054,nan,-17.64985207331734,nan,-17.628880621654467,nan,1.1054480035554235,nan,1.10536993230836,nan,1.0049680615259813,nan,1.0046199266908418,nan
C i n,3,-11.562348057168371,nan,-13.860396133452614,nan,-13.875063637280103,nan,1.1563873798870137,nan,1.1561780976763811,nan,1.0022564597440715,nan,1.0021622053496282,nan
C R J,3,-15.778157642557359,nan,-17.557068537886412,nan,-17.50671373767554,nan,1.0210810375928343,nan,1.0212194165668615,nan,1.0000645619471884,nan,1.0001752585126091,nan
C R g,3,-13.826712991315087,nan,-17.83403688051536,nan,-17.798679360557394,nan,1.0531037633982447,nan,1.053159657406581,nan,1.0002582477887534,nan,1.0003508100369816,nan
C R T,3,-15.42133882407698,nan,-17.005628796189903,nan,-16.95018556943706,nan,1.0204999800681394,nan,1.0206398557451732,nan,1,1,1.0001167413378185,1.0
C ^ J,3,-14.506072951712719,nan,-20.406842442850575,nan,-20.237075977159094,nan,1.0917070408031073,nan,1.0916645014211683,nan,1.0001929728621162,nan,1.0002917068386645,nan
C ^ n,3,-11.558156497012876,nan,-14.545169263807692,nan,-14.457522258121003,nan,1.1660824039640603,nan,1.1658482865972906,nan,1.01200780919758,nan,1.0110003498253812,nan
C ^ S,3,-14.26101305428534,nan,-18.26130636996119,nan,-18.18650568700303,nan,1.0920298505390489,nan,1.0919864796554397,nan,1.0002575348093043,nan,1.0003502240134554,nan
C ^ C,3,-14.324951155110668,nan,-17.439940155556375,nan,-17.376616254391834,nan,1.0913842310671658,nan,1.091342523186897,nan,1.0006449064924343,nan,1.0007013270622003,nan
d i k,3,-9.930122598967902,nan,-12.180671704290498,nan,-12.189358026962166,nan,1.1669385667922352,nan,1.1667026955255664,nan,1.0032912333477069,nan,1.0030999452050968,nan
d i s,3,-9.661062259302964,nan,-12.196204370802686,nan,-12.203842236647878,nan,1.178753403127699,nan,1.1784870988998983,nan,1.0016126227208104,nan,1.001578498660536,nan
d i t,3,-8.98018647499767,nan,-10.924656780930146,nan,-10.932959034073892,nan,1.2606825141096862,nan,1.2602051747579703,nan,1.0018063085623754,nan,1.0017540501849085,nan
d E p,3,-11.140976111759837,nan,-16.326784808507384,nan,-16.273389248358612,nan,1.1186294379712534,nan,1.1185178805552096,nan,1.0003224532462174,nan,1.0004090342000094,nan
d R s,3,-10.928955389992108,nan,-12.436866266285815,nan,-12.44870602441508,nan,1.1178224239944725,nan,1.117712202966501,nan,1.0015473477941732,nan,1.0015193954622188,nan
D i D,3,-10.052261387257943,nan,-15.934096531171653,nan,-15.900491086092014,nan,1.184049222676373,nan,1.18376993230836,nan,1.0055459106431561,nan,1.0051439441580907,nan
D i g,3,-10.420379196621832,nan,-13.954769430949849,nan,-13.953288249224045,nan,1.1926359616524205,nan,1.1923345533399783,nan,1.0048357292240846,nan,1.0045002552353919,nan
D i C,3,-12.190702051262054,nan,-13.963047960960171,nan,-13.987129444877501,nan,1.1602904261110687,nan,1.1600723342659875,nan,1.0016076318646683,nan,1.001574396495852,nan
d I J,3,-12.060256460866224,nan,-14.645080276083544,nan,-14.642108929268408,nan,1.0873813809179746,nan,1.0873499833295899,nan,1.0075762439807383,nan,1.006987192575082,nan
d I D,3,-9.740694000260062,nan,-14.555178282068562,nan,-14.529190618852223,nan,1.1108173677473374,nan,1.1107256031376909,nan,1.0086092351357516,nan,1.0079234673717348,nan
d Y p,3,-11.267460258868958,nan,-12.542718214006243,nan,-12.553989857715582,nan,1.0746486996084927,nan,1.074649804986846,nan,1.0018687315712171,nan,1.0018108092891203,nan
d Y t,3,-9.802867707749519,nan,-11.467301068766826,nan,-11.476698451978361,nan,1.208098244446765,nan,1.2077556070346276,nan,1.0029662846734186,nan,1.0028056012605637,nan
d I T,3,-11.703437642385843,nan,-13.998330354582707,nan,-13.994608982824206,nan,1.0868003233932797,nan,1.0867704225079016,nan,1.0075762439807383,nan,1.006987192575082,nan
d I Z,3,-16.406943729094795,nan,-inf,nan,-18.929249886415427,nan,1.0832494162979218,nan,1.0832286619309164,nan,1.0075762439807383,nan,1.006987192575082,nan
f i k,3,-10.96759023912823,nan,-13.259267245211756,nan,-13.269456618972358,nan,1.1360755574884174,nan,1.1359186955255665,nan,1.0036122606350264,nan,1.003391066020235,nan
f i s,3,-10.698529899463292,nan,-13.274799911723946,nan,-13.28394082865807,nan,1.1478903938238811,nan,1.1477030988998984,nan,1.00193365000813,nan,1.0018696194756742,nan
f R s,3,-11.966423030152434,nan,-14.17945897500152,nan,-14.179987597886182,nan,1.0869594146906547,nan,1.086928202966501,nan,1.0016115532516372,nan,1.0015776196252466,nan
f R t,3,-11.28554724584714,nan,-13.593155248305724,nan,-13.594033013779654,nan,1.168888525672642,nan,1.168646278824573,nan,1.0012241815685072,nan,1.0012265165765017,nan
f Y k,3,-11.790271471880077,nan,-12.416715080123062,nan,-12.430723006604374,nan,1.083491287825496,nan,1.0834691278022237,nan,1.0023852271487237,nan,1.0022789466874467,nan
f ^ l,3,-10.861526828702209,nan,-14.648649736556504,nan,-14.650448274199743,nan,1.1360862894872148,nan,1.1359295374183351,nan,1.001480290418914,nan,1.001458827205086,nan
g e s,3,-10.54128835118478,nan,-13.625140387290287,nan,-13.617677836131625,nan,1.1648284814920353,nan,1.1645978283267315,nan,1.0021951062044032,nan,1.0021063252807056,nan
g W d,3,-11.811694229679429,nan,-17.352047690069334,nan,-16.960110996353656,nan,1.114953318182953,nan,1.1148503951469064,nan,1.0013558008909549,nan,1.0013456020084253,nan
g W r,3,-11.584330453417548,nan,-20.60241388295785,nan,-19.82228888907138,nan,1.143037765209875,nan,1.142862501528515,nan,1.0000645619471884,nan,1.0001752585126091,nan
g W z,3,-12.344066920782748,nan,-19.90562838281686,nan,-19.130172698272457,nan,1.0671129153164025,nan,1.0671332208278903,nan,1,1,1.0001167413378185,1.0
g i C,3,-12.558819860625945,nan,-13.747061354416415,nan,-13.778103325546178,nan,1.1069699256298366,nan,1.1068883342659874,nan,1.0004519336303184,nan,1.000526361561354,nan
g i J,3,-12.739941657227995,nan,-14.812971851600746,nan,-14.830522693481244,nan,1.1072927353657782,nan,1.1072103125002588,nan,1.0004519336303184,nan,1.000526361561354,nan
g i D,3,-10.420379196621834,nan,-15.718109924627894,nan,-15.691464966760691,nan,1.130728722195141,nan,1.1305859323083598,nan,1.0043902124088062,nan,1.0040959092235928,nan
g R g,3,-12.056390136674867,nan,-15.46516294976445,nan,-15.440234081014342,nan,1.0783844820379622,nan,1.0783756574065808,nan,1.0002582477887534,nan,1.0003508100369816,nan
g u v,3,-11.837290214361577,nan,-18.879968827901685,nan,-18.601133957180146,nan,1.1862857679606493,nan,1.186000941220136,nan,1.0015494867325199,nan,1.0015211535327977,nan
h e s,3,-10.750375395208778,nan,-11.355533281567848,nan,-11.367946797452914,nan,1.1958839835773738,nan,1.1955738283267316,nan,1.0063684609395558,nan,1.0058908958775035,nan
h e n,3,-10.414431281124266,nan,-11.640901204199805,nan,-11.650849393395218,nan,1.2107332314306891,nan,1.2103848271032145,nan,1.0057874034148608,nan,1.0053642413043862,nan
h i n,3,-10.001112246552148,nan,-9.549446367704943,nan,-9.564572061785311,nan,1.2127236006120696,nan,1.2123700976763812,nan,1.0321119974647777,nan,1.0292364411574886,nan
h Y s,3,-11.15973759338851,nan,-11.5745451892694,nan,-11.587614758721637,nan,1.145290083095833,nan,1.1451095311765556,nan,1.0049530889575546,nan,1.0046076201967897,nan
h ^ s,3,-10.332864800481165,nan,-10.390255349114675,nan,-10.40509210684939,nan,1.207569376835801,nan,1.2072292878208077,nan,1.0075473310059944,nan,1.0069579765766057,nan
J R T,3,-15.602460620679029,nan,-inf,nan,-19.199526147912295,nan,1.024991478303622,nan,1.0251198557451733,nan,1,1,1.0001167413378185,1.0
J ^ n,3,-11.739278293614925,nan,-9.573435597087352,nan,-9.627210518156028,nan,1.170573902199543,nan,1.1703282865972906,nan,1.0171442457946906,nan,1.0156582828675937,nan
k e d,3,-10.34344163354002,nan,-12.018493476050786,nan,-12.027469019564702,nan,1.1751728464674962,nan,1.1749156759666313,nan,1.0025136380636515,nan,1.002395395013502,nan
k R m,3,-11.356254381360628,nan,-14.44259288467918,nan,-14.435464827100088,nan,1.0973801479366587,nan,1.097322521724953,nan,1.0003863022139567,nan,1.0004669653512739,nan
l e l,3,-10.215137640600549,nan,-11.657491925955277,nan,-11.6677639116497,nan,1.16488854460864,nan,1.164658077924259,nan,1.0017396076768403,nan,1.0016937749395385,nan
m @ b,3,-10.767751315040108,nan,-15.951163102619777,nan,-15.934810622567305,nan,1.1159712640784145,nan,1.115866417239954,nan,1.0025065082691627,nan,1.002389534778239,nan
m e p,3,-11.016336712392807,nan,-12.84670976582014,nan,-12.856259594316692,nan,1.1158746180560262,nan,1.115770102137022,nan,1.004500085858063,nan,1.0041971209379648,nan
m @ v,3,-11.697786218473809,nan,-12.691763630590762,nan,-12.705918421989324,nan,1.1057704764226588,nan,1.105691905036979,nan,1.0030875657938576,nan,1.0029161893513563,nan
m @ z,3,-10.843992696083479,nan,-12.242603790838622,nan,-12.251762365035953,nan,1.116035826025603,nan,1.1159308128868082,nan,1.0021836985332209,nan,1.002096948904285,nan
m R n,3,-10.751249927611179,nan,-14.137054834544289,nan,-14.113059048630625,nan,1.1233036898137807,nan,1.1231792017429838,nan,1.0014203628381433,nan,1.001404119183216,nan
m R s,3,-11.08719404169569,nan,-14.53113814095881,nan,-14.506782726323546,nan,1.1084544419604654,nan,1.108368202966501,nan,1.00116211504939,nan,1.0011700504840528,nan
m Y d,3,-10.835602775821757,nan,-10.891960581594295,nan,-10.907485424610844,nan,1.1190608195823621,nan,1.1189473788164552,nan,1.005664696335524,nan,1.005252481166541,nan
m ^ b,3,-10.464861292974362,nan,-14.363604585851004,nan,-14.358283804913171,nan,1.1334351485085912,nan,1.133285565494837,nan,1.0032894508990848,nan,1.003098480146281,nan
n e s,3,-9.544816547727207,nan,-13.310019513848786,nan,-13.31239727841749,nan,1.1749022703916183,nan,1.1746458283267316,nan,1.0024519280342588,nan,1.0023392219328164,nan
n e n,3,-9.208872433642695,nan,-13.595387436480745,nan,-13.595299874359794,nan,1.1897515182449336,nan,1.1894568271032144,nan,1.0018708705095638,nan,1.0018125673596991,nan
n c d,3,-10.5870588773803,nan,-18.312584200208477,nan,-18.019807797378096,nan,1.1113513446427286,nan,1.1112576650796635,nan,1.000064205457464,nan,1.0001749655008463,nan
n W d,3,-10.815222426221855,nan,-12.71978064188781,nan,-12.726222561812234,nan,1.125027107082536,nan,1.1248983951469065,nan,1.0133622214367013,nan,1.0122335204945971,nan
n c G,3,-11.633244335194277,nan,-14.291502793483055,nan,-14.2837504452601,nan,1.0498883709194409,nan,1.0499530092743958,nan,1.0003224532462174,nan,1.0004090342000094,nan
n i n,3,-8.795553399070577,nan,-11.909617931989231,nan,-11.915959059714284,nan,1.1917418874263142,nan,1.191442097676381,nan,1.0021280488291437,nan,1.002045757023573,nan
