word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.133388655437727,nan,-13.89466572350169,nan,-13.946183418117439,nan,1.095837325179475,nan,1.0956329049223217,nan,1.0013349745184417,nan,1.001310721684353,nan
g i T,3,-12.54014648882885,nan,-11.987000898976126,nan,-12.333952217483327,nan,1.0856821496803313,nan,1.0855824104099485,nan,1.0008259911894273,nan,1.0009488577911188,nan
z i T,3,-12.191416693221552,nan,-14.358601884774865,nan,-14.629828506961873,nan,1.0575204808406964,nan,1.057711442668013,nan,1.0008259911894273,nan,1.0009488577911188,nan
y c g,3,-12.367594231171362,nan,-13.356145853661928,nan,-13.348251069485636,nan,1.0931723305928445,nan,1.0929847915500086,nan,1.0018995277993723,nan,1.0016997843825308,nan
l R z,3,-10.475547911196536,nan,-10.012595187461846,nan,-10.140287835109952,nan,1.0983139609373243,nan,1.098065679414806,nan,1.003262287293772,nan,1.0026486421736496,nan
J Y p,3,-12.708607179377768,nan,-14.541516059746092,nan,-14.203096520193146,nan,1.0705838398994063,nan,1.0706255931780086,nan,1.0008259911894273,nan,1.0009488577911188,nan
C ^ z,3,-11.831691630347613,nan,-12.22281011874879,nan,-12.23464140251579,nan,1.1326311802196483,nan,1.1320270365069898,nan,1.003537617690248,nan,1.0028397736721206,nan
C e J,3,-13.63548845083157,nan,-13.474545995121609,nan,-13.787257275269958,nan,1.0713006685729927,nan,1.0713498232614787,nan,1.002945279433359,nan,1.0024371115714708,nan
z i S,3,-11.412194903890363,nan,-15.189116968493602,nan,-15.20897616581454,nan,1.0677077055103,nan,1.0677876953913246,nan,1.0005506607929515,nan,1.000757726292648,nan
z u v,3,-11.937932855351125,nan,-15.132961682264785,nan,-15.06582670083537,nan,1.0743320468768025,nan,1.074336889742056,nan,1.0032761797817513,nan,1.0026554418748856,nan
D Y p,3,-11.792316447503616,nan,-13.3886217501076,nan,-13.352323691848552,nan,1.0831001371614664,nan,1.0830126899522021,nan,1.001087429097924,nan,1.0011331895883537,nan
s R k,3,-9.955107364334719,nan,-11.72300479573729,nan,-11.738668560060578,nan,1.195797792904655,nan,1.1945352134649851,nan,1.0037157006708703,nan,1.00298330726194,nan
b R s,3,-10.533748696414646,nan,-10.751031416673017,nan,-10.83709195754819,nan,1.1344602112747566,nan,1.13383425064258,nan,1.0045416918602976,nan,1.0035567017573528,nan
T ^ z,3,-12.411959462835704,nan,-12.453472502477027,nan,-12.486853295519262,nan,1.1284590811322948,nan,1.127898004248925,nan,1.0027533039647578,nan,1.0022867782804155,nan
S c G,3,-12.837276484994838,nan,-13.154269815768235,nan,-13.061168036456039,nan,1.071398398745553,nan,1.0714370369643034,nan,1.0019273127753303,nan,1.0017133837850025,nan
J e J,3,-14.003912287259386,nan,-13.085502871491059,nan,-13.486017038219327,nan,1.0715614247659522,nan,1.0716078877776076,nan,1.002945279433359,nan,1.0024371115714708,nan
D ^ z,3,-11.283824734901273,nan,-8.875319894119354,nan,-9.08114833691044,nan,1.1454082336746678,nan,1.1446721977973122,nan,1.0116421928536468,nan,1.0085540593864062,nan
S Y p,3,-12.141229386106858,nan,-14.669980810841299,nan,-14.488398448712715,nan,1.0677155217768508,nan,1.0677868835005893,nan,1.0008259911894273,nan,1.0009488577911188,nan
n W C,3,-12.466723737104322,nan,-13.329993737512403,nan,-13.423097758626067,nan,1.0590234561010667,nan,1.059196714033627,nan,1.0021192882439318,nan,1.001863717076058,nan
l W C,3,-12.612731559536305,nan,-12.400677896681355,nan,-12.528167068607065,nan,1.067106898082814,nan,1.067196714033627,nan,1.0005506607929515,nan,1.000757726292648,nan
S c d,3,-12.18953096021417,nan,-15.99923991788512,nan,-15.261582091229451,nan,1.0890195441200026,nan,1.0888662308640855,nan,1,1,1.000375463295706,1.0
g i J,3,-12.328302492768573,nan,-inf,nan,-15.035743556468297,nan,1.0845808280944282,nan,1.084493085791212,nan,1,1,1.000375463295706,1.0
C u T,3,-14.146703363593941,nan,-14.053575121356833,nan,-14.257937826171263,nan,1.0598529705510527,nan,1.0600200016965153,nan,1.0018578503354352,nan,1.001679385278823,nan
D i g,3,-11.41201176089442,nan,-13.944690592964593,nan,-13.962952669331228,nan,1.096842687044856,nan,1.096617057960725,nan,1.001059644121966,nan,1.001119590185882,nan
w u T,3,-13.137965322465138,nan,-15.571982048123802,nan,-15.11266491790303,nan,1.0924474946710003,nan,1.0922780662126443,nan,1.0008120987014482,nan,1.000942058089883,nan
T c T,3,-15.075896893774532,nan,-13.424486183626579,nan,-13.84229787443647,nan,1.0535893681957251,nan,1.0538211117411673,nan,1.0007843137254901,nan,1.0009284586874112,nan
g u T,3,-13.18252134401537,nan,-14.74582342545176,nan,-14.693738643324869,nan,1.0801919536019,nan,1.0801490339545798,nan,1.0005506607929515,nan,1.000757726292648,nan
f R s,3,-10.61694764026962,nan,-12.983592048690268,nan,-12.831800503326965,nan,1.1159465215746263,nan,1.1155116699974188,nan,1.0024501885923238,nan,1.0020820473794727,nan
J Y m,3,-12.652342340791632,nan,-13.198414455644988,nan,-12.935828036153115,nan,1.0813217253619614,nan,1.0812465082106884,nan,1.002202643171806,nan,1.0019045152834736,nan
n R z,3,-10.329540088764553,nan,-11.139079093203845,nan,-11.205117561924348,nan,1.090230518955577,nan,1.090065679414806,nan,1.003262287293772,nan,1.0026486421736496,nan
m R n,3,-10.222151174845335,nan,-11.4742463912533,nan,-11.53271095574122,nan,1.1587247524529838,nan,1.1578228654433391,nan,1.0024779735682818,nan,1.0020956467819444,nan
C u S,3,-13.367481574262753,nan,-13.343645164128423,nan,-13.537802500893669,nan,1.0700401952206562,nan,1.070096254419827,nan,1.0024085111283867,nan,1.002061648275765,nan
S e J,3,-13.436534493988475,nan,-13.368118302413524,nan,-13.69127625906536,nan,1.0686931066433967,nan,1.0687691781001882,nan,1.0037295931588495,nan,1.002990106963176,nan
T ^ S,3,-13.525917321178474,nan,-14.237301690245918,nan,-14.333774810042772,nan,1.1056066582248059,nan,1.105294518410145,nan,1.0019273127753303,nan,1.0017133837850025,nan
v e D,3,-12.403606858388557,nan,-19.933575803203112,nan,-19.08151575341224,nan,1.0705637020749943,nan,1.070617164606619,nan,1.0002753303964758,nan,1.0005665947941769,nan
C ^ S,3,-12.945649488690384,nan,-14.00663930651768,nan,-14.0815629170393,nan,1.1097787573121594,nan,1.1094235506682097,nan,1.0027116265008205,nan,1.0022663791767077,nan
n c T,3,-12.59850907640056,nan,-14.03730949139919,nan,-14.226117999812784,nan,1.0760144007902492,nan,1.0760146601282643,nan,1.001045751633987,nan,1.0011127904846462,nan
s R p,3,-10.266226457906885,nan,-11.392909800706118,nan,-11.458610824972354,nan,1.1748726827724965,nan,1.1738380457089939,nan,1.0031650398779188,nan,1.0026010442649982,nan
D i D,3,-11.828326885026648,nan,-16.073906740436797,nan,-15.918728099448709,nan,1.0828008368245916,nan,1.082728169071836,nan,1.0013349745184417,nan,1.001310721684353,nan
S c g,3,-12.752225252376682,nan,-14.45789265213348,nan,-14.372447447297564,nan,1.0738763723138351,nan,1.0738880173564602,nan,1.0013766519823788,nan,1.0013311207880606,nan
C i S,3,-12.72510671907623,nan,-13.475194395548952,nan,-13.661069156190806,nan,1.0755303912990875,nan,1.0755296308751956,nan,1.0021192882439318,nan,1.001863717076058,nan
g i D,3,-11.41201176089442,nan,-14.542251982550702,nan,-14.490190421240813,nan,1.0903627664204194,nan,1.090212040039578,nan,1.0005506607929515,nan,1.000757726292648,nan
T c S,3,-14.296675104443343,nan,-11.993238168871528,nan,-12.388193374078678,nan,1.0637765928653287,nan,1.063897364464479,nan,1.0060155912585298,nan,1.0045599571583592,nan
z u T,3,-12.833791548408074,nan,-17.04046337011437,nan,-16.915506960649694,nan,1.0520302847622651,nan,1.0522780662126443,nan,1.001073536609945,nan,1.001126389887118,nan
S Y m,3,-12.084964547520721,nan,-13.326879206740193,nan,-13.221129964672684,nan,1.0784534072394059,nan,1.078407798533269,nan,1.002202643171806,nan,1.0019045152834736,nan
D ^ v,3,-12.281145689518283,nan,-9.019744598988032,nan,-9.341766514401506,nan,1.1346703482121128,nan,1.1340512827646323,nan,1.0157721488007831,nan,1.0114210318634704,nan
t W C,3,-12.254965508015239,nan,-12.827916321017188,nan,-12.909167063778272,nan,1.1007444469746002,nan,1.100487036614272,nan,1.0026421640609253,nan,1.0022323806705282,nan
g Y b,3,-11.643523561879144,nan,-14.20537966590815,nan,-14.141498484911487,nan,1.0749682341581752,nan,1.0749736851029508,nan,1,1,1.000375463295706,1.0
r c S,3,-11.829718865779187,nan,-10.703729321632277,nan,-10.976183035713948,nan,1.0987179227219128,nan,1.0984780096257694,nan,1.0070613428925168,nan,1.0052972843472991,nan
d R s,3,-10.103386036684753,nan,-11.780743620288865,nan,-11.81765513053685,nan,1.1214224016267775,nan,1.1209310248361284,nan,1.003234502317814,nan,1.0026350427711777,nan
S c z,3,-12.403495456769384,nan,-13.339908376115362,nan,-13.176144533470358,nan,1.088193552930575,nan,1.0880492374000332,nan,1.001101321585903,nan,1.0011399892895898,nan
y c d,3,-11.804899939008852,nan,-14.89749311941357,nan,-14.237385713417524,nan,1.1083155023990119,nan,1.107963005057634,nan,1.0005228758169935,nan,1.0007441268901762,nan
J u S,3,-13.735905410690568,nan,-13.136923597291824,nan,-13.390712943670295,nan,1.0703009514136157,nan,1.070354318935956,nan,1.00214707321989,nan,1.00187731647853,nan
h u S,3,-12.849137118082734,nan,-12.959685130409026,nan,-13.052711264997185,nan,1.0945512773588568,nan,1.094354318935956,nan,1.0024085111283867,nan,1.002061648275765,nan
g u S,3,-12.403299554684182,nan,-14.035893468223351,nan,-13.973603318047275,nan,1.0903791782715035,nan,1.0902252866778914,nan,1.001101321585903,nan,1.0011399892895898,nan
y R z,3,-11.643075095602015,nan,-9.677059144074802,nan,-9.857454924173611,nan,1.0886659817978197,nan,1.0885172923180317,nan,1.0035237252022688,nan,1.0028329739708846,nan
C e g,3,-12.302882594825185,nan,-14.0568462567281,nan,-14.176300467821159,nan,1.0911244571192482,nan,1.0909576663987337,nan,1.0032206098298349,nan,1.0026282430699418,nan
z i J,3,-11.979572697161277,nan,-inf,nan,-17.331619845946843,nan,1.0564191592547933,nan,1.0566221180492765,nan,1,1,1.000375463295706,1.0
m u S,3,-11.947180845157668,nan,-12.104026351599549,nan,-12.255855642507228,nan,1.1041992564983614,nan,1.10390270603273,nan,1.0045000143963605,nan,1.0035363026536452,nan
D Y m,3,-11.736051608917478,nan,-12.045520146006494,nan,-12.085055207808521,nan,1.0938380226240214,nan,1.0936336049848818,nan,1.0024640810803027,nan,1.0020888470807086,nan
J e g,3,-12.671306431253,nan,-13.66780313309755,nan,-13.875060230770528,nan,1.0913852133122077,nan,1.0912157309148627,nan,1.0032206098298349,nan,1.0026282430699418,nan
f u v,3,-12.237529962380776,nan,-11.987164035652105,nan,-12.096503158303118,nan,1.1181390872940125,nan,1.1176917284517334,nan,1.003537617690248,nan,1.0028397736721206,nan
v R n,3,-11.326861043381562,nan,-11.23580444697094,nan,-11.428780032892984,nan,1.118046786351289,nan,1.1175648009272101,nan,1.0024779735682818,nan,1.0020956467819444,nan
g i C,3,-11.959878656340758,nan,-12.084842582219927,nan,-12.293649838459304,nan,1.090913427213371,nan,1.0907567023489464,nan,1.0005506607929515,nan,1.000757726292648,nan
C i D,3,-12.376193780472988,nan,-15.199930395404792,nan,-15.238159701095624,nan,1.070023783369572,nan,1.0700830077815136,nan,1.0021192882439318,nan,1.001863717076058,nan
C Y z,3,-12.391307418283034,nan,-11.886337882127576,nan,-11.932076089567648,nan,1.077206343618341,nan,1.0771758075289821,nan,1.001101321585903,nan,1.0011399892895898,nan
d c T,3,-12.968752749545361,nan,-12.160570040613832,nan,-12.449010887601132,nan,1.0992217019636523,nan,1.098982402063748,nan,1.0023529411764707,nan,1.0020344494708213,nan
y R v,3,-12.640396050219024,nan,-12.584022235329758,nan,-12.699371597127742,nan,1.0779280963352647,nan,1.0778963772853518,nan,1.00214707321989,nan,1.00187731647853,nan
z i g,3,-10.64696684115489,nan,-14.784636820877235,nan,-14.830291280601879,nan,1.076242947801049,nan,1.0762299611865316,nan,1.0002753303964758,nan,1.0005665947941769,nan
S e g,3,-12.10392863798209,nan,-13.950418564020016,nan,-14.08031945161656,nan,1.0885168951896522,nan,1.0883770212374433,nan,1.0040049235553252,nan,1.003181238461647,nan
C e D,3,-12.719197718957414,nan,-18.034980287268308,nan,-17.41609140993811,nan,1.0770826068989838,nan,1.0770687775098446,nan,1.001843957847456,nan,1.001672585577587,nan
n W T,3,-13.046991569592414,nan,-13.33751256992643,nan,-13.558710317454414,nan,1.053792178568027,nan,1.054022422094629,nan,1.0021192882439318,nan,1.001863717076058,nan
T ^ J,3,-14.093295114449386,nan,-16.872191985443546,nan,-16.456418490175075,nan,1.0943181119692993,nan,1.094128941068097,nan,1.0002753303964758,nan,1.0005665947941769,nan
T c g,3,-13.531447041707871,nan,-13.157373939169005,nan,-13.436624844506163,nan,1.0723118351560776,nan,1.072339630259686,nan,1.002160965707869,nan,1.0018841161797658,nan
n c G,3,-11.139110456952054,nan,-12.466574410576374,nan,-12.509165559040952,nan,1.0922588941823197,nan,1.092082198254626,nan,1.0029730644093173,nan,1.0024507109739427,nan
s R n,3,-9.733142363539953,nan,-10.625344790511749,nan,-10.690690095912526,nan,1.234344048411263,nan,1.2326615751207586,nan,1.0050923526532491,nan,1.0039389647542947,nan
s R d,3,-10.103386036684753,nan,-10.602554933118643,nan,-10.678240523151139,nan,1.1825819338738182,nan,1.1814633180401486,nan,1.0045416918602976,nan,1.0035567017573528,nan
J e D,3,-13.08762155538523,nan,-17.645937163637758,nan,-17.114851172887477,nan,1.0773433630919433,nan,1.0773268420259736,nan,1.001843957847456,nan,1.001672585577587,nan
b c T,3,-13.399115409275254,nan,-11.631633124910474,nan,-11.942578843412063,nan,1.1122595116116314,nan,1.1118856278701996,nan,1.0026143790849673,nan,1.0022187812680563,nan
y ^ z,3,-11.248106652299194,nan,-10.659814252279741,nan,-10.789041608064638,nan,1.1493195765690616,nan,1.1485431655392477,nan,1.0051062451412285,nan,1.0039457644555307,nan
y c T,3,-13.912044083238023,nan,-13.623258098119502,nan,-13.753924099415945,nan,1.074449863632492,nan,1.07446627303149,nan,1.0005228758169935,nan,1.0007441268901762,nan
k R n,3,-9.967296919859304,nan,-10.915972069452186,nan,-10.985824315869323,nan,1.1892332270292552,nan,1.1880164138304359,nan,1.0035237252022688,nan,1.0028329739708846,nan
D i C,3,-12.376193780472988,nan,-13.616497340106019,nan,-13.7221875166672,nan,1.0833514976175431,nan,1.0832728313812043,nan,1.0013349745184417,nan,1.001310721684353,nan
D ^ S,3,-12.397782593244044,nan,-10.659149081888247,nan,-10.92806985143395,nan,1.122555810767179,nan,1.1220687119585322,nan,1.0108162016642193,nan,1.0079806648909932,nan
C ^ J,3,-13.513027281961296,nan,-16.64152960171531,nan,-16.204206597171602,nan,1.0984902110566528,nan,1.0982579733261617,nan,1.001059644121966,nan,1.001119590185882,nan
z u S,3,-12.054569759076886,nan,-16.33053341288596,nan,-16.195371635372098,nan,1.0622175094318687,nan,1.0623543189359559,nan,1.0016241974028965,nan,1.00150865288406,nan
n c d,3,-10.49136493217139,nan,-15.311544512693258,nan,-14.709579613814364,nan,1.1098800395567692,nan,1.1095113921544082,nan,1.001045751633987,nan,1.0011127904846462,nan
y ^ J,3,-12.929442303912877,nan,-15.07853373524626,nan,-14.758606802720449,nan,1.1151786074060661,nan,1.1147741023584197,nan,1.0026282715729464,nan,1.0022255809692922,nan
p u S,3,-12.003445683743804,nan,-12.548196805293996,nan,-12.666706962271089,nan,1.1117611860941894,nan,1.111386577000472,nan,1.0026699490368833,nan,1.002245980073,nan
y R p,3,-11.591951020268933,nan,-11.873982584936664,nan,-12.003447356111813,nan,1.0817827218859255,nan,1.0817090134509293,nan,1.0015964124269385,nan,1.001495053481588,nan
D Y v,3,-12.840761477453706,nan,-12.95125894766315,nan,-13.0265966853325,nan,1.0792455116108055,nan,1.0792000537866246,nan,1.0013627594943997,nan,1.0013243210868248,nan
s R t,3,-9.52138413445087,nan,-10.082568609067723,nan,-10.158746037465741,nan,1.2203021981909987,nan,1.2187726862318697,nan,1.0045416918602976,nan,1.0035567017573528,nan
y c G,3,-12.452645463789516,nan,-12.052523017296686,nan,-12.03697165864411,nan,1.0906943570245624,nan,1.0905338111578518,nan,1.0024501885923238,nan,1.0020820473794727,nan
z i C,3,-11.611148860733461,nan,-14.456443568018663,nan,-14.58952612793785,nan,1.062751758373736,nan,1.0628857346070109,nan,1.0005506607929515,nan,1.000757726292648,nan
S Y v,3,-13.189674416056949,nan,-14.23261800839685,nan,-14.162671442196663,nan,1.06386089622619,nan,1.0639742473350118,nan,1.001101321585903,nan,1.0011399892895898,nan
D i S,3,-12.177239823629892,nan,-14.34917074058096,nan,-14.34163755454389,nan,1.088307444754107,nan,1.088174792165518,nan,1.0013349745184417,nan,1.001310721684353,nan
S c S,3,-13.517453315112155,nan,-13.293756881836002,nan,-13.32401597687008,nan,1.0653411300230862,nan,1.0654457515612532,nan,1.0052312775330396,nan,1.004006961766654,nan
f R t,3,-10.417378966705122,nan,-11.78540630511822,nan,-11.68327727517527,nan,1.1465081955834369,nan,1.1457404281673536,nan,1.0024501885923238,nan,1.0020820473794727,nan
g i S,3,-11.76092469949766,nan,-12.817515982694866,nan,-12.913099876335995,nan,1.0958693743499348,nan,1.09565866313326,nan,1.0005506607929515,nan,1.000757726292648,nan
C u v,3,-13.250844670536992,nan,-12.146073433507247,nan,-12.40825756635694,nan,1.08215473266559,nan,1.082078825225927,nan,1.0040604935072415,nan,1.0032084372665906,nan
t R t,3,-9.32181546088637,nan,-9.706506648719754,nan,-9.814547913767038,nan,1.1704977653357185,nan,1.1694823636512246,nan,1.004280253951801,nan,1.0033723699601178,nan
S R z,3,-12.027706116807337,nan,-9.680193653878243,nan,-9.943381663392607,nan,1.0693700235188104,nan,1.0694205181244834,nan,1.0024779735682818,nan,1.0020956467819444,nan
S ^ J,3,-13.314073325118198,nan,-16.56327278597392,nan,-16.18826828864054,nan,1.0958826491270568,nan,1.0956773281648713,nan,1.0005367683049724,nan,1.0007509265914118,nan
S u T,3,-13.947749406750845,nan,-13.880008125811118,nan,-14.108468125015678,nan,1.0572454086214567,nan,1.057439356535225,nan,1.0013349745184417,nan,1.001310721684353,nan
s R l,3,-9.879150185971936,nan,-10.257559537196597,nan,-10.347995086531327,nan,1.210390303917871,nan,1.208968764663242,nan,1.0037157006708703,nan,1.00298330726194,nan
g u v,3,-12.286662650958423,nan,-12.838321737602175,nan,-12.844058383510546,nan,1.1024937157164374,nan,1.1022078574839915,nan,1.0027533039647578,nan,1.0022867782804155,nan
w u v,3,-12.24210662940819,nan,-13.664480360274217,nan,-13.262984658088712,nan,1.1147492567855377,nan,1.114336889742056,nan,1.0030147418732545,nan,1.0024711100776504,nan
C Y b,3,-12.607705581457713,nan,-15.304890831041279,nan,-15.181604187567459,nan,1.0546292511073279,nan,1.0548446528448863,nan,1,1,1.000375463295706,1.0
z u b,3,-11.157010063908794,nan,-17.736415601601923,nan,-17.403822204407444,nan,1.0624928398283444,nan,1.06262665009064,nan,1.0005228758169935,nan,1.0007441268901762,nan
J Y z,3,-12.75973125471085,nan,-12.595907047165134,nan,-12.323983033076962,nan,1.0774670998113005,nan,1.077433872045111,nan,1.001101321585903,nan,1.0011399892895898,nan
