word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.016767983030375,nan,-12.740942333331564,nan,-12.763530907378478,nan,1.1098708617311877,nan,1.1097808692386613,nan,1.0010850832961,nan,1.0011008144057378,nan
b O r,3,-13.318488872987292,nan,-inf,nan,-15.248802882533175,nan,1.1231964700741772,nan,1.1230722523130159,nan,1.0010850832961,nan,1.0011008144057378,nan
b O s,3,-13.348497920785116,nan,-13.575318408493324,nan,-13.531460291168644,nan,1.0936483820092873,nan,1.093600055061186,nan,1.0011494582156313,nan,1.00115917789354,nan
b U n,3,-10.867390618355717,nan,-inf,nan,-16.925969633948643,nan,1.1389766254383429,nan,1.1388125111817438,nan,1.0005744558626413,nan,1.0006375028866552,nan
b u r,3,-10.21539001103222,nan,-11.83390232288309,nan,-11.843419059205441,nan,1.2701933424811473,nan,1.2696947773018743,nan,1.017244827569516,nan,1.015751398487798,nan
b U s,3,-11.199120556110458,nan,-inf,nan,-17.154902517006125,nan,1.1227541457164425,nan,1.1226316970042685,nan,1.0005744558626413,nan,1.0006375028866552,nan
b W r,3,-11.57034430349611,nan,-16.300839203484625,nan,-15.91933890099507,nan,1.1430471115498906,nan,1.1428723414452497,nan,1.0007026592113548,nan,1.0007537803143427,nan
C e D,3,-12.616346697931354,nan,-18.05817640269337,nan,-18.036020397878392,nan,1.1034399846735614,nan,1.1033674738317183,nan,1.001862500743617,nan,1.0018052221906126,nan
C i D,3,-12.203904755408809,nan,-17.533111774191486,nan,-17.516048904453516,nan,1.105163352261485,nan,1.1050864526309796,nan,1.0049514039004241,nan,1.0046057705092766,nan
C O b,3,-15.791110355980713,nan,-20.57512263806594,nan,-19.912534643443763,nan,1.0220449642656804,nan,1.0221799356557975,nan,1,1,1.0001162774276873,1.0
C O g,3,-15.800946500857426,nan,-20.888513503060423,nan,-20.10518876644996,nan,1.040327441412584,nan,1.0404154563954917,nan,1,1,1.0001162774276873,1.0
C O v,3,-16.72208835438843,nan,-inf,nan,-21.207192553684735,nan,1.0117449771406644,nan,1.011906402844702,nan,1,1,1.0001162774276873,1.0
C u D,3,-12.335300349894972,nan,-17.652781379037,nan,-17.633169705560793,nan,1.1781830752461024,nan,1.177920221014503,nan,1.0012214840000486,nan,1.001223835052176,nan
C u S,3,-14.407033073956516,nan,-15.97531961634047,nan,-16.00663244698162,nan,1.1554587286515356,nan,1.1552542392500238,nan,1.00128585891958,nan,1.001282198539978,nan
C u T,3,-14.29114793220821,nan,-15.02495978823131,nan,-15.064102766891216,nan,1.1545574797780966,nan,1.154355305129053,nan,1.0017364833562996,nan,1.0016907429545923,nan
D e C,3,-12.616346697931354,nan,-13.134477280065367,nan,-13.113621928623932,nan,1.1569354976344948,nan,1.1567273874881558,nan,1.0180645384393052,nan,1.0165068215110693,nan
D e D,3,-10.473913160037704,nan,-14.8914864607343,nan,-14.855295341806649,nan,1.1803679683439066,nan,1.180099674633398,nan,1.0192876619104008,nan,1.0176157277793079,nan
D e J,3,-12.78195882127762,nan,-11.84188910845278,nan,-11.876691577213297,nan,1.1573861220712143,nan,1.1571768545486414,nan,1.0180645384393052,nan,1.0165068215110693,nan
D e S,3,-12.545645884099248,nan,-12.59904229032716,nan,-12.603988200112271,nan,1.1576436217493398,nan,1.1574336928689188,nan,1.0180645384393052,nan,1.0165068215110693,nan
D i C,3,-12.203904755408809,nan,-13.972914539768325,nan,-13.997661608898106,nan,1.1586588652224183,nan,1.1584463662874172,nan,1.0015351612424706,nan,1.0015089092724354,nan
D i D,3,-10.061471217515159,nan,-15.96002230956789,nan,-15.926293046611526,nan,1.1820913359318301,nan,1.1818186534326593,nan,1.0054620313338831,nan,1.0050690820283592,nan
D i S,3,-12.133203941576703,nan,-14.38194115887097,nan,-14.398239566184222,nan,1.1593669893372633,nan,1.1591526716681801,nan,1.0017282860010648,nan,1.0016839997358415,nan
D i T,3,-12.017318799828397,nan,-13.256744012325832,nan,-13.28279068197825,nan,1.1584657404638243,nan,1.1582537375472093,nan,1.0015351612424706,nan,1.0015089092724354,nan
d u r,3,-9.759944324039232,nan,-10.5755069459884,nan,-10.586735647779246,nan,1.2814837679452031,nan,1.28095646846431,nan,1.0264361213717756,nan,1.0240910058312855,nan
