word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.081111530250721,nan,-15.144214489320255,nan,-15.161203023933968,nan,1.1575327357003933,nan,1.15731356295698,nan,1.0016206086631876,nan,1.0015838780051614,nan
g i T,3,-12.39853573416648,nan,-12.942865013113193,nan,-12.979795108957624,nan,1.1065800404868493,nan,1.1064966087797674,nan,1.0004729090663425,nan,1.0005480663041293,nan
z i T,3,-12.439824397584102,nan,-16.978901906748074,nan,-16.96224653172728,nan,1.079291543022211,nan,1.0792807450587134,nan,1.0004729090663425,nan,1.0005480663041293,nan
y c g,3,-11.722626033811359,nan,-16.18556308439465,nan,-15.916183749002736,nan,1.186385938533278,nan,1.1860891661405006,nan,1.0009450242826985,nan,1.0009741962590328,nan
l R z,3,-11.58307980502116,nan,-12.609553449219929,nan,-12.611113008182606,nan,1.0841299108681812,nan,1.0841057819016489,nan,1.0003362044902717,nan,1.0004248354201308,nan
J Y p,3,-13.64804929353527,nan,-16.794489847443323,nan,-16.168722326557564,nan,1.0433489262385984,nan,1.0434335638724974,nan,1.0009458181326847,nan,1.0009748435264192,nan
C ^ z,3,-12.568452276004882,nan,-15.330713349159774,nan,-15.24029451261423,nan,1.1077285912991506,nan,1.107641526232301,nan,1.0035106572285841,nan,1.0032896923595485,nan
C e J,3,-14.857751463151693,nan,-14.737536741678419,nan,-14.79490848646211,nan,1.0788992344235466,nan,1.0788894590681959,nan,1.000737585868633,nan,1.0007874081308756,nan
z i S,3,-12.525007063305189,nan,-18.03901592438847,nan,-18.011550607623448,nan,1.0804400364690425,nan,1.0804261432530267,nan,1.0006080259424401,nan,1.000670002653355,nan
z u v,3,-11.891508702496326,nan,-20.57507399337903,nan,-20.4095050949904,nan,1.1535416222583628,nan,1.153332860824605,nan,1.0016881671012365,nan,1.001644846179774,nan
D Y p,3,-11.374156299653109,nan,-15.363417249459923,nan,-15.160793573342985,nan,1.11120320966534,nan,1.1111072396776611,nan,1.0010125827207472,nan,1.0010351644336457,nan
s R k,3,-10.965190793308496,nan,-13.598465001542838,nan,-13.598320534893151,nan,1.123484269642324,nan,1.123354343370539,nan,1.0007399674185924,nan,1.000789349933035,nan
b R s,3,-11.360397854005539,nan,-12.195375331504447,nan,-12.210933247313568,nan,1.1065372435712575,nan,1.10645206686002,nan,1.0015474932752335,nan,1.0015183789588435,nan
T ^ z,3,-12.43460124137668,nan,-15.38177819016869,nan,-15.243322118584086,nan,1.1093965923666713,nan,1.1093050875844435,nan,1.0033103634643967,nan,1.0031087296378691,nan
S c G,3,-14.296443199512096,nan,-14.740636566668284,nan,-14.680964337010575,nan,1.0226381047034523,nan,1.022778121585194,nan,1.0002702337521956,nan,1.000365161780291,nan
J e J,3,-15.047259909196104,nan,-15.53594475052879,nan,-15.572453770091453,nan,1.0831025971136987,nan,1.0830816336755953,nan,1.0006708212805706,nan,1.0007270872236496,nan
D ^ z,3,-10.484067728167133,nan,-8.526607194387918,nan,-8.54438859634724,nan,1.1797862374160442,nan,1.179507376644864,nan,1.0148606371992077,nan,1.013544246588044,nan
S Y p,3,-13.409872478583743,nan,-14.746430707402334,nan,-14.724126225037377,nan,1.0415474850856763,nan,1.0416369176121834,nan,1.0009458181326847,nan,1.0009748435264192,nan
n W C,3,-13.020083771241481,nan,-13.903937084787893,nan,-13.909468965856487,nan,1.0626559413352195,nan,1.0626894811662928,nan,1.0105495987638602,nan,1.009652639691004,nan
l W C,3,-13.509376471940321,nan,-14.666626069306298,nan,-14.664380285290516,nan,1.0747989891067702,nan,1.0748002078098915,nan,1.000067558438049,nan,1.0001822572564523,nan
S c d,3,-13.248977259087034,nan,-18.74112929303697,nan,-18.396334922304177,nan,1.0808734783016147,nan,1.0808565476733223,nan,1,1,1.0001212890818394,1.0
g i J,3,-12.721895214839092,nan,-14.584749976662092,nan,-14.606594798690592,nan,1.1073907417434363,nan,1.107305125152224,nan,1.0004729090663425,nan,1.0005480663041293,nan
C u T,3,-14.26035655512753,nan,-14.809029329556875,nan,-14.855777772456737,nan,1.1490592902773882,nan,1.1488626712880954,nan,1.0018876670154375,nan,1.0018251616340672,nan
D i g,3,-10.448002220956933,nan,-13.942318208783231,nan,-13.941496665549518,nan,1.1842266733991784,nan,1.183935535432139,nan,1.0042426861473122,nan,1.00395128053688,nan
w u T,3,-12.324729273027799,nan,-16.244665330056325,nan,-15.997229458800195,nan,1.2479383935600143,nan,1.2474785882431125,nan,1.0016873732512501,nan,1.0016441989123879,nan
