word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.395867645176088,nan,-9.929764275614348,nan,-10.925752340845726,nan,1.1762417397741185,nan,1.16686443961079,nan,1.0106951871657754,nan,1.0031793553100798,nan
b i l,3,-9.605298351608674,nan,-9.06210549257823,nan,-10.13293475220848,nan,1.2059795772594453,nan,1.1935054197455122,nan,1.0167927481413852,nan,1.0042610210753584,nan
b i s,3,-9.409183472682384,nan,-9.04464627120646,nan,-10.050357972286715,nan,1.2090283577472503,nan,1.1962302153858393,nan,1.0106951871657754,nan,1.0031793553100798,nan
b R s,3,-10.60057749480146,nan,-inf,nan,-12.608171392882802,nan,1.1582262187098171,nan,1.1502253727708271,nan,1,1,1.0010685373681274,1.0
b Y s,3,-10.41133549516293,nan,-9.582939289673062,nan,-10.603953272440554,nan,1.176942796249924,nan,1.1671745253132,nan,1.0057225772792486,nan,1.0021370747362548,nan
b ^ l,3,-10.213546088382133,nan,-inf,nan,-11.852093408573383,nan,1.2033057804680014,nan,1.1910841122394589,nan,1.0026737967914439,nan,1.0015962418536155,nan
C @ l,3,-11.312158377050244,nan,-inf,nan,-13.482051051238662,nan,1.1299513554043064,nan,1.1245297881063272,nan,1,1,1.0010685373681274,1.0
C i D,3,-11.802522928944892,nan,-inf,nan,-15.72940358558597,nan,1.0926160221579257,nan,1.0912252641538562,nan,1.0030487804878048,nan,1.0016093702507667,nan
C i n,3,-10.467521862212553,nan,-inf,nan,-13.169773389602035,nan,1.1688355343530479,nan,1.1593451551620306,nan,1.0060975609756098,nan,1.002150203133406,nan
C R J,3,-14.60335486349807,nan,-10.104303691966248,nan,-13.125031813958602,nan,1.029618761169273,nan,1.0343212389775363,nan,1.0026737967914439,nan,1.0015962418536155,nan
C R g,3,-12.693812358613632,nan,-inf,nan,-12.985919011495884,nan,1.0509602245839074,nan,1.053394808459825,nan,1.0026737967914439,nan,1.0015962418536155,nan
C R T,3,-13.910207682938125,nan,-inf,nan,-13.212043190948231,nan,1.032667541657078,nan,1.0370460346178632,nan,1.0026737967914439,nan,1.0015962418536155,nan
C ^ J,3,-14.020208578152454,nan,-inf,nan,-16.15757806063531,nan,1.0777471034152624,nan,1.077904774086495,nan,1,1,1.0010685373681274,1.0
C ^ n,3,-11.075769598986014,nan,-inf,nan,-12.521808431835323,nan,1.166161737561604,nan,1.1569238476559773,nan,1.021341463414634,nan,1.0048543675466022,nan
C ^ S,3,-13.008607666473974,nan,-inf,nan,-15.899748951333212,nan,1.0807958839030674,nan,1.080629569726822,nan,1,1,1.0010685373681274,1.0
