word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.083885549337804,nan,-inf,nan,-14.126765640876044,nan,1.09163578189139,nan,1.0905828523732455,nan,1.0020833333333334,nan,1.0014570786002897,nan
g i T,3,-12.134706950618813,nan,-11.8369394666694,nan,-13.259759022304603,nan,1.1001057272465815,nan,1.0983917101821032,nan,1.0023923444976077,nan,1.0014718495082717,nan
z i T,3,-11.952385393824859,nan,-inf,nan,-17.042825691478242,nan,1.0693680223285487,nan,1.0699826192730124,nan,1.0023923444976077,nan,1.0014718495082717,nan
y c g,3,-12.387703465082705,nan,-inf,nan,-13.461780394778625,nan,1.0887149645723846,nan,1.0876208762125794,nan,1.0047846889952152,nan,1.0019673896470231,nan
l R z,3,-10.881607904150192,nan,-10.881764099615214,nan,-11.64006455166636,nan,1.0851321672288021,nan,1.0842662432182082,nan,1,1,1.0009763093695205,1.0
J Y p,3,-13.561823306258958,nan,-inf,nan,-14.835005569990425,nan,1.0651786414620754,nan,1.0659482802495903,nan,1,1,1.0009763093695205,1.0
C ^ z,3,-12.169663825686671,nan,-inf,nan,-12.663312320223406,nan,1.1124887246058517,nan,1.1094993434513085,nan,1.0047846889952152,nan,1.0019673896470231,nan
C e J,3,-14.765796110584894,nan,-inf,nan,-15.391677581881835,nan,1.0793049128036187,nan,1.079191987052249,nan,1.0023923444976077,nan,1.0014718495082717,nan
z i S,3,-11.857075214020533,nan,-inf,nan,-17.062243777335343,nan,1.074152711323764,nan,1.0743494315000865,nan,1,1,1.0009763093695205,1.0
z u v,3,-12.208416811983904,nan,-inf,nan,-16.06624097095317,nan,1.0598783891547048,nan,1.0611482222290083,nan,1.0047846889952152,nan,1.0019673896470231,nan
D Y p,3,-11.903595229655426,nan,-inf,nan,-14.05686517659709,nan,1.0815720840850263,nan,1.0810997954011055,nan,1,1,1.0009763093695205,1.0
s R k,3,-10.321545787262929,nan,-11.882235480996666,nan,-12.15234436681238,nan,1.1606282845713387,nan,1.153738255921662,nan,1.0044756778309412,nan,1.0019526187390408,nan
b R s,3,-10.708661756702895,nan,-9.024058869552109,nan,-10.21482517413638,nan,1.1691681700525531,nan,1.1616034802170172,nan,1.0086423444976078,nan,1.0029141572005793,nan
T ^ z,3,-12.351985382480624,nan,-inf,nan,-12.337163966943828,nan,1.1165870852615893,nan,1.1132872222391872,nan,1.0047846889952152,nan,1.0019673896470231,nan
S c G,3,-13.402434269770112,nan,-inf,nan,-13.945915526748356,nan,1.0654876526263497,nan,1.0662086094400505,nan,1.0023923444976077,nan,1.0014718495082717,nan
J e J,3,-15.864408399253003,nan,-11.796117472149145,nan,-14.940366085648252,nan,1.0752065521478809,nan,1.0754041082643702,nan,1.0044756778309412,nan,1.0019526187390408,nan
D ^ z,3,-11.610048037751248,nan,-9.627230870117382,nan,-11.02839532248832,nan,1.1247838065730646,nan,1.1208629798149448,nan,1.0068680223285487,nan,1.0024481588777923,nan
S Y p,3,-12.550222394580478,nan,-inf,nan,-14.979586798801535,nan,1.0651786414620754,nan,1.0659482802495903,nan,1,1,1.0009763093695205,1.0
n W C,3,-12.418162672567412,nan,-12.15132074547642,nan,-13.494557596995955,nan,1.0550270282636547,nan,1.0567212263718813,nan,1.0020833333333334,nan,1.0014570786002897,nan
l W C,3,-12.610847016396914,nan,-11.791582316983753,nan,-13.208943777608233,nan,1.0591253889193923,nan,1.0605091051597602,nan,1,1,1.0009763093695205,1.0
S c d,3,-12.535623595159326,nan,-inf,nan,-14.302590470687086,nan,1.1013728200904644,nan,1.0989597011431074,nan,1,1,1.0009763093695205,1.0
g i J,3,-13.050997682492968,nan,-inf,nan,-14.23320816801871,nan,1.097713382748974,nan,1.096208304068566,nan,1,1,1.0009763093695205,1.0
C u T,3,-13.931183409725008,nan,-inf,nan,-15.066923854156844,nan,1.0629472573012262,nan,1.064067700858094,nan,1.0020833333333334,nan,1.0014570786002897,nan
