word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.224985914668853,nan,-inf,nan,-11.889628952673792,nan,1.194919407052414,nan,1.1862084952185556,nan,1.001908396946565,nan,1.0014817734475558,nan
b O r,3,-12.598190160558797,nan,-inf,nan,-11.798204849510109,nan,1.1647469932593104,nan,1.1583754932304842,nan,1.001908396946565,nan,1.0014817734475558,nan
b O s,3,-12.384616060260736,nan,-inf,nan,-11.679472596886393,nan,1.156126303604138,nan,1.150423206948178,nan,1.001908396946565,nan,1.0014817734475558,nan
b U n,3,-11.349517177314953,nan,-inf,nan,-11.628745073376736,nan,1.210186582624933,nan,1.2004180866928007,nan,1.0038167938931297,nan,1.001970771002568,nan
b u r,3,-10.423438439074634,nan,-9.983667850743652,nan,-10.630599689355048,nan,1.202914932190608,nan,1.193899471916097,nan,1.0059719663069229,nan,1.0024745493400995,nan
b U s,3,-11.509147322906838,nan,-inf,nan,-11.418588717589337,nan,1.1713934791766571,nan,1.164632798422423,nan,1.0038167938931297,nan,1.001970771002568,nan
b W r,3,-11.072133857063747,nan,-inf,nan,-11.729211978023157,nan,1.1819225657783943,nan,1.1743612836390098,nan,1.001908396946565,nan,1.0014817734475558,nan
C e D,3,-12.95146951549639,nan,-inf,nan,-15.319663951852695,nan,1.0891380149906142,nan,1.0883771203036783,nan,1.0038167938931297,nan,1.001970771002568,nan
C i D,3,-12.423836773414019,nan,-13.91019554237468,nan,-14.973039343767464,nan,1.0853212210974845,nan,1.084824722435117,nan,1.0040635693603581,nan,1.0019855517850873,nan
C O b,3,-14.631111686603738,nan,-inf,nan,-16.044762732219244,nan,1.0304712605815591,nan,1.0337386986135702,nan,1,1,1.0009927758925437,1.0
C O g,3,-15.20984851598594,nan,-inf,nan,-14.62651677129275,nan,1.0347816054091454,nan,1.0377148417547233,nan,1,1,1.0009927758925437,1.0
C O v,3,-15.876327449463723,nan,-inf,nan,-13.918416041065747,nan,1.0283160881677662,nan,1.0317506270429937,nan,1,1,1.0009927758925437,1.0
C u D,3,-13.244817325483849,nan,-inf,nan,-15.560826008669583,nan,1.0643288546852707,nan,1.06528653415803,nan,1.001908396946565,nan,1.0014817734475558,nan
C u S,3,-13.873425984906223,nan,-inf,nan,-14.49038459696817,nan,1.0535529926163052,nan,1.0553461763051473,nan,1.001908396946565,nan,1.0014817734475558,nan
C u T,3,-14.448790129809785,nan,-inf,nan,-14.91646899227907,nan,1.0578633374438913,nan,1.0593223194463004,nan,1.001908396946565,nan,1.0014817734475558,nan
D e C,3,-12.95146951549639,nan,-inf,nan,-12.680606622237436,nan,1.109217914065467,nan,1.1071282498897979,nan,1.0095419847328244,nan,1.0034377636676048,nan
D e D,3,-11.948167406632605,nan,-inf,nan,-13.50810185532846,nan,1.1135282588930533,nan,1.111104393030951,nan,1.0095419847328244,nan,1.0034377636676048,nan
D e J,3,-13.96307042717487,nan,-9.825430617009394,nan,-12.350649066637416,nan,1.104907569237881,nan,1.1031521067486447,nan,1.0116971571466176,nan,1.0039415420051363,nan
D e S,3,-12.576776066054979,nan,-inf,nan,-12.437660443627047,nan,1.1027523968240878,nan,1.1011640351780683,nan,1.0095419847328244,nan,1.0034377636676048,nan
D i C,3,-12.423836773414019,nan,-inf,nan,-14.279892163207519,nan,1.1054011201723373,nan,1.1035758520212366,nan,1.001908396946565,nan,1.0014817734475558,nan
D i D,3,-11.420534664550233,nan,-14.159725848862085,nan,-14.414240215738596,nan,1.1097114649999236,nan,1.1075519951623898,nan,1.0040635693603581,nan,1.0019855517850873,nan
D i S,3,-12.049143323972608,nan,-inf,nan,-14.03694598459713,nan,1.098935602930958,nan,1.097611637309507,nan,1.001908396946565,nan,1.0014817734475558,nan
D i T,3,-12.62450746887617,nan,-inf,nan,-14.46303037990803,nan,1.1032459477585441,nan,1.1015877804506602,nan,1.001908396946565,nan,1.0014817734475558,nan
d u r,3,-10.269287759247376,nan,-11.428802711886476,nan,-11.891125720330377,nan,1.15413444438573,nan,1.1484449264615515,nan,1.0078803632534878,nan,1.002963546895112,nan
D W C,3,-13.893512743472959,nan,-inf,nan,-13.481384466989747,nan,1.0634163873479097,nan,1.0644994754670625,nan,1.0021551724137931,nan,1.001496554230075,nan
D W D,3,-12.890210634609174,nan,-inf,nan,-15.002026880640715,nan,1.067726732175496,nan,1.0684756186082156,nan,1,1,1.0009927758925437,1.0
D W T,3,-14.09418343893511,nan,-inf,nan,-13.664522683690258,nan,1.0612612149341165,nan,1.062511403896486,nan,1.0021551724137931,nan,1.001496554230075,nan
f U n,3,-11.955652980885269,nan,-inf,nan,-13.10841807598179,nan,1.163282267427935,nan,1.156711792986507,nan,1,1,1.0009927758925437,1.0
f u r,3,-11.029574242644951,nan,-inf,nan,-12.803419872520047,nan,1.15601061699361,nan,1.1501931782098032,nan,1.0021551724137931,nan,1.001496554230075,nan
f U s,3,-12.115283126477152,nan,-inf,nan,-12.898261720194391,nan,1.124489163979659,nan,1.1209265047161292,nan,1,1,1.0009927758925437,1.0
f W r,3,-11.678269660634061,nan,-inf,nan,-13.208884980628211,nan,1.1350182505813962,nan,1.130654989932716,nan,1,1,1.0009927758925437,1.0
f ^ r,3,-10.537097757547155,nan,-inf,nan,-12.174811213097673,nan,1.1846365711920832,nan,1.1768361622240127,nan,1.0076335877862594,nan,1.0029487661125926,nan
g U n,3,-11.928254006697154,nan,-inf,nan,-12.773183463280926,nan,1.1501490591727754,nan,1.1444740307487449,nan,1.001908396946565,nan,1.0014817734475558,nan
g U S,3,-13.95968632919063,nan,-10.582586517370014,nan,-12.50586869365358,nan,1.0531663005520857,nan,1.0550108100728006,nan,1.0040635693603581,nan,1.0019855517850873,nan
g U T,3,-14.535050474094191,nan,-inf,nan,-13.625100269524424,nan,1.0574766453796718,nan,1.0589869532139538,nan,1.001908396946565,nan,1.0014817734475558,nan
g W C,3,-13.683792212490891,nan,-inf,nan,-13.63385306063402,nan,1.0615402147400297,nan,1.0627512237188108,nan,1.0021551724137931,nan,1.001496554230075,nan
g W D,3,-12.680490103627106,nan,-inf,nan,-15.15449547428499,nan,1.065850559567616,nan,1.066727366859964,nan,1,1,1.0009927758925437,1.0
g W T,3,-13.884462907953042,nan,-inf,nan,-13.816991277334532,nan,1.0593850423262365,nan,1.0607631521482344,nan,1.0021551724137931,nan,1.001496554230075,nan
g ^ r,3,-10.509698783359042,nan,-inf,nan,-13.44901451283091,nan,1.1715033629369236,nan,1.1645983999862506,nan,1.001908396946565,nan,1.0014817734475558,nan
h U n,3,-11.850292465227442,nan,-inf,nan,-12.811404676101125,nan,1.182043993506734,nan,1.1741943104690244,nan,1,1,1.0009927758925437,1.0
h u r,3,-10.924213726987123,nan,-11.467023924706675,nan,-11.813259292079437,nan,1.174772343072409,nan,1.1676756956923207,nan,1.0040635693603581,nan,1.0019855517850873,nan
h U s,3,-12.009922610819327,nan,-inf,nan,-12.601248320313726,nan,1.1432508900584581,nan,1.1384090221986467,nan,1,1,1.0009927758925437,1.0
h W r,3,-11.572909144976236,nan,-inf,nan,-11.525577219627655,nan,1.1537799766601953,nan,1.1481375074152336,nan,1.0057251908396947,nan,1.0024597685575805,nan
J O b,3,-15.64271259828222,nan,-inf,nan,-16.120270284727386,nan,1.0248427427579194,nan,1.028493943368815,nan,1,1,1.0009927758925437,1.0
J ^ r,3,-12.734322334883377,nan,-inf,nan,-15.02946488839176,nan,1.1433607738187248,nan,1.1383746237624743,nan,1.001908396946565,nan,1.0014817734475558,nan
k E G,3,-11.375752521778338,nan,-inf,nan,-13.418374278046484,nan,1.144598571165415,nan,1.1399798059202204,nan,1,1,1.0009927758925437,1.0
k E S,3,-11.899000665542887,nan,-inf,nan,-14.183494958231519,nan,1.125202019441277,nan,1.1220871617850317,nan,1,1,1.0009927758925437,1.0
k i b,3,-9.61443407805152,nan,-inf,nan,-14.124361855660855,nan,1.1402882263378287,nan,1.1360036627790673,nan,1.001908396946565,nan,1.0014817734475558,nan
k i C,3,-11.406193547279576,nan,-inf,nan,-12.881922770507122,nan,1.1316675366826563,nan,1.1280513764967612,nan,1.001908396946565,nan,1.0014817734475558,nan
k i D,3,-10.402891438415791,nan,-12.630685065512285,nan,-13.016270823038203,nan,1.1359778815102426,nan,1.1320275196379144,nan,1.0040635693603581,nan,1.0019855517850873,nan
k i r,3,-9.373272021234634,nan,-9.748281477265296,nan,-10.512282165366353,nan,1.1920123642688631,nan,1.1837173804729044,nan,1.0083739141879442,nan,1.0029931084601504,nan
k u f,3,-11.041550433691665,nan,-inf,nan,-14.379442766737238,nan,1.1063648254428564,nan,1.104537045078521,nan,1,1,1.0009927758925437,1.0
k U m,3,-11.66167247923672,nan,-inf,nan,-12.57391845526293,nan,1.1459640620840779,nan,1.140876733413873,nan,1.001908396946565,nan,1.0014817734475558,nan
k U n,3,-11.12033131154478,nan,-inf,nan,-12.60903983805615,nan,1.1782916482909744,nan,1.1706978069725211,nan,1.001908396946565,nan,1.0014817734475558,nan
k U p,3,-11.935368309713763,nan,-inf,nan,-13.100830216780544,nan,1.105015786222009,nan,1.1031033735729188,nan,1.001908396946565,nan,1.0014817734475558,nan
k u r,3,-10.194252573304462,nan,-inf,nan,-12.997188815154352,nan,1.1710199978566493,nan,1.1641791921958173,nan,1.0021551724137931,nan,1.001496554230075,nan
l U n,3,-11.108355120498064,nan,-inf,nan,-12.787036085084168,nan,1.1520252317806552,nan,1.1462222824969965,nan,1.0038167938931297,nan,1.001970771002568,nan
l R l,3,-10.440105491559848,nan,-11.844318155848143,nan,-12.28117820382956,nan,1.1048582141444352,nan,1.1026965805806086,nan,1.0021551724137931,nan,1.001496554230075,nan
m W l,3,-10.999108722048856,nan,-inf,nan,-12.225719581193857,nan,1.129312906724244,nan,1.125479747679939,nan,1.0038167938931297,nan,1.001970771002568,nan
m W r,3,-10.999108722048856,nan,-inf,nan,-12.299827553347578,nan,1.1443991136207956,nan,1.1393962486739748,nan,1.0038167938931297,nan,1.001970771002568,nan
m W t,3,-10.509944595064045,nan,-8.851012975621874,nan,-9.994898404064704,nan,1.1681060101725198,nan,1.1612650359503167,nan,1.0059719663069229,nan,1.0024745493400995,nan
n c n,3,-10.00118169952792,nan,-inf,nan,-14.221956014866574,nan,1.1652873373905543,nan,1.1585718334788744,nan,1,1,1.0009927758925437,1.0
n W C,3,-12.490689080401859,nan,-11.540758142392795,nan,-13.067722591677404,nan,1.0690449051715494,nan,1.0697442307118177,nan,1.0040635693603581,nan,1.0019855517850873,nan
n W D,3,-11.487386971538074,nan,-inf,nan,-14.588365005328372,nan,1.0733552499991357,nan,1.0737203738529708,nan,1.001908396946565,nan,1.0014817734475558,nan
n ^ r,3,-9.31659565127001,nan,-inf,nan,-12.728733364047036,nan,1.1790080533684433,nan,1.1715914069792575,nan,1.0038167938931297,nan,1.001970771002568,nan
p c k,3,-11.201399134633563,nan,-inf,nan,-12.608353731682751,nan,1.1364330965935048,nan,1.132007443594405,nan,1.0043103448275863,nan,1.0020003325676066,nan
p c p,3,-11.631255695865887,nan,-inf,nan,-14.035913448004067,nan,1.097639993145229,nan,1.0962221553240272,nan,1,1,1.0009927758925437,1.0
p c s,3,-10.975848843288787,nan,-inf,nan,-12.235354424824164,nan,1.1321227517659185,nan,1.1280313004532518,nan,1.0021551724137931,nan,1.001496554230075,nan
p O l,3,-12.798860856020948,nan,-inf,nan,-13.010866213836952,nan,1.1027564711657607,nan,1.1007526985301546,nan,1,1,1.0009927758925437,1.0
p O m,3,-12.966997777822945,nan,-inf,nan,-13.141276906361137,nan,1.1156875056485194,nan,1.1126811279536137,nan,1,1,1.0009927758925437,1.0
p O n,3,-12.425656610131004,nan,-inf,nan,-13.176398289154356,nan,1.1480150918554157,nan,1.142502201512262,nan,1,1,1.0009927758925437,1.0
p O r,3,-12.798860856020948,nan,-inf,nan,-13.084974185990673,nan,1.1178426780623123,nan,1.1146691995241904,nan,1,1,1.0009927758925437,1.0
p O s,3,-12.585286755722887,nan,-inf,nan,-12.966241933366957,nan,1.10922198840714,nan,1.1067169132418841,nan,1,1,1.0009927758925437,1.0
p O t,3,-12.309696729036135,nan,-inf,nan,-12.571804505935855,nan,1.1415495746140365,nan,1.1365379868005323,nan,1,1,1.0009927758925437,1.0
p u k,3,-10.636085325583501,nan,-11.697455336789442,nan,-12.171636080070481,nan,1.1517002721660239,nan,1.14621703506865,nan,1.0040635693603581,nan,1.0019855517850873,nan
p U m,3,-12.091529040469045,nan,-inf,nan,-12.187245846504133,nan,1.1309546812210385,nan,1.1268907194278588,nan,1.0038167938931297,nan,1.001970771002568,nan
p U n,3,-11.550187872777103,nan,-inf,nan,-12.222367229297353,nan,1.163282267427935,nan,1.156711792986507,nan,1.0038167938931297,nan,1.001970771002568,nan
p U p,3,-12.365224870946086,nan,-inf,nan,-12.714157608021747,nan,1.0900064053589695,nan,1.0891173595869046,nan,1.0038167938931297,nan,1.001970771002568,nan
p U s,3,-11.709818018368988,nan,-inf,nan,-12.012210873509954,nan,1.124489163979659,nan,1.1209265047161292,nan,1.0038167938931297,nan,1.001970771002568,nan
p u v,3,-12.110486954213659,nan,-9.909396149304243,nan,-11.388199004434352,nan,1.1021313066487826,nan,1.1004913889453896,nan,1.0062187417741513,nan,1.0024893301226188,nan
r U n,3,-11.108355120498064,nan,-inf,nan,-13.684977678290126,nan,1.138892023525496,nan,1.1339845202592342,nan,1,1,1.0009927758925437,1.0
r W r,3,-10.830971800246857,nan,-inf,nan,-13.379979474828383,nan,1.1106280066789571,nan,1.1079277172054434,nan,1,1,1.0009927758925437,1.0
S c g,3,-13.22571715411043,nan,-inf,nan,-13.231469619063265,nan,1.0633108865915637,nan,1.0642739842108462,nan,1.0043103448275863,nan,1.0020003325676066,nan
s c p,3,-10.975848843288787,nan,-inf,nan,-12.362371136427495,nan,1.144544308342227,nan,1.139928449030321,nan,1.001908396946565,nan,1.0014817734475558,nan
s U g,3,-12.087884152289039,nan,-inf,nan,-13.526703281279005,nan,1.1326003757283813,nan,1.1288475101520452,nan,1,1,1.0009927758925437,1.0
S U g,3,-13.959686329190628,nan,-inf,nan,-13.701473248308998,nan,1.0556772988053043,nan,1.0571691884737235,nan,1.001908396946565,nan,1.0014817734475558,nan
s U k,3,-11.279961457136665,nan,-inf,nan,-11.587136606145867,nan,1.1757038240042434,nan,1.168608941563576,nan,1.0064655172413792,nan,1.0025041109051382,nan
s U m,3,-11.436122187891947,nan,-inf,nan,-12.99861018471556,nan,1.1778589964180366,nan,1.1705970131341525,nan,1,1,1.0009927758925437,1.0
s U n,3,-10.894781020200005,nan,-inf,nan,-13.033731567508779,nan,1.210186582624933,nan,1.2004180866928007,nan,1,1,1.0009927758925437,1.0
s U p,3,-11.709818018368988,nan,-inf,nan,-13.525521946233173,nan,1.1369107205559676,nan,1.1328236532931983,nan,1,1,1.0009927758925437,1.0
