word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.428698186972635,nan,-9.560038927990654,nan,-9.741992476819936,nan,1.1734103570524066,nan,1.172226715034057,nan,1.0095789097907741,nan,1.0068245914784195,nan
b i l,3,-9.556766272073956,nan,-9.625400499248212,nan,-9.764592731899146,nan,1.2036091836495382,nan,1.2020462292972756,nan,1.0120894642081082,nan,1.008495659026184,nan
b i s,3,-9.356959400938981,nan,-9.422027977555876,nan,-9.549596223576271,nan,1.1955963631367177,nan,1.1941348368922122,nan,1.0092048488234928,nan,1.0065888793651672,nan
b R s,3,-10.181083694318353,nan,-9.59130539346415,nan,-9.751304710182273,nan,1.1601847408606887,nan,1.1591467986147004,nan,1.0056085863289252,nan,1.0041577957806842,nan
b Y s,3,-10.234988959154556,nan,-10.156439337034172,nan,-10.291082155898032,nan,1.1707779611996716,nan,1.1696133057917337,nan,1.0046113491028745,nan,1.0035063040893633,nan
b ^ l,3,-10.080893958533032,nan,-10.602701201393831,nan,-10.689162416173712,nan,1.2132944136737511,nan,1.211615607287706,nan,1.0110029800707767,nan,1.0078044211574089,nan
C @ l,3,-11.275788821874375,nan,-12.876870030944891,nan,-12.965891271818784,nan,1.1351572437201554,nan,1.1344101179367394,nan,1.0034720928788725,nan,1.002722440346172,nan
C i D,3,-12.409066082020713,nan,-14.353845228624635,nan,-14.515520625574558,nan,1.0871509421121588,nan,1.08701444232654,nan,1.0040060222263612,nan,1.0030984737467858,nan
C i n,3,-10.558466112769725,nan,-10.423591458881198,nan,-10.691390202536622,nan,1.1595868395480562,nan,1.158533429668312,nan,1.0075316632520022,nan,1.005428982221362,nan
C R J,3,-13.55164410651862,nan,-13.233246110845506,nan,-13.511597506000868,nan,1.044367524964335,nan,1.0447479230363699,nan,1.0003026634382566,nan,1.000619694749357,nan
C R g,3,-12.598539401521748,nan,-14.7459666037778,nan,-14.4347692244273,nan,1.0607136788104887,nan,1.060887163542699,nan,1.0003026634382566,nan,1.000619694749357,nan
C R T,3,-13.926337555960028,nan,-12.684199274259317,nan,-13.097391329971483,nan,1.0453290634258734,nan,1.0456972901249775,nan,1.0006231762587694,nan,1.0008315591561368,nan
C ^ J,3,-13.251647499598324,nan,-inf,nan,-16.874573674842825,nan,1.0894643772645771,nan,1.0893053393043124,nan,1.0003026634382566,nan,1.000619694749357,nan
C ^ n,3,-11.082593799228802,nan,-12.606503362018408,nan,-12.265413934246217,nan,1.1692720695722694,nan,1.1681028076587427,nan,1.0124821506177437,nan,1.0086705422069842,nan
C ^ S,3,-12.798715854251236,nan,-15.084786651780995,nan,-14.773701486889372,nan,1.0955541208543207,nan,1.0953179975321605,nan,1.0009436890792822,nan,1.0010434235629164,nan
C ^ C,3,-12.839261948645586,nan,-14.55653735104151,nan,-14.305235136962525,nan,1.0961951464953463,nan,1.0959509089245656,nan,1.0025462531818463,nan,1.0021027455968148,nan
d i k,3,-9.304156136019833,nan,-11.250777705975299,nan,-11.340849509828306,nan,1.170145210179535,nan,1.1689809924786876,nan,1.0043979325758987,nan,1.0033421350955292,nan
d i s,3,-9.081012584705622,nan,-10.6320653483646,nan,-10.72878221535581,nan,1.1621323896667146,nan,1.1610696000736243,nan,1.003756906934873,nan,1.0029184062819698,nan
d i t,3,-8.895917101028942,nan,-9.440995043323134,nan,-9.556461832303492,nan,1.1871323896667145,nan,1.1857531443774216,nan,1.0098466505246166,nan,1.0069438300107834,nan
d E p,3,-10.367311178362094,nan,-12.566580735411659,nan,-12.598021982276174,nan,1.1317744707494737,nan,1.1310873155360432,nan,1.0030980319115912,nan,1.0024867282329195,nan
d R s,3,-9.905136878084994,nan,-10.552381529932724,nan,-10.684308360416786,nan,1.1267207673906856,nan,1.1260815617961124,nan,1.0037926056993853,nan,1.0029343047529518,nan
D i D,3,-12.502997901854917,nan,-16.060406557987243,nan,-16.003023401529866,nan,1.0907686689737808,nan,1.090589062523144,nan,1.0018873781585647,nan,1.0016710675477647,nan
D i g,3,-11.86834692797658,nan,-14.364301561904838,nan,-14.4003496941461,nan,1.0997430279481397,nan,1.099449822016815,nan,1.0025284037995903,nan,1.002094796361324,nan
D i C,3,-12.409066082020713,nan,-13.451061455471894,nan,-13.61588963894158,nan,1.0901276433327551,nan,1.089956151130739,nan,1.0028489166201031,nan,1.0023066607681037,nan
d I J,3,-11.217028988544971,nan,-11.676040930708524,nan,-11.986481771608076,nan,1.136558881254223,nan,1.135837936334299,nan,1.0093825665859564,nan,1.0067371498880195,nan
d I D,3,-10.898575257426437,nan,-14.009397682369324,nan,-14.019850712320482,nan,1.143930676126018,nan,1.1431164173469572,nan,1.0109851306885205,nan,1.007796471921918,nan
d Y p,3,-10.444272219498222,nan,-12.132944750336797,nan,-12.203971075452449,nan,1.1193652697809506,nan,1.1188265499858039,nan,1.0052523747439002,nan,1.0039300329029226,nan
d Y t,3,-9.773946659244515,nan,-9.995779861862344,nan,-10.128955061771354,nan,1.1623139877296684,nan,1.1612316132769431,nan,1.009098528590054,nan,1.0064724057842784,nan
d I T,3,-11.591722437986384,nan,-12.04328482599649,nan,-12.36073295594296,nan,1.1375204197157616,nan,1.1367873034229066,nan,1.0093825665859564,nan,1.0067371498880195,nan
d I Z,3,-14.171939267578708,nan,-inf,nan,-15.690932787865787,nan,1.133353753049095,nan,1.1326733793722736,nan,1.0093825665859564,nan,1.0067371498880195,nan
f i k,3,-10.12100603125646,nan,-11.871157492374383,nan,-11.976380787661254,nan,1.1641156654101652,nan,1.163023292151014,nan,1.0043979325758987,nan,1.0033421350955292,nan
f i s,3,-9.897862479942251,nan,-11.252445134763683,nan,-11.36431349318876,nan,1.1561028448973447,nan,1.1551118997459506,nan,1.003756906934873,nan,1.0029184062819698,nan
f R s,3,-10.721986773321621,nan,-11.071361201890078,nan,-11.189786510001536,nan,1.1206912226213157,nan,1.1201238614684388,nan,1.0037926056993853,nan,1.0029343047529518,nan
f R t,3,-10.536891289644942,nan,-10.518515014970427,nan,-10.64162043602221,nan,1.1456912226213156,nan,1.1448074057722362,nan,1.0050746569814366,nan,1.0037817623800702,nan
f Y k,3,-10.999035589472035,nan,-10.523792977622708,nan,-10.724225168106512,nan,1.139297263473119,nan,1.1385017610505352,nan,1.0059647979139505,nan,1.0043855586584454,nan
