word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.572044783834722,nan,-13.093759081935238,nan,-13.27339858199689,nan,1.0836860676463205,nan,1.0835936827779091,nan,1.0009573472145221,nan,1.0010587968309814,nan
g i T,3,-12.508426637969885,nan,-12.151623401911397,nan,-12.57147630279352,nan,1.0981120153193038,nan,1.0978409114583323,nan,1.001639151060842,nan,1.0015002030866276,nan
z i T,3,-11.842057576491333,nan,-13.354890327465714,nan,-13.697482609278207,nan,1.0847122022934392,nan,1.0846060699686433,nan,1.0035164977441962,nan,1.0027512456220737,nan
y c g,3,-13.408655412804388,nan,-13.693241787404448,nan,-13.533106734405667,nan,1.0627611591001014,nan,1.0629148520994065,nan,1.0019707160475793,nan,1.0017168408682569,nan
l R z,3,-10.314212931350323,nan,-10.395378011409951,nan,-10.524163890635823,nan,1.091025540952321,nan,1.0908244154895703,nan,1.000976021087367,nan,1.0010669275233695,nan
J Y p,3,-12.273852732788821,nan,-14.457670679123122,nan,-14.172336394972286,nan,1.0868766813837174,nan,1.0867198747394766,nan,1.0023022810343167,nan,1.001933478649886,nan
C ^ z,3,-11.664138381555357,nan,-12.724179643854834,nan,-12.405366831236512,nan,1.1145785682445388,nan,1.114085257182422,nan,1.0042916709547411,nan,1.0032333053396605,nan
C e J,3,-13.336882443959878,nan,-12.962458471505187,nan,-13.34572883002255,nan,1.0674585774071859,nan,1.0675663015847285,nan,1.0018960205561993,nan,1.0016843180987045,nan
z i S,3,-11.032838224678635,nan,-14.397303566446126,nan,-14.402353253534212,nan,1.0896856770945,nan,1.089514446931994,nan,1.0028533677707212,nan,1.0023179700588156,nan
z u v,3,-12.12016260926291,nan,-13.777964646951348,nan,-13.795828973984534,nan,1.0737888166289977,nan,1.0738092585732806,nan,1.0022836071614716,nan,1.0019253479574979,nan
