word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.830169604854383,nan,-11.417117764020519,nan,-11.838290569496255,nan,1.1661374366217385,nan,1.1649683163969116,nan,1.0009775143604611,nan,1.0010679803576337,nan
b O r,3,-12.974612473236352,nan,-inf,nan,-13.661948532432282,nan,1.147538964353389,nan,1.146613678573247,nan,1.0003132832080202,nan,1.0006342349661785,nan
b O s,3,-12.759269048137451,nan,-12.023536557093813,nan,-12.154404971724373,nan,1.1355828036094502,nan,1.1348142685437486,nan,1.0006453987842407,nan,1.000851107661906,nan
b U n,3,-11.594698133469077,nan,-inf,nan,-12.675144470722376,nan,1.1808617473986809,nan,1.1795103956048323,nan,1.0015664160401003,nan,1.00146895950708,nan
b u r,3,-10.621334265926787,nan,-12.19203069283897,nan,-12.193589218258087,nan,1.1854462325238153,nan,1.1840517973851281,nan,1.003815895600842,nan,1.0029543021351643,nan
b U s,3,-11.523797576752145,nan,-inf,nan,-12.58579376484233,nan,1.1503071143863925,nan,1.1493563477516693,nan,1.0015664160401003,nan,1.00146895950708,nan
b W r,3,-11.389467253371295,nan,-13.215657174622514,nan,-13.061966594436345,nan,1.159130443050131,nan,1.1580616983752272,nan,1.0012719652002808,nan,1.0012684699323566,nan
C e D,3,-12.941436505393868,nan,-inf,nan,-16.909962105633184,nan,1.073581917431613,nan,1.0736089428776887,nan,1.0015664160401003,nan,1.00146895950708,nan
C i D,3,-12.393328324309925,nan,-14.582725709877922,nan,-14.733358558147252,nan,1.0861132457524152,nan,1.0859851805014509,nan,1.003502612392822,nan,1.0027456209999388,nan
C O b,3,-14.57688189619184,nan,-inf,nan,-16.54744238638636,nan,1.0355000596819581,nan,1.0359925429633607,nan,1,1,1.000425553830953,1.0
