word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.767394249379986,nan,-inf,nan,-12.402018167774647,nan,1.161153418328057,nan,1.1532879839562167,nan,1,1,1.0009929089546836,1.0
b O r,3,-13.822964100534797,nan,-inf,nan,-12.489218562816065,nan,1.1585008984341576,nan,1.1508899024214445,nan,1,1,1.0009929089546836,1.0
b O s,3,-13.928324616192624,nan,-inf,nan,-12.340697651706051,nan,1.1319756994951657,nan,1.1269090870737228,nan,1,1,1.0009929089546836,1.0
b U n,3,-11.282487599591985,nan,-inf,nan,-11.941493282483455,nan,1.1832284735156948,nan,1.173571959615446,nan,1.0022075055187638,nan,1.001480001015083,nan
b u r,3,-10.357228197735072,nan,-10.42571895676176,nan,-11.250248916453032,nan,1.2048585143281973,nan,1.1934862513058258,nan,1.004860025412663,nan,1.0019858179093675,nan
b U s,3,-11.443417966404622,nan,-inf,nan,-11.880172766414859,nan,1.1540507546828036,nan,1.147193062732952,nan,1.0022075055187638,nan,1.001480001015083,nan
b W r,3,-10.878525121368357,nan,-inf,nan,-11.747281218086686,nan,1.1805759536217955,nan,1.1711738780806737,nan,1.0022075055187638,nan,1.001480001015083,nan
C e D,3,-12.590820419242164,nan,-inf,nan,-15.89466750359494,nan,1.0871429189354183,nan,1.086382236367434,nan,1,1,1.0009929089546836,1.0
C i D,3,-12.150508579803834,nan,-inf,nan,-15.054916848843119,nan,1.089350424454182,nan,1.088410633933357,nan,1.0044150110375276,nan,1.0019670930754825,nan
C O b,3,-15.586552692796156,nan,-inf,nan,-14.82831607714505,nan,1.0319728473232366,nan,1.0354923194976846,nan,1,1,1.0009929089546836,1.0
C O g,3,-15.853181356050104,nan,-inf,nan,-14.183959060754539,nan,1.0399304070049342,nan,1.0426865641020011,nan,1,1,1.0009929089546836,1.0
C O v,3,-16.797642964890954,nan,-inf,nan,-13.847486824133325,nan,1.0266678075354383,nan,1.03069615642814,nan,1,1,1.0009929089546836,1.0
C u D,3,-12.975232118152498,nan,-inf,nan,-15.014642949705179,nan,1.0650678637477804,nan,1.0660982607082048,nan,1.0022075055187638,nan,1.001480001015083,nan
C u S,3,-13.668379298712445,nan,-inf,nan,-14.324769094490202,nan,1.0650678637477804,nan,1.0660982607082048,nan,1.0022075055187638,nan,1.001480001015083,nan
C u T,3,-13.891522850026654,nan,-inf,nan,-14.507907311190714,nan,1.0624153438538813,nan,1.0637001791734326,nan,1.0022075055187638,nan,1.001480001015083,nan
D e C,3,-12.590820419242165,nan,-inf,nan,-12.887885393854365,nan,1.1048492022701777,nan,1.10264170404082,nan,1.0066225165562914,nan,1.002454185135882,nan
D e D,3,-12.079994795476175,nan,-inf,nan,-13.875765204862757,nan,1.1021966823762785,nan,1.100243622506048,nan,1.0066225165562914,nan,1.002454185135882,nan
D e J,3,-13.689432707910274,nan,-10.790692703515187,nan,-13.283871758007985,nan,1.09689164258848,nan,1.0954474594365036,nan,1.0092750364501906,nan,1.0029600020301663,nan
D e S,3,-12.77314197603612,nan,-inf,nan,-13.18589134964778,nan,1.1021966823762785,nan,1.100243622506048,nan,1.0066225165562914,nan,1.002454185135882,nan
D i C,3,-12.150508579803834,nan,-11.636469651061683,nan,-13.146747027770655,nan,1.1070567077889415,nan,1.104670101606743,nan,1.004860025412663,nan,1.0019858179093675,nan
D i D,3,-11.639682956037841,nan,-inf,nan,-14.82777401933899,nan,1.1044041878950424,nan,1.102272020071971,nan,1.0022075055187638,nan,1.001480001015083,nan
D i S,3,-12.332830136597789,nan,-inf,nan,-14.137900164124014,nan,1.1044041878950424,nan,1.102272020071971,nan,1.0022075055187638,nan,1.001480001015083,nan
D i T,3,-12.555973687911997,nan,-11.231004542953517,nan,-13.222426092156416,nan,1.1017516680011432,nan,1.0998739385371987,nan,1.004860025412663,nan,1.0019858179093675,nan
d u r,3,-10.14693278889871,nan,-10.782617839789994,nan,-11.610978130719804,nan,1.1747509874464768,nan,1.165763479028598,nan,1.0070675309314268,nan,1.002472909969767,nan
D W C,3,-13.496529041785784,nan,-inf,nan,-13.198040322158205,nan,1.0584915863761382,nan,1.0600453551564388,nan,1,1,1.0009929089546836,1.0
D W D,3,-12.985703418019792,nan,-inf,nan,-14.879067313726543,nan,1.055839066482239,nan,1.0576472736216667,nan,1,1,1.0009929089546836,1.0
D W T,3,-13.901994149893948,nan,-inf,nan,-13.679184494652132,nan,1.0531865465883399,nan,1.0552491920868945,nan,1.0026525198938991,nan,1.001498725848968,nan
f U n,3,-11.913759376433845,nan,-inf,nan,-13.040105571151564,nan,1.1466693337307485,nan,1.1399085932788122,nan,1,1,1.0009929089546836,1.0
f u r,3,-10.988499974576929,nan,-11.211513199706545,nan,-12.061179132669361,nan,1.168299374543251,nan,1.159822884969192,nan,1.004860025412663,nan,1.0019858179093675,nan
f U s,3,-12.074689743246482,nan,-inf,nan,-12.978785055082968,nan,1.1174916148978573,nan,1.1135296963963184,nan,1,1,1.0009929089546836,1.0
f W r,3,-11.509796898210215,nan,-inf,nan,-12.558211434303017,nan,1.1440168138368492,nan,1.13751051174404,nan,1.0022075055187638,nan,1.001480001015083,nan
f ^ r,3,-10.522410244652331,nan,-inf,nan,-12.985655449129956,nan,1.1881669242121253,nan,1.1780784630624983,nan,1.0022075055187638,nan,1.001480001015083,nan
g U n,3,-11.549116262845935,nan,-inf,nan,-12.443950656578929,nan,1.1488198713651574,nan,1.1418887912986142,nan,1.0022075055187638,nan,1.001480001015083,nan
g U S,3,-13.550596263056061,nan,-inf,nan,-13.279502786527386,nan,1.066591754654282,nan,1.0675482637206766,nan,1.0022075055187638,nan,1.001480001015083,nan
