word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.075327431652344,nan,-12.431803368965666,nan,-12.825243127370944,nan,1.0843011170462926,nan,1.0841399268797347,nan,1.002072938869638,nan,1.001645905952739,nan
g i T,3,-12.32899798563209,nan,-12.337065504349352,nan,-13.045455557876297,nan,1.087319769384011,nan,1.0870715871818446,nan,1.0007501875468867,nan,1.001003232430888,nan
z i T,3,-11.972323041693357,nan,-12.827271840912609,nan,-13.503363191527734,nan,1.0743496007718192,nan,1.074429362150239,nan,1.0014115632082623,nan,1.0013245691918136,nan
y c g,3,-13.240696995084392,nan,-12.257160168748289,nan,-12.752120862541982,nan,1.0673748068448154,nan,1.0675880224920564,nan,1.002161750755149,nan,1.0016655170267947,nan
l R z,3,-10.425792888491749,nan,-10.641980345713272,nan,-10.999298399873279,nan,1.1038166789551134,nan,1.1030494638243662,nan,1.0028231264165248,nan,1.0019868537877201,nan
J Y p,3,-12.07820386369768,nan,-inf,nan,-13.906551122861572,nan,1.086169355939133,nan,1.0858345097089481,nan,1.0022505626406601,nan,1.0016851281008503,nan
C ^ z,3,-11.996517770280414,nan,-inf,nan,-12.40812251099368,nan,1.1122292744299656,nan,1.1112335124643498,nan,1.0045011252813203,nan,1.002707971605794,nan
C e J,3,-13.161473922263898,nan,-12.598747506036272,nan,-13.399055861854565,nan,1.0784311423572648,nan,1.0784022527501262,nan,1.002072938869638,nan,1.001645905952739,nan
z i S,3,-11.33228568644736,nan,-13.70847125297549,nan,-13.797237234227435,nan,1.0811012886937996,nan,1.080984351225257,nan,1.0006613756613756,nan,1.0009836213568322,nan
z u v,3,-12.36522825773049,nan,-13.723497237541716,nan,-13.776933013443902,nan,1.06677776733727,nan,1.0670047858217837,nan,1.002161750755149,nan,1.0016655170267947,nan
D Y p,3,-11.944672471073158,nan,-inf,nan,-13.698333221764038,nan,1.089411898092181,nan,1.0889950659668495,nan,1.0022505626406601,nan,1.0016851281008503,nan
s R k,3,-9.778842004858962,nan,-11.188391700155375,nan,-11.323051890787324,nan,1.1707507276423823,nan,1.1681583038979175,nan,1.0042346896247871,nan,1.0026491383836267,nan
b R s,3,-10.229192696203306,nan,-9.89055531245932,nan,-10.256733812384176,nan,1.1451426719319566,nan,1.1432987909688714,nan,1.0049848771716738,nan,1.002990086218608,nan
T ^ z,3,-12.521042238404567,nan,-inf,nan,-12.929997970946257,nan,1.1031501564014312,nan,1.1023839549422259,nan,1.0045011252813203,nan,1.002707971605794,nan
S c G,3,-13.418800915934142,nan,-11.23748906222032,nan,-11.902800756774012,nan,1.0687735028223118,nan,1.0689484658630828,nan,1.0036621258489224,nan,1.0023474126967573,nan
J e J,3,-13.49794615888511,nan,-13.178566001289216,nan,-14.003169420044113,nan,1.0719460580511688,nan,1.0720811402343233,nan,1.002072938869638,nan,1.001645905952739,nan
D ^ z,3,-12.199458614277104,nan,-9.057108691227487,nan,-10.031429445845912,nan,1.1089867322769176,nan,1.1080729562064482,nan,1.0078080035881987,nan,1.0043146554104214,nan
S Y p,3,-11.626218739954624,nan,-12.207712326159886,nan,-12.51830554161042,nan,1.0933029486758385,nan,1.0927877334763312,nan,1.0029119383020357,nan,1.002006464861776,nan
n W C,3,-12.272072090606073,nan,-12.500344470945945,nan,-12.96803352720603,nan,1.0606577764662277,nan,1.061083234577173,nan,1.0014115632082623,nan,1.0013245691918136,nan
l W C,3,-12.2832453912042,nan,-11.639181518294906,nan,-12.293364094407123,nan,1.066494352341714,nan,1.0667722358413956,nan,1.0014115632082623,nan,1.0013245691918136,nan
S c d,3,-12.027887608957958,nan,-inf,nan,-13.595030630655032,nan,1.1047825050728743,nan,1.1039084075965133,nan,1.0006613756613756,nan,1.0009836213568322,nan
g i J,3,-12.14094575412915,nan,-inf,nan,-14.536460873085217,nan,1.0888201444777845,nan,1.0885282514207375,nan,1,1,1.0006622845959066,1.0
C u T,3,-13.962630626653247,nan,-12.154265745585656,nan,-12.95259561404348,nan,1.0557667460994702,nan,1.0563270318102025,nan,1.0027343145310137,nan,1.0019672427136643,nan
D i g,3,-12.007414361504626,nan,-13.425904281190483,nan,-13.783498058344131,nan,1.088603164162667,nan,1.0882676724197218,nan,1.002072938869638,nan,1.001645905952739,nan
w u T,3,-13.219721936534238,nan,-12.980556044643716,nan,-13.125347719821283,nan,1.0843011170462926,nan,1.0841399268797347,nan,1.0014115632082623,nan,1.0013245691918136,nan
T c T,3,-14.680526487757941,nan,-11.969668364099013,nan,-13.227476306859666,nan,1.0440421254254333,nan,1.0449001547004495,nan,1.0006613756613756,nan,1.0009836213568322,nan
g u T,3,-13.343591418247025,nan,-inf,nan,-14.266406698736649,nan,1.0654943725586141,nan,1.0658087005839065,nan,1.0007501875468867,nan,1.001003232430888,nan
f R s,3,-10.568063015508532,nan,-10.604582095204599,nan,-10.952076383507556,nan,1.1166083009851344,nan,1.1154858958993392,nan,1.0049848771716738,nan,1.002990086218608,nan
J Y m,3,-12.05736977679484,nan,-inf,nan,-13.636970125215154,nan,1.0966719815955472,nan,1.0960311593811987,nan,1.0022505626406601,nan,1.0016851281008503,nan
n R z,3,-10.414619587893624,nan,-11.21546122591253,nan,-11.49961444552741,nan,1.097980103079627,nan,1.0973604625601436,nan,1.002161750755149,nan,1.0016655170267947,nan
m R n,3,-10.014295879285877,nan,-11.536032544746877,nan,-11.610823393250797,nan,1.1708003509431493,nan,1.1681316014561174,nan,1.0029119383020357,nan,1.002006464861776,nan
C u S,3,-13.32259327140725,nan,-11.649170796528649,nan,-12.435539440526851,nan,1.0625184340214506,nan,1.0628820208852205,nan,1.0034845020779004,nan,1.0023081905486455,nan
S e J,3,-13.045961035142053,nan,-12.164214056238844,nan,-13.020388946901125,nan,1.0790796507878744,nan,1.0790343640017064,nan,1.004057065853765,nan,1.0026099162355153,nan
T ^ S,3,-13.381243503627678,nan,-inf,nan,-14.175828388960158,nan,1.0798943424479428,nan,1.0798056592393852,nan,1.0015003750937734,nan,1.0013441802658691,nan
v e D,3,-12.930778781185728,nan,-inf,nan,-16.7160949355095,nan,1.068805195014398,nan,1.069016804844288,nan,1,1,1.0006622845959066,1.0
C ^ S,3,-12.856719035503525,nan,-inf,nan,-13.65395292900758,nan,1.0889734604764771,nan,1.0886552167615091,nan,1.0015003750937734,nan,1.0013441802658691,nan
n c T,3,-12.44940035874604,nan,-13.32154503291711,nan,-13.62016168832143,nan,1.0712794795110365,nan,1.071448827266821,nan,1.0006613756613756,nan,1.0009836213568322,nan
s R p,3,-10.100162436459573,nan,-11.292537043369597,nan,-11.472016989693053,nan,1.1384926631262533,nan,1.1368400227617195,nan,1.0042346896247871,nan,1.0026491383836267,nan
D i D,3,-12.82939441390754,nan,-13.664796189472831,nan,-14.357389934927433,nan,1.0766001634124793,nan,1.0766143585085783,nan,1.002072938869638,nan,1.001645905952739,nan
S c g,3,-12.896925455981567,nan,-12.561710994697833,nan,-12.89670209135309,nan,1.068023315275425,nan,1.0682201337436363,nan,1.002161750755149,nan,1.0016655170267947,nan
C i S,3,-12.307999838792316,nan,-12.509613549316326,nan,-12.941809247756982,nan,1.0843438308468476,nan,1.0841449074831586,nan,1.003968253968254,nan,1.0025903051614593,nan
g i D,3,-12.007414361504628,nan,-13.100481880755853,nan,-13.665867450094492,nan,1.0895703320246712,nan,1.089256583540184,nan,1.0007501875468867,nan,1.001003232430888,nan
T c S,3,-14.040489132511944,nan,-12.850867776161897,nan,-13.521350349559366,nan,1.0507938133474137,nan,1.0514551437754676,nan,1.0014115632082623,nan,1.0013245691918136,nan
z u T,3,-12.986916474308291,nan,-14.451735737912932,nan,-14.501170781073878,nan,1.0525242039464222,nan,1.053166475552301,nan,1.0014115632082623,nan,1.0013245691918136,nan
S Y m,3,-11.605384653051782,nan,-11.813030969101062,nan,-12.248724543964002,nan,1.1038055743322528,nan,1.1029843831485817,nan,1.0029119383020357,nan,1.002006464861776,nan
D ^ v,3,-13.078009018168412,nan,-9.360058235810056,nan,-10.60007464050073,nan,1.0932327937922965,nan,1.0927779816980723,nan,1.0055574409475385,nan,1.0032918119054777,nan
t W C,3,-12.09594250406004,nan,-11.389270599016319,nan,-12.026090893586549,nan,1.0885436389824403,nan,1.088264018395125,nan,1.0027343145310137,nan,1.0019672427136643,nan
