word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.413156438309764,nan,-9.577298269029527,nan,-9.934066039064998,nan,1.1563729359301238,nan,1.154721786930187,nan,1.0092275943832034,nan,1.0055162922608434,nan
b i l,3,-9.693916805441985,nan,-9.938250487843003,nan,-10.213391548279056,nan,1.1877297864085625,nan,1.1853675945117819,nan,1.008199316748242,nan,1.0049521173666263,nan
b i s,3,-9.660630827808518,nan,-10.094596558233695,nan,-10.342328039548686,nan,1.1635779750227087,nan,1.1617588255404498,nan,1.0053241011070688,nan,1.0034546630389833,nan
b R s,3,-10.210265726746261,nan,-9.593751823465384,nan,-9.91259830944089,nan,1.1414700058710379,nan,1.1400963570265958,nan,1.0059600485460574,nan,1.0037715573229318,nan
b Y s,3,-10.293879866787396,nan,-10.55995980792293,nan,-10.789006455036727,nan,1.1460972552283641,nan,1.1446303620643792,nan,1.0032066415263923,nan,1.0023089098321287,nan
b ^ l,3,-10.232913306174673,nan,-11.265121428492094,nan,-11.286903443900139,nan,1.1969842851232155,nan,1.1944356045873485,nan,1.0062914744312765,nan,1.0040014345147803,nan
C @ l,3,-11.005642835233013,nan,-12.649275367087068,nan,-12.541140586611293,nan,1.1433070494701956,nan,1.1418240790671954,nan,1.0033893544586538,nan,1.0023611200873888,nan
C i D,3,-12.424577665131856,nan,-12.652683614075713,nan,-13.242023087219657,nan,1.0769065681487493,nan,1.0769105836695887,nan,1.0041740148505995,nan,1.0028556813079261,nan
C i n,3,-10.528458180579559,nan,-9.904412199486638,nan,-10.389224558968582,nan,1.1533873042039535,nan,1.1516716854121407,nan,1.0087743598764765,nan,1.005251608232155,nan
C R J,3,-12.915943655945625,nan,-11.986964236117169,nan,-12.575065065915915,nan,1.0565237283817823,nan,1.0569344557965443,nan,1.0010282776349615,nan,1.0011457532068544,nan
C R g,3,-12.018701119042163,nan,-11.981339061478614,nan,-12.308436402661966,nan,1.069174677202944,nan,1.069300953829147,nan,1.0010282776349615,nan,1.0011457532068544,nan
C R T,3,-13.125035453804184,nan,-inf,nan,-13.389349114230674,nan,1.0542235558688438,nan,1.0546860016087982,nan,1.0010282776349615,nan,1.0011457532068544,nan
C ^ J,3,-12.905305257740569,nan,-inf,nan,-15.387159126791206,nan,1.0878861962481061,nan,1.087664934385965,nan,1.0005141388174807,nan,1.0008636657597456,nan
C ^ n,3,-11.067454681312245,nan,-11.675968961397173,nan,-11.628651975996508,nan,1.1626418029186065,nan,1.1607396954877074,nan,1.0097148288692346,nan,1.0056555196082033,nan
C ^ S,3,-12.342997678139433,nan,-13.41166242465994,nan,-13.408347392811311,nan,1.0907614118892792,nan,1.0904755021206474,nan,1.0022392682021846,nan,1.0017621383563315,nan
C ^ C,3,-12.421249875039182,nan,-13.466941620384715,nan,-13.483906410798998,nan,1.0901863687610447,nan,1.089913388573711,nan,1.0028143113304193,nan,1.00206162922186,nan
d i k,3,-9.298521171320628,nan,-11.287752304835333,nan,-11.380015307910355,nan,1.1635619935310193,nan,1.1616878305159481,nan,1.0042958234721073,nan,1.002890488144766,nan
d i s,3,-9.307410118737874,nan,-10.528557763018194,nan,-10.739045986147694,nan,1.142860440914573,nan,1.141451742826235,nan,1.0042958234721073,nan,1.002890488144766,nan
d i t,3,-9.079515964665067,nan,-9.434696077108681,nan,-9.682954254608394,nan,1.1704625110698346,nan,1.168433193079186,nan,1.0083211253697497,nan,1.0049869242034661,nan
d E p,3,-10.13553846998207,nan,-13.124441471202324,nan,-12.971728871455168,nan,1.137711957091911,nan,1.136429817566098,nan,1.001603320763196,nan,1.0014452440723831,nan
d R s,3,-9.857045017675617,nan,-10.207931534847058,nan,-10.479215292835297,nan,1.120752471762902,nan,1.119789274312381,nan,1.004931770911096,nan,1.0032073824287147,nan
D i D,3,-12.96690195595722,nan,-15.008927848350694,nan,-15.174912956101089,nan,1.0728641224691131,nan,1.072948226066815,nan,1.0010891819457153,nan,1.0011631566252743,nan
D i g,3,-12.011390510929782,nan,-14.550745958070124,nan,-14.401723067867607,nan,1.0872402006749786,nan,1.0870010647402273,nan,1.0010891819457153,nan,1.0011631566252743,nan
D i C,3,-12.424577665131856,nan,-13.499981474462915,nan,-13.681389747003506,nan,1.0768894243667555,nan,1.0768830208953706,nan,1.0028143113304193,nan,1.00206162922186,nan
d I J,3,-11.198400583462094,nan,-11.164706711705248,nan,-11.72781900692218,nan,1.1362700623174122,nan,1.1350827273178477,nan,1.007319752066238,nan,1.0045656094089976,nan
d I D,3,-11.25666949158607,nan,-13.121340824123536,nan,-13.369360164740698,nan,1.1345449329327084,nan,1.133396386677038,nan,1.0067447089380033,nan,1.0042661185434691,nan
d Y p,3,-10.240317421215247,nan,-11.766899551473779,nan,-11.90545441248656,nan,1.11560398794024,nan,1.114767349052244,nan,1.004809962289588,nan,1.0031725755918746,nan
d Y t,3,-9.712765003643943,nan,-10.023119419555142,nan,-10.27194889227669,nan,1.15298179127549,nan,1.1513047296031154,nan,1.0088352641872305,nan,1.0052690116505747,nan
d I T,3,-11.407492381320655,nan,-10.95561491384669,nan,-11.59764144639609,nan,1.1339698898044737,nan,1.1328342731301015,nan,1.0067447089380033,nan,1.0042661185434691,nan
d I Z,3,-13.559254584580115,nan,-inf,nan,-15.03851731187642,nan,1.1299445879068315,nan,1.1288994783015462,nan,1.0061696658097687,nan,1.0039666276779404,nan
f i k,3,-9.902352826406094,nan,-11.705706342025263,nan,-11.813507728273176,nan,1.1625513821111104,nan,1.1606972411152547,nan,1.0037816846546268,nan,1.0026084006976574,nan
f i s,3,-9.911241773823338,nan,-10.946511800208123,nan,-11.172538406510515,nan,1.1418498294946642,nan,1.1404611534255416,nan,1.0037816846546268,nan,1.0026084006976574,nan
f R s,3,-10.460876672761081,nan,-11.074275724862185,nan,-11.277350826786027,nan,1.1197418603429932,nan,1.1187986849116875,nan,1.0044176320936153,nan,1.002925294981606,nan
f R t,3,-10.232982518688274,nan,-10.46046800405191,nan,-10.675514367524322,nan,1.1473439304982547,nan,1.1457801351646386,nan,1.0072928477347884,nan,1.004422749309249,nan
f Y k,3,-10.53560186538497,nan,-10.261527086830057,nan,-10.581755359840164,nan,1.145070662316766,nan,1.143568777639184,nan,1.0060209528568111,nan,1.0037889607413517,nan
f ^ l,3,-10.483524252189493,nan,-12.197079378140057,nan,-12.181652331999539,nan,1.175256139595171,nan,1.1731379324724402,nan,1.0042349191613535,nan,1.0028730847263458,nan
g e s,3,-10.440308500520743,nan,-11.136125556075829,nan,-11.330424983553149,nan,1.12666415887345,nan,1.1255768615035857,nan,1.0044176320936153,nan,1.002925294981606,nan
g W d,3,-11.803623839440565,nan,-inf,nan,-12.182455495829245,nan,1.0964857772428995,nan,1.0959918485551514,nan,1.0011500862564693,nan,1.0011805600436943,nan
g W r,3,-11.553848464945563,nan,-inf,nan,-15.002033463461695,nan,1.112011941705234,nan,1.1111689143224364,nan,1,1,1.000581578312637,1.0
g W z,3,-12.382454192320614,nan,-inf,nan,-14.015836413364488,nan,1.0769343108829226,nan,1.0768799879593112,nan,1,1,1.000581578312637,1.0
g i C,3,-11.46906622010442,nan,-11.744976625892948,nan,-12.180566502138907,nan,1.0925539013753458,nan,1.0922371566061184,nan,1.0033284501479,nan,1.0023437166689688,nan
