word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.369835749117371,nan,-9.920818480036948,nan,-10.202139017287811,nan,1.1553388262878344,nan,1.1539420229592388,nan,1.0083075715460834,nan,1.0053073313045804,nan
b i l,3,-9.738378648981763,nan,-10.113373539641596,nan,-10.345187506155575,nan,1.1828497268840743,nan,1.1809144287112792,nan,1.0074860617530201,nan,1.0048102336960658,nan
b i s,3,-9.703287329170493,nan,-10.37853938264282,nan,-10.572500392750356,nan,1.1597539037882512,nan,1.1582638263016405,nan,1.0045376588046173,nan,1.0031596147139477,nan
b R s,3,-10.214112952936484,nan,-9.985496794533214,nan,-10.230671956928617,nan,1.1387473392368288,nan,1.1376186650113178,nan,1.0055204597874183,nan,1.0037098210413204,nan
b Y s,3,-10.326908447081829,nan,-10.768372745059288,nan,-10.947043590519934,nan,1.1435613436131964,nan,1.1423498478070166,nan,1.0027333480287528,nan,1.0021123107780603,nan
b ^ l,3,-10.253658623097134,nan,-11.013375463519369,nan,-11.098204876206472,nan,1.1924777356368095,nan,1.1903767943026768,nan,1.0076011161350331,nan,1.0049614165157494,nan
C @ l,3,-10.976380183527553,nan,-12.92756473335577,nan,-12.734705586779262,nan,1.1415493366689606,nan,1.1403127153858705,nan,1.003386039709891,nan,1.0024405226606052,nan
C i D,3,-12.528753795339977,nan,-12.851006934291316,nan,-13.352493049800339,nan,1.0756941438991072,nan,1.0757188560776698,nan,1.0039924945833043,nan,1.0028668086439751,nan
C i n,3,-10.595680793045345,nan,-10.021906001788192,nan,-10.440914091854498,nan,1.149404217609181,nan,1.1480080127041759,nan,1.0089064994973092,nan,1.005617840280839,nan
C R J,3,-12.734197769554786,nan,-12.129039315195879,nan,-12.528696916330343,nan,1.0561617808218864,nan,1.0565194779198772,nan,1.0013129102844638,nan,1.0013047041932872,nan
C R g,3,-12.027978507427488,nan,-12.899797098460748,nan,-12.835222076583605,nan,1.067955392615498,nan,1.0680857429801183,nan,1.0013129102844638,nan,1.0013047041932872,nan
C R T,3,-13.113687391259688,nan,-11.477615978007332,nan,-12.139273773743948,nan,1.0541961788562844,nan,1.054591767076504,nan,1.0018043107758643,nan,1.0015798073569737,nan
C ^ J,3,-12.738652119904167,nan,-inf,nan,-15.415302191431033,nan,1.086796354126044,nan,1.0866270048015976,nan,1.000437636761488,nan,1.0007899036784869,nan
C ^ n,3,-11.110960767160716,nan,-11.926994156323252,nan,-11.793146822631137,nan,1.1590322263619162,nan,1.1574703782955735,nan,1.009282845606697,nan,1.0057417606248418,nan
C ^ S,3,-12.36890509439808,nan,-13.416320743341377,nan,-13.336324333394785,nan,1.0897447570744467,nan,1.089518571066658,nan,1.0019118382356895,nan,1.0016152131695462,nan
C ^ C,3,-12.454264943349237,nan,-13.765413539371638,nan,-13.663045165179225,nan,1.0892533565830465,nan,1.0890366433558145,nan,1.00240323872709,nan,1.0018903163332324,nan
d i k,3,-9.319614038566563,nan,-11.18401887556605,nan,-11.29430243113511,nan,1.1602033838585841,nan,1.1586563493799769,nan,1.0041000220431293,nan,1.0029022144565474,nan
d i s,3,-9.348742311489586,nan,-10.844041470909712,nan,-11.005067691583605,nan,1.139073162728363,nan,1.1379334578137117,nan,1.0041000220431293,nan,1.0029022144565474,nan
d i t,3,-9.164780065238173,nan,-9.704045046499008,nan,-9.911255816378423,nan,1.1621689858241862,nan,1.1605840602233504,nan,1.0075398254829326,nan,1.004827936602352,nan
d E p,3,-10.119334591209544,nan,-12.036295849775966,nan,-12.129958032834027,nan,1.1368462690353862,nan,1.1357621921057184,nan,1.002840875488578,nan,1.0021477165906327,nan
d R s,3,-9.859567935255576,nan,-10.502292177187655,nan,-10.7120294199313,nan,1.1180665981769407,nan,1.117288296523389,nan,1.0046451862644423,nan,1.0031950205265199,nan
D i D,3,-13.118522621446086,nan,-14.622417365445303,nan,-14.981825640895345,nan,1.0705239586341353,nan,1.0706362639556875,nan,1.0013666740143765,nan,1.0013224070995737,nan
D i g,3,-12.106921709767606,nan,-14.17873104451694,nan,-14.218596438598231,nan,1.0837917719019485,nan,1.0836483121484586,nan,1.0013666740143765,nan,1.0013224070995737,nan
D i C,3,-12.528753795339977,nan,-13.120910192224574,nan,-13.48157009207548,nan,1.0744551625653394,nan,1.0744916856424345,nan,1.002840875488578,nan,1.0021477165906327,nan
d I J,3,-11.027032359360867,nan,-11.268360023999803,nan,-11.682877333394131,nan,1.134549482493523,nan,1.1335650163057442,nan,1.0075473524051204,nan,1.0049437136094632,nan
d I D,3,-11.332414008912048,nan,-12.888269236301198,nan,-13.194464448223544,nan,1.1330752810193214,nan,1.1321192331732142,nan,1.0075473524051204,nan,1.0049437136094632,nan
d Y p,3,-10.245375312104908,nan,-11.687111577566393,nan,-11.821660115277401,nan,1.1145267941994998,nan,1.1138267082347506,nan,1.0049752955661053,nan,1.003417014971348,nan
d Y t,3,-9.788401183149507,nan,-10.033082304632703,nan,-10.258049101195098,nan,1.1459764256491312,nan,1.1446700817287265,nan,1.0084150990059086,nan,1.0053427371171526,nan
d I T,3,-11.406521981065769,nan,-11.022401794919421,nan,-11.581136263259516,nan,1.132583880527921,nan,1.131637305462371,nan,1.0070559519137199,nan,1.004668610445777,nan
