word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.532814416451394,nan,-11.204758626672714,nan,-11.677062531927302,nan,1.1486214758030968,nan,1.1472541059021355,nan,1.0009250664218583,nan,1.0010623641131458,nan
b O r,3,-12.393164827314935,nan,-inf,nan,-13.102473548419933,nan,1.1353991447551046,nan,1.13428580619032,nan,1.000435350457118,nan,1.0007877897034807,nan
b O s,3,-12.475081949782822,nan,-11.102148443266104,nan,-11.570341981218496,nan,1.1133619263417842,nan,1.112671973337294,nan,1.0014147823865989,nan,1.0013369385228108,nan
b U n,3,-11.557434768207234,nan,-inf,nan,-12.260935297508286,nan,1.1625526904308723,nan,1.160946874408768,nan,1.00217675228559,nan,1.0018142202911122,nan
b u r,3,-10.60140535808688,nan,-12.778189243195051,nan,-12.456999837329345,nan,1.1632615740106553,nan,1.161671343203585,nan,1.0026664682503303,nan,1.0020887947007773,nan
b U s,3,-11.499702301538662,nan,-inf,nan,-12.15421474679948,nan,1.1272931409695597,nan,1.1263647418439267,nan,1.00217675228559,nan,1.0018142202911122,nan
b W r,3,-11.08600778675377,nan,-12.853202602463584,nan,-12.681260083343629,nan,1.1462829061830542,nan,1.1449832815861267,nan,1.0009250664218583,nan,1.0010623641131458,nan
C e D,3,-12.89132822533835,nan,-inf,nan,-15.648274486264915,nan,1.070107999105908,nan,1.070228702688086,nan,1.0013060513713539,nan,1.0013010049972966,nan
C i D,3,-12.538812863876561,nan,-12.980057529026475,nan,-13.475264167049291,nan,1.0744615036770877,nan,1.0745076928464086,nan,1.0035371691645663,nan,1.0026020099945931,nan
C O b,3,-13.87611859263992,nan,-inf,nan,-14.591152772171515,nan,1.0396865534268571,nan,1.0403022840548717,nan,1.000435350457118,nan,1.0007877897034807,nan
C O g,3,-14.304669720782265,nan,-inf,nan,-13.964219396928257,nan,1.040665985356338,nan,1.0412628988483394,nan,1.000435350457118,nan,1.0007877897034807,nan
C O v,3,-14.796567334662736,nan,-inf,nan,-13.595933292061847,nan,1.0391968374621168,nan,1.0398219766581378,nan,1.000435350457118,nan,1.0007877897034807,nan
C u D,3,-13.543804366167368,nan,-inf,nan,-15.11207519015329,nan,1.0553060835638965,nan,1.055680136149789,nan,1.0013060513713539,nan,1.0013010049972966,nan
C u S,3,-12.896327222440611,nan,-12.1076442213088,nan,-12.490054047690599,nan,1.0597135272465605,nan,1.060002902720394,nan,1.0027751992655751,nan,1.0021247282262915,nan
C u T,3,-13.61791233832109,nan,-12.414053826882476,nan,-12.915298741885739,nan,1.0543266516344156,nan,1.0547195213563212,nan,1.0017957673360942,nan,1.0015755794069616,nan
D e C,3,-12.891328225338349,nan,-12.44196989681512,nan,-12.891434120993274,nan,1.0697375621583085,nan,1.0698553102599335,nan,1.00217675228559,nan,1.0018142202911122,nan
