word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.51534376685634,nan,-inf,nan,-15.36183207632401,nan,1.1246643219472192,nan,1.1221209493716835,nan,1,1,1.0009260499788317,1.0
g i T,3,-12.731506260386361,nan,-inf,nan,-14.28126053787268,nan,1.0945661845906713,nan,1.093691397800477,nan,1,1,1.0009260499788317,1.0
z i T,3,-12.597974867761838,nan,-inf,nan,-16.7439310462138,nan,1.0648925940862204,nan,1.0656409069168864,nan,1,1,1.0009260499788317,1.0
y c g,3,-11.991212301400713,nan,-inf,nan,-13.007033330709012,nan,1.123401991965387,nan,1.1208283545655642,nan,1.003257328990228,nan,1.0018628181287146,nan
l R z,3,-11.274534623430574,nan,-11.5046959730743,nan,-11.87661544957787,nan,1.0872246610233938,nan,1.0866614550583167,nan,1,1,1.0009260499788317,1.0
J Y p,3,-13.326808783452817,nan,-inf,nan,-14.919177251579654,nan,1.0869460598849645,nan,1.0863314030955336,nan,1.001628664495114,nan,1.001394434053773,nan
C ^ z,3,-12.698663470058921,nan,-inf,nan,-13.156385415648373,nan,1.1178814126590162,nan,1.1155897706921758,nan,1.006514657980456,nan,1.0027995862785974,nan
C e J,3,-15.106138379714107,nan,-inf,nan,-16.292048958081757,nan,1.052666154231168,nan,1.0541031208279972,nan,1,1,1.0009260499788317,1.0
z i S,3,-11.659705229168907,nan,-14.466853039085393,nan,-14.91580393281487,nan,1.0697785875715624,nan,1.0702350876213276,nan,1.003257328990228,nan,1.0018628181287146,nan
z u v,3,-11.769908369302524,nan,-inf,nan,-14.446078257214431,nan,1.1097936968686857,nan,1.1079818696253838,nan,1.006514657980456,nan,1.0027995862785974,nan
D Y p,3,-11.231863055237016,nan,-inf,nan,-13.910177121601233,nan,1.1240380480155283,nan,1.1213945167000217,nan,1.001628664495114,nan,1.001394434053773,nan
s R k,3,-10.79868871856061,nan,-11.865472548159477,nan,-12.080229921084035,nan,1.1648882765619162,nan,1.1598805388425124,nan,1.0046407126878851,nan,1.0023097658615534,nan
b R s,3,-11.199311202192987,nan,-9.813333422511556,nan,-10.688689023631888,nan,1.1402794943390067,nan,1.1366669319918352,nan,1.0062693771829991,nan,1.002778149936495,nan
T ^ z,3,-12.804023985716746,nan,-inf,nan,-12.288884847943649,nan,1.1238161307599064,nan,1.1211998688688938,nan,1.006514657980456,nan,1.0027995862785974,nan
S c G,3,-13.396535779529206,nan,-inf,nan,-12.538752354774722,nan,1.0642336257526845,nan,1.0649700761268552,nan,1.003257328990228,nan,1.0018628181287146,nan
J e J,3,-15.329281931028316,nan,-inf,nan,-16.839013628463622,nan,1.055633513281613,nan,1.056908169916356,nan,1,1,1.0009260499788317,1.0
D ^ z,3,-10.826861293157329,nan,-7.278821819914718,nan,-8.376861842515504,nan,1.157940759840025,nan,1.1534579333850228,nan,1.023080923040697,nan,1.0078339112213892,nan
S Y p,3,-12.270756109203504,nan,-inf,nan,-14.315642229709397,nan,1.0973318165615225,nan,1.0961490749047902,nan,1.001628664495114,nan,1.001394434053773,nan
n W C,3,-13.11283960841465,nan,-inf,nan,-14.231779592904918,nan,1.054137897242805,nan,1.0554932411939568,nan,1.0030120481927711,nan,1.001841381786612,nan
l W C,3,-13.33443156903744,nan,-inf,nan,-14.500206152047955,nan,1.0630399743941406,nan,1.0639083884590341,nan,1,1,1.0009260499788317,1.0
S c d,3,-12.337454329617731,nan,-inf,nan,-14.074768380812682,nan,1.1147222251012188,nan,1.1124432767394128,nan,1,1,1.0009260499788317,1.0
g i J,3,-12.849289296042745,nan,-inf,nan,-14.666106358778109,nan,1.0913088556004433,nan,1.090628610664183,nan,1,1,1.0009260499788317,1.0
C u T,3,-14.796277612318402,nan,-inf,nan,-17.140346318802045,nan,1.0890560133418778,nan,1.0884603603113752,nan,1,1,1.0009260499788317,1.0
D i g,3,-10.754343567826943,nan,-14.37649683492188,nan,-14.142614044581387,nan,1.1281881991084997,nan,1.1253351866356942,nan,1.0031346885914996,nan,1.0018520999576632,nan
w u T,3,-12.909207963286022,nan,-inf,nan,-14.583655448889822,nan,1.1454358353003349,nan,1.1417562929901968,nan,1.0015060240963856,nan,1.001383715882722,nan
T c T,3,-15.89878095647948,nan,-inf,nan,-15.666709947527004,nan,1.0437859121656596,nan,1.0457063048607815,nan,1,1,1.0009260499788317,1.0
g u T,3,-13.0735110145773,nan,-inf,nan,-15.633187255488362,nan,1.1231806424219966,nan,1.1207184248275042,nan,1,1,1.0009260499788317,1.0
f R s,3,-11.849898768334135,nan,-10.047784044740457,nan,-11.08111980383009,nan,1.116540621935446,nan,1.1142265392849628,nan,1.0062693771829991,nan,1.002778149936495,nan
J Y m,3,-13.128631854869068,nan,-inf,nan,-13.55549261010189,nan,1.0983467113507626,nan,1.0970511580725626,nan,1.001628664495114,nan,1.001394434053773,nan
n R z,3,-11.052942662807784,nan,-inf,nan,-12.994483251554724,nan,1.0783225838720583,nan,1.0782463077932394,nan,1,1,1.0009260499788317,1.0
m R n,3,-10.723189376435315,nan,-inf,nan,-12.488256066082863,nan,1.1515013310086053,nan,1.1471439836403923,nan,1.003257328990228,nan,1.0018628181287146,nan
C u S,3,-13.858007973725472,nan,-inf,nan,-16.698513566523005,nan,1.0939420068272199,nan,1.0930545410158163,nan,1,1,1.0009260499788317,1.0
S e J,3,-14.273229256779,nan,-inf,nan,-15.542331426033417,nan,1.066019269958171,nan,1.0667258417256127,nan,1.0015060240963856,nan,1.001383715882722,nan
T ^ S,3,-13.827412853147269,nan,-inf,nan,-15.93076340158534,nan,1.1059008213136523,nan,1.1043545396192767,nan,1,1,1.0009260499788317,1.0
v e D,3,-11.946481914505878,nan,-inf,nan,-17.57921335329446,nan,1.080353450648106,nan,1.0801368114864964,nan,1,1,1.0009260499788317,1.0
C ^ S,3,-13.722052337489444,nan,-inf,nan,-16.798263969290065,nan,1.0999661032127621,nan,1.0987444414425587,nan,1,1,1.0009260499788317,1.0
n c T,3,-13.014601168831234,nan,-inf,nan,-15.979582268807345,nan,1.0645574255187753,nan,1.0653416484792948,nan,1,1,1.0009260499788317,1.0
s R p,3,-11.142958265641855,nan,-10.993135570877737,nan,-11.69062242970921,nan,1.135572315649864,nan,1.1323154546158662,nan,1.0046407126878851,nan,1.0023097658615534,nan
D i D,3,-10.605307988666455,nan,-13.986535913349682,nan,-14.009082651956865,nan,1.1249308701182716,nan,1.1222723994994002,nan,1.0031346885914996,nan,1.0018520999576632,nan
S c g,3,-13.132384204487618,nan,-inf,nan,-13.684432154300818,nan,1.0788916062087106,nan,1.0787526182401783,nan,1.003257328990228,nan,1.0018628181287146,nan
C i S,3,-13.516003219534534,nan,-13.526845780593922,nan,-14.876583219661587,nan,1.0653275489958947,nan,1.0660275139887891,nan,1.0047633530866136,nan,1.0023204840326048,nan
g i D,3,-10.754343567826943,nan,-12.599625978187577,nan,-13.146280605033695,nan,1.1189961520173815,nan,1.1166623013226822,nan,1.001628664495114,nan,1.001394434053773,nan
T c S,3,-14.96051131788655,nan,-inf,nan,-15.224877195247965,nan,1.0486719056510017,nan,1.0503004855652227,nan,1,1,1.0009260499788317,1.0
z u T,3,-12.939979621952777,nan,-inf,nan,-17.179567031955326,nan,1.0935070519175456,nan,1.0926679339439136,nan,1,1,1.0009260499788317,1.0
S Y m,3,-12.072579180619755,nan,-inf,nan,-12.951957588231632,nan,1.1087324680273205,nan,1.1068688298818192,nan,1.001628664495114,nan,1.001394434053773,nan
D ^ v,3,-11.618448546530526,nan,-7.2303921676761265,nan,-8.697464956514183,nan,1.151426101859569,nan,1.1473323591124347,nan,1.018194929555355,nan,1.0064287589965648,nan
t W C,3,-12.82360594527145,nan,-inf,nan,-15.374194504231419,nan,1.0734257310706983,nan,1.0737260602682908,nan,1,1,1.0009260499788317,1.0
g Y b,3,-11.437251570948636,nan,-inf,nan,-15.46807091101617,nan,1.101816684963498,nan,1.1004704828418335,nan,1.001628664495114,nan,1.001394434053773,nan
r c S,3,-12.337454329617731,nan,-inf,nan,-14.50763246310896,nan,1.0560903032771145,nan,1.0573131082861202,nan,1.0015060240963856,nan,1.001383715882722,nan
d R s,3,-10.613136141185208,nan,-10.841341235798373,nan,-11.526203174745302,nan,1.1180243014606683,nan,1.1156290638291422,nan,1.0047633530866136,nan,1.0023204840326048,nan
S c z,3,-12.998852811863095,nan,-inf,nan,-12.799393965930769,nan,1.0740056127233686,nan,1.0741584375357374,nan,1,1,1.0009260499788317,1.0
y c d,3,-11.196282426530827,nan,-inf,nan,-13.397369557220877,nan,1.1592326108578952,nan,1.1545190130647986,nan,1,1,1.0009260499788317,1.0
J u S,3,-14.081151525039683,nan,-inf,nan,-15.04825365956865,nan,1.096909365877665,nan,1.095859590104175,nan,1.0015060240963856,nan,1.001383715882722,nan
h u S,3,-12.31044546500946,nan,-inf,nan,-13.588837033619797,nan,1.1473544697352318,nan,1.1435454246062788,nan,1.0030120481927711,nan,1.001841381786612,nan
g u S,3,-12.135241375984368,nan,-inf,nan,-15.191354503209324,nan,1.1280666359073386,nan,1.1253126055319453,nan,1,1,1.0009260499788317,1.0
y R z,3,-11.857680908776192,nan,-9.772926978485913,nan,-10.617917745562687,nan,1.1094798539017319,nan,1.1076993232210095,nan,1.0015060240963856,nan,1.001383715882722,nan
C e g,3,-13.160228230658792,nan,-13.951613640956614,nan,-14.905754596961868,nan,1.083610779638334,nan,1.0831995986227905,nan,1.001628664495114,nan,1.001394434053773,nan
z i J,3,-12.715757903418222,nan,-inf,nan,-17.128776867119228,nan,1.0616352650959924,nan,1.0625781197805924,nan,1,1,1.0009260499788317,1.0
m u S,3,-11.671956696987378,nan,-inf,nan,-13.63896978022406,nan,1.1384523925838965,nan,1.135130277341202,nan,1.0045180722891567,nan,1.0022990476905023,nan
D Y m,3,-11.033686126653267,nan,-inf,nan,-12.546492480123467,nan,1.1354386994813264,nan,1.1321142716770507,nan,1.001628664495114,nan,1.001394434053773,nan
J e g,3,-13.383371781973002,nan,-inf,nan,-15.45271926734373,nan,1.0865781386887792,nan,1.0860046477111494,nan,1.001628664495114,nan,1.001394434053773,nan
f u v,3,-12.345272514206084,nan,-inf,nan,-12.628343301583117,nan,1.1409509668983593,nan,1.1374348850531537,nan,1.006514657980456,nan,1.0027995862785974,nan
v R n,3,-11.84452991618098,nan,-13.224238057925465,nan,-13.567298258556876,nan,1.1069909452519286,nan,1.1050682473150066,nan,1.003257328990228,nan,1.0018628181287146,nan
g i C,3,-12.626145744728534,nan,-inf,nan,-14.013781172738419,nan,1.0961948490857853,nan,1.095222791368624,nan,1,1,1.0009260499788317,1.0
C i D,3,-12.477110165568046,nan,-14.788882385874619,nan,-15.569730400221532,nan,1.0848715229372627,nan,1.0844042368065532,nan,1.0031346885914996,nan,1.0018520999576632,nan
C Y z,3,-13.235241589927327,nan,-inf,nan,-14.982362842186769,nan,1.0742067138638354,nan,1.0743379925982925,nan,1,1,1.0009260499788317,1.0
d c T,3,-13.275723968210663,nan,-inf,nan,-14.389849427452578,nan,1.0749431821953332,nan,1.0751593202885514,nan,1.0030120481927711,nan,1.001841381786612,nan
y R v,3,-12.64926816214939,nan,-inf,nan,-12.478965900508515,nan,1.1029651959212758,nan,1.1015737489484214,nan,1.0015060240963856,nan,1.001383715882722,nan
z i g,3,-10.769847754362909,nan,-16.11885056593829,nan,-15.742482505999336,nan,1.0925798905031585,nan,1.0916745975753857,nan,1.001628664495114,nan,1.001394434053773,nan
S e g,3,-12.327319107723687,nan,-13.772921852213239,nan,-14.156037064913528,nan,1.0969638953653371,nan,1.095822319520406,nan,1.0031346885914996,nan,1.0018520999576632,nan
C e D,3,-13.011192651498305,nan,-inf,nan,-16.158517565457235,nan,1.080353450648106,nan,1.0801368114864964,nan,1,1,1.0009260499788317,1.0
