word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.90833026560139,nan,-9.974404666718144,nan,-10.91007965315919,nan,1.151104640739585,nan,1.146457744310711,nan,1.0050229521810339,nan,1.002278432315059,nan
b i l,3,-10.31211796057277,nan,-10.874299385544983,nan,-11.26367042139665,nan,1.1691722747041997,nan,1.1633094613353439,nan,1.0098930820511638,nan,1.0036322229287775,nan
b i s,3,-10.189900327848521,nan,-11.063208392767905,nan,-11.416401654569682,nan,1.1602912800327965,nan,1.155017587371828,nan,1.0098930820511638,nan,1.0036322229287775,nan
b R s,3,-11.28851261651663,nan,-10.524211892035218,nan,-11.298618618913299,nan,1.1262003709418873,nan,1.1230053922498768,nan,1.0051757744919378,nan,1.0022894896278234,nan
b Y s,3,-11.031792769668817,nan,-10.087784558323087,nan,-10.924368530153059,nan,1.1343172540587705,nan,1.130627343469389,nan,1.0032467532467533,nan,1.0018161114643889,nan
b ^ l,3,-10.570425424344647,nan,-11.868754890268473,nan,-12.057288132320231,nan,1.1837826643145892,nan,1.1770289735304658,nan,1.0050229521810339,nan,1.002278432315059,nan
C @ l,3,-11.890159018946198,nan,-12.312609887928282,nan,-13.183596802097973,nan,1.1229772416670611,nan,1.1198814802039583,nan,1.0016233766233766,nan,1.0013648479264827,nan
C i D,3,-12.049607799866767,nan,-inf,nan,-15.872452470706383,nan,1.0966399022746598,nan,1.0952738274110123,nan,1.0053285968028418,nan,1.0023005469405877,nan
C i n,3,-11.170049077261343,nan,-inf,nan,-13.147262759727479,nan,1.149925870303079,nan,1.1450250711921068,nan,1.0053285968028418,nan,1.0023005469405877,nan
C R J,3,-15.649656040274088,nan,-inf,nan,-17.155562595591043,nan,1.0341298102352603,nan,1.0367276356058106,nan,1,1,1.0009135843885766,1.0
C R g,3,-13.148220088534877,nan,-inf,nan,-15.55399873958785,nan,1.0678775899865924,nan,1.0682367566671704,nan,1,1,1.0009135843885766,1.0
C R T,3,-14.956508859714141,nan,-inf,nan,-16.56559965126633,nan,1.035906009169541,nan,1.0383860103985139,nan,1,1,1.0009135843885766,1.0
C ^ J,3,-14.809351215377855,nan,-inf,nan,-17.66149823406284,nan,1.082831108936559,nan,1.0824593429228837,nan,1,1,1.0009135843885766,1.0
C ^ n,3,-11.428356541033219,nan,-inf,nan,-12.518218465360292,nan,1.1645362599134685,nan,1.1587445833872287,nan,1.014209591474245,nan,1.0046121511939394,nan
C ^ S,3,-13.423056854257965,nan,-inf,nan,-15.053358943850895,nan,1.0863835068051202,nan,1.08577609250829,nan,1,1,1.0009135843885766,1.0
C ^ C,3,-13.710738926709745,nan,-inf,nan,-15.085619806069115,nan,1.0917121036079622,nan,1.0907512168863995,nan,1.0035523978685612,nan,1.0018382260899172,nan
d i k,3,-9.653801144864813,nan,-11.658596004113502,nan,-12.051243387567624,nan,1.1645688883115266,nan,1.1589708346287964,nan,1.0035523978685612,nan,1.0018382260899172,nan
d i s,3,-9.459012819305729,nan,-12.069607438142224,nan,-12.139062895642791,nan,1.1539116947058428,nan,1.1490205858725775,nan,1.0017761989342806,nan,1.0013759052392468,nan
d i t,3,-8.8392931073006,nan,-9.452679155533353,nan,-10.000482093792403,nan,1.2089738616685426,nan,1.200430204446375,nan,1.0017761989342806,nan,1.0013759052392468,nan
d E p,3,-10.594336560990383,nan,-13.45428166605684,nan,-13.313958489060532,nan,1.1479718086593846,nan,1.1435095232992651,nan,1.0033995755576572,nan,1.001827168777153,nan
d R s,3,-10.55762510797384,nan,-10.683313077022333,nan,-11.376922843595896,nan,1.1198207856149336,nan,1.1170083907506263,nan,1.0067991511153145,nan,1.0027407531657295,nan
D i D,3,-10.646784136795667,nan,-13.945449536840536,nan,-14.021068495143185,nan,1.1349174142363823,nan,1.1312558364065146,nan,1.0069519734262184,nan,1.0027518104784938,nan
