word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.987021255532625,nan,-9.966247354532427,nan,-11.361289722599075,nan,1.138273220386998,nan,1.134726619125395,nan,1.003139238513241,nan,1.0018529385575787,nan
b O r,3,-13.131270864377171,nan,-inf,nan,-12.350702719302193,nan,1.144787878367454,nan,1.1408521933979832,nan,1.001510574018127,nan,1.0013845544826374,nan
b O s,3,-12.95760737032633,nan,-9.96968575333546,nan,-11.358700165692342,nan,1.141530549377226,nan,1.1377894062616891,nan,1.003139238513241,nan,1.0018529385575787,nan
b U n,3,-11.55990489989248,nan,-inf,nan,-11.707035596005618,nan,1.1579106826226477,nan,1.1532715549313866,nan,1.001510574018127,nan,1.0013845544826374,nan
b u r,3,-10.327910483470635,nan,-10.33601826035039,nan,-10.971628606155788,nan,1.2097425611469104,nan,1.2021931349101087,nan,1.0092996250627355,nan,1.003695578244064,nan
b U s,3,-11.530491014686186,nan,-inf,nan,-11.704446039098885,nan,1.1611680116128758,nan,1.1563343420676806,nan,1.001510574018127,nan,1.0013845544826374,nan
b W r,3,-11.704154508737027,nan,-inf,nan,-12.29098348460057,nan,1.1493196004218347,nan,1.1451317939685965,nan,1.001510574018127,nan,1.0013845544826374,nan
C e D,3,-12.622013868383805,nan,-14.862658777429727,nan,-15.308322595330502,nan,1.0986807994314645,nan,1.0974435071894206,nan,1.001510574018127,nan,1.0013845544826374,nan
C i D,3,-12.066067809337346,nan,-14.032310475356295,nan,-14.897191749686659,nan,1.0986807994314645,nan,1.0974435071894206,nan,1.003139238513241,nan,1.0018529385575787,nan
C O b,3,-15.245803725868278,nan,-inf,nan,-15.492388905479263,nan,1.0409247153116814,nan,1.0429206531611563,nan,1,1,1.0009264692787894,1.0
