word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.92515085499561,nan,-11.137845284412498,nan,-11.443280537759945,nan,1.1414505676512696,nan,1.1408017771377863,nan,1.0012221426895802,nan,1.0012307930943554,nan
b O r,3,-13.182570840839002,nan,-inf,nan,-13.212393139541641,nan,1.1249752805818738,nan,1.1244893698219187,nan,1.0007228915662651,nan,1.000874032480727,nan
b O s,3,-13.088181424310125,nan,-10.868665866722942,nan,-11.296864670817898,nan,1.1249752805818738,nan,1.1244893698219187,nan,1.0012221426895802,nan,1.0012307930943554,nan
b U n,3,-11.630423687401212,nan,-inf,nan,-13.283242108805878,nan,1.1595228568078961,nan,1.158701538474302,nan,1.00144578313253,nan,1.0013957716111619,nan
b u r,3,-10.43209992385284,nan,-11.84546588137886,nan,-11.90629142237265,nan,1.1919632323891027,nan,1.1908378185092696,nan,1.0054138070003429,nan,1.0042364547301805,nan
b U s,3,-11.793454256715723,nan,-inf,nan,-13.424508314315613,nan,1.1430475697385003,nan,1.1423891311584344,nan,1.00144578313253,nan,1.0013957716111619,nan
b W r,3,-11.514864020280925,nan,-13.876217094161152,nan,-13.609396128867346,nan,1.137023473352958,nan,1.1364225440462625,nan,1.0009725171279227,nan,1.0010524127875413,nan
C e D,3,-12.353512504852493,nan,-16.5752512931212,nan,-16.376487557936006,nan,1.076412340071345,nan,1.0763985131036198,nan,1.0009638554216866,nan,1.0010479455242054,nan
C i D,3,-11.824140717494014,nan,-14.367823466091483,nan,-14.540638398443164,nan,1.0995448701918271,nan,1.0993102076143597,nan,1.0029262130900036,nan,1.002457118925375,nan
C O b,3,-15.009823446093,nan,-15.535758371612417,nan,-15.41801153553469,nan,1.037875446616347,nan,1.0382293439899544,nan,1.0007402149787368,nan,1.0008829670073989,nan
C O g,3,-15.409778898390194,nan,-15.411214899175189,nan,-15.051997619813001,nan,1.0371265699313743,nan,1.037487870930142,nan,1.0002409638554217,nan,1.0005262063937705,nan
C O v,3,-15.742412358704241,nan,-inf,nan,-14.656754875771393,nan,1.0313851820132516,nan,1.031803244138249,nan,1.0002409638554217,nan,1.0005262063937705,nan
C u D,3,-12.32598040146229,nan,-14.5078376682956,nan,-14.661189504552645,nan,1.1043641473002608,nan,1.104083477304097,nan,1.0031758386516612,nan,1.002635499232189,nan
C u S,3,-13.293771660135889,nan,-12.81221367107417,nan,-13.092792141988811,nan,1.0928813714640153,nan,1.0927142237203107,nan,1.0036750897749762,nan,1.0029922598458174,nan
C u T,3,-14.187013996573752,nan,-12.658638530831142,nan,-13.130532469971659,nan,1.0863911068609198,nan,1.0862881238686053,nan,1.0031758386516612,nan,1.002635499232189,nan
D e C,3,-12.353512504852493,nan,-12.884044692553134,nan,-12.816819835302073,nan,1.107452465706647,nan,1.107149713014324,nan,1.003855421686747,nan,1.0031349020459446,nan
D e D,3,-11.085875687533917,nan,-14.873816227304907,nan,-14.603129699762565,nan,1.1214314971594677,nan,1.120990543464151,nan,1.003855421686747,nan,1.0031349020459446,nan
D e J,3,-12.671966235971027,nan,-11.783648282091525,nan,-12.067792196347671,nan,1.1024599544734968,nan,1.102206559282243,nan,1.004354672810062,nan,1.003491662659573,nan
D e S,3,-12.053666946207514,nan,-11.450971281992992,nan,-11.630088837410645,nan,1.1099487213232222,nan,1.1096212898803646,nan,1.0041050472484045,nan,1.0033132823527589,nan
D i C,3,-11.824140717494014,nan,-12.974049820127766,nan,-13.101234212009324,nan,1.130584995827129,nan,1.130061407525064,nan,1.0029695216211827,nan,1.0024794552420542,nan
D i D,3,-10.55650390017544,nan,-15.10692219852021,nan,-15.021075469094338,nan,1.1445640272799498,nan,1.1439022379748909,nan,1.0017213938128953,nan,1.0015875537079837,nan
D i S,3,-11.524295158849036,nan,-14.654491718777997,nan,-14.504770379563722,nan,1.1330812514437043,nan,1.1325329843911045,nan,1.0012221426895802,nan,1.0012307930943554,nan
D i T,3,-12.4175374952869,nan,-13.856559562144456,nan,-14.019262563782021,nan,1.1265909868406088,nan,1.1261068845393991,nan,1.0017213938128953,nan,1.0015875537079837,nan
d u r,3,-10.024794888822669,nan,-11.889974396729471,nan,-11.962223571806309,nan,1.1653827726189878,nan,1.164509545264488,nan,1.0087873009762465,nan,1.0066712373388762,nan
D W C,3,-13.408744497890376,nan,-14.279817797627569,nan,-13.888139981682176,nan,1.080464513899418,nan,1.0804194027517942,nan,1.0002496255616575,nan,1.0005306736571067,nan
D W D,3,-12.141107680571801,nan,-17.87902724481344,nan,-16.773062134810775,nan,1.0944435453522388,nan,1.0942602332016211,nan,1.0002496255616575,nan,1.0005306736571067,nan
D W T,3,-14.002141275683263,nan,-14.28685880229036,nan,-14.007660637237102,nan,1.0764705049128978,nan,1.0764648797661294,nan,1.0002496255616575,nan,1.0005306736571067,nan
f U n,3,-12.035888795509376,nan,-inf,nan,-14.850049440076676,nan,1.1293504430147927,nan,1.128815390466712,nan,1.0004819277108434,nan,1.000700119437249,nan
f u r,3,-10.837565031961004,nan,-14.096757679985355,nan,-13.847792203084857,nan,1.1617908185959993,nan,1.1609516705016796,nan,1.0034860961569694,nan,1.0028451503823543,nan
f U s,3,-12.198919364823887,nan,-inf,nan,-14.991315645586411,nan,1.1128751559453969,nan,1.1125029831508444,nan,1.0004819277108434,nan,1.000700119437249,nan
f W r,3,-11.92032912838909,nan,-14.518070980333544,nan,-14.213392712629094,nan,1.1068510595598546,nan,1.1065363960386725,nan,1.0004905894170792,nan,1.0007045867005848,nan
f ^ r,3,-10.525813934124342,nan,-12.58038166442309,nan,-12.64473029282029,nan,1.1815498547405776,nan,1.1805220762296031,nan,1.004673592021606,nan,1.0037057810730738,nan
g U n,3,-12.030379139698404,nan,-inf,nan,-13.487197014669514,nan,1.1317450790301185,nan,1.131187306975251,nan,1.0016867469879518,nan,1.0015696846546402,nan
g U S,3,-13.815206172150816,nan,-11.437239637748561,nan,-11.735916912001937,nan,1.0695883141773976,nan,1.0696450430108417,nan,1.0029348747962394,nan,1.002461586188711,nan
