word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.172893522959793,nan,-13.91868747988704,nan,-14.010485611826581,nan,1.1138578956370517,nan,1.1134193437920497,nan,1.0018018644346722,nan,1.0016193732364358,nan
g i T,3,-12.715202869331705,nan,-12.735441554021659,nan,-13.096628967203024,nan,1.1054027192984643,nan,1.105061636971009,nan,1.0012084592145014,nan,1.0012170185937779,nan
z i T,3,-12.422533255368887,nan,-13.975900566918003,nan,-14.304639278937675,nan,1.0796504044836497,nan,1.0796039710671188,nan,1.001791040047592,nan,1.0016143959035335,nan
y c g,3,-12.449254281164107,nan,-13.25603236056284,nan,-13.165643298973594,nan,1.0896559117898499,nan,1.0894894980445042,nan,1.001791040047592,nan,1.0016143959035335,nan
l R z,3,-10.972316933954682,nan,-11.600585914257508,nan,-11.692549427516823,nan,1.0778829580899516,nan,1.0778501735642638,nan,1.0008955200237961,nan,1.0010083752730958,nan
J Y p,3,-12.811072787489131,nan,-inf,nan,-14.797383922143307,nan,1.0788823479531333,nan,1.0788332109287018,nan,1.002416918429003,nan,1.002031682544898,nan
C ^ z,3,-11.951332822150526,nan,-13.230705675811873,nan,-12.924225265649945,nan,1.1269593247274894,nan,1.126359728476595,nan,1.0048230124709259,nan,1.0036560331142363,nan
C e J,3,-14.034275171307254,nan,-13.06176018188896,nan,-13.554548037457794,nan,1.056550734916318,nan,1.0567713902941986,nan,1.001769391273432,nan,1.0016044412377292,nan
z i S,3,-11.534325492237556,nan,-14.605413794470806,nan,-14.652520958212955,nan,1.084786356145281,nan,1.0846785979327904,nan,1.0011868104403414,nan,1.0012070639279735,nan
z u v,3,-11.681217785904217,nan,-14.65745079399776,nan,-14.487844987543081,nan,1.1028581543927864,nan,1.1025386784687803,nan,1.0027082088455483,nan,1.002230371199776,nan
D Y p,3,-11.108784721091569,nan,-13.391215693512628,nan,-13.17045141543776,nan,1.1225744775827629,nan,1.1220254306083357,nan,1.0027082088455483,nan,1.002230371199776,nan
s R k,3,-10.34040822694527,nan,-12.306466489575113,nan,-12.316171390725954,nan,1.1663859862313861,nan,1.1653205448201125,nan,1.0035712557081042,nan,1.0028214598315073,nan
b R s,3,-10.812103426935495,nan,-10.634033258337617,nan,-10.762237875225814,nan,1.1422890087781021,nan,1.1415036453358407,nan,1.003549606933944,nan,1.0028115051657025,nan
T ^ z,3,-12.580966596988144,nan,-inf,nan,-13.592526447623358,nan,1.123487102505267,nan,1.1229272341974188,nan,1.0045317220543806,nan,1.0034573444593584,nan
S c G,3,-13.049480365162275,nan,-12.256838420435686,nan,-12.272109704976842,nan,1.0519849232030758,nan,1.052253595178969,nan,1.0018018644346722,nan,1.0016193732364358,nan
J e J,3,-14.534231122836342,nan,-13.83988500683953,nan,-14.30434225368239,nan,1.0539465682496512,nan,1.0541970195848165,nan,1.0011868104403414,nan,1.0012070639279735,nan
D ^ z,3,-10.74900070728205,nan,-7.382890490641491,nan,-7.594194224626481,nan,1.1680472876904522,nan,1.1669775774468467,nan,1.0406517337059973,nan,1.0280947376642064,nan
S Y p,3,-12.052542847666334,nan,-12.836115556729643,nan,-12.958013717170198,nan,1.085248088693874,nan,1.0851261171071915,nan,1.0029994992620936,nan,1.0024290598546537,nan
n W C,3,-12.56553672990017,nan,-13.139749911826772,nan,-13.393249761924432,nan,1.0465161642652563,nan,1.0468504583331544,nan,1.0014672764698065,nan,1.001400775249949,nan
