word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.778260615319487,nan,-9.91510393461753,nan,-10.0608961068387,nan,1.1509823045079755,nan,1.1502415701246256,nan,1.0079633623360849,nan,1.0060525994224285,nan
b i l,3,-9.8605494724569,nan,-9.250749627748029,nan,-9.374341588053504,nan,1.18541884662281,nan,1.1843352210308729,nan,1.0147152720031427,nan,1.0108746962208617,nan
b i s,3,-9.835097409253237,nan,-9.513468903507038,nan,-9.625674365867322,nan,1.186946730503635,nan,1.1858476989739029,nan,1.0116595042414926,nan,1.0087035364596892,nan
b R s,3,-10.810993253147007,nan,-10.380298972433351,nan,-10.502879026981045,nan,1.1422073008084532,nan,1.1415439015055484,nan,1.0037579258037352,nan,1.0030398024249723,nan
b Y s,3,-10.622566138790567,nan,-10.339717416023182,nan,-10.455790613065066,nan,1.1589231316835762,nan,1.158096968691527,nan,1.0037137944477872,nan,1.0030172979020422,nan
b ^ l,3,-10.05421104931053,nan,-11.042473452388263,nan,-11.113606321019411,nan,1.210000950850932,nan,1.208677966892606,nan,1.008191530835987,nan,1.0062200266887682,nan
C @ l,3,-11.711100241424553,nan,-14.200474977244403,nan,-14.06595887716087,nan,1.119633316895877,nan,1.1191869905494682,nan,1.0020195259653875,nan,1.0017957970872189,nan
C i D,3,-11.813349524636184,nan,-14.312037917918095,nan,-14.489211515798086,nan,1.0990660393010094,nan,1.0988314355066355,nan,1.0029851575921331,nan,1.0024925115800933,nan
C i n,3,-10.984771134529213,nan,-10.8509629934822,nan,-11.092918966409762,nan,1.1494862073682364,nan,1.1487432076266255,nan,1.0065502199807248,nan,1.005025531301461,nan
C R J,3,-14.364781729288374,nan,-15.478234580665829,nan,-15.408100181217407,nan,1.035737355722456,nan,1.0361258230647494,nan,1,1,1.0003573590556094,1.0
C R g,3,-13.114823811720616,nan,-16.971138676843978,nan,-16.29913870339649,nan,1.0548359042327693,nan,1.0550317973526244,nan,1,1,1.0003573590556094,1.0
C R T,3,-14.64594912071896,nan,-14.852226702943513,nan,-14.887436108451126,nan,1.0367559449763395,nan,1.037134141693436,nan,1.0002546473134708,nan,1.000538289035707,nan
C ^ J,3,-13.582547462248233,nan,-inf,nan,-17.522469603956818,nan,1.1050588896457598,nan,1.104772366394837,nan,1.0002458210422813,nan,1.000533788131121,nan
C ^ n,3,-11.178432711382841,nan,-12.490389081349475,nan,-12.392936212531763,nan,1.1740683115963584,nan,1.1730859534883586,nan,1.00890382970029,nan,1.006685407454443,nan
C ^ S,3,-12.960496203372017,nan,-14.465206747926715,nan,-14.446694622729291,nan,1.1126983090498852,nan,1.112334756109987,nan,1.002282999550048,nan,1.0019812279719025,nan
C ^ C,3,-13.251693217931242,nan,-14.665215570263827,nan,-14.678068673180016,nan,1.1101518359151767,nan,1.1098139595382703,nan,1.0017737049231064,nan,1.0016193680117071,nan
d i k,3,-9.524569538548084,nan,-11.468316998200976,nan,-11.540881832842624,nan,1.1694585432404543,nan,1.1685253020195423,nan,1.0053034622269397,nan,1.0041343841147308,nan
d i s,3,-9.422113468731046,nan,-11.08015015156954,nan,-11.155736948582195,nan,1.1610551818959165,nan,1.1602066733328773,nan,1.0042848729730562,nan,1.0034106641943399,nan
d i t,3,-8.93395110447344,nan,-9.954093226195697,nan,-10.036188711788792,nan,1.1933953907067136,nan,1.1922207897936787,nan,1.0078499353616481,nan,1.0059436839157077,nan
d E p,3,-10.654646511362797,nan,-13.510989457927153,nan,-13.471979667998829,nan,1.11968269297007,nan,1.1192451403940187,nan,1.0022476944652896,nan,1.0019632243535583,nan
d R s,3,-10.398009312624817,nan,-11.09386839024323,nan,-11.197253742353862,nan,1.1163157522007348,nan,1.1159028758645229,nan,1.0027746416346104,nan,1.0023340861229257,nan
D i D,3,-10.568667408194754,nan,-15.022119145099877,nan,-14.941797813154661,nan,1.144254119418254,nan,1.1435822821442747,nan,1.0017560523807272,nan,1.001610366202535,nan
D i g,3,-10.894245851385413,nan,-13.840874591851497,nan,-13.822137946073514,nan,1.1447634140451957,nan,1.144086441458618,nan,1.0027746416346104,nan,1.0023340861229257,nan
D i C,3,-11.813349524636184,nan,-12.912201467584577,nan,-13.044209553851418,nan,1.1307578118042994,nan,1.1302220603141764,nan,1.0030292889480814,nan,1.0025150161030236,nan
d I J,3,-11.352793809180007,nan,-12.448910147938648,nan,-12.68311552761033,nan,1.1215998717482587,nan,1.1211539626665694,nan,1.0076292785819074,nan,1.0058311613010562,nan
d I D,3,-9.777257448421587,nan,-12.577527525760742,nan,-12.642543252157422,nan,1.1401891256316303,nan,1.139555777640101,nan,1.0104303990300867,nan,1.007821391082131,nan
d Y p,3,-10.61924458431188,nan,-12.599328994437158,nan,-12.641390660790869,nan,1.1096040302365402,nan,1.1092646145907081,nan,1.0042495678882977,nan,1.0033926605759957,nan
d Y t,3,-9.72141983401077,nan,-10.566103166493473,nan,-10.645955222708002,nan,1.1653717918866549,nan,1.164470059511303,nan,1.0083239249038312,nan,1.006287540257559,nan
d I T,3,-11.633961200610592,nan,-12.803731523228057,nan,-12.97338167106038,nan,1.1226184610021421,nan,1.122162281295256,nan,1.0073746312684366,nan,1.0056502313209585,nan
d I Z,3,-14.368328710030177,nan,-inf,nan,-16.636508629071898,nan,1.1177801620461962,nan,1.1173727678089944,nan,1.0073746312684366,nan,1.0056502313209585,nan
f i k,3,-10.335499754764411,nan,-11.614383559628276,nan,-11.718969835145872,nan,1.165550384960044,nan,1.1646549585265573,nan,1.006778388480627,nan,1.0051929585678008,nan
f i s,3,-10.233043684947376,nan,-11.226216712996841,nan,-11.333824950885443,nan,1.1571470236155061,nan,1.1563363298398923,nan,1.0057597992267435,nan,1.00446923864741,nan
f R s,3,-11.208939528841146,nan,-11.714392931265646,nan,-11.791123819736207,nan,1.1124075939203244,nan,1.1120325323715379,nan,1.0030204626768915,nan,1.0025105151984375,nan
f R t,3,-10.72077716458354,nan,-10.926741629177306,nan,-11.012961834366447,nan,1.1447478027311215,nan,1.1440466488323393,nan,1.0042936992442457,nan,1.003415165098926,nan
f Y k,3,-11.122968484301744,nan,-10.78609283557069,nan,-10.930938160463706,nan,1.137526786139985,nan,1.1369042282441815,nan,1.0055316307268416,nan,1.0043018113810702,nan
f ^ l,3,-10.452157325004666,nan,-12.249815705581417,nan,-12.30973582486677,nan,1.1802012439628031,nan,1.1791665977585954,nan,1.0042583941594874,nan,1.003397161480582,nan
g e s,3,-10.769922886561748,nan,-11.613907020145447,nan,-11.649975237720092,nan,1.1355038438464697,nan,1.1349039965494265,nan,1.0030381152192709,nan,1.0025195170076098,nan
g W d,3,-11.9900512176789,nan,-13.24457879500639,nan,-12.809279892957216,nan,1.1051354615780355,nan,1.1048326361611798,nan,1.001527883880825,nan,1.0014429389361956,nan
g W r,3,-11.900546073810867,nan,-15.806918007428154,nan,-15.038091258978286,nan,1.109209818593569,nan,1.1088659106759264,nan,1.0002546473134708,nan,1.000538289035707,nan
g W z,3,-12.47135440217857,nan,-15.14444249053463,nan,-14.126093865185693,nan,1.075087078588476,nan,1.0750872366149231,nan,1.0002546473134708,nan,1.000538289035707,nan
g i C,3,-12.138927967826845,nan,-12.341692118894798,nan,-12.574449794418294,nan,1.1107285006171963,nan,1.1103865499126282,nan,1.0022918258212377,nan,1.0019857288764888,nan
g i J,3,-12.469782212143834,nan,-15.441022793113216,nan,-15.100396994076561,nan,1.1056355543477794,nan,1.1053449567691949,nan,1.0002546473134708,nan,1.000538289035707,nan
g i D,3,-10.894245851385415,nan,-14.4516097964101,nan,-14.472038053721537,nan,1.124224808231151,nan,1.1237467717427265,nan,1.0010185892538834,nan,1.0010810789760003,nan
g R g,3,-12.195720138469845,nan,-14.636275205415277,nan,-14.177205891655813,nan,1.0799946731629109,nan,1.0799471335887154,nan,1.0007374631268438,nan,1.0008866462821442,nan
g u v,3,-12.071994398439188,nan,-13.17178666946346,nan,-13.114520088005234,nan,1.12402180399379,nan,1.1235477711759767,nan,1.002282999550048,nan,1.0019812279719025,nan
h e s,3,-10.99940671977054,nan,-10.657374454701026,nan,-10.779906939524686,nan,1.1440529400848674,nan,1.1433703729403313,nan,1.0037755783461146,nan,1.0030488042341446,nan
h e n,3,-10.83203049610161,nan,-10.557995065600675,nan,-10.674531416301125,nan,1.1598410735200597,nan,1.1589993116849746,nan,1.0037755783461146,nan,1.0030488042341446,nan
h i n,3,-10.295151294487235,nan,-9.418816667439552,nan,-9.585025527616011,nan,1.1831940725367756,nan,1.1821249202536213,nan,1.0114666408263493,nan,1.008554112811694,nan
h Y s,3,-11.249996247693499,nan,-11.178624375913678,nan,-11.28478771243941,nan,1.1393823402815242,nan,1.138745251226602,nan,1.0017472261095375,nan,1.0016058652979491,nan
h ^ s,3,-10.656189095009797,nan,-10.217060837433557,nan,-10.359657446085869,nan,1.1919880433297052,nan,1.190838727370711,nan,1.0100976298269375,nan,1.0075495492136568,nan
J R T,3,-14.976803365035952,nan,-inf,nan,-15.917088051775174,nan,1.0350461257286598,nan,1.0354408664152552,nan,1.0002546473134708,nan,1.000538289035707,nan
J ^ n,3,-11.509286955699832,nan,-10.955562032706547,nan,-11.225363578519591,nan,1.1723584923486787,nan,1.1713926782101778,nan,1.0101329349116959,nan,1.0075675528320012,nan
