word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.044712816846248,nan,-10.099033051023858,nan,-10.915243395935013,nan,1.1433121478457042,nan,1.1394454060166284,nan,1.0064205457463884,nan,1.0028069233604058,nan
b i l,3,-10.113757411567846,nan,-9.764322082970983,nan,-10.42442574450486,nan,1.1542984150117468,nan,1.1497047212230738,nan,1.0117572814202027,nan,1.004248256580346,nan
b i s,3,-9.826075339116064,nan,-10.419728935548083,nan,-10.889503255414542,nan,1.1782300389433706,nan,1.1721406186589711,nan,1.0032102728731942,nan,1.0018740875395102,nan
b R s,3,-10.990645595575973,nan,-11.963208880190383,nan,-12.114253187682236,nan,1.1284708094088602,nan,1.1253128240970376,nan,1,1,1.0009412517186147,1.0
b Y s,3,-10.555327524318127,nan,-10.319085409768395,nan,-10.861490219186868,nan,1.1477324466480257,nan,1.14343971231456,nan,1.0032102728731942,nan,1.0018740875395102,nan
b ^ l,3,-10.14253637611789,nan,-13.82988768064304,nan,-13.359589506546659,nan,1.199242235236466,nan,1.1920007937306265,nan,1,1,1.0009412517186147,1.0
C @ l,3,-12.67567186533423,nan,-inf,nan,-14.899157234603601,nan,1.1148212163436793,nan,1.112517545320111,nan,1,1,1.0009412517186147,1.0
C i D,3,-12.35774990769273,nan,-14.815612273249734,nan,-15.50596048835865,nan,1.0882006459028841,nan,1.0875204502701459,nan,1.003314538145999,nan,1.0018825034372298,nan
C i n,3,-11.82712165663056,nan,-13.500413833813573,nan,-14.202623714669464,nan,1.1497391074413457,nan,1.1452127579624536,nan,1.0016051364365972,nan,1.0014076696290626,nan
C R J,3,-16.431041060717,nan,-inf,nan,-16.88849086850418,nan,1.0162191941461514,nan,1.019859322374879,nan,1,1,1.0009412517186147,1.0
C R g,3,-13.960120652903738,nan,-inf,nan,-16.38308531220753,nan,1.0384414163683735,nan,1.0406926557082123,nan,1,1,1.0009412517186147,1.0
C R T,3,-15.450211807705273,nan,-inf,nan,-16.67973605464207,nan,1.017928595855553,nan,1.0214618864774432,nan,1,1,1.0009412517186147,1.0
C ^ J,3,-15.295249768807135,nan,-inf,nan,-17.633823802234698,nan,1.110922243905381,nan,1.1089831894443654,nan,1,1,1.0009412517186147,1.0
C ^ n,3,-11.855900621180604,nan,-inf,nan,-12.89242212767083,nan,1.1946829276660647,nan,1.1875088304700063,nan,1.0205128205128204,nan,1.0066392574166205,nan
C ^ S,3,-14.253795893978975,nan,-inf,nan,-16.931942941705998,nan,1.1126316456147827,nan,1.1105857535469295,nan,1,1,1.0009412517186147,1.0
C ^ C,3,-14.784424145041145,nan,-inf,nan,-17.311740303065584,nan,1.1126316456147827,nan,1.1105857535469295,nan,1,1,1.0009412517186147,1.0
d i k,3,-10.006374650529253,nan,-13.149604009327238,nan,-13.120683679519491,nan,1.142367820513799,nan,1.1384245834503985,nan,1.0017094017094017,nan,1.001416085526782,nan
d i s,3,-9.636454479840499,nan,-11.833125226445762,nan,-12.141902653645953,nan,1.1560430341890127,nan,1.1512450962709113,nan,1,1,1.0009412517186147,1.0
d i t,3,-9.080605174700553,nan,-10.361801418451629,nan,-10.785195451394728,nan,1.2039062820522606,nan,1.1961168911427063,nan,1.0034188034188034,nan,1.001890919334949,nan
d E p,3,-11.106406385851589,nan,-14.256847187194625,nan,-14.010245816375752,nan,1.1179148702181518,nan,1.115528735592315,nan,1,1,1.0009412517186147,1.0
d R s,3,-10.801024736300407,nan,-11.07402007809402,nan,-11.661904493675221,nan,1.106283804654502,nan,1.1044173017089778,nan,1.0016051364365972,nan,1.0014076696290626,nan
D i D,3,-9.95985463489436,nan,-13.281681913323778,nan,-13.346476239005277,nan,1.1658551625431377,nan,1.1606547786283548,nan,1.0017094017094017,nan,1.001416085526782,nan
D i g,3,-10.39765512364546,nan,-12.17890512097943,nan,-12.50637464548867,nan,1.1658551625431377,nan,1.1606547786283548,nan,1.0034188034188034,nan,1.001890919334949,nan
D i C,3,-12.35774990769273,nan,-inf,nan,-14.481456171844261,nan,1.1453423420303173,nan,1.1414240093975856,nan,1,1,1.0009412517186147,1.0
d I J,3,-12.499215427992674,nan,-inf,nan,-15.31578496533881,nan,1.1121610734531193,nan,1.1101691027779992,nan,1.0032102728731942,nan,1.0018740875395102,nan
d I D,3,-9.590494531428313,nan,-12.572232355417896,nan,-12.942430801456558,nan,1.1343832956753415,nan,1.1310024361113324,nan,1.0083384780013993,nan,1.0032985889640118,nan
d Y p,3,-11.230704102529167,nan,-13.033937181848938,nan,-13.23705592814227,nan,1.0793915957398212,nan,1.0792749591572695,nan,1.0017094017094017,nan,1.001416085526782,nan
d Y t,3,-9.809857359902615,nan,-11.598662089622403,nan,-11.685895667039766,nan,1.1734086897569154,nan,1.1674159847982952,nan,1.005128205128205,nan,1.0023657531431163,nan
d I T,3,-11.518386174980947,nan,-inf,nan,-15.1070301514767,nan,1.113870475162521,nan,1.1117716668805633,nan,1.0032102728731942,nan,1.0018740875395102,nan
d I Z,3,-inf,nan,-inf,nan,-inf,nan,1.108742270034316,nan,1.105361410470307,nan,1.0032102728731942,nan,1.0013992537313432,nan
f i k,3,-10.794832010893522,nan,-12.535500036107745,nan,-12.745659596912564,nan,1.1439526065676817,nan,1.1399171207638314,nan,1.006524811019193,nan,1.0028153392581254,nan
f i s,3,-10.42491184020477,nan,-11.21902125322627,nan,-11.766878571039022,nan,1.1576278202428953,nan,1.1527376335843442,nan,1.0048154093097914,nan,1.0023405054499581,nan
f R s,3,-11.589482096664677,nan,-inf,nan,-12.896318323502392,nan,1.1078685907083847,nan,1.1059098390224107,nan,1,1,1.0009412517186147,1.0
f R t,3,-11.033632791524731,nan,-inf,nan,-12.040386409163657,nan,1.1557318385716326,nan,1.1507816338942056,nan,1.0017094017094017,nan,1.001416085526782,nan
f Y k,3,-11.524084196095583,nan,-inf,nan,-12.922440973330902,nan,1.1134550142723365,nan,1.1112162144194204,nan,1.0017094017094017,nan,1.001416085526782,nan
f ^ l,3,-10.741372877206594,nan,-12.326594905327184,nan,-12.532216729932715,nan,1.1786400165359905,nan,1.1725978086559996,nan,1.0048154093097914,nan,1.0023405054499581,nan
g e s,3,-10.616295611705516,nan,-11.546431275140694,nan,-11.771743974764089,nan,1.1575464187120377,nan,1.152665486765568,nan,1.0067333415648023,nan,1.0028321710535641,nan
g W d,3,-11.762896075567518,nan,-inf,nan,-13.17443704960003,nan,1.1122898026689048,nan,1.1100934440047034,nan,1.0017094017094017,nan,1.001416085526782,nan
g W r,3,-11.493563141783934,nan,-inf,nan,-13.792299831453544,nan,1.1481872385663408,nan,1.1437472901585495,nan,1,1,1.0009412517186147,1.0
g W z,3,-12.229269936762675,nan,-inf,nan,-13.344697863051623,nan,1.0729735633526654,nan,1.073234469645729,nan,1,1,1.0009412517186147,1.0
g i C,3,-12.795550396443831,nan,-inf,nan,-14.18035107906034,nan,1.1041379046293662,nan,1.102618039248332,nan,1,1,1.0009412517186147,1.0
