word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.22012716131793,nan,-inf,nan,-11.745621212086784,nan,1.1515972872310913,nan,1.1482121043831783,nan,1.0011764705882353,nan,1.0012727104877788,nan
b O r,3,-13.333455846624933,nan,-inf,nan,-11.84275325024568,nan,1.176319166093885,nan,1.1717970100435557,nan,1.0011764705882353,nan,1.0012727104877788,nan
b O s,3,-13.534620491220368,nan,-inf,nan,-11.871379770360553,nan,1.1244032204820185,nan,1.1222687081567633,nan,1.0011764705882353,nan,1.0012727104877788,nan
b U n,3,-10.74920675350467,nan,-inf,nan,-12.403366465595814,nan,1.1963031695840325,nan,1.1909567613010636,nan,1.0023529411764707,nan,1.0016944734569901,nan
b u r,3,-10.06896951050468,nan,-9.739218429240719,nan,-10.206273129136259,nan,1.2633779896232966,nan,1.2550366050941746,nan,1.0158307278411982,nan,1.0064006603396187,nan
b U s,3,-11.063700083407108,nan,-inf,nan,-12.529125023869584,nan,1.1691091028349596,nan,1.1650133650746486,nan,1.0023529411764707,nan,1.0016944734569901,nan
b W r,3,-11.341025681934726,nan,-inf,nan,-13.138075833159844,nan,1.1869074013880025,nan,1.1819207445767392,nan,1,1,1.0008509475185676,1.0
C e D,3,-12.098942688681436,nan,-inf,nan,-15.796236733768787,nan,1.0865372133356945,nan,1.0861269817687884,nan,1.0011764705882353,nan,1.0012727104877788,nan
C i D,3,-11.871780377772309,nan,-15.616871844351358,nan,-15.691757663738766,nan,1.0806548603945179,nan,1.0805026848059087,nan,1.002412564531375,nan,1.001701895037135,nan
C O b,3,-15.417351738654148,nan,-inf,nan,-16.605673500518748,nan,1.038838529412187,nan,1.0404972196871616,nan,1,1,1.0008509475185676,1.0
C O g,3,-15.417351738654148,nan,-inf,nan,-15.912526319958802,nan,1.049963374900444,nan,1.0511104272343315,nan,1,1,1.0008509475185676,1.0
C O v,3,-16.279121631649886,nan,-inf,nan,-14.098543713946038,nan,1.0240054020945109,nan,1.0263462762909352,nan,1,1,1.0008509475185676,1.0
C u D,3,-12.046643189278587,nan,-15.154326960393298,nan,-15.432228339338966,nan,1.1147725074533414,nan,1.1131236071906108,nan,1.002412564531375,nan,1.001701895037135,nan
C u S,3,-13.687579768772059,nan,-13.107925272791663,nan,-14.140244657690317,nan,1.104883755908224,nan,1.1036896449264597,nan,1.0036486584745148,nan,1.0021310795864913,nan
C u T,3,-13.687579768772059,nan,-13.513390380899827,nan,-14.47671689431153,nan,1.1036476619650843,nan,1.1025103996434409,nan,1.0011764705882353,nan,1.0012727104877788,nan
D e C,3,-12.098942688681436,nan,-11.218211047452485,nan,-11.892245900037903,nan,1.141913073469009,nan,1.139119644242583,nan,1.0105882352941176,nan,1.0046468142414693,nan
D e D,3,-10.57133479449497,nan,-inf,nan,-13.678105647138771,nan,1.1480935431847075,nan,1.1450158706576774,nan,1.0105882352941176,nan,1.0046468142414693,nan
D e J,3,-12.94624054906864,nan,-12.162672656293333,nan,-12.722594202111335,nan,1.1320243219238917,nan,1.129685681978432,nan,1.0105882352941176,nan,1.0046468142414693,nan
D e S,3,-12.21227137398844,nan,-inf,nan,-12.386121965490123,nan,1.13820479163959,nan,1.1355819083935264,nan,1.0105882352941176,nan,1.0046468142414693,nan
D i C,3,-11.87178037777231,nan,-13.179974413749719,nan,-13.579526299235937,nan,1.1360307205278324,nan,1.1334953472797034,nan,1.0036486584745148,nan,1.0021310795864913,nan
D i D,3,-10.344172483585842,nan,-14.419900235484405,nan,-14.266773757668695,nan,1.1422111902435308,nan,1.1393915736947977,nan,1.002412564531375,nan,1.001701895037135,nan
D i S,3,-11.985109063079314,nan,-inf,nan,-14.361084437139937,nan,1.1323224386984134,nan,1.1299576114306467,nan,1.0011764705882353,nan,1.0012727104877788,nan
D i T,3,-11.985109063079314,nan,-12.778963655990934,nan,-13.311262312641258,nan,1.1310863447552737,nan,1.1287783661476278,nan,1.002412564531375,nan,1.001701895037135,nan
d u r,3,-9.772703694361507,nan,-9.971441879056796,nan,-10.41651327561456,nan,1.2366648653491967,nan,1.229481049538619,nan,1.0170071984294335,nan,1.00682242330883,nan
D W C,3,-13.318699360708635,nan,-inf,nan,-15.070299730385848,nan,1.093677779351362,nan,1.09300040914697,nan,1,1,1.0008509475185676,1.0
D W D,3,-11.791091466522166,nan,-inf,nan,-15.757547188818606,nan,1.0998582490670603,nan,1.0988966355620644,nan,1,1,1.0008509475185676,1.0
D W T,3,-13.432028046015638,nan,-inf,nan,-13.70342345512306,nan,1.0887334035788032,nan,1.0882834280148945,nan,1,1,1.0008509475185676,1.0
f U n,3,-11.459745676776484,nan,-inf,nan,-13.760802900597968,nan,1.1579756434516284,nan,1.154290094634397,nan,1.0011764705882353,nan,1.0012727104877788,nan
f u r,3,-10.779508433776494,nan,-11.91905126386507,nan,-12.03371319338415,nan,1.2250504634908925,nan,1.218369938427508,nan,1.0123013160764924,nan,1.0051353714319848,nan
f U s,3,-11.774239006678922,nan,-inf,nan,-13.886561458871737,nan,1.1307815767025555,nan,1.128346698407982,nan,1.0011764705882353,nan,1.0012727104877788,nan
f W r,3,-12.05156460520654,nan,-inf,nan,-13.579221536287845,nan,1.1485798752555985,nan,1.1452540779100726,nan,1,1,1.0008509475185676,1.0
f ^ r,3,-10.682462644627023,nan,-12.526922676780533,nan,-12.717937433925902,nan,1.2403445811379514,nan,1.232993110530995,nan,1.0048251290627501,nan,1.0025528425557027,nan
g U n,3,-10.74920675350467,nan,-inf,nan,-11.710219285035867,nan,1.1904959686548804,nan,1.1854012057455081,nan,1.0070588235294118,nan,1.0033815253338354,nan
g U S,3,-13.059760016147893,nan,-inf,nan,-12.481450308784016,nan,1.1101498623508013,nan,1.1087502623492818,nan,1.0070588235294118,nan,1.0033815253338354,nan
g U T,3,-13.059760016147893,nan,-inf,nan,-12.817922545405228,nan,1.1089137684076615,nan,1.107571017066263,nan,1.0070588235294118,nan,1.0033815253338354,nan
g W C,3,-13.424921573963942,nan,-inf,nan,-15.20536840232926,nan,1.0797404971213966,nan,1.0796670758136366,nan,1,1,1.0008509475185676,1.0
g W D,3,-11.897313679777474,nan,-inf,nan,-15.892615860762016,nan,1.085920966837095,nan,1.085563302228731,nan,1,1,1.0008509475185676,1.0
g W T,3,-13.538250259270946,nan,-inf,nan,-13.83849212706647,nan,1.074796121348838,nan,1.074950094681561,nan,1,1,1.0008509475185676,1.0
g ^ r,3,-9.971923721355209,nan,-10.923826670871716,nan,-11.11933894210686,nan,1.2728649063412034,nan,1.2641042216421061,nan,1.0107074820039266,nan,1.0046616574017593,nan
h U n,3,-11.146088117921442,nan,-inf,nan,-13.890818578768455,nan,1.1870116480973891,nan,1.1820678724121747,nan,1,1,1.0008509475185676,1.0
h u r,3,-10.465850874921452,nan,-10.34997757528633,nan,-10.777434510434743,nan,1.2540864681366533,nan,1.2461477162052856,nan,1.0146542572529629,nan,1.0059788973704076,nan
h U s,3,-11.46058144782388,nan,-inf,nan,-14.016577137042225,nan,1.1598175813483163,nan,1.1561244761857596,nan,1,1,1.0008509475185676,1.0
