word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.21382099242156,nan,-14.042491275872983,nan,-14.128786682772455,nan,1.1170018975985683,nan,1.1166457796155516,nan,1.0013175667606329,nan,1.00129909757258,nan
g i T,3,-12.552764904275143,nan,-12.722326283863913,nan,-12.945191589513206,nan,1.1171468347152531,nan,1.116790078225785,nan,1.0004423800044238,nan,1.0006508618549128,nan
z i T,3,-12.490764703352351,nan,-14.452784575619928,nan,-14.648060054548734,nan,1.0790167183860846,nan,1.0789857211134397,nan,1.0010915901321018,nan,1.001133099437295,nan
y c g,3,-12.004369010935356,nan,-14.333598222089252,nan,-14.078188054126693,nan,1.1195080811082017,nan,1.1191274455540925,nan,1.0013223533869522,nan,1.0013017237098254,nan
l R z,3,-11.06872810433252,nan,-11.660611142213172,nan,-11.71114376460096,nan,1.0824074411753042,nan,1.0823441782733387,nan,1.0006539967539974,nan,1.0008089815784613,nan
J Y p,3,-13.266601294945582,nan,-14.533528644407792,nan,-14.236763946745484,nan,1.0680372042758373,nan,1.0680961791101264,nan,1.0026542800265428,nan,1.002284581835308,nan
C ^ z,3,-12.13865584515022,nan,-13.176779718772393,nan,-13.041519035715119,nan,1.134915095710484,nan,1.1344000508418568,nan,1.0050825834245545,nan,1.0040790476764974,nan
C e J,3,-14.44693519124071,nan,-12.78658377917099,nan,-13.211916923850035,nan,1.064514209533634,nan,1.0646077044083457,nan,1.0019572036356723,nan,1.0017760828804714,nan
z i S,3,-11.904946543022906,nan,-15.403245849537283,nan,-15.402878192724662,nan,1.084988848445806,nan,1.0849054755532554,nan,1.0010915901321018,nan,1.001133099437295,nan
z u v,3,-11.817468889988122,nan,-16.33802136295927,nan,-16.071544042501422,nan,1.1080903515852822,nan,1.1078073100435126,nan,1.0013223533869522,nan,1.0013017237098254,nan
D Y p,3,-11.080897582365537,nan,-13.99019187999379,nan,-13.428787942426588,nan,1.1358958858785948,nan,1.1353751197337916,nan,1.0028706834024355,nan,1.002445327696102,nan
s R k,3,-10.6080787340714,nan,-12.073719567705291,nan,-12.108154779508983,nan,1.1518637226044643,nan,1.151198797994184,nan,1.0032843436489438,nan,1.0027563148687086,nan
b R s,3,-10.959821321146606,nan,-10.63097600948853,nan,-10.72722640683015,nan,1.1279883060386957,nan,1.1275289117560794,nan,1.0028515368971587,nan,1.0024348231471205,nan
T ^ z,3,-12.529261838854634,nan,-12.995894256050049,nan,-12.944532513668669,nan,1.1334071250082005,nan,1.132904963272442,nan,1.0050825834245545,nan,1.0040790476764974,nan
S c G,3,-13.591162315437302,nan,-12.829356991235578,nan,-12.830905376768905,nan,1.0456159442555362,nan,1.0458703555835092,nan,1.001764733391376,nan,1.0016284677059044,nan
J e J,3,-14.990218025154082,nan,-14.75560656923373,nan,-15.05292432791242,nan,1.0612828437430264,nan,1.0614039453310282,nan,1.0008751867562091,nan,1.000972353576501,nan
D ^ z,3,-10.496234966483547,nan,-7.378926962876343,nan,-7.497036843347042,nan,1.199542411522634,nan,1.1984752323882044,nan,1.0416547539504146,nan,1.0312450981506978,nan
S Y p,3,-12.528106294407179,nan,-13.352430804208256,nan,-13.31719988952636,nan,1.0740690870849714,nan,1.0740765293877856,nan,1.0028706834024355,nan,1.002445327696102,nan
n W C,3,-12.759763954128163,nan,-14.497003376745337,nan,-14.583179336586795,nan,1.0444379822871828,nan,1.0447033250462343,nan,1.0008656135035707,nan,1.00096710130201,nan
l W C,3,-13.009109877836396,nan,-13.877318886549556,nan,-13.961630527818034,nan,1.0603793868541798,nan,1.0605085364943334,nan,1.0002164033758927,nan,1.0004848637196277,nan
S c d,3,-12.650350345684,nan,-16.027209500508498,nan,-15.35609517362568,nan,1.0951625047510019,nan,1.0949823924175368,nan,1.0002164033758927,nan,1.0004848637196277,nan
g i J,3,-12.705441744484101,nan,-15.265865187110162,nan,-14.921854656781191,nan,1.1162620747064056,nan,1.1159130775680344,nan,1,1,1.0003241178588338,1.0
C u T,3,-14.26543791249626,nan,-13.25754725216072,nan,-13.609810335427307,nan,1.0911509712737084,nan,1.0910157069970126,nan,1.0028323903918814,nan,1.0024243185981385,nan
D i g,3,-10.519738031904055,nan,-13.579805435580578,nan,-13.585034523193624,nan,1.1632010042516243,nan,1.1624455767454949,nan,1.0037362969060062,nan,1.0030883111392785,nan
w u T,3,-12.912632221130414,nan,-15.082437738976127,nan,-14.68099259198116,nan,1.14780758480236,nan,1.1471882828193107,nan,1.0011011633847402,nan,1.0011383517117858,nan
T c T,3,-15.506376670283032,nan,-14.896638898475379,nan,-14.9848138790982,nan,1.034892946470581,nan,1.0352404220450617,nan,1.0002164033758927,nan,1.0004848637196277,nan
g u T,3,-12.920402267992346,nan,-14.647223677287254,nan,-14.532915403721193,nan,1.1327278777795249,nan,1.1322374071251629,nan,1.0008847600088475,nan,1.0009776058509918,nan
f R s,3,-11.412946912604989,nan,-12.23515380464307,nan,-12.265756400839459,nan,1.1075229893648482,nan,1.107238437599736,nan,1.0024187301453733,nan,1.0021133314255322,nan
J Y m,3,-13.030283739416191,nan,-14.0581226338043,nan,-13.764666990549529,nan,1.0934740545302057,nan,1.0933099480204531,nan,1.0015483300154833,nan,1.0014677218451105,nan
n R z,3,-10.819382180624286,nan,-12.852814825180282,nan,-12.854568033322295,nan,1.0664660366083072,nan,1.0665389668252396,nan,1.0004375933781047,nan,1.0006482357176671,nan
m R n,3,-10.502796361990157,nan,-12.30401526800773,nan,-12.293137256301351,nan,1.1407381799813605,nan,1.1401638931994236,nan,1.004202610042026,nan,1.003428185821585,nan
C u S,3,-13.679619752166815,nan,-14.131047484941947,nan,-14.305787973580301,nan,1.0971231013334297,nan,1.0969354614368283,nan,1.0030535803940934,nan,1.0025876905961781,nan
