word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.251449435511962,nan,-14.359521138515854,nan,-14.32355931496451,nan,1.1146726898787358,nan,1.1144154622454199,nan,1.00150710798765,nan,1.0014513344140317,nan
g i T,3,-12.63352770900287,nan,-12.564637759348523,nan,-12.743427395938442,nan,1.1124715886540932,nan,1.112229156322303,nan,1.0003355704697987,nan,1.0005272545086032,nan
z i T,3,-12.471310393140318,nan,-14.127762224798696,nan,-14.288299517739103,nan,1.0769977834315607,nan,1.0769868655734043,nan,1.000994874903621,nan,1.0010489709557142,nan
y c g,3,-12.003981254888787,nan,-14.834115170528227,nan,-14.52858591544883,nan,1.1157487595052704,nan,1.1154827979057222,nan,1.001003752282952,nan,1.0010545090172063,nan
l R z,3,-10.986495434504889,nan,-11.742287284048878,nan,-11.776366200114143,nan,1.0827293874621005,nan,1.082678978513459,nan,1.0006652226867099,nan,1.0007881127321587,nan
J Y p,3,-13.268170266238492,nan,-15.121840227474438,nan,-14.715321202107742,nan,1.0703625782396227,nan,1.0703921280055897,nan,1.0021812080536914,nan,1.0019822809636296,nan
C ^ z,3,-11.99998309044947,nan,-12.699654499683156,nan,-12.702632112876001,nan,1.1354190888729327,nan,1.1350228553968076,nan,1.0048628126856367,nan,1.0040968370595342,nan
C e J,3,-14.300790965315514,nan,-12.962436362762608,nan,-13.254748483127694,nan,1.0657778456194642,nan,1.0658404963552706,nan,1.0019838315543546,nan,1.0018315456263807,nan
z i S,3,-11.844854587079045,nan,-15.150778360625171,nan,-15.16712460917506,nan,1.083709192827534,nan,1.0836535322400709,nan,1.0013304453734198,nan,1.0013135212202644,nan
z u v,3,-11.775830975620838,nan,-16.231497873075632,nan,-16.004402484220645,nan,1.1095552264365731,nan,1.109329396002966,nan,1.0013393227527507,nan,1.0013190592817565,nan
D Y p,3,-11.138740237897114,nan,-13.47392215371427,nan,-13.279361103357072,nan,1.1372044241913388,nan,1.136797740666709,nan,1.0023460341621468,nan,1.0021127100754073,nan
s R k,3,-10.57255139208555,nan,-12.128597326936248,nan,-12.155531605863434,nan,1.1496927805760997,nan,1.1492001891514096,nan,1.0028286759817386,nan,1.0024966133287512,nan
b R s,3,-10.886281448856309,nan,-10.78753439348353,nan,-10.851846477141283,nan,1.127868603189438,nan,1.1275194092525682,nan,1.0026608907468393,nan,1.002364338196476,nan
T ^ z,3,-12.49782151868865,nan,-13.17526521715808,nan,-13.14783754963368,nan,1.1321344772782536,nan,1.1317596803274652,nan,1.0048628126856367,nan,1.0040968370595342,nan
S c G,3,-13.446860436288604,nan,-12.924991472422294,nan,-12.855750354166108,nan,1.0466162276318625,nan,1.0468035680150387,nan,1.0016748932225494,nan,1.0015836095463069,nan
J e J,3,-14.90758057734325,nan,-14.79973140600262,nan,-15.035439952679592,nan,1.0618363117058494,nan,1.0619246862720597,nan,1.0006652226867099,nan,1.0007881127321587,nan
D ^ z,3,-10.477342674135828,nan,-7.475482467161874,nan,-7.560321492685446,nan,1.1983194009110338,nan,1.197512657974716,nan,1.040794904328953,nan,1.0325303834270836,nan
