word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.875747677717554,nan,-12.527548380902898,nan,-12.385109004874383,nan,1.137997909629412,nan,1.137480193600208,nan,1.0008198187556474,nan,1.0009272134557126,nan
b O r,3,-13.061380495815165,nan,-inf,nan,-13.244096916342663,nan,1.143615887157502,nan,1.1430517990479998,nan,1.0006117455138663,nan,1.000771109802887,nan
b O s,3,-13.092418714526145,nan,-11.941849632188571,nan,-12.091715490733302,nan,1.1130291206156793,nan,1.1127175027211325,nan,1.0010278919974285,nan,1.001083317108538,nan
b U n,3,-10.818479993532039,nan,-inf,nan,-14.052944170423972,nan,1.1789848590584495,nan,1.178135533406033,nan,1.0014274061990212,nan,1.0013861159529485,nan
b u r,3,-10.257488624064333,nan,-11.622442418919755,nan,-11.66586911789869,nan,1.2194723308769146,nan,1.2182945174946016,nan,1.0084894222081018,nan,1.0066865838030845,nan
b U s,3,-11.035151030340632,nan,-inf,nan,-14.165015764391054,nan,1.1540160700447168,nan,1.1533728425269576,nan,1.0014274061990212,nan,1.0013861159529485,nan
b W r,3,-11.345529989772434,nan,-13.530133326765645,nan,-13.269199878478021,nan,1.1558507974348267,nan,1.1551877213780968,nan,1.0014315642695135,nan,1.0013884680682585,nan
C e D,3,-12.240003728007302,nan,-15.773272449320212,nan,-15.746397152729294,nan,1.096271706430146,nan,1.0960976710418733,nan,1.0020433097833799,nan,1.0018497226808047,nan
C i D,3,-11.829004571464496,nan,-14.47429246420704,nan,-14.611743803825284,nan,1.1044283132816959,nan,1.1041882859286047,nan,1.0035039805463397,nan,1.0029448003658932,nan
C O b,3,-15.095659795320568,nan,-16.868860100588375,nan,-16.50590288782815,nan,1.03553426159671,nan,1.0358530593312842,nan,1.0002039151712887,nan,1.0004636067278563,nan
C O g,3,-15.289221456103613,nan,-inf,nan,-16.635877419290917,nan,1.0371988475309588,nan,1.0375039053898893,nan,1.0002039151712887,nan,1.0004636067278563,nan
C O v,3,-16.010168524941154,nan,-inf,nan,-15.461436962529998,nan,1.0272113319254657,nan,1.0275988290382592,nan,1.0002039151712887,nan,1.0004636067278563,nan
C u D,3,-12.19656584603026,nan,-14.718098042629144,nan,-14.83247174147996,nan,1.120129781470929,nan,1.1197627195855626,nan,1.0035081386168323,nan,1.0029471524812033,nan
C u S,3,-13.632732037190324,nan,-14.485904655795018,nan,-14.597122795273956,nan,1.0968255783914451,nan,1.096650874765092,nan,1.0024677724079267,nan,1.0021666342170759,nan
C u T,3,-14.281427455179436,nan,-13.14406205724596,nan,-13.490052784442385,nan,1.090791454379793,nan,1.0906665578026489,nan,1.0028839188914889,nan,1.0024788415227268,nan
D e C,3,-12.240003728007302,nan,-12.428297047779054,nan,-12.393815211660218,nan,1.133843716505556,nan,1.1333719060373486,nan,1.0108075040783033,nan,1.0084586866786558,nan
D e D,3,-10.625145748103863,nan,-14.03310469182899,nan,-13.895999078948787,nan,1.159228652002851,nan,1.1585473084310756,nan,1.0110155773200844,nan,1.0086147903314813,nan
D e J,3,-12.890591294148452,nan,-10.943483702818053,nan,-11.249668990004448,nan,1.1284338122192472,nan,1.1280066563468822,nan,1.0112236505618655,nan,1.0087708939843067,nan
D e S,3,-12.061311939263927,nan,-11.59263689147206,nan,-11.686569106720771,nan,1.135924448923367,nan,1.135435463610605,nan,1.0110155773200844,nan,1.0086147903314813,nan
D i C,3,-11.829004571464496,nan,-12.858639167164991,nan,-12.987241940172868,nan,1.1420003233571059,nan,1.14146252092408,nan,1.0028963931029662,nan,1.002485897868657,nan
D i D,3,-10.214146591561057,nan,-14.30484178103829,nan,-14.287686164810381,nan,1.167385258854401,nan,1.166637923317807,nan,1.002688319861185,nan,1.0023297942158316,nan
D i S,3,-11.65031278272112,nan,-14.033427681050881,nan,-14.01459689062153,nan,1.144081055774917,nan,1.1435260784973365,nan,1.0012318071687172,nan,1.0012370686460532,nan
D i T,3,-12.299008200710233,nan,-12.858639167164991,nan,-13.061677559617218,nan,1.1380469317632649,nan,1.1375417615348933,nan,1.0012318071687172,nan,1.0012370686460532,nan
d u r,3,-9.948920368048942,nan,-11.16955461744296,nan,-11.23327686980452,nan,1.1961173349386531,nan,1.1951277165276395,nan,1.0121598952912991,nan,1.0094541114783613,nan
D W C,3,-13.284607211738358,nan,-15.156454502142635,nan,-14.650916769467393,nan,1.094080258104251,nan,1.0939301584645331,nan,1,1,1.0003098551903409,1.0
D W D,3,-11.669749231834919,nan,-18.84070368787241,nan,-17.62900715656554,nan,1.119465193601546,nan,1.11910556085826,nan,1.000208073241781,nan,1.0004659588431664,nan
D W T,3,-13.754610840984094,nan,-14.175625249130908,nan,-13.83804919391084,nan,1.09012686651041,nan,1.0900093990753463,nan,1.000208073241781,nan,1.0004659588431664,nan
f U n,3,-11.360709164030116,nan,-inf,nan,-14.96106017086903,nan,1.157051471568604,nan,1.1563788855414077,nan,1.0004078303425774,nan,1.0006173582653717,nan
f u r,3,-10.799717794562412,nan,-13.886324662700103,nan,-13.603604535524907,nan,1.1975389433870691,nan,1.1965378696299762,nan,1.006654185666503,nan,1.0053028199654461,nan
f U s,3,-11.577380200838707,nan,-inf,nan,-15.073131764836113,nan,1.1320826825548713,nan,1.1316161946623322,nan,1.0004078303425774,nan,1.0006173582653717,nan
f W r,3,-11.887759160270509,nan,-15.283189946780004,nan,-14.819169765095475,nan,1.1339174099449811,nan,1.1334310735134714,nan,1.0006159035843585,nan,1.0007734619181972,nan
f ^ r,3,-10.468878517952593,nan,-12.719278512781566,nan,-12.746039734992818,nan,1.21854220602981,nan,1.2173712029633095,nan,1.0035039805463397,nan,1.0029448003658932,nan
g U n,3,-11.012041654315084,nan,-inf,nan,-13.708666204337,nan,1.174923120634404,nan,1.1741065245422135,nan,1.0028548123980423,nan,1.002462376715556,nan
g U S,3,-13.053261983174721,nan,-11.531759360029064,nan,-11.695077161646168,nan,1.105010511395952,nan,1.104770990080802,nan,1.004103251848729,nan,1.003398998632509,nan
g U T,3,-13.701957401163833,nan,-inf,nan,-13.737890104195847,nan,1.0989763873843,nan,1.0987866731183589,nan,1.0028548123980423,nan,1.002462376715556,nan
g W C,3,-13.57337095006088,nan,-inf,nan,-15.395706053008897,nan,1.074177739826428,nan,1.0741880150318175,nan,1,1,1.0003098551903409,1.0
g W D,3,-11.958512970157441,nan,-inf,nan,-18.373796440107043,nan,1.099562675323723,nan,1.0993634174255444,nan,1.000208073241781,nan,1.0004659588431664,nan
g W T,3,-14.043374579306617,nan,-inf,nan,-14.582838477452343,nan,1.070224348232587,nan,1.0702672556426307,nan,1.000208073241781,nan,1.0004659588431664,nan
g ^ r,3,-10.120211008237561,nan,-11.556488518422702,nan,-11.59027260414986,nan,1.2364138550956099,nan,1.2350988419641153,nan,1.007378368800826,nan,1.0058660795786853,nan
h U n,3,-11.303096411245505,nan,-inf,nan,-15.963538702059175,nan,1.175532381398011,nan,1.1747108758717866,nan,1.0002039151712887,nan,1.0004636067278563,nan
h u r,3,-10.742105041777798,nan,-11.425263903225895,nan,-11.485187650207056,nan,1.216019853216476,nan,1.2148698599603551,nan,1.0097129132358342,nan,1.0076090930281767,nan
h U s,3,-11.519767448054097,nan,-inf,nan,-16.07561029602626,nan,1.1505635923842783,nan,1.1499481849927111,nan,1.0002039151712887,nan,1.0004636067278563,nan
h W r,3,-11.830146407485898,nan,-12.262513399370375,nan,-12.06044818059206,nan,1.1523983197743881,nan,1.1517630638438503,nan,1.0044902918388448,nan,1.003694741130989,nan
J O b,3,-15.746247361461716,nan,-16.103203204662435,nan,-16.163934091279113,nan,1.031878697015069,nan,1.0322269513538467,nan,1,1,1.0003098551903409,1.0
J ^ r,3,-12.096892815959627,nan,-13.712303038887113,nan,-13.940182085169782,nan,1.1897038632190868,nan,1.1887652400301911,nan,1.003300065375051,nan,1.0027910488283778,nan
k E G,3,-11.406335993383,nan,-14.93460675039037,nan,-14.602709233889327,nan,1.1129905353290668,nan,1.1126862322516164,nan,1.0004119884130698,nan,1.0006197103806818,nan
k E S,3,-12.12639062686287,nan,-15.633946426456736,nan,-15.42997586942535,nan,1.1129905353290668,nan,1.1126862322516164,nan,1.0002039151712887,nan,1.0004636067278563,nan
k i b,3,-10.12342998612573,nan,-13.946426331712967,nan,-13.955836461058325,nan,1.1320417960220968,nan,1.1315809734521127,nan,1.0018352365415988,nan,1.0016936190279793,nan
k i C,3,-11.643085888489694,nan,-12.372282244064936,nan,-12.53278991432848,nan,1.115395936679608,nan,1.1150725128660623,nan,1.00391596895941,nan,1.003254655556234,nan
k i D,3,-10.028227908586253,nan,-13.818484857938232,nan,-13.833234138965992,nan,1.140780872176903,nan,1.1402479152597893,nan,1.0037078957176286,nan,1.0030985519034086,nan
k i r,3,-9.60880658898429,nan,-10.905701667364994,nan,-10.966069137569,nan,1.193007255863961,nan,1.1920432103485221,nan,1.0089097267621565,nan,1.0070011432240455,nan
k u f,3,-11.03322043118957,nan,-14.031969825863735,nan,-14.0156917195265,nan,1.1367153823969312,nan,1.1362185519708123,nan,1.002068258206334,nan,1.0018638353726654,nan
k U m,3,-11.060459807978082,nan,-15.126664537080904,nan,-14.538595296650719,nan,1.1395071448689365,nan,1.1389815654059745,nan,1.0020433097833799,nan,1.0018497226808047,nan
k U n,3,-10.537359233017758,nan,-inf,nan,-15.048398766009383,nan,1.168221252234729,nan,1.1674586599169114,nan,1.0018352365415988,nan,1.0016936190279793,nan
k U p,3,-11.288846162463482,nan,-14.384068460845276,nan,-14.09259716032763,nan,1.113289916404517,nan,1.1129807399829452,nan,1.002251383025161,nan,1.0020058263336302,nan
k u r,3,-9.976367863550053,nan,-12.812554608826579,nan,-12.797125254643163,nan,1.2087087240531942,nan,1.20761764400548,nan,1.0070620160090806,nan,1.005610323040477,nan
l U n,3,-10.39067415614927,nan,-inf,nan,-15.443484509717852,nan,1.1625348184410653,nan,1.1618180475075641,nan,1.0022430668841762,nan,1.00200112210301,nan
l R l,3,-10.48679999668397,nan,-12.789610432478373,nan,-12.804597504540075,nan,1.1048065437653778,nan,1.104562004756528,nan,1.0008239768261395,nan,1.0009295655710226,nan
m W l,3,-11.255191909252378,nan,-12.364982232112517,nan,-12.396636705382344,nan,1.104186515750647,nan,1.10394705935025,nan,1.0012318071687172,nan,1.0012370686460532,nan
m W r,3,-11.168374349493707,nan,-13.763370606795142,nan,-13.50508726303492,nan,1.1414316260294652,nan,1.1408847399115376,nan,1.001023733926936,nan,1.0010809649932277,nan
m W t,3,-10.599963963554725,nan,-9.900464318849158,nan,-10.023256060381895,nan,1.1753475644397855,nan,1.1745207283556154,nan,1.0016479536522795,nan,1.0015492759517042,nan
n c n,3,-10.143196699224369,nan,-15.420537570654384,nan,-15.213851170434461,nan,1.1291614751068881,nan,1.1287141655770823,nan,1.000828134896632,nan,1.0009319176863327,nan
n W C,3,-12.679553074038786,nan,-14.291889651463674,nan,-14.38476341689925,nan,1.0449332231733006,nan,1.0451791512123172,nan,1.000815660685155,nan,1.0009248613404023,nan
n W D,3,-11.064695094135345,nan,-17.976138837193446,nan,-17.362853803997396,nan,1.0703181586705957,nan,1.0703545536060441,nan,1.001023733926936,nan,1.0010809649932277,nan
n ^ r,3,-9.226393132215465,nan,-14.077868501634136,nan,-14.055750770939957,nan,1.2071693384424824,nan,1.2060899781446153,nan,1.0035039805463397,nan,1.0029448003658932,nan
p c k,3,-11.313819083394861,nan,-13.191721653790681,nan,-13.045729268749465,nan,1.1354943557837296,nan,1.13499903695642,nan,1.0033250137980052,nan,1.0028051615202385,nan
p c p,3,-11.646170558115816,nan,-inf,nan,-16.3722521937796,nan,1.0959604398453193,nan,1.0957914430645503,nan,1.0002039151712887,nan,1.0004636067278563,nan
p c s,3,-11.111354665478684,nan,-13.894742804269336,nan,-13.70245577514507,nan,1.1259229866617988,nan,1.125506672119441,nan,1.0010362081384132,nan,1.0010880213391582,nan
p O l,3,-13.199428769780507,nan,-14.875523238350468,nan,-14.3995284890481,nan,1.094794822370154,nan,1.0946314432248268,nan,1.0006200616548508,nan,1.0007758140335072,nan
p O m,3,-13.45007896688455,nan,-inf,nan,-15.525482026993625,nan,1.0977078477550897,nan,1.0975204238273855,nan,1.0002039151712887,nan,1.0004636067278563,nan
p O n,3,-12.926978391924226,nan,-15.41856125529923,nan,-14.648991135232398,nan,1.1264219551208823,nan,1.1259975183383224,nan,1.0004119884130698,nan,1.0006197103806818,nan
p O r,3,-13.112611210021836,nan,-inf,nan,-15.507979046700678,nan,1.1320399326489723,nan,1.1315691237861143,nan,1.0002039151712887,nan,1.0004636067278563,nan
p O s,3,-13.143649428732818,nan,-14.832862506584906,nan,-14.355597621091315,nan,1.1014531661071496,nan,1.101234827459247,nan,1.0006200616548508,nan,1.0007758140335072,nan
p O t,3,-12.544200824082857,nan,-inf,nan,-15.176030797428902,nan,1.1659558710592925,nan,1.165205112230192,nan,1.0002039151712887,nan,1.0004636067278563,nan
p u k,3,-10.542221974898167,nan,-11.883877220607541,nan,-11.9347439381099,nan,1.186880978948493,nan,1.1859699107428276,nan,1.0072534569688922,nan,1.0057570182320619,nan
p U m,3,-11.392811282699038,nan,-13.289166718394771,nan,-12.759330818938622,nan,1.1386947971841272,nan,1.1381757636332106,nan,1.0128508138616832,nan,1.0099985541691197,nan
p U n,3,-10.869710707738713,nan,-inf,nan,-13.269134288297284,nan,1.1674089045499199,nan,1.1666528581441475,nan,1.0126427406199021,nan,1.0098424505162942,nan
p U p,3,-11.621197637184437,nan,-12.546570642159141,nan,-12.313332682615531,nan,1.1124775687197077,nan,1.1121749382101813,nan,1.0130588871034643,nan,1.0101546578219451,nan
p U s,3,-11.086381744547305,nan,-inf,nan,-13.381205882264366,nan,1.1424401155361872,nan,1.141890167265072,nan,1.0126427406199021,nan,1.0098424505162942,nan
p u v,3,-11.737851465033035,nan,-13.3285201270661,nan,-13.297999820198207,nan,1.1386079868552763,nan,1.1380953750432816,nan,1.0022596991661457,nan,1.0020105305642504,nan
r U n,3,-10.303856596390599,nan,-inf,nan,-16.972715127216382,nan,1.144460082454063,nan,1.1438889580635674,nan,1,1,1.0003098551903409,1.0
r W r,3,-10.830906592630992,nan,-14.413363727292095,nan,-14.151762057213869,nan,1.12132602083044,nan,1.120941146035631,nan,1.0008198187556474,nan,1.0009272134557126,nan
S c g,3,-13.078234904106102,nan,-14.436143920133123,nan,-14.38818627340432,nan,1.0645118849824398,nan,1.0645960562547572,nan,1.0012442813801943,nan,1.0012441249919837,nan
s c p,3,-11.111354665478684,nan,-inf,nan,-14.42190759278587,nan,1.1233771742076264,nan,1.122987252895332,nan,1.0012234910277324,nan,1.001232364415433,nan
s U g,3,-11.228712691123675,nan,-16.68350489348865,nan,-15.998994536896317,nan,1.1411427425327014,nan,1.1406088825849168,nan,1.0008322929671245,nan,1.0009342698016428,nan
S U g,3,-13.053261983174723,nan,-13.767969660504557,nan,-13.851416754320068,nan,1.0810290138568281,nan,1.0809795514003882,nan,1.0026675295087233,nan,1.0023180336392812,nan
s U k,3,-10.75403026982635,nan,-13.776828275343485,nan,-13.219033605286103,nan,1.179428219020425,nan,1.1785783419328326,nan,1.0043695380774031,nan,1.003588031899676,nan
s U m,3,-10.857995390061905,nan,-17.695183621939798,nan,-16.466288358718547,nan,1.1661115315464343,nan,1.1653715734639922,nan,1.000208073241781,nan,1.0004659588431664,nan
s U n,3,-10.33489481510158,nan,-inf,nan,-16.97609182807721,nan,1.194825638912227,nan,1.1938486679749292,nan,1,1,1.0003098551903409,1.0
s U p,3,-11.086381744547305,nan,-16.952587545704166,nan,-16.020290222395452,nan,1.1398943030820148,nan,1.139370748040963,nan,1.0004161464835621,nan,1.0006220624959918,nan
s U s,3,-10.551565851910173,nan,-inf,nan,-17.088163422044293,nan,1.1698568498984943,nan,1.1690859770958537,nan,1,1,1.0003098551903409,1.0
S u T,3,-14.10273566643606,nan,-12.741310655009393,nan,-13.082526730514198,nan,1.0936346712766247,nan,1.0934868640073225,nan,1.0024760885489115,nan,1.002171338447696,nan
s W l,3,-10.948762371100646,nan,-13.174945918448902,nan,-13.123061179206694,nan,1.1344464670097858,nan,1.1339631753857053,nan,1.0014357223400059,nan,1.0013908201835686,nan
s W t,3,-10.293534425402992,nan,-10.710428005185543,nan,-10.749680534206247,nan,1.2056075156989245,nan,1.2045368443910707,nan,1.0018518688235682,nan,1.0017030274892196,nan
