word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.819938172193176,nan,-10.019524683588058,nan,-10.099097657256047,nan,1.13969371535678,nan,1.1392782828091268,nan,1.0071502780924015,nan,1.0059334973660745,nan
b i l,3,-9.992370618259741,nan,-9.692068256169563,nan,-9.756438376485624,nan,1.1649773985721132,nan,1.1643969997662054,nan,1.0122364277404892,nan,1.009962062741184,nan
b i s,3,-9.97079113238606,nan,-9.840274376704444,nan,-9.900750527985476,nan,1.171233572427892,nan,1.1706122434691821,nan,1.008120523888003,nan,1.0067043092879655,nan
b R s,3,-10.869920098282563,nan,-10.640195481931729,nan,-10.708203123996201,nan,1.1277342192584223,nan,1.1273924491247092,nan,1.0029400226017966,nan,1.0025896294022527,nan
b Y s,3,-10.702115303090281,nan,-10.53356343142225,nan,-10.600121615003015,nan,1.1471391351704534,nan,1.1466726547802362,nan,1.005694909398999,nan,1.004777279483238,nan
b ^ l,3,-10.01824156385839,nan,-11.74806841573277,nan,-11.779163247372447,nan,1.203625522763575,nan,1.2027967426967965,nan,1.0060124676212014,nan,1.0050305338215744,nan
C @ l,3,-11.694429803882016,nan,-14.521805782344586,nan,-14.496773199330127,nan,1.1156565185157141,nan,1.1153920633421124,nan,1.000979031360099,nan,1.001035115167109,nan
C i D,3,-11.750110021866606,nan,-14.862254941101277,nan,-14.943760449394865,nan,1.101098252438983,nan,1.100929491453918,nan,1.0031017302343967,nan,1.0027180980559012,nan
C i n,3,-11.106673161130962,nan,-11.658077322032593,nan,-11.778105131996572,nan,1.1480195563573234,nan,1.1475438192262437,nan,1.0044188194671921,nan,1.0037605791609312,nan
C R J,3,-14.78721703189552,nan,-14.62573767889839,nan,-14.760635542980204,nan,1.0292814807644095,nan,1.0295775414012343,nan,1,1,1.0002587787917772,1.0
C R g,3,-12.999009964271831,nan,-15.645448128720345,nan,-15.55832657929142,nan,1.0516719977219335,nan,1.0518215714960986,nan,1.0001646361540995,nan,1.0003890889299059,nan
C R T,3,-14.667072720053454,nan,-14.631001714742032,nan,-14.654275526989293,nan,1.0307632061513046,nan,1.031049572804571,nan,1.0001646361540995,nan,1.0003890889299059,nan
C ^ J,3,-13.913959011597665,nan,-17.983902348984245,nan,-17.473686412484547,nan,1.1114289581253411,nan,1.1111970786762984,nan,1.0001617076326001,nan,1.0003872474454256,nan
C ^ n,3,-11.132544106729611,nan,-12.190470602069741,nan,-12.172683832598642,nan,1.1866676805487855,nan,1.1859435621568348,nan,1.0182716845835387,nan,1.0147213626395877,nan
C ^ S,3,-13.172359447651772,nan,-14.994062844397407,nan,-15.024620930833953,nan,1.1194961296762138,nan,1.1192114718722421,nan,1.001972705327694,nan,1.001820658964842,nan
C ^ C,3,-13.256916835679835,nan,-14.75714208711618,nan,-14.807057426933204,nan,1.1181790404434182,nan,1.1179029995137209,nan,1.0023019776358928,nan,1.0020812792410994,nan
d i k,3,-9.801915448880266,nan,-11.908496109728231,nan,-11.948777267295604,nan,1.1568925590098595,nan,1.1563620242120767,nan,1.003771988936791,nan,1.0032467045463371,nan
d i s,3,-9.62004322932146,nan,-11.682931533959417,nan,-11.721218085516481,nan,1.1493192959212852,nan,1.1488383081505784,nan,1.0027841720121944,nan,1.0024648437175647,nan
d i t,3,-9.038204304601328,nan,-10.648047454677638,nan,-10.687515164700274,nan,1.2095761283216804,nan,1.2087009185529338,nan,1.0052537143236862,nan,1.0044194957894959,nan
d E p,3,-10.808481173447461,nan,-14.930567284284011,nan,-14.822405487373386,nan,1.117617731217573,nan,1.1173436791100604,nan,1.0011436675141985,nan,1.0011654253052378,nan
d R s,3,-10.519172195217966,nan,-11.67957166421627,nan,-11.731502018315814,nan,1.1058199427518156,nan,1.1056185138061054,nan,1.0021314844387952,nan,1.0019472861340102,nan
D i D,3,-10.269174153652026,nan,-14.606097318953992,nan,-14.581751276437323,nan,1.1637795286233208,nan,1.1632093505637484,nan,1.0024548997039957,nan,1.002204223441307,nan
D i g,3,-10.618945130160748,nan,-13.42979641288798,nan,-13.43928810081553,nan,1.157852627075741,nan,1.157321224950402,nan,1.0027841720121944,nan,1.0024648437175647,nan
D i C,3,-11.750110021866606,nan,-12.879677170150597,nan,-12.967618685969555,nan,1.142212192436294,nan,1.14178311569296,nan,1.0029488081662938,nan,1.0025951538556934,nan
d I J,3,-11.78915033697615,nan,-13.180094853956296,nan,-13.34185868046508,nan,1.115226247315496,nan,1.1149704962342297,nan,1.005659767141009,nan,1.004755181669475,nan
d I D,3,-9.65117229284374,nan,-13.166678443293439,nan,-13.189326123968232,nan,1.1435436658205997,nan,1.1431026519424405,nan,1.0094463986852962,nan,1.0077523148464362,nan
d Y p,3,-10.880143434915515,nan,-12.073893780577619,nan,-12.127221712942065,nan,1.097565984775141,nan,1.0974207999326826,nan,1.004242469227096,nan,1.0036229030848816,nan
d Y t,3,-9.769528475305549,nan,-10.596967059697455,nan,-10.64768234575053,nan,1.1854816910642418,nan,1.1847613298639879,nan,1.0096754623123776,nan,1.0079231376431301,nan
d I T,3,-11.669006025134085,nan,-14.379281358272372,nan,-14.216327917485897,nan,1.116707972702391,nan,1.1164425276375665,nan,1.005659767141009,nan,1.004755181669475,nan
d I Z,3,-14.946150758126262,nan,-inf,nan,-17.650960075234288,nan,1.1132506134663027,nan,1.1130077876964477,nan,1.005659767141009,nan,1.004755181669475,nan
f i k,3,-10.634369538817626,nan,-11.378864005217709,nan,-11.447127626380272,nan,1.1567314246237816,nan,1.1562019217464987,nan,1.005550772895394,nan,1.0046598597364709,nan
f i s,3,-10.452497319258821,nan,-11.153299429448895,nan,-11.21956844460115,nan,1.1491581615352073,nan,1.1486782056850005,nan,1.0045629559707974,nan,1.0038779989076985,nan
f R s,3,-11.351626285155325,nan,-12.01525592559563,nan,-12.056414339308507,nan,1.1056588083657377,nan,1.1054584113405275,nan,1.0022931920713956,nan,1.0020757547876586,nan
f R t,3,-10.769787360435192,nan,-11.269046474678383,nan,-11.31397900930668,nan,1.1659156407661329,nan,1.1653210217428829,nan,1.003610281304191,nan,1.0031182358926887,nan
f Y k,3,-11.365693709521848,nan,-10.613099344533195,nan,-10.701865872726485,nan,1.132636987366343,nan,1.1322623330575528,nan,1.0066944404095926,nan,1.0055665062499313,nan
f ^ l,3,-10.499947750731152,nan,-12.431678032084905,nan,-12.468128833800488,nan,1.1815501118708907,nan,1.1808627049126148,nan,1.0037485607647978,nan,1.0032319726704952,nan
g e s,3,-10.598797849386559,nan,-11.991343094440328,nan,-11.985886000005088,nan,1.157189657992127,nan,1.1566584287089696,nan,1.0031193013633917,nan,1.0027291469627828,nan
g W d,3,-11.832836535659265,nan,-14.352462037942823,nan,-13.772517089418184,nan,1.1205376673003526,nan,1.120241628966628,nan,1.0011524530786962,nan,1.0011709497586785,nan
g W r,3,-11.630453157067702,nan,-16.949214430408603,nan,-16.01544024169857,nan,1.1470440881103625,nan,1.1465746351818715,nan,1.0001646361540995,nan,1.0003890889299059,nan
