word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.24438313272551,nan,-inf,nan,-11.53908098621088,nan,1.1780289855072463,nan,1.1652397927380398,nan,1.0028985507246377,nan,1.001639670532126,nan
b O r,3,-12.612107912850828,nan,-inf,nan,-11.370331506962469,nan,1.1696956521739128,nan,1.1580713339566777,nan,1.0028985507246377,nan,1.001639670532126,nan
b O s,3,-12.56862280091109,nan,-inf,nan,-11.63871082715972,nan,1.1280289855072463,nan,1.1222290400498678,nan,1.0028985507246377,nan,1.001639670532126,nan
b U n,3,-10.778046063932084,nan,-inf,nan,-11.748172784069439,nan,1.19831884057971,nan,1.1834689594047063,nan,1.0028985507246377,nan,1.001639670532126,nan
b u r,3,-10.491844376650738,nan,-8.93870026504617,nan,-10.397224300044654,nan,1.204478260869565,nan,1.1893213339566777,nan,1.009963768115942,nan,1.002743435383652,nan
b U s,3,-11.102285732117663,nan,-inf,nan,-11.84780262501828,nan,1.14831884057971,nan,1.1404582067165343,nan,1.0028985507246377,nan,1.001639670532126,nan
b W r,3,-11.408135108524892,nan,-inf,nan,-11.521154396697053,nan,1.1783913043478258,nan,1.1658838339566777,nan,1.0028985507246377,nan,1.001639670532126,nan
C e D,3,-12.429786356056873,nan,-inf,nan,-14.659702767472949,nan,1.0780072463768116,nan,1.0783088378525791,nan,1.0028985507246377,nan,1.001639670532126,nan
C i D,3,-11.912529841960593,nan,-inf,nan,-14.51334635937251,nan,1.0925,nan,1.0913296711859124,nan,1.0028985507246377,nan,1.001639670532126,nan
C O b,3,-14.221545825284927,nan,-inf,nan,-15.053607053180038,nan,1.038695652173913,nan,1.0428305672432603,nan,1,1,1.0011037648515257,1.0
C O g,3,-14.436657204901874,nan,-inf,nan,-14.272167265474414,nan,1.0470289855072463,nan,1.0499990260246221,nan,1,1,1.0011037648515257,1.0
C O v,3,-15.458308452433855,nan,-inf,nan,-13.989600293689403,nan,1.0345289855072464,nan,1.0392463378525791,nan,1,1,1.0011037648515257,1.0
C u D,3,-12.644897735673819,nan,-inf,nan,-15.264557340887217,nan,1.0693115942028986,nan,1.0704963378525791,nan,1,1,1.0011037648515257,1.0
C u S,3,-13.338044916233766,nan,-inf,nan,-14.40278744789148,nan,1.0693115942028986,nan,1.0704963378525791,nan,1,1,1.0011037648515257,1.0
C u T,3,-13.589359344514671,nan,-inf,nan,-15.054261932050856,nan,1.0609782608695653,nan,1.0633278790712173,nan,1,1,1.0011037648515257,1.0
D e C,3,-12.429786356056873,nan,-inf,nan,-13.765884891450852,nan,1.087173913043478,nan,1.0868019031478884,nan,1.0028985507246377,nan,1.001639670532126,nan
D e D,3,-11.73663917549693,nan,-inf,nan,-14.222189676338425,nan,1.0913405797101448,nan,1.0903861325385693,nan,1.0028985507246377,nan,1.001639670532126,nan
D e J,3,-12.835251464165038,nan,-inf,nan,-14.395853170389266,nan,1.0788405797101448,nan,1.0796334443665263,nan,1.0028985507246377,nan,1.001639670532126,nan
D e S,3,-12.429786356056873,nan,-inf,nan,-13.360419783342689,nan,1.0913405797101448,nan,1.0903861325385693,nan,1.0028985507246377,nan,1.001639670532126,nan
