word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.714255654525886,nan,-inf,nan,-12.57414128479839,nan,1.1485742194181376,nan,1.1412323734873335,nan,1.002724795640327,nan,1.0016262154579347,nan
b i l,3,-9.803257496017501,nan,-inf,nan,-11.731655290109885,nan,1.147183788721016,nan,1.1401493283837454,nan,1.002724795640327,nan,1.0016262154579347,nan
b i s,3,-9.730498141735072,nan,-10.004803377711331,nan,-10.95278622339018,nan,1.1842208257580529,nan,1.1720642220007667,nan,1.002724795640327,nan,1.0016262154579347,nan
b R s,3,-10.305862286638634,nan,-9.141757160355988,nan,-10.456998476988732,nan,1.176046438837072,nan,1.1646750594391904,nan,1.010955248315224,nan,1.0027600023060073,nan
b Y s,3,-10.382823327774762,nan,-9.35247819167164,nan,-10.649836678807612,nan,1.1624224606354372,nan,1.1523597885032297,nan,1.0095648176181027,nan,1.00272276989892,nan
b ^ l,3,-9.89026887300713,nan,-inf,nan,-11.685135274474991,nan,1.1689821538436318,nan,1.1598537618812823,nan,1.008174386920981,nan,1.002685537491833,nan
C @ l,3,-11.975072357828353,nan,-9.419816857737622,nan,-11.734721836517863,nan,1.098773713892872,nan,1.0961158353974771,nan,1.002724795640327,nan,1.0016262154579347,nan
C i D,3,-12.80010026385552,nan,-inf,nan,-14.802836991844067,nan,1.0768071515085076,nan,1.0773022938399883,nan,1.002724795640327,nan,1.0016262154579347,nan
C i n,3,-11.65800286324767,nan,-9.967998073281692,nan,-12.003315387244697,nan,1.1261898675578903,nan,1.11985548532935,nan,1.002724795640327,nan,1.0016262154579347,nan
C R J,3,-14.98490232119318,nan,-inf,nan,-15.382672015886026,nan,1.056287085575181,nan,1.0592748334060715,nan,1.002724795640327,nan,1.0016262154579347,nan
C R g,3,-12.716218779874815,nan,-11.21236724964859,nan,-13.370671755001725,nan,1.0850936699373208,nan,1.0840975284415326,nan,1.0068400219777756,nan,1.0021931088819709,nan
C R T,3,-14.004073068181455,nan,-inf,nan,-14.106378549980464,nan,1.056287085575181,nan,1.0592748334060715,nan,1.002724795640327,nan,1.0016262154579347,nan
C ^ J,3,-14.49654955327925,nan,-inf,nan,-16.301943375898322,nan,1.0862598376187778,nan,1.0863684294651847,nan,1,1,1.0010965544409856,1.0
C ^ n,3,-11.745014240237301,nan,-inf,nan,-12.13911692840376,nan,1.1479882326805062,nan,1.139559918826887,nan,1.0164609053497942,nan,1.0033641281371306,nan
C ^ S,3,-13.803402372719304,nan,-inf,nan,-15.270772368025744,nan,1.0944902902936748,nan,1.0934606280467452,nan,1,1,1.0010965544409856,1.0
C ^ C,3,-13.803402372719304,nan,-inf,nan,-15.676237476133908,nan,1.0862598376187778,nan,1.0863684294651847,nan,1,1,1.0010965544409856,1.0
d i k,3,-9.736190265771418,nan,-10.83202037661009,nan,-11.630017735787716,nan,1.1601457072102892,nan,1.1509514183711334,nan,1.002724795640327,nan,1.0016262154579347,nan
d i s,3,-9.543286599646926,nan,-10.7372419702828,nan,-11.464383749934754,nan,1.1766066125600836,nan,1.165135815534254,nan,1.002724795640327,nan,1.0016262154579347,nan
d i t,3,-9.216890015014455,nan,-9.454200642481172,nan,-10.480952842146849,nan,1.2301045549469147,nan,1.2112351063143958,nan,1.0068400219777756,nan,1.0021931088819709,nan
d E p,3,-10.593735486936412,nan,-inf,nan,-13.462630547007073,nan,1.1327856192991872,nan,1.1269148044592443,nan,1,1,1.0010965544409856,1.0
d R s,3,-10.118650744550488,nan,-9.468730644819294,nan,-10.680913931081523,nan,1.1684322256391027,nan,1.1577466529726776,nan,1.010955248315224,nan,1.0027600023060073,nan
D i D,3,-11.883809531981363,nan,-inf,nan,-15.068540157577074,nan,1.0894975068384567,nan,1.0888496379508428,nan,1,1,1.0010965544409856,1.0
D i g,3,-11.2245639030971,nan,-inf,nan,-14.602166296381917,nan,1.1059584121882509,nan,1.1030340351139634,nan,1,1,1.0010965544409856,1.0
D i C,3,-12.80010026385552,nan,-inf,nan,-15.988460657501808,nan,1.077151827826111,nan,1.0782113400785023,nan,1,1,1.0010965544409856,1.0
d I J,3,-12.15423397033029,nan,-inf,nan,-15.163853020644945,nan,1.1406796774505872,nan,1.1357887869209011,nan,1.002724795640327,nan,1.0016262154579347,nan
d I D,3,-10.544796057896189,nan,-12.220639161821538,nan,-13.212761512847635,nan,1.153025356462933,nan,1.1464270847932416,nan,1.0068400219777756,nan,1.0021931088819709,nan
d Y p,3,-10.742155492054685,nan,-11.011678815984562,nan,-12.01661695118556,nan,1.1218864367378791,nan,1.117062587710476,nan,1.0068400219777756,nan,1.0021931088819709,nan
d Y t,3,-9.869215201054145,nan,-9.495022637001426,nan,-10.583468405672445,nan,1.2083061898242988,nan,1.1915306728168589,nan,1.010955248315224,nan,1.0027600023060073,nan
d I T,3,-11.173404717318565,nan,-11.186565394290998,nan,-12.788947266071274,nan,1.1406796774505872,nan,1.1357887869209011,nan,1.002724795640327,nan,1.0016262154579347,nan
d I Z,3,-inf,nan,-inf,nan,-inf,nan,1.1406796774505872,nan,1.132242687630121,nan,1.002724795640327,nan,1.0010593220338984,nan
f i k,3,-10.314268116546575,nan,-11.30376465033361,nan,-12.120640652236187,nan,1.1449172808143502,nan,1.137094605438108,nan,1.002724795640327,nan,1.0016262154579347,nan
f i s,3,-10.121364450422083,nan,-11.20898624400632,nan,-11.955006666383225,nan,1.1613781861641446,nan,1.1512790026012285,nan,1.002724795640327,nan,1.0016262154579347,nan
f R s,3,-10.696728595325645,nan,-9.247327737982868,nan,-10.766071739421829,nan,1.1532037992431636,nan,1.1438898400396522,nan,1.010955248315224,nan,1.0027600023060073,nan
f R t,3,-10.370332010693174,nan,-9.756045879409292,nan,-10.98661363595986,nan,1.2067017416299948,nan,1.189989130819794,nan,1.010955248315224,nan,1.0027600023060073,nan
f Y k,3,-10.966593302586265,nan,-9.265145103174028,nan,-11.006760891437288,nan,1.1231189156917343,nan,1.117390171940571,nan,1.0095648176181027,nan,1.00272276989892,nan
f ^ l,3,-10.281135181694143,nan,-inf,nan,-12.687355717468035,nan,1.1461395142497233,nan,1.1390685424817442,nan,1.002724795640327,nan,1.0016262154579347,nan
g e s,3,-10.205415785783236,nan,-inf,nan,-11.7038081868531,nan,1.1689923993621139,nan,1.1582074090677412,nan,1.008230452674897,nan,1.002230341289058,nan
g W d,3,-11.451185718787634,nan,-inf,nan,-12.804480208484222,nan,1.117109150688069,nan,1.112003307471123,nan,1,1,1.0010965544409856,1.0
g W r,3,-11.139406094756794,nan,-inf,nan,-12.83461730290446,nan,1.154146187725106,nan,1.1439182010881443,nan,1,1,1.0010965544409856,1.0
g W z,3,-12.120235347768519,nan,-inf,nan,-12.62626543364292,nan,1.0924177926633778,nan,1.0907267117264423,nan,1,1,1.0010965544409856,1.0
g i C,3,-12.140854634971255,nan,-inf,nan,-15.029610311208856,nan,1.09491832528804,nan,1.0943776218336987,nan,1,1,1.0010965544409856,1.0
g i J,3,-12.834001815531199,nan,-inf,nan,-14.962169030413323,nan,1.09491832528804,nan,1.0943776218336987,nan,1,1,1.0010965544409856,1.0
g i D,3,-11.2245639030971,nan,-inf,nan,-14.109689811284122,nan,1.1072640043003856,nan,1.1050159197060392,nan,1,1,1.0010965544409856,1.0
g R g,3,-11.140682419116398,nan,-10.87098099822495,nan,-12.272059466333616,nan,1.1155505227291989,nan,1.1118111543075835,nan,1.0095648176181027,nan,1.00272276989892,nan
g u v,3,-12.147823304287348,nan,-inf,nan,-12.76567093331247,nan,1.1032048437168531,nan,1.101172856435243,nan,1,1,1.0010965544409856,1.0
h e s,3,-10.205415785783236,nan,-8.714136231010889,nan,-10.199730790076826,nan,1.1918350389560226,nan,1.1789926284672791,nan,1.0136800439555511,nan,1.0032896633229564,nan
h e n,3,-10.398319451907728,nan,-8.885875678474308,nan,-10.339389289526528,nan,1.179489359943677,nan,1.1683543305949389,nan,1.0095648176181027,nan,1.00272276989892,nan
h i n,3,-10.08246650248925,nan,-9.201728627892784,nan,-10.499237990468423,nan,1.179489359943677,nan,1.1683543305949389,nan,1.005449591280654,nan,1.002155876474884,nan
h Y s,3,-10.54188802240445,nan,-inf,nan,-11.84838941566421,nan,1.170036673833407,nan,1.1592881949697422,nan,1.0041152263374487,nan,1.0016634478650217,nan
h ^ s,3,-9.97657421335439,nan,-9.63612498399968,nan,-10.718524583491995,nan,1.2136334040786387,nan,1.198697061964816,nan,1.0122896132584296,nan,1.0032524309158692,nan
J R T,3,-14.697220248741399,nan,-inf,nan,-15.137549557853044,nan,1.051210943443201,nan,1.0546558957617298,nan,1,1,1.0010965544409856,1.0
J ^ n,3,-12.438161420797245,nan,-8.312370778378217,nan,-11.378528467048282,nan,1.1429120905485264,nan,1.1349409811825453,nan,1.0219104966304482,nan,1.004423450171029,nan
k e d,3,-10.052043215189896,nan,-10.624619135419112,nan,-11.573026420285528,nan,1.1525314940123197,nan,1.1440230119046206,nan,1.0068400219777756,nan,1.0021931088819709,nan
k R m,3,-10.361564831249641,nan,-inf,nan,-13.583664037101553,nan,1.1484723334287874,nan,1.1401799486338247,nan,1,1,1.0010965544409856,1.0
l e l,3,-9.675179056500017,nan,-10.556559349260276,nan,-11.45203429484886,nan,1.129417291259087,nan,1.123983046628549,nan,1.002724795640327,nan,1.0016262154579347,nan
m @ b,3,-10.54720156986272,nan,-12.323594165512834,nan,-13.069066104092482,nan,1.1194229587383941,nan,1.1155006322133585,nan,1.0068400219777756,nan,1.0021931088819709,nan
m e p,3,-10.455693676008135,nan,-inf,nan,-12.927947131737742,nan,1.1386086597285154,nan,1.132148083563671,nan,1.002724795640327,nan,1.0016262154579347,nan
m @ v,3,-11.675666821680512,nan,-10.63551312575962,nan,-12.226823014366902,nan,1.111192506063497,nan,1.108408433631798,nan,1.0068400219777756,nan,1.0021931088819709,nan
m @ z,3,-11.029039656755458,nan,-9.008542734563878,nan,-10.678650297725403,nan,1.1276534114132915,nan,1.1225928307949187,nan,1.010955248315224,nan,1.0027600023060073,nan
m R n,3,-10.361564831249641,nan,-10.676649440377604,nan,-11.524263246305164,nan,1.1510104044947773,nan,1.1424894174559954,nan,1.0068400219777756,nan,1.0021931088819709,nan
m R s,3,-10.16866116512515,nan,-9.524080739902459,nan,-10.755996087433088,nan,1.1633560835071228,nan,1.1531277153283357,nan,1.010955248315224,nan,1.0027600023060073,nan
m Y d,3,-10.57510140739152,nan,-10.737549709937483,nan,-11.684863197295181,nan,1.133271199955694,nan,1.1266280472292545,nan,1.0068400219777756,nan,1.0021931088819709,nan
m ^ b,3,-10.196999140429606,nan,-12.673796594945948,nan,-13.237203025894479,nan,1.143946119501337,nan,1.1376681198980874,nan,1.0041152263374487,nan,1.0016634478650217,nan
n e s,3,-9.722564014059653,nan,-inf,nan,-12.428086286008218,nan,1.151225901900185,nan,1.1420411273125448,nan,1.008230452674897,nan,1.002230341289058,nan
n e n,3,-9.915467680184145,nan,-inf,nan,-12.56774478545792,nan,1.1388802228878394,nan,1.1314028294402045,nan,1.0041152263374487,nan,1.0016634478650217,nan
n c d,3,-11.122484626891309,nan,-inf,nan,-13.491017979656492,nan,1.09934265322614,nan,1.0958370257159267,nan,1,1,1.0010965544409856,1.0
n W d,3,-10.96833394706405,nan,-inf,nan,-12.835611127079394,nan,1.09934265322614,nan,1.0958370257159267,nan,1.002724795640327,nan,1.0016262154579347,nan
n c G,3,-11.840324420041625,nan,-inf,nan,-12.720909757960419,nan,1.0746512952014489,nan,1.074560429971246,nan,1,1,1.0010965544409856,1.0
n i n,3,-9.599614730765667,nan,-10.640091844643806,nan,-11.628981197731708,nan,1.1388802228878394,nan,1.1314028294402045,nan,1.002724795640327,nan,1.0016262154579347,nan
p e k,3,-10.269107720427723,nan,-inf,nan,-12.736725325473524,nan,1.14745535188034,nan,1.1394040742602787,nan,1.0041152263374487,nan,1.0016634478650217,nan
p e m,3,-10.455693676008135,nan,-inf,nan,-12.945646708837144,nan,1.1515705782177887,nan,1.142950173551059,nan,1.0041152263374487,nan,1.0016634478650217,nan
p e p,3,-10.6227477606713,nan,-inf,nan,-13.713956157905717,nan,1.130994446530546,nan,1.1252196770971583,nan,1,1,1.0010965544409856,1.0
p i m,3,-10.139840726589657,nan,-inf,nan,-12.189204677904884,nan,1.1515705782177887,nan,1.142950173551059,nan,1.005449591280654,nan,1.002155876474884,nan
p R b,3,-10.852405993006704,nan,-inf,nan,-13.391622764501939,nan,1.1063591542597706,nan,1.1036461173724614,nan,1,1,1.0010965544409856,1.0
p R d,3,-10.665194450918557,nan,-inf,nan,-12.095712464850317,nan,1.1392809649593592,nan,1.1320149116987024,nan,1,1,1.0010965544409856,1.0
p R v,3,-11.980871244824495,nan,-inf,nan,-12.54937967477636,nan,1.0981287015848735,nan,1.096553918790901,nan,1,1,1.0010965544409856,1.0
r e m,3,-9.926849546739465,nan,-11.072144011734496,nan,-12.040880462814943,nan,1.1439563650198192,nan,1.1360217670845463,nan,1.0095648176181027,nan,1.00272276989892,nan
r i g,3,-9.90726241346416,nan,-inf,nan,-13.046217068898802,nan,1.1110345543202307,nan,1.107652972758305,nan,1.005449591280654,nan,1.002155876474884,nan
r i s,3,-9.231506975616083,nan,-10.461234929411523,nan,-11.266558006604834,nan,1.1563020440321647,nan,1.1466600649568865,nan,1.005449591280654,nan,1.002155876474884,nan
r i t,3,-8.905110390983612,nan,-9.178193601609895,nan,-10.283127098816928,nan,1.209799986418996,nan,1.1927593557370284,nan,1.0095648176181027,nan,1.00272276989892,nan
r i z,3,-10.230035805727212,nan,-9.807546585592126,nan,-11.131224959246799,nan,1.1151497806576793,nan,1.1111990720490852,nan,1.005449591280654,nan,1.002155876474884,nan
r E p,3,-10.281955862905571,nan,-inf,nan,-13.41895548350441,nan,1.1124810507712686,nan,1.108439053881877,nan,1.002724795640327,nan,1.0016262154579347,nan
r I D,3,-10.233016433865348,nan,-13.043244409618369,nan,-13.862233629904917,nan,1.132720787935014,nan,1.1279513342158742,nan,1.0068400219777756,nan,1.0021931088819709,nan
r I S,3,-11.149307165739504,nan,-12.820100858304157,nan,-14.089006949269706,nan,1.1286055615975654,nan,1.1244052349250941,nan,1.0068400219777756,nan,1.0021931088819709,nan
r I T,3,-10.861625093287724,nan,-12.009170642087831,nan,-13.438419383128556,nan,1.1203751089226683,nan,1.1173130363435337,nan,1.002724795640327,nan,1.0016262154579347,nan
r I Z,3,-inf,nan,-inf,nan,-inf,nan,1.1203751089226683,nan,1.1137669370527536,nan,1.002724795640327,nan,1.0010593220338984,nan
r I z,3,-9.896544197244136,nan,-11.239650482743311,nan,-12.174014839617703,nan,1.1532969196222569,nan,1.145681830669775,nan,1.0068400219777756,nan,1.0021931088819709,nan
r ^ l,3,-9.391277706888143,nan,-inf,nan,-13.251670026185014,nan,1.1410633721177437,nan,1.1344496048374022,nan,1.002724795640327,nan,1.0016262154579347,nan
s i g,3,-9.88956283636476,nan,-inf,nan,-13.090102547972991,nan,1.1338771939141392,nan,1.1284381921578432,nan,1.002724795640327,nan,1.0016262154579347,nan
s i v,3,-10.858963393552862,nan,-inf,nan,-12.500139603648277,nan,1.1215315149017935,nan,1.1177998942855027,nan,1.002724795640327,nan,1.0016262154579347,nan
s R d,3,-10.118650744550488,nan,-inf,nan,-12.46697537919494,nan,1.1545093913552982,nan,1.1458717246317278,nan,1.002724795640327,nan,1.0016262154579347,nan
