word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.029129101148989,nan,-inf,nan,-13.335541922557688,nan,1.090100910051634,nan,1.0896722407752915,nan,1.0021186440677967,nan,1.0015402809457363,nan
g i T,3,-11.93694770281117,nan,-inf,nan,-13.33975197966775,nan,1.1136671397918367,nan,1.1114225169864687,nan,1.0021186440677967,nan,1.0015402809457363,nan
z i T,3,-12.152059082428115,nan,-inf,nan,-15.384968135472182,nan,1.0818579946626121,nan,1.0819022217835166,nan,1,1,1.0010385247992235,1.0
y c g,3,-12.565556362233544,nan,-inf,nan,-12.652475965405108,nan,1.0851231199383142,nan,1.0845654257581143,nan,1.0029239766081872,nan,1.0015752934519342,nan
l R z,3,-11.114071415576442,nan,-inf,nan,-13.302925812092289,nan,1.1023915235911326,nan,1.1002633826359836,nan,1,1,1.0010385247992235,1.0
J Y p,3,-12.741447028697209,nan,-inf,nan,-13.122658769066032,nan,1.0912608401528583,nan,1.0896910614020388,nan,1.0087719298245614,nan,1.0026488307573556,nan
C ^ z,3,-11.92500163179277,nan,-inf,nan,-12.907613075448142,nan,1.1190500470267897,nan,1.1155290147443595,nan,1.0058479532163742,nan,1.0021120621046449,nan
C e J,3,-13.373171396630749,nan,-inf,nan,-14.255186598456401,nan,1.0678185077265616,nan,1.0690450992064042,nan,1.0029239766081872,nan,1.0015752934519342,nan
z i S,3,-12.2698421180845,nan,-inf,nan,-15.18202729147549,nan,1.0818579946626121,nan,1.0819022217835166,nan,1,1,1.0010385247992235,1.0
z u v,3,-12.432361047582274,nan,-inf,nan,-14.4619041241787,nan,1.0630875516058176,nan,1.0643359244200021,nan,1,1,1.0010385247992235,1.0
D Y p,3,-11.355152667577318,nan,-inf,nan,-12.117899389204268,nan,1.11909384214093,nan,1.1155213197046219,nan,1.0087719298245614,nan,1.0026488307573556,nan
s R k,3,-10.283580673505618,nan,-9.89839318060628,nan,-10.910578308736723,nan,1.1660156269243493,nan,1.1577979343594536,nan,1.0100852413519674,nan,1.0031155743976705,nan
