word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.649848997373608,nan,-12.742994577880353,nan,-12.569439507341876,nan,1.1472849086129169,nan,1.1461146535396411,nan,1.000796647487824,nan,1.0009717393557382,nan
b O r,3,-12.608817600695746,nan,-inf,nan,-13.830074247389142,nan,1.146426907754916,nan,1.1452711276012184,nan,1.0003676470588236,nan,1.0007173511593506,nan
b O s,3,-12.768286697537825,nan,-11.852515754686529,nan,-12.090876752554173,nan,1.1215448828728913,nan,1.120808875386963,nan,1.0012256479168244,nan,1.001226127552126,nan
b U n,3,-10.989552667706016,nan,-inf,nan,-12.319497762872942,nan,1.1719172615540934,nan,1.1703900158584817,nan,1.0025735294117648,nan,1.0021062400482394,nan
b u r,3,-10.466197157394378,nan,-12.058069319790837,nan,-12.048208851806287,nan,1.175471025401975,nan,1.1738943160070154,nan,1.0034928836399424,nan,1.002637923155921,nan
b U s,3,-11.107990367870233,nan,-inf,nan,-12.534082188645185,nan,1.1461772358140676,nan,1.1450842377058035,nan,1.0025735294117648,nan,1.0021062400482394,nan
b W r,3,-11.099920917483523,nan,-12.18648561174859,nan,-12.163018256662046,nan,1.157456319519622,nan,1.1561406928186098,nan,1.0018995886642945,nan,1.0016661838001828,nan
C e D,3,-12.401533252965002,nan,-inf,nan,-15.09255951883695,nan,1.0663840094733643,nan,1.0665471612603075,nan,1.0018382352941178,nan,1.0016432770852766,nan
C i D,3,-11.89139045612892,nan,-12.535661743477853,nan,-12.868897865532457,nan,1.0711634212380703,nan,1.0712573061878436,nan,1.0048407651348827,nan,1.0035180356520346,nan
C O b,3,-14.14870445016873,nan,-inf,nan,-14.661261368318192,nan,1.0415090820249076,nan,1.0420000980141995,nan,1.0003676470588236,nan,1.0007173511593506,nan
C O g,3,-14.653542032090098,nan,-inf,nan,-14.386285947135526,nan,1.0423670828829084,nan,1.0428436239526222,nan,1.0003676470588236,nan,1.0007173511593506,nan
C O v,3,-15.001019882547913,nan,-inf,nan,-13.875032759762936,nan,1.038935079450905,nan,1.0394695201989317,nan,1.0003676470588236,nan,1.0007173511593506,nan
C u D,3,-12.803591202751551,nan,-13.328209089093649,nan,-13.563855001337643,nan,1.0568251859439526,nan,1.0571268714052349,nan,1.0014705882352941,nan,1.0014117956037951,nan
C u S,3,-13.229259018177235,nan,-13.3725449029137,nan,-13.33842882655272,nan,1.057254186372953,nan,1.0575486343744462,nan,1.0018995886642945,nan,1.0016661838001828,nan
C u T,3,-13.703352632674495,nan,-11.942939843389004,nan,-12.473930864627171,nan,1.0559671850859518,nan,1.0562833454668124,nan,1.002328589093295,nan,1.0019205719965705,nan
D e C,3,-12.401533252965002,nan,-12.687143435829741,nan,-12.790188352466888,nan,1.0840895322550292,nan,1.083988522189018,nan,1.0029411764705882,nan,1.0023377215297211,nan
D e D,3,-12.242928222788365,nan,-inf,nan,-14.815548169928725,nan,1.079799527965025,nan,1.079770892496905,nan,1.0029411764705882,nan,1.0023377215297211,nan
D e J,3,-12.76492714715248,nan,-11.882882506483185,nan,-12.294209236817892,nan,1.079799527965025,nan,1.079770892496905,nan,1.0033701768995886,nan,1.0025921097261088,nan
D e S,3,-12.668596038214048,nan,-12.224336073454602,nan,-12.510680453463968,nan,1.0802285283940254,nan,1.0801926554661163,nan,1.0029411764705882,nan,1.0023377215297211,nan
D i C,3,-11.891390456128923,nan,-12.568677573243448,nan,-12.808203039069449,nan,1.0888689440197352,nan,1.0886986671165542,nan,1.0020222954046483,nan,1.0017119972299953,nan
